,PL28C2~1,
Wavenumbers [1/cm],Intensity,
1879.041,643.71923,
1876.131,652.53382,
1873.220,607.93233,
1870.310,607.37275,
1867.399,643.29923,
1864.489,655.17402,
1861.578,637.3146,
1858.667,634.369,
1855.757,640.90364,
1852.846,623.7006,
1849.936,654.87602,
1847.025,629.81417,
1844.114,654.96917,
1841.204,673.91346,
1838.293,680.85338,
1835.383,667.09653,
1832.472,634.79326,
1829.562,662.37032,
1826.651,653.84013,
1823.740,649.61065,
1820.830,651.33168,
1817.919,654.13251,
1815.009,678.84955,
1812.098,679.28445,
1809.188,663.86728,
1806.277,670.69795,
1803.366,678.65873,
1800.456,667.7985,
1797.545,698.10918,
1794.635,677.84111,
1791.724,718.93333,
1788.813,684.6696,
1785.903,669.98545,
1782.992,650.31754,
1780.082,548.9538,
1777.171,461.19726,
1774.261,456.37574,
1771.350,560.24152,
1768.439,650.38963,
1765.529,705.69635,
1762.618,705.58371,
1759.708,706.86436,
1756.797,711.125,
1753.887,729.72339,
1750.976,732.28862,
1748.065,722.63383,
1745.155,724.32018,
1742.244,732.80705,
1739.334,760.47029,
1736.423,752.50493,
1733.512,775.43606,
1730.602,763.68647,
1727.691,761.24862,
1724.781,757.36896,
1721.870,767.9465,
1718.960,734.69679,
1716.049,733.5868,
1713.138,787.88474,
1710.228,770.76609,
1707.317,785.451,
1704.407,809.43653,
1701.496,802.75952,
1698.586,823.12664,
1695.675,800.54658,
1692.764,820.6496,
1689.854,828.57185,
1686.943,849.16676,
1684.033,896.68286,
1681.122,887.06192,
1678.211,884.89403,
1675.301,898.83183,
1672.390,918.9408,
1669.480,940.8028,
1666.569,932.25588,
1663.659,962.02199,
1660.748,971.31848,
1657.837,993.61256,
1654.927,982.78874,
1652.016,1022.2843,
1649.106,1078.826,
1646.195,1078.6253,
1643.285,1150.3991,
1640.374,1173.0841,
1637.463,1184.9467,
1634.553,1298.5843,
1631.642,1346.3636,
1628.732,1391.5564,
1625.821,1505.926,
1622.911,1583.4355,
1620.000,1754.6954,
1617.089,1906.8302,
1614.179,2056.6166,
1611.268,2162.9341,
1608.358,2348.9318,
1605.447,2462.533,
1602.536,2453.9648,
1599.626,2397.679,
1596.715,2446.4235,
1593.805,2448.2977,
1590.894,2394.1541,
1587.984,2369.5532,
1585.073,2317.5276,
1582.162,2287.168,
1579.252,2214.1377,
1576.341,2202.0793,
1573.431,2198.176,
1570.520,2241.2089,
1567.610,2207.9331,
1564.699,2155.6235,
1561.788,2048.9181,
1558.878,2040.5993,
1555.967,2034.3944,
1553.057,1993.2546,
1550.146,1923.0242,
1547.235,1873.3459,
1544.325,1817.198,
1541.414,1770.9937,
1538.504,1734.6711,
1535.593,1683.0947,
1532.683,1640.1744,
1529.772,1597.8629,
1526.861,1573.3239,
1523.951,1577.6751,
1521.040,1569.6987,
1518.130,1566.2304,
1515.219,1532.4751,
1512.309,1502.1182,
1509.398,1419.1564,
1506.487,1407.4422,
1503.577,1396.5416,
1500.666,1466.0256,
1497.756,1387.5699,
1494.845,1380.4731,
1491.934,1298.8907,
1489.024,1303.7032,
1486.113,1271.4225,
1483.203,1259.9933,
1480.292,1281.7848,
1477.382,1220.4069,
1474.471,1171.8777,
1471.560,1145.9103,
1468.650,1103.6615,
1465.739,1135.5523,
1462.829,1117.5169,
1459.918,1054.8305,
1457.008,1033.4443,
1454.097,1041.1101,
1451.186,1052.7764,
1448.276,1067.5647,
1445.365,1074.8395,
1442.455,1065.6689,
1439.544,1031.1638,
1436.633,1029.3814,
1433.723,1089.0268,
1430.812,1022.8115,
1427.902,972.70934,
1424.991,1007.7766,
1422.081,1031.8119,
1419.170,1020.05,
1416.259,997.62342,
1413.349,993.63024,
1410.438,1021.1664,
1407.528,980.73192,
1404.617,937.78392,
1401.707,920.45583,
1398.796,940.78052,
1395.885,972.94195,
1392.975,958.16593,
1390.064,924.10914,
1387.154,915.43545,
1384.243,906.56571,
1381.332,925.02177,
1378.422,860.87923,
1375.511,996.71247,
1372.601,1073.5222,
1369.690,1079.0178,
1366.780,1196.0962,
1363.869,1197.0894,
1360.958,1180.5933,
1358.048,1252.039,
1355.137,1291.31,
1352.227,1320.6792,
1349.316,1401.3143,
1346.406,1452.2784,
1343.495,1473.0406,
1340.584,1548.7319,
1337.674,1564.2334,
1334.763,1584.9336,
1331.853,1612.7505,
1328.942,1651.2325,
1326.032,1752.9339,
1323.121,1763.7605,
1320.210,1814.4805,
1317.300,1865.4843,
1314.389,1950.7375,
1311.479,2016.3119,
1308.568,2053.1533,
1305.657,2136.9801,
1302.747,2204.8809,
1299.836,2294.74,
1296.926,2402.8405,
1294.015,2445.1294,
1291.105,2557.8233,
1288.194,2640.7682,
1285.283,2735.9193,
1282.373,2818.1326,
1279.462,2904.4229,
1276.552,2975.0326,
1273.641,3005.1526,
1270.731,3005.3466,
1267.820,2989.3964,
1264.909,2970.6672,
1261.999,3041.4755,
1259.088,3030.5301,
1256.178,2964.7843,
1253.267,2963.0813,
1250.356,2850.7418,
1247.446,2713.1465,
1244.535,2593.4287,
1241.625,2487.6788,
1238.714,2384.6434,
1235.804,2270.5694,
1232.893,2164.5129,
1229.982,2106.5496,
1227.072,2126.4665,
1224.161,2090.0523,
1221.251,2058.3062,
1218.340,2014.2453,
1215.430,1978.3589,
1212.519,1968.0443,
1209.608,1951.6756,
1206.698,1915.1303,
1203.787,1915.875,
1200.877,1917.8252,
1197.966,1949.2958,
1195.055,2050.7051,
1192.145,2101.6855,
1189.234,2169.3199,
1186.324,2189.5104,
1183.413,2228.5705,
1180.503,2259.871,
1177.592,2208.9155,
1174.681,2225.9606,
1171.771,2205.7308,
1168.860,2199.4791,
1165.950,2208.5505,
1163.039,2194.1133,
1160.129,2205.7504,
1157.218,2176.5702,
1154.307,2134.2142,
1151.397,2143.0031,
1148.486,2153.0739,
1145.576,2157.7163,
1142.665,2107.9932,
1139.754,2075.398,
1136.844,2077.2786,
1133.933,2059.1743,
1131.023,2032.5447,
1128.112,2042.0146,
1125.202,2072.9378,
1122.291,2051.0165,
1119.380,2093.7364,
1116.470,2079.616,
1113.559,2047.7183,
1110.649,2066.3785,
1107.738,2043.3677,
1104.828,2036.2571,
1101.917,2056.1939,
1099.006,2021.3285,
1096.096,2032.23,
1093.185,2021.6939,
1090.275,2092.9001,
1087.364,2102.3276,
1084.453,2112.3741,
1081.543,2147.8536,
1078.632,2181.1286,
1075.722,2180.4899,
1072.811,2164.0755,
1069.901,2138.7509,
1066.990,2159.5083,
1064.079,2135.6129,
1061.169,2106.4106,
1058.258,2101.4977,
1055.348,2121.2817,
1052.437,2145.1869,
1049.527,2152.2442,
1046.616,2161.8014,
1043.705,2172.1242,
1040.795,2172.321,
1037.884,2166.8291,
1034.974,2181.4961,
1032.063,2216.6903,
1029.153,2231.4716,
1026.242,2253.0955,
1023.331,2247.2088,
1020.421,2255.6344,
1017.510,2275.5627,
1014.600,2305.6381,
1011.689,2323.3184,
1008.778,2311.8598,
1005.868,2341.3692,
1002.957,2396.4319,
1000.047,2463.843,
997.136,2586.3077,
994.226,2656.4289,
991.315,2671.0978,
988.404,2697.4442,
985.494,2653.453,
982.583,2634.6088,
979.673,2660.4092,
976.762,2663.8298,
973.852,2682.7436,
970.941,2705.4655,
968.030,2692.534,
965.120,2718.918,
962.209,2729.1485,
959.299,2708.9193,
956.388,2705.4746,
953.477,2713.5742,
950.567,2725.1492,
947.656,2741.7609,
944.746,2733.2653,
941.835,2719.1082,
938.925,2736.9326,
936.014,2744.84,
933.103,2734.8131,
930.193,2712.0869,
927.282,2669.9878,
924.372,2616.7146,
921.461,2570.8458,
918.551,2524.3427,
915.640,2505.5494,
912.729,2489.3331,
909.819,2431.3223,
906.908,2457.4375,
903.998,2409.5624,
901.087,2416.6067,
898.176,2440.7593,
895.266,2472.9667,
892.355,2514.0738,
889.445,2525.8236,
886.534,2545.0771,
883.624,2577.8068,
880.713,2601.5718,
877.802,2584.8206,
874.892,2499.6572,
871.981,2335.4029,
869.071,2188.3702,
866.160,2280.1681,
863.250,2424.0863,
860.339,2504.3692,
857.428,2507.91,
854.518,2539.6845,
851.607,2463.9662,
848.697,2267.2278,
845.786,2221.2406,
842.875,2285.9362,
839.965,2373.1283,
837.054,2515.3261,
834.144,2466.4297,
831.233,2431.5435,
828.323,2442.1199,
825.412,2443.6596,
822.501,2395.0877,
819.591,2385.1709,
816.680,2321.5736,
813.770,2270.1644,
810.859,2250.2287,
807.949,2244.4335,
805.038,2223.4812,
802.127,2211.9574,
799.217,2232.4913,
796.306,2220.01,
793.396,2195.5314,
790.485,2181.0856,
787.574,2183.8989,
784.664,2237.2062,
781.753,2275.7273,
778.843,2282.0337,
775.932,2305.9732,
773.022,2369.76,
770.111,2317.4349,
767.200,2285.7064,
764.290,2271.0962,
761.379,2262.5425,
758.469,2247.2951,
755.558,2214.1456,
752.648,2189.7075,
749.737,2205.1115,
746.826,2204.2195,
743.916,2160.9979,
741.005,2073.4206,
738.095,1980.8667,
735.184,1876.9172,
732.274,1848.8153,
729.363,1918.4052,
726.452,2054.2004,
723.542,2133.5209,
720.631,2153.9303,
717.721,2198.4013,
714.810,2235.1079,
711.899,2242.7364,
708.989,2224.984,
706.078,2220.0672,
703.168,2226.1617,
700.257,2220.1481,
697.347,2199.6582,
694.436,2181.486,
691.525,2203.9926,
688.615,2178.0584,
685.704,2185.3449,
682.794,2214.6623,
679.883,2201.8482,
676.973,2223.4852,
674.062,2231.7035,
671.151,2244.8333,
668.241,2247.4391,
665.330,2209.7783,
662.420,2186.6151,
659.509,2183.7798,
656.598,2212.1382,
653.688,2247.645,
650.777,2246.497,
647.867,2235.3484,
644.956,2211.8239,
642.046,2132.1247,
639.135,2055.0629,
636.224,2119.883,
633.314,2121.4708,
630.403,2130.7432,
627.493,2163.7602,
624.582,2203.6967,
621.672,2189.4408,
618.761,2127.3199,
615.850,2128.2615,
612.940,2160.2441,
610.029,2193.8207,
607.119,2217.5096,
604.208,2186.5044,
601.297,2191.8187,
598.387,2198.2632,
595.476,2168.8063,
592.566,2189.27,
589.655,2150.1143,
586.745,2114.7239,
583.834,2100.6317,
580.923,2106.5622,
578.013,2054.7698,
575.102,2089.0564,
572.192,2131.6634,
569.281,2145.1404,
566.371,2152.184,
563.460,2164.868,
560.549,2161.5913,
557.639,2148.8466,
554.728,2141.3733,
551.818,2196.7757,
548.907,2213.1409,
545.996,2217.0414,
543.086,2217.8684,
540.175,2213.1965,
537.265,2225.912,
534.354,2237.397,
531.444,2246.6616,
528.533,2255.0338,
525.622,2271.3287,
522.712,2297.3249,
519.801,2327.914,
516.891,2357.1616,
513.980,2373.4218,
511.070,2390.3706,
508.159,2430.3046,
505.248,2475.137,
502.338,2501.6824,
499.427,2563.4289,
496.517,2629.0871,
493.606,2663.5101,
490.695,2662.8661,
487.785,2705.9744,
484.874,2696.7194,
481.964,2674.1708,
479.053,2662.4132,
476.143,2693.8996,
473.232,2641.9197,
470.321,2645.6904,
467.411,2679.2195,
464.500,2701.2823,
461.590,2717.3628,
458.679,2714.7212,
455.769,2742.5869,
452.858,2812.6141,
449.947,2781.2929,
447.037,2818.5618,
444.126,2870.9053,
441.216,2912.6687,
438.305,2917.2403,
435.395,2877.8812,
432.484,2884.7974,
429.573,2914.2899,
426.663,2873.2423,
423.752,2686.4538,
420.842,2432.8776,
417.931,2217.0408,
415.020,2185.9481,
412.110,2613.6003,
409.199,2879.4323,
406.289,2968.0311,
403.378,2891.7111,
400.468,2843.3274,
397.557,2871.5777,
394.646,2960.0105,
391.736,3086.6919,
388.825,3049.7346,
385.915,3046.8579,
383.004,3068.7233,
380.094,3108.7542,
377.183,3165.1899,
374.272,3229.7252,
371.362,3258.2189,
368.451,3226.5073,
365.541,3203.9912,
362.630,3230.1032,
359.719,3249.7718,
356.809,3234.189,
353.898,3255.9041,
350.988,3272.7247,
