,PL91AF~1,
Raman shift [1/cm],Intensity,
1125.202,3001.9607,
1122.291,3040.0024,
1119.380,3046.047,
1116.470,3038.1043,
1113.559,3073.4677,
1110.649,3074.9572,
1107.738,3061.5519,
1104.828,3071.1851,
1101.917,3090.6869,
1099.006,3083.8053,
1096.096,3100.4262,
1093.185,3089.0122,
1090.275,3071.9396,
1087.364,3080.4752,
1084.453,3089.4998,
1081.543,3103.0805,
1078.632,3095.8142,
1075.722,3046.8683,
1072.811,3040.1035,
1069.901,3082.02,
1066.990,3096.4416,
1064.079,3124.9845,
1061.169,3152.5894,
1058.258,3172.7477,
1055.348,3191.9438,
1052.437,3217.7167,
1049.527,3242.1656,
1046.616,3269.0993,
1043.705,3277.5204,
1040.795,3275.294,
1037.884,3302.4578,
1034.974,3326.6559,
1032.063,3329.8554,
1029.153,3370.0452,
1026.242,3419.3477,
1023.331,3392.7935,
1020.421,3412.9178,
1017.510,3441.4936,
1014.600,3464.4295,
1011.689,3484.5368,
1008.778,3525.9963,
1005.868,3660.2293,
1002.957,3783.2599,
1000.047,3930.9811,
997.136,4024.9364,
994.226,4092.3706,
991.315,4093.8057,
988.404,3995.3416,
985.494,3984.4947,
982.583,3911.6874,
979.673,3871.1275,
976.762,3880.0865,
973.852,3899.8711,
970.941,3910.6816,
968.030,3918.073,
965.120,3912.0355,
962.209,3890.7219,
959.299,3904.123,
956.388,3916.1647,
953.477,3925.8794,
950.567,3924.7137,
947.656,3902.1358,
944.746,3932.7198,
941.835,3968.1372,
938.925,3978.0992,
936.014,3961.9269,
933.103,3941.241,
930.193,3923.5379,
927.282,3880.1168,
924.372,3861.5134,
921.461,3770.757,
918.551,3711.2402,
915.640,3674.5522,
912.729,3648.368,
909.819,3635.1225,
906.908,3612.377,
903.998,3623.0555,
901.087,3670.0439,
898.176,3699.897,
895.266,3724.1689,
892.355,3768.1091,
889.445,3784.0552,
886.534,3820.8594,
883.624,3887.3342,
880.713,3944.7049,
877.802,3961.7033,
874.892,3937.7127,
871.981,3916.8624,
869.071,3863.396,
866.160,3874.1338,
863.250,3900.4237,
860.339,3878.8957,
857.428,3816.3338,
854.518,3832.9214,
851.607,3791.3179,
848.697,3770.3687,
845.786,3754.2646,
842.875,3746.8727,
839.965,3757.1301,
837.054,3788.6784,
834.144,3748.8983,
831.233,3739.1251,
828.323,3709.9344,
825.412,3683.0568,
822.501,3681.7632,
819.591,3652.0128,
816.680,3600.6441,
813.770,3556.7999,
810.859,3543.0886,
807.949,3545.5421,
805.038,3536.4237,
802.127,3538.8931,
799.217,3479.4937,
796.306,3449.4763,
793.396,3453.8045,
790.485,3470.4404,
787.574,3462.319,
784.664,3414.7525,
781.753,3423.5706,
778.843,3446.3374,
775.932,3469.1496,
773.022,3485.3498,
770.111,3473.9037,
767.200,3522.6103,
764.290,3528.3011,
761.379,3503.0071,
758.469,3474.2879,
755.558,3469.5447,
752.648,3416.5954,
749.737,3401.5555,
746.826,3413.5779,
743.916,3414.2092,
741.005,3362.7623,
738.095,3271.0203,
735.184,3127.1239,
732.274,3093.0573,
729.363,3161.5683,
726.452,3273.5036,
723.542,3330.9705,
720.631,3396.8172,
717.721,3428.1548,
714.810,3432.1762,
711.899,3419.7983,
708.989,3401.239,
706.078,3353.8481,
703.168,3366.4138,
700.257,3378.4119,
697.347,3356.3876,
694.436,3296.2123,
691.525,3299.4275,
688.615,3288.8046,
685.704,3297.666,
682.794,3309.6996,
679.883,3282.3052,
676.973,3286.3121,
674.062,3284.5727,
671.151,3291.0149,
668.241,3310.8932,
665.330,3340.9149,
662.420,3315.3555,
659.509,3310.7599,
656.598,3299.4408,
653.688,3308.9696,
650.777,3391.2609,
647.867,3365.7784,
644.956,3332.2632,
642.046,3318.8564,
639.135,3325.3827,
636.224,3330.1847,
633.314,3342.0938,
630.403,3390.6482,
627.493,3405.6098,
624.582,3385.6581,
621.672,3414.9619,
618.761,3390.2871,
615.850,3419.0412,
612.940,3465.5187,
610.029,3492.2587,
607.119,3463.0423,
604.208,3465.0951,
601.297,3473.1072,
598.387,3483.1379,
595.476,3493.1993,
592.566,3493.9863,
589.655,3464.3221,
586.745,3445.0872,
583.834,3423.9974,
580.923,3363.3714,
578.013,3404.1776,
575.102,3419.7137,
572.192,3419.5522,
569.281,3423.9512,
566.371,3484.2132,
563.460,3449.2078,
560.549,3462.3363,
557.639,3499.4963,
554.728,3515.948,
551.818,3544.8197,
548.907,3583.4239,
545.996,3596.3492,
543.086,3592.6809,
540.175,3632.3918,
537.265,3631.5036,
534.354,3672.7687,
531.444,3700.0775,
528.533,3663.8841,
525.622,3702.6815,
522.712,3760.8788,
519.801,3815.274,
516.891,3861.9238,
513.980,3915.3503,
511.070,3950.4119,
508.159,4032.3721,
