,PL7EB6~1,
Wavenumbers [1/cm],Intensity,
1439.544,1093.4645,
1436.633,1097.8353,
1433.723,1059.9996,
1430.812,1058.1413,
1427.902,1023.8299,
1424.991,1021.9344,
1422.081,1039.3071,
1419.170,1043.4672,
1416.259,994.46115,
1413.349,991.18265,
1410.438,1047.758,
1407.528,1002.6384,
1404.617,975.44331,
1401.707,960.6175,
1398.796,936.15473,
1395.885,971.80054,
1392.975,997.64449,
1390.064,936.52053,
1387.154,934.61357,
1384.243,950.66881,
1381.332,968.10034,
1378.422,964.67669,
1375.511,1019.01,
1372.601,1139.6791,
1369.690,1112.1572,
1366.780,1229.4325,
1363.869,1265.5074,
1360.958,1223.9609,
1358.048,1286.1253,
1355.137,1331.7843,
1352.227,1350.6137,
1349.316,1425.9244,
1346.406,1498.4544,
1343.495,1543.788,
1340.584,1612.4469,
1337.674,1593.4879,
1334.763,1680.887,
1331.853,1654.9245,
1328.942,1688.5641,
1326.032,1760.5715,
1323.121,1827.0015,
1320.210,1896.8168,
1317.300,1928.7773,
1314.389,2042.8494,
1311.479,2135.5159,
1308.568,2160.7452,
1305.657,2245.08,
1302.747,2289.1867,
1299.836,2348.1798,
1296.926,2482.0797,
1294.015,2551.0289,
1291.105,2694.7617,
1288.194,2798.5418,
1285.283,2904.3634,
1282.373,2980.2733,
1279.462,3060.3249,
1276.552,3131.8909,
1273.641,3192.6231,
1270.731,3227.5854,
1267.820,3206.8709,
1264.909,3266.0616,
1261.999,3252.3091,
1259.088,3236.803,
1256.178,3157.9375,
1253.267,3131.8327,
1250.356,3039.1547,
1247.446,2871.3154,
1244.535,2746.701,
1241.625,2652.5492,
1238.714,2532.6911,
1235.804,2440.0207,
1232.893,2375.7672,
1229.982,2296.9857,
1227.072,2270.7317,
1224.161,2252.9054,
1221.251,2205.2044,
1218.340,2180.1578,
1215.430,2161.6622,
1212.519,2137.745,
1209.608,2092.8162,
1206.698,2046.5135,
1203.787,2062.1363,
1200.877,2047.0013,
1197.966,2129.724,
1195.055,2214.9336,
1192.145,2261.1828,
1189.234,2328.9687,
1186.324,2390.9689,
1183.413,2419.5247,
1180.503,2429.6201,
1177.592,2434.5112,
1174.681,2398.8921,
1171.771,2344.0398,
1168.860,2351.1846,
1165.950,2369.6134,
1163.039,2379.4622,
1160.129,2381.875,
1157.218,2352.5501,
1154.307,2325.3273,
1151.397,2337.8279,
1148.486,2345.1315,
1145.576,2307.2605,
1142.665,2316.1396,
1139.754,2277.0072,
1136.844,2272.0768,
1133.933,2259.2123,
1131.023,2248.4029,
1128.112,2251.803,
1125.202,2250.6625,
1122.291,2224.3737,
1119.380,2221.386,
1116.470,2273.4552,
1113.559,2273.689,
1110.649,2251.5748,
1107.738,2224.8005,
1104.828,2221.6936,
1101.917,2227.4071,
1099.006,2211.1841,
1096.096,2239.0474,
1093.185,2209.1953,
1090.275,2240.0551,
1087.364,2256.1085,
1084.453,2284.061,
1081.543,2331.7976,
1078.632,2358.2196,
1075.722,2340.1407,
1072.811,2360.8273,
1069.901,2332.0097,
1066.990,2329.875,
1064.079,2293.8078,
1061.169,2303.3855,
1058.258,2304.1242,
1055.348,2307.3285,
1052.437,2377.6274,
1049.527,2350.875,
1046.616,2350.875,
1043.705,2408.6824,
1040.795,2400.9733,
1037.884,2395.9783,
1034.974,2406.7371,
1032.063,2407.252,
1029.153,2409.9883,
1026.242,2502.5386,
1023.331,2464.211,
1020.421,2483.7591,
1017.510,2499.7969,
1014.600,2516.8317,
1011.689,2539.0108,
1008.778,2557.8708,
1005.868,2622.0681,
1002.957,2643.5769,
1000.047,2734.963,
997.136,2859.4978,
994.226,2907.8137,
991.315,2905.8379,
988.404,2939.7413,
985.494,2902.3763,
982.583,2880.1059,
979.673,2884.9231,
976.762,2914.2946,
973.852,2933.317,
970.941,2940.3954,
968.030,2953.7709,
965.120,2941.9323,
962.209,2955.573,
959.299,2969.9152,
956.388,2977.1149,
953.477,2985.0404,
950.567,2992.8293,
947.656,2991.769,
944.746,3006.2114,
941.835,3008.4946,
938.925,2966.7598,
936.014,2957.5207,
933.103,2958.9291,
930.193,2922.2952,
927.282,2856.0583,
924.372,2859.4407,
921.461,2789.1806,
918.551,2748.1898,
915.640,2721.577,
912.729,2687.4572,
909.819,2648.6509,
906.908,2631.8024,
903.998,2661.0988,
901.087,2666.9655,
898.176,2677.3277,
895.266,2695.9056,
892.355,2715.6286,
