,PL93DE~1,
Raman shift [1/cm],Intensity,
1890.684,884.58664,
1887.773,894.76686,
1884.863,905.75,
1881.952,906.44749,
1879.041,913.55841,
1876.131,883.17485,
1873.220,874.00663,
1870.310,895.09974,
1867.399,895.76599,
1864.489,868.32162,
1861.578,862.23317,
1858.667,906.48353,
1855.757,910.55072,
1852.846,907.48847,
1849.936,907.40064,
1847.025,918.51643,
1844.114,913.16413,
1841.204,921.71154,
1838.293,925.75333,
1835.383,922.1105,
1832.472,918.97087,
1829.562,934.35886,
1826.651,940.33111,
1823.740,938.02203,
1820.830,967.84475,
1817.919,961.27685,
1815.009,937.20039,
1812.098,963.37203,
1809.188,950.8043,
1806.277,967.35163,
1803.366,1002.018,
1800.456,959.57436,
1797.545,971.53735,
1794.635,951.42703,
1791.724,973.31296,
1788.813,1015.7359,
1785.903,976.2054,
1782.992,985.38486,
1780.082,974.66641,
1777.171,969.40898,
1774.261,961.92043,
1771.350,1005.4778,
1768.439,1006.8126,
1765.529,1019.3001,
1762.618,1062.7607,
1759.708,1059.3585,
1756.797,1027.7652,
1753.887,1032.6742,
1750.976,1014.498,
1748.065,1013.0265,
1745.155,1011.6985,
1742.244,1016.9927,
1739.334,1060.0394,
1736.423,1066.1519,
1733.512,1045.7418,
1730.602,1076.4028,
1727.691,1069.5585,
1724.781,1089.707,
1721.870,1108.0167,
1718.960,1091.0164,
1716.049,1097.6567,
1713.138,1100.605,
1710.228,1105.9718,
1707.317,1127.9797,
1704.407,1115.4772,
1701.496,1118.3077,
1698.586,1143.6976,
1695.675,1140.1357,
1692.764,1167.2049,
1689.854,1213.7146,
1686.943,1212.8512,
1684.033,1228.3526,
1681.122,1202.2088,
1678.211,1284.9505,
1675.301,1297.713,
1672.390,1296.8278,
1669.480,1323.0388,
1666.569,1359.1944,
1663.659,1394.24,
1660.748,1423.1523,
1657.837,1394.5652,
1654.927,1476.8277,
1652.016,1521.7257,
1649.106,1522.2923,
1646.195,1584.1576,
1643.285,1601.7298,
1640.374,1644.3772,
1637.463,1674.2184,
1634.553,1701.0357,
1631.642,1787.6621,
1628.732,1871.1529,
1625.821,1938.8036,
1622.911,2020.2879,
1620.000,2099.7421,
1617.089,2276.1878,
1614.179,2434.266,
1611.268,2552.363,
1608.358,2668.2717,
1605.447,2771.8079,
1602.536,2778.6819,
1599.626,2844.9852,
1596.715,2840.7664,
1593.805,2811.1314,
1590.894,2764.5972,
1587.984,2770.8753,
1585.073,2719.9994,
1582.162,2725.7779,
1579.252,2686.1983,
1576.341,2647.9117,
1573.431,2683.8246,
1570.520,2646.0655,
1567.610,2618.8282,
1564.699,2578.4985,
1561.788,2545.7361,
1558.878,2483.1289,
1555.967,2434.6267,
1553.057,2383.1987,
1550.146,2325.721,
1547.235,2288.9918,
1544.325,2238.5972,
1541.414,2218.0111,
1538.504,2220.0706,
1535.593,2212.7762,
1532.683,2183.727,
1529.772,2148.5938,
1526.861,2105.1148,
1523.951,2064.5042,
1521.040,2073.77,
1518.130,2018.4024,
1515.219,1990.7505,
1512.309,1979.1915,
1509.398,1992.0904,
1506.487,1964.1281,
1503.577,1952.0116,
1500.666,1972.7207,
1497.756,1935.2578,
1494.845,1870.1508,
1491.934,1903.5768,
1489.024,1850.6397,
1486.113,1825.5696,
1483.203,1795.3286,
1480.292,1797.6896,
1477.382,1721.1582,
1474.471,1705.0521,
1471.560,1699.9447,
1468.650,1704.5827,
1465.739,1644.3415,
1462.829,1649.9304,
1459.918,1668.9101,
1457.008,1677.9964,
1454.097,1687.7419,
1451.186,1672.8486,
1448.276,1664.3328,
1445.365,1660.7129,
1442.455,1661.2425,
1439.544,1701.4684,
1436.633,1669.7877,
1433.723,1620.756,
1430.812,1602.317,
1427.902,1547.8775,
1424.991,1595.2656,
1422.081,1553.6286,
1419.170,1550.6141,
1416.259,1585.5827,
1413.349,1557.4984,
1410.438,1561.8449,
1407.528,1569.3937,
1404.617,1563.8787,
1401.707,1553.9207,
1398.796,1535.5333,
1395.885,1517.0295,
1392.975,1530.5216,
1390.064,1545.0313,
1387.154,1484.8987,
1384.243,1439.1286,
1381.332,1420.6433,
1378.422,1416.8703,
1375.511,1516.1691,
1372.601,1636.6326,
1369.690,1738.4728,
1366.780,1809.9845,
1363.869,1795.6909,
1360.958,1829.6447,
1358.048,1862.8363,
1355.137,1907.5993,
1352.227,1942.2075,
1349.316,1980.8552,
1346.406,2044.5817,
1343.495,2073.1786,
1340.584,2137.0713,
1337.674,2152.038,
1334.763,2189.5143,
1331.853,2235.8758,
1328.942,2256.4287,
1326.032,2282.403,
1323.121,2341.0994,
1320.210,2397.7075,
1317.300,2390.1896,
1314.389,2435.9874,
1311.479,2452.1872,
1308.568,2432.1059,
1305.657,2523.1933,
1302.747,2576.0449,
1299.836,2553.2293,
1296.926,2666.8692,
1294.015,2733.9798,
1291.105,2804.5517,
1288.194,2910.3979,
1285.283,2979.8582,
1282.373,3046.4764,
1279.462,3100.5534,
1276.552,3118.0334,
1273.641,3119.0645,
1270.731,3128.6321,
1267.820,3140.0983,
1264.909,3161.4848,
1261.999,3058.8818,
1259.088,3089.8939,
1256.178,3056.6353,
1253.267,3062.2579,
1250.356,2990.5748,
1247.446,2907.8118,
1244.535,2839.5671,
1241.625,2790.0241,
1238.714,2734.5661,
1235.804,2651.5073,
1232.893,2627.0089,
1229.982,2584.5422,
1227.072,2519.3597,
1224.161,2534.0816,
1221.251,2456.5985,
1218.340,2357.4907,
1215.430,2318.75,
1212.519,2309.2421,
1209.608,2284.2837,
1206.698,2272.7716,
1203.787,2318.2274,
1200.877,2360.756,
1197.966,2393.1257,
1195.055,2444.2384,
1192.145,2492.5712,
1189.234,2546.6239,
1186.324,2627.1192,
1183.413,2667.3591,
1180.503,2667.2049,
1177.592,2680.0832,
