,PL28BD~1,
Raman shift [1/cm],Intensity,
1494.845,3342.0203,
1491.934,3354.3929,
1489.024,3321.6682,
1486.113,3277.8481,
1483.203,3226.5389,
1480.292,3222.197,
1477.382,3179.6628,
1474.471,3088.9252,
1471.560,3117.4736,
1468.650,3115.6352,
1465.739,3061.9467,
1462.829,3059.5822,
1459.918,3051.2954,
1457.008,3069.0543,
1454.097,3088.3245,
1451.186,3067.0048,
1448.276,3066.4518,
1445.365,3072.143,
1442.455,3057.3741,
1439.544,3030.6527,
1436.633,3078.1107,
1433.723,3038.8739,
1430.812,3036.6237,
1427.902,2975.0941,
1424.991,2958.0344,
1422.081,2911.6261,
1419.170,2974.0326,
1416.259,2916.4547,
1413.349,2866.5142,
1410.438,2857.5993,
1407.528,2854.6375,
1404.617,2874.2237,
1401.707,2872.5419,
1398.796,2867.4126,
1395.885,2880.1536,
1392.975,2897.0214,
1390.064,2916.4366,
1387.154,2871.227,
1384.243,2781.7765,
1381.332,2795.508,
1378.422,2786.0695,
1375.511,2913.4717,
1372.601,3096.1278,
1369.690,3247.7984,
1366.780,3337.823,
1363.869,3330.0733,
1360.958,3360.7732,
1358.048,3439.6446,
1355.137,3516.8236,
1352.227,3568.8008,
1349.316,3653.8791,
1346.406,3757.6511,
1343.495,3773.4756,
1340.584,3814.4986,
1337.674,3908.9656,
1334.763,3932.9932,
1331.853,4024.7891,
1328.942,4087.2046,
1326.032,4114.8905,
1323.121,4173.5904,
1320.210,4235.1189,
1317.300,4231.12,
1314.389,4272.5984,
1311.479,4332.432,
1308.568,4385.2724,
1305.657,4485.6717,
1302.747,4526.1175,
1299.836,4550.5591,
1296.926,4685.7384,
1294.015,4819.9597,
1291.105,4824.6195,
1288.194,4993.0348,
1285.283,5108.5323,
1282.373,5236.8512,
1279.462,5299.9901,
1276.552,5326.7993,
1273.641,5376.0356,
1270.731,5410.6776,
1267.820,5375.9481,
1264.909,5284.7863,
1261.999,5327.3709,
1259.088,5241.6316,
1256.178,5265.6195,
1253.267,5223.7011,
1250.356,5113.33,
1247.446,4950.7413,
1244.535,4865.5268,
1241.625,4808.0002,
1238.714,4699.1661,
1235.804,4615.3108,
1232.893,4538.1271,
1229.982,4523.5018,
1227.072,4375.9359,
1224.161,4349.5304,
1221.251,4253.4364,
1218.340,4171.6185,
1215.430,4117.5238,
1212.519,4066.0706,
1209.608,4029.7912,
1206.698,4019.8189,
1203.787,4000.5754,
1200.877,4038.1806,
1197.966,4113.7099,
1195.055,4180.6404,
1192.145,4313.2176,
1189.234,4420.3256,
1186.324,4522.5063,
1183.413,4566.0178,
1180.503,4558.2451,
1177.592,4570.3384,
1174.681,4553.3219,
1171.771,4460.3158,
1168.860,4365.6483,
1165.950,4352.4686,
1163.039,4305.4054,
1160.129,4225.3348,
1157.218,4180.6156,
1154.307,4164.1431,
1151.397,4118.2996,
1148.486,4050.7017,
1145.576,4038.5726,
1142.665,3994.177,
1139.754,3996.1954,
1136.844,3948.4788,
1133.933,3918.7024,
1131.023,3896.4487,
1128.112,3900.2826,
1125.202,3939.9831,
1122.291,3934.2304,
1119.380,3883.8551,
1116.470,3920.0388,
1113.559,3967.0287,
1110.649,3965.7482,
1107.738,3964.9298,
1104.828,3939.7086,
1101.917,3922.2407,
1099.006,3977.7166,
1096.096,3950.9838,
1093.185,3958.8858,
1090.275,3982.1596,
1087.364,3922.3183,
1084.453,3911.0613,
1081.543,3940.3995,
1078.632,3973.9161,
1075.722,4005.6881,
1072.811,4008.92,
1069.901,4042.9772,
1066.990,4017.2084,
1064.079,4048.6088,
1061.169,4109.5795,
1058.258,4129.678,
1055.348,4111.5577,
1052.437,4125.6833,
1049.527,4172.9364,
1046.616,4184.2311,
1043.705,4228.6628,
1040.795,4215.9598,
1037.884,4206.5574,
1034.974,4237.5696,
1032.063,4274.5849,
1029.153,4253.227,
1026.242,4259.2817,
1023.331,4301.164,
1020.421,4341.5667,
1017.510,4357.1808,
1014.600,4384.7217,
1011.689,4438.4594,
1008.778,4488.6314,
1005.868,4519.7896,
1002.957,4663.4688,
1000.047,4879.1481,
997.136,5024.9157,
994.226,5077.3923,
991.315,5047.1411,
988.404,4959.6112,
985.494,4876.1766,
982.583,4817.0742,
979.673,4736.7986,
976.762,4675.2739,
973.852,4668.1804,
970.941,4679.2375,
968.030,4657.0087,
965.120,4682.3496,
962.209,4646.5429,
959.299,4685.8279,
956.388,4705.6199,
953.477,4698.6905,
950.567,4701.3555,
947.656,4742.951,
944.746,4761.6413,
941.835,4750.3528,
938.925,4776.4542,
936.014,4792.0058,
933.103,4792.5,
930.193,4777.9177,
927.282,4716.0629,
924.372,4652.6423,
921.461,4651.1276,
918.551,4616.9012,
915.640,4588.8002,
912.729,4563.153,
909.819,4500.3896,
906.908,4507.129,
903.998,4497.9556,
901.087,4506.3206,
898.176,4551.63,
895.266,4593.8652,
892.355,4612.4466,
889.445,4719.0335,
886.534,4746.2159,
883.624,4775.0491,
880.713,4777.8239,
877.802,4770.5422,
874.892,4774.3385,
871.981,4781.7503,
869.071,4750.0046,
866.160,4756.2293,
863.250,4779.8471,
860.339,4796.142,
857.428,4771.2038,
854.518,4669.9925,
851.607,4721.5807,
848.697,4685.7919,
845.786,4695.6,
842.875,4721.4027,
839.965,4723.2477,
837.054,4749.5372,
834.144,4752.8522,
831.233,4754.8332,
828.323,4724.8365,
825.412,4688.9925,
822.501,4682.6277,
819.591,4699.9821,
816.680,4622.7755,
813.770,4572.8014,
810.859,4528.7793,
807.949,4490.3341,
805.038,4464.4314,
802.127,4405.9893,
799.217,4427.3341,
796.306,4418.3377,
793.396,4404.8893,
790.485,4394.5498,
787.574,4355.4617,
784.664,4407.1287,
781.753,4431.2616,
778.843,4438.5,
775.932,4428.315,
773.022,4419.7013,
770.111,4511.2701,
767.200,4446.6979,
764.290,4432.0124,
761.379,4444.9835,
758.469,4444.9903,
755.558,4401.3298,
752.648,4395.6276,
749.737,4363.8189,
746.826,4316.7294,
743.916,4225.0966,
741.005,4062.9014,
738.095,3915.9517,
735.184,3658.2399,
732.274,3612.4603,
729.363,3781.569,
726.452,4055.5893,
723.542,4216.6586,
720.631,4273.666,
717.721,4334.3276,
714.810,4378.3977,
711.899,4392.6188,
708.989,4384.5496,
706.078,4391.7117,
703.168,4357.0667,
700.257,4329.7869,
697.347,4314.5011,
694.436,4278.4782,
691.525,4277.6744,
688.615,4264.9218,
685.704,4263.112,
682.794,4270.0319,
679.883,4269.5092,
676.973,4291.9476,
674.062,4312.4521,
671.151,4310.5417,
668.241,4307.4594,
665.330,4340.4201,
662.420,4296.4899,
659.509,4265.9123,
656.598,4280.3305,
653.688,4333.9034,
650.777,4394.4199,
647.867,4362.5668,
644.956,4376.5511,
642.046,4360.4781,
639.135,4323.9018,
636.224,4340.5637,
633.314,4353.2667,
630.403,4375.4187,
627.493,4398.4859,
624.582,4419.7971,
621.672,4443.557,
618.761,4435.3807,
615.850,4458.3964,
612.940,4503.4074,
610.029,4543.45,
607.119,4507.127,
604.208,4509.1801,
601.297,4507.0133,
598.387,4509.9524,
595.476,4525.306,
592.566,4491.4621,
589.655,4498.4578,
586.745,4486.4054,
583.834,4453.1558,
580.923,4423.3484,
578.013,4398.2369,
575.102,4403.5454,
572.192,4435.7235,
569.281,4478.4842,
566.371,4483.9626,
563.460,4521.1843,
560.549,4536.9873,
557.639,4566.2363,
554.728,4641.9379,
551.818,4601.3615,
548.907,4629.0648,
545.996,4666.1076,
543.086,4690.1842,
540.175,4702.6425,
537.265,4723.0555,
534.354,4712.9408,
531.444,4709.1542,
528.533,4745.3277,
525.622,4756.9669,
522.712,4778.3094,
519.801,4816.4679,
516.891,4874.933,
513.980,4956.2341,
511.070,4998.013,
508.159,5050.2277,
505.248,5120.0413,
502.338,5206.2681,
499.427,5232.5104,
496.517,5279.6616,
493.606,5301.0782,
490.695,5283.3559,
487.785,5289.5142,
484.874,5299.5471,
481.964,5345.1973,
479.053,5388.7106,
476.143,5331.1134,
473.232,5292.2492,
470.321,5293.0973,
467.411,5298.8761,
464.500,5270.7133,
461.590,5279.1365,
458.679,5332.6774,
455.769,5353.7058,
452.858,5309.534,
449.947,5319.4651,
447.037,5389.4572,
444.126,5417.2333,
441.216,5382.0918,
438.305,5339.4237,
435.395,5318.4204,
432.484,5309.2497,
429.573,5314.2451,
426.663,5343.1304,
423.752,5312.7213,
420.842,5258.7683,
417.931,5237.3563,
415.020,5328.3592,
412.110,5373.9336,
409.199,5426.1748,
406.289,5472.6173,
403.378,5497.4923,
400.468,5495.2243,
397.557,5446.6841,
394.646,5389.1101,
391.736,5353.4235,
388.825,5288.5597,
385.915,5235.4396,
383.004,5244.3339,
380.094,5346.1067,
377.183,5436.4038,
374.272,5514.6925,
371.362,5589.5214,
368.451,5662.8221,
365.541,5684.5877,
