,PL02EB~1,
Raman shift [1/cm],Intensity,
1893.594,1740.6463,
1890.684,1749.0547,
1887.773,1750.332,
1884.863,1762.6825,
1881.952,1770.6775,
1879.041,1746.1673,
1876.131,1749.7763,
1873.220,1749.7599,
1870.310,1757.7292,
1867.399,1791.8312,
1864.489,1785.5447,
1861.578,1742.243,
1858.667,1760.6684,
1855.757,1769.7485,
1852.846,1792.0878,
1849.936,1780.351,
1847.025,1810.431,
1844.114,1818.9491,
1841.204,1818.2386,
1838.293,1841.3484,
1835.383,1848.0845,
1832.472,1855.2011,
1829.562,1885.1779,
1826.651,1836.2026,
1823.740,1849.1414,
1820.830,1872.8633,
1817.919,1880.2613,
1815.009,1894.2185,
1812.098,1897.2726,
1809.188,1866.4216,
1806.277,1860.4635,
1803.366,1952.3768,
1800.456,1892.056,
1797.545,1873.5237,
1794.635,1910.8919,
1791.724,1898.4331,
1788.813,1946.7652,
1785.903,1937.0105,
1782.992,1977.5493,
1780.082,1926.3672,
1777.171,1977.7085,
1774.261,1968.1548,
1771.350,1965.0178,
1768.439,1983.1191,
1765.529,1975.1018,
1762.618,2010.0588,
1759.708,2040.6684,
1756.797,2022.7689,
1753.887,2017.0674,
1750.976,2010.7094,
1748.065,2029.3381,
1745.155,2029.0461,
1742.244,1995.2138,
1739.334,2028.2503,
1736.423,2117.9095,
1733.512,2105.6269,
1730.602,2119.5477,
1727.691,2093.295,
1724.781,2116.1978,
1721.870,2095.5986,
1718.960,2127.0199,
1716.049,2118.5955,
1713.138,2173.5147,
1710.228,2207.7433,
1707.317,2177.7613,
1704.407,2220.0917,
1701.496,2208.9671,
1698.586,2245.2584,
1695.675,2263.3463,
1692.764,2281.416,
1689.854,2286.2018,
1686.943,2345.3177,
1684.033,2322.9959,
1681.122,2317.46,
1678.211,2358.9753,
1675.301,2438.1314,
1672.390,2433.6322,
1669.480,2519.4953,
1666.569,2535.1114,
1663.659,2594.3186,
1660.748,2711.1629,
1657.837,2700.7905,
1654.927,2720.8745,
1652.016,2785.3189,
1649.106,2864.3298,
1646.195,2904.437,
1643.285,2987.737,
1640.374,2961.7757,
1637.463,3029.1584,
1634.553,3127.4833,
1631.642,3203.0797,
1628.732,3358.9912,
1625.821,3462.4784,
1622.911,3619.4846,
1620.000,3800.082,
1617.089,4021.9173,
1614.179,4232.3964,
1611.268,4453.0843,
1608.358,4664.4017,
1605.447,4776.2044,
1602.536,4808.4678,
1599.626,4960.3241,
1596.715,4977.0054,
1593.805,4921.0321,
1590.894,4829.8307,
1587.984,4890.2606,
1585.073,4840.1162,
1582.162,4816.0168,
1579.252,4751.1841,
1576.341,4652.4623,
1573.431,4682.2813,
1570.520,4680.3231,
1567.610,4636.6293,
1564.699,4544.3468,
1561.788,4553.8112,
1558.878,4500.7332,
1555.967,4416.1825,
1553.057,4333.2376,
1550.146,4256.5133,
1547.235,4209.4846,
1544.325,4158.4844,
1541.414,4116.9537,
1538.504,4087.8781,
1535.593,4055.2807,
1532.683,4004.0016,
1529.772,3927.4443,
1526.861,3861.2586,
1523.951,3823.1751,
1521.040,3807.6621,
1518.130,3781.006,
1515.219,3732.1748,
1512.309,3726.4921,
1509.398,3684.1526,
1506.487,3677.9889,
1503.577,3699.9951,
1500.666,3669.0706,
1497.756,3581.6634,
1494.845,3605.1327,
1491.934,3503.353,
1489.024,3496.6155,
1486.113,3453.7231,
1483.203,3441.4933,
1480.292,3433.5869,
1477.382,3367.7151,
1474.471,3323.2146,
1471.560,3315.1007,
1468.650,3277.1117,
1465.739,3252.9701,
1462.829,3232.0673,
1459.918,3197.1704,
1457.008,3219.4986,
1454.097,3259.375,
1451.186,3256.8798,
1448.276,3241.199,
1445.365,3222.3039,
1442.455,3233.208,
1439.544,3242.4013,
1436.633,3215.3949,
1433.723,3233.2534,
1430.812,3219.3905,
1427.902,3143.9691,
1424.991,3126.9094,
1422.081,3106.1905,
1419.170,3170.9076,
1416.259,3100.3687,
1413.349,3061.7387,
1410.438,3056.7746,
1407.528,3091.4933,
1404.617,3114.4849,
1401.707,3103.0666,
1398.796,3087.0708,
1395.885,3106.9382,
1392.975,3131.5205,
1390.064,3093.5961,
1387.154,3020.8129,
1384.243,2956.1341,
1381.332,2976.7896,
1378.422,3042.1716,
1375.511,3154.5853,
1372.601,3335.1596,
1369.690,3408.6661,
1366.780,3492.0343,
1363.869,3538.9811,
1360.958,3595.5901,
1358.048,3613.4419,
1355.137,3697.6899,
1352.227,3777.8325,
1349.316,3844.4759,
1346.406,3970.4075,
1343.495,4033.5684,
1340.584,4097.5525,
1337.674,4171.127,
1334.763,4203.3277,
1331.853,4228.3629,
1328.942,4285.4112,
1326.032,4376.3839,
1323.121,4442.0558,
1320.210,4445.7225,
1317.300,4443.5066,
1314.389,4536.8212,
1311.479,4581.7442,
1308.568,4582.1761,
1305.657,4700.2564,
1302.747,4756.9268,
1299.836,4762.1025,
1296.926,4928.7334,
1294.015,5022.5044,
1291.105,5161.0979,
1288.194,5280.0166,
1285.283,5382.7033,
1282.373,5444.3827,
1279.462,5505.1977,
1276.552,5558.9578,
1273.641,5588.7263,
1270.731,5592.0839,
1267.820,5581.2935,
1264.909,5613.5817,
1261.999,5464.3057,
1259.088,5517.2087,
1256.178,5446.7197,
1253.267,5382.2057,
1250.356,5318.29,
1247.446,5214.9934,
1244.535,5136.076,
1241.625,5072.1973,
1238.714,4988.0229,
1235.804,4897.2733,
1232.893,4757.4998,
1229.982,4756.1059,
1227.072,4689.1128,
1224.161,4599.4841,
1221.251,4493.2894,
1218.340,4435.1669,
1215.430,4371.9279,
1212.519,4308.8315,
1209.608,4286.045,
1206.698,4287.4386,
1203.787,4264.3348,
1200.877,4283.161,
1197.966,4328.119,
1195.055,4461.7753,
1192.145,4621.8708,
1189.234,4697.8682,
1186.324,4738.9228,
1183.413,4809.7202,
1180.503,4843.022,
1177.592,4778.0315,
1174.681,4753.0257,
1171.771,4700.5411,
1168.860,4621.0562,
1165.950,4556.1284,
1163.039,4559.1367,
1160.129,4459.6112,
1157.218,4387.7787,
1154.307,4362.1771,
1151.397,4306.294,
