,PLFB5D~1,
Raman shift [1/cm],Intensity,
1497.756,4913.3238,
1494.845,4877.4156,
1491.934,4901.997,
1489.024,4786.4979,
1486.113,4784.2294,
1483.203,4700.8872,
1480.292,4669.1622,
1477.382,4683.9647,
1474.471,4610.8697,
1471.560,4578.667,
1468.650,4566.4924,
1465.739,4500.2475,
1462.829,4485.6668,
1459.918,4477.8279,
1457.008,4490.3292,
1454.097,4511.5183,
1451.186,4508.6129,
1448.276,4521.0647,
1445.365,4509.0504,
1442.455,4480.4878,
1439.544,4508.048,
1436.633,4507.0542,
1433.723,4494.4906,
1430.812,4508.2479,
1427.902,4406.4201,
1424.991,4408.3156,
1422.081,4352.4089,
1419.170,4351.6953,
1416.259,4318.3524,
1413.349,4311.1302,
1410.438,4320.4721,
1407.528,4321.1563,
1404.617,4304.6968,
1401.707,4289.6055,
1398.796,4297.1757,
1395.885,4337.2453,
1392.975,4350.5823,
1390.064,4305.375,
1387.154,4300.2345,
1384.243,4260.0948,
1381.332,4156.6749,
1378.422,4233.8572,
1375.511,4437.1387,
1372.601,4577.689,
1369.690,4723.1017,
1366.780,4862.5962,
1363.869,4912.2634,
1360.958,4995.2999,
1358.048,5102.0125,
1355.137,5224.0735,
1352.227,5324.4013,
1349.316,5400.0914,
1346.406,5472.7861,
1343.495,5535.2566,
1340.584,5652.3739,
1337.674,5732.6311,
1334.763,5829.6918,
1331.853,5916.8515,
1328.942,5903.4752,
1326.032,5994.3558,
1323.121,6023.5256,
1320.210,6070.3258,
1317.300,6105.3601,
1314.389,6196.0849,
1311.479,6292.1613,
1308.568,6330.7426,
1305.657,6360.3084,
1302.747,6385.5393,
1299.836,6472.7708,
1296.926,6674.528,
1294.015,6806.9106,
1291.105,6941.8146,
1288.194,7127.111,
1285.283,7238.1113,
1282.373,7297.0155,
1279.462,7403.2164,
1276.552,7492.0995,
1273.641,7523.902,
1270.731,7565.2511,
1267.820,7597.094,
1264.909,7512.8681,
1261.999,7409.7051,
1259.088,7473.5536,
1256.178,7417.4231,
1253.267,7349.0681,
1250.356,7227.7552,
1247.446,7109.1412,
1244.535,6984.0627,
1241.625,6850.2603,
1238.714,6750.5615,
1235.804,6675.3655,
1232.893,6532.0114,
1229.982,6476.3887,
1227.072,6358.6981,
1224.161,6294.0612,
1221.251,6182.1218,
1218.340,6076.7635,
1215.430,6001.4891,
1212.519,5926.5518,
1209.608,5867.7681,
1206.698,5846.3534,
1203.787,5827.0685,
1200.877,5927.2606,
1197.966,5909.2774,
1195.055,6119.1274,
1192.145,6283.8547,
1189.234,6439.2649,
1186.324,6547.8341,
1183.413,6599.2989,
1180.503,6622.4691,
1177.592,6615.1422,
1174.681,6533.1798,
1171.771,6493.9545,
1168.860,6345.7017,
1165.950,6251.5523,
1163.039,6217.0101,
1160.129,6154.3388,
1157.218,6127.3934,
1154.307,6107.7248,
1151.397,6000.2392,
1148.486,5857.0206,
1145.576,5882.3728,
1142.665,5859.287,
1139.754,5809.3709,
1136.844,5750.7544,
1133.933,5759.1138,
1131.023,5755.7702,
1128.112,5734.0172,
1125.202,5728.6069,
1122.291,5688.0071,
1119.380,5706.7994,
1116.470,5750.0433,
1113.559,5797.1304,
1110.649,5836.2237,
1107.738,5845.0168,
1104.828,5833.3013,
1101.917,5813.9071,
1099.006,5793.1275,
1096.096,5801.375,
1093.185,5801.375,
1090.275,5856.4054,
1087.364,5828.8938,
1084.453,5824.9991,
1081.543,5843.8248,
1078.632,5864.3438,
1075.722,5883.6735,
1072.811,5866.2294,
1069.901,5906.3994,
1066.990,5865.7251,
1064.079,5888.0397,
1061.169,5966.8896,
1058.258,6029.8091,
1055.348,6065.6581,
1052.437,6111.9152,
1049.527,6102.6981,
1046.616,6188.7122,
1043.705,6266.9731,
1040.795,6242.6797,
1037.884,6213.8348,
1034.974,6228.6237,
1032.063,6250.0753,
1029.153,6227.9569,
1026.242,6291.0988,
1023.331,6311.7072,
1020.421,6287.4909,
1017.510,6293.8641,
1014.600,6365.4706,
1011.689,6470.4567,
1008.778,6546.5852,
1005.868,6596.5218,
1002.957,6835.7003,
1000.047,7090.7751,
997.136,7266.9344,
994.226,7342.7441,
991.315,7305.0533,
988.404,7174.8649,
985.494,7082.0734,
982.583,6979.2867,
979.673,6902.9167,
976.762,6861.5877,
973.852,6839.5348,
970.941,6820.9655,
968.030,6799.0166,
965.120,6774.3893,
962.209,6777.7995,
959.299,6859.1154,
956.388,6863.2569,
953.477,6832.1545,
950.567,6847.8245,
947.656,6925.5978,
944.746,6927.2969,
941.835,6981.6325,
938.925,6990.4267,
936.014,7017.2071,
933.103,7006.1815,
930.193,6925.9852,
927.282,6889.3961,
924.372,6834.4317,
921.461,6784.6638,
918.551,6718.8338,
915.640,6662.8276,
912.729,6621.0787,
909.819,6576.0389,
906.908,6550.7661,
903.998,6577.2127,
901.087,6624.4749,
898.176,6653.1013,
895.266,6679.0537,
892.355,6751.3734,
889.445,6911.6734,
886.534,6868.9617,
883.624,6921.6027,
880.713,6994.7553,
877.802,7041.9333,
874.892,7033.9903,
871.981,6952.4342,
869.071,6954.9404,
866.160,6986.4232,
863.250,6994.0846,
860.339,6994.4606,
857.428,6990.6442,
854.518,6927.2196,
851.607,6887.2802,
848.697,6874.8725,
845.786,6871.856,
842.875,6912.2722,
839.965,6981.1903,
837.054,6949.4635,
834.144,7046.4275,
831.233,7049.3762,
828.323,7021.0976,
825.412,6975.2619,
822.501,6924.6091,
819.591,6937.0051,
816.680,6836.4133,
813.770,6803.2305,
810.859,6738.36,
807.949,6661.2408,
805.038,6640.4192,
802.127,6558.1065,
799.217,6609.2609,
796.306,6574.8881,
793.396,6541.1613,
790.485,6550.2163,
787.574,6540.1498,
784.664,6586.8962,
781.753,6566.5227,
778.843,6562.1766,
775.932,6574.2268,
773.022,6590.1672,
770.111,6666.2019,
767.200,6631.0254,
764.290,6594.1041,
761.379,6598.0377,
758.469,6623.6321,
755.558,6592.1382,
752.648,6517.1947,
749.737,6481.4857,
746.826,6436.8071,
743.916,6350.0691,
741.005,6192.6363,
738.095,5902.7963,
735.184,5618.8192,
732.274,5566.7058,
729.363,5752.2729,
726.452,6084.3677,
723.542,6361.1802,
720.631,6439.8317,
717.721,6479.9974,
714.810,6507.1761,
711.899,6528.8206,
708.989,6539.3106,
706.078,6522.5476,
703.168,6466.7612,
700.257,6442.8642,
697.347,6447.4629,
694.436,6413.6074,
691.525,6348.4992,
688.615,6342.5508,
685.704,6369.3914,
682.794,6403.0558,
679.883,6418.339,
676.973,6417.5376,
674.062,6421.2035,
671.151,6435.2099,
668.241,6454.9017,
665.330,6463.7026,
662.420,6343.8928,
659.509,6375.8839,
656.598,6438.6675,
653.688,6495.3982,
650.777,6552.807,
647.867,6565.5483,
644.956,6559.0877,
642.046,6540.5225,
639.135,6527.6152,
636.224,6547.3352,
633.314,6539.3958,
630.403,6549.7904,
627.493,6602.5436,
624.582,6679.555,
621.672,6707.2748,
618.761,6679.4973,
615.850,6660.4572,
612.940,6698.8237,
610.029,6786.7967,
607.119,6777.3212,
604.208,6712.4738,
601.297,6749.6868,
598.387,6826.8467,
595.476,6862.0834,
592.566,6880.186,
589.655,6873.0088,
586.745,6844.3747,
583.834,6799.0041,
580.923,6744.1618,
578.013,6708.8487,
575.102,6737.2318,
572.192,6743.5806,
569.281,6722.2312,
566.371,6821.6244,
563.460,6840.5461,
560.549,6850.2223,
557.639,6866.0433,
554.728,6894.6415,
551.818,6930.536,
548.907,6994.441,
545.996,7007.0476,
543.086,6968.0263,
540.175,6957.1253,
537.265,7048.3585,
534.354,7040.2296,
531.444,7017.9957,
528.533,7073.8582,
525.622,7108.7758,
522.712,7128.5101,
519.801,7147.8314,
516.891,7195.3284,
