,PLD64E~1,
2373.840,1392.5405,
2370.929,1399.4783,
2368.019,1429.9945,
2365.108,1427.4058,
2362.197,1437.7082,
2359.287,1450.8699,
2356.376,1443.5194,
2353.466,1464.608,
2350.555,1445.9803,
2347.645,1461.6841,
2344.734,1479.0484,
2341.823,1500.2181,
2338.913,1487.4537,
2336.002,1510.22,
2333.092,1516.0405,
2330.181,1519.8529,
2327.270,1502.8201,
2324.360,1547.2571,
2321.449,1522.5476,
2318.539,1542.5214,
2315.628,1545.5923,
2312.718,1534.1344,
2309.807,1547.4564,
2306.896,1556.9726,
2303.986,1552.591,
2301.075,1554.9468,
2298.165,1557.0866,
2295.254,1547.737,
2292.344,1575.3921,
2289.433,1584.1564,
2286.522,1614.3569,
2283.612,1636.5293,
2280.701,1611.7287,
2277.791,1606.3416,
2274.880,1634.2039,
2271.969,1658.6317,
2269.059,1646.3556,
2266.148,1669.2229,
2263.238,1662.4073,
2260.327,1696.7754,
2257.417,1652.4306,
2254.506,1680.4003,
2251.595,1701.4927,
2248.685,1706.0269,
2245.774,1700.9946,
2242.864,1712.1384,
2239.953,1696.5965,
2237.043,1715.5654,
2234.132,1726.2532,
2231.221,1722.1046,
2228.311,1746.4652,
2225.400,1775.8096,
2222.490,1781.3012,
2219.579,1775.5952,
2216.669,1791.5811,
2213.758,1837.1197,
2210.847,1827.7797,
2207.937,1864.5048,
2205.026,1859.8321,
2202.116,1891.3535,
2199.205,1887.0372,
2196.294,1897.434,
2193.384,1914.71,
2190.473,1922.216,
2187.563,1976.8625,
2184.652,2051.0482,
2181.742,2060.3196,
2178.831,2111.8036,
2175.920,2178.8042,
2173.010,2281.6309,
2170.099,2333.0308,
2167.189,2481.196,
2164.278,2599.9503,
2161.368,2775.6374,
2158.457,2928.3209,
2155.546,3091.2521,
2152.636,3221.7924,
2149.725,3406.2784,
2146.815,3557.429,
2143.904,3707.1393,
2140.993,3816.0025,
2138.083,3876.1838,
2135.172,3920.8531,
2132.262,3944.1329,
2129.351,3923.3343,
2126.441,3832.4512,
2123.530,3706.299,
2120.619,3580.4091,
2117.709,3408.6184,
2114.798,3207.4684,
2111.888,2992.0544,
2108.977,2786.5132,
2106.067,2666.6217,
2103.156,2503.3272,
2100.245,2407.4586,
2097.335,2331.3848,
2094.424,2244.3358,
2091.514,2187.4837,
2088.603,2118.2559,
2085.692,2093.9608,
2082.782,2091.1226,
2079.871,2062.1418,
2076.961,2040.6624,
2074.050,2046.3061,
2071.140,2038.3164,
2068.229,2016.5,
2065.318,2029.8963,
2062.408,2039.1891,
2059.497,2019.8869,
2056.587,2006.9885,
2053.676,1988.8009,
2050.766,1995.6532,
2047.855,1963.3039,
2044.944,1927.1554,
2042.034,1967.9279,
2039.123,1992.9983,
2036.213,1967.6555,
2033.302,1975.5214,
2030.391,1973.4666,
2027.481,2011.8532,
2024.570,1995.6294,
2021.660,2020.5487,
2018.749,2018.5122,
2015.839,1988.523,
2012.928,1957.8792,
2010.017,1971.2655,
2007.107,1971.4962,
2004.196,1980.2858,
2001.286,1999.2067,
1998.375,1996.0669,
1995.465,1989.0607,
1992.554,1962.8355,
1989.643,1995.2211,
1986.733,1939.1421,
1983.822,1944.0111,
1980.912,1913.6096,
1978.001,1949.2032,
1975.090,1945.1549,
1972.180,1936.5332,
1969.269,1942.5747,
1966.359,1935.2027,
1963.448,1943.2662,
1960.538,1941.6309,
1957.627,1952.0913,
1954.716,1931.1607,
1951.806,1925.2516,
1948.895,1920.7551,
1945.985,1922.2958,
1943.074,1914.2086,
1940.164,1904.7502,
1937.253,1902.1308,
1934.342,1874.9872,
1931.432,1870.0363,
1928.521,1915.5553,
1925.611,1870.1436,
1922.700,1876.5318,
1919.790,1897.5577,
1916.879,1866.011,
1913.968,1918.4324,
1911.058,1892.1697,
1908.147,1886.4372,
1905.237,1866.9926,
1902.326,1824.4111,
1899.415,1823.5366,
1896.505,1770.2349,
1893.594,1785.4848,
1890.684,1828.4084,
1887.773,1854.3617,
1884.863,1872.7916,
1881.952,1868.4326,
1879.041,1869.7954,
1876.131,1875.5719,
1873.220,1852.0928,
1870.310,1860.5672,
1867.399,1887.0842,
1864.489,1891.8115,
1861.578,1899.1264,
1858.667,1895.6467,
1855.757,1897.2971,
1852.846,1899.2436,
1849.936,1895.1977,
1847.025,1897.3224,
1844.114,1921.0083,
1841.204,1953.4615,
1838.293,1956.0058,
1835.383,1977.639,
1832.472,1992.5696,
1829.562,1997.4432,
1826.651,1991.5596,
1823.740,2001.7874,
1820.830,2022.9332,
1817.919,2015.2844,
1815.009,1997.0878,
1812.098,1987.3189,
1809.188,2020.2674,
1806.277,1992.1861,
1803.366,2039.2172,
1800.456,2022.5,
1797.545,2027.0175,
1794.635,2066.0819,
1791.724,2039.5678,
1788.813,2077.6835,
1785.903,2015.7133,
1782.992,1960.9172,
1780.082,1849.3563,
1777.171,1687.4855,
1774.261,1682.776,
1771.350,1859.9183,
1768.439,2025.8867,
1765.529,2056.9537,
1762.618,2106.5764,
1759.708,2127.1844,
1756.797,2136.2197,
1753.887,2160.2682,
1750.976,2162.6518,
1748.065,2162.0545,
1745.155,2165.7193,
1742.244,2176.7971,
1739.334,2198.6718,
1736.423,2203.9673,
1733.512,2209.7764,
1730.602,2246.1608,
1727.691,2265.9443,
1724.781,2267.7134,
1721.870,2290.8382,
1718.960,2284.9888,
1716.049,2314.381,
1713.138,2317.08,
1710.228,2324.3327,
1707.317,2336.1149,
1704.407,2379.7247,
1701.496,2342.5688,
1698.586,2399.483,
1695.675,2428.8284,
1692.764,2513.8115,
1689.854,2471.622,
1686.943,2473.3651,
1684.033,2528.1092,
1681.122,2549.1602,
1678.211,2561.3858,
1675.301,2629.2903,
1672.390,2690.6615,
1669.480,2744.5,
1666.569,2744.8809,
1663.659,2776.3129,
1660.748,2886.5798,
1657.837,2941.3688,
1654.927,2937.0229,
1652.016,3002.4925,
1649.106,3083.9933,
1646.195,3143.6199,
1643.285,3150.3913,
1640.374,3233.1725,
1637.463,3314.8147,
1634.553,3497.5689,
1631.642,3637.1395,
1628.732,3787.5962,
1625.821,3971.6747,
1622.911,4236.9954,
1620.000,4525.8338,
1617.089,4788.2463,
1614.179,5055.8857,
1611.268,5342.7184,
1608.358,5730.0049,
1605.447,5915.3871,
1602.536,6008.438,
1599.626,6001.6209,
1596.715,6017.7444,
1593.805,5975.6777,
1590.894,5942.3186,
1587.984,5861.4178,
1585.073,5718.4742,
1582.162,5667.1139,
1579.252,5607.4921,
1576.341,5592.2957,
1573.431,5625.9597,
1570.520,5586.5799,
1567.610,5500.7146,
1564.699,5480.1251,
1561.788,5385.7263,
1558.878,5321.6033,
1555.967,5229.8989,
1553.057,5111.3111,
1550.146,5005.4311,
1547.235,4892.7092,
1544.325,4801.9128,
1541.414,4699.6724,
1538.504,4610.2409,
1535.593,4583.0131,
1532.683,4510.3751,
1529.772,4409.1128,
1526.861,4369.7975,
1523.951,4352.818,
1521.040,4349.316,
1518.130,4288.8194,
1515.219,4250.219,
1512.309,4258.4954,
1509.398,4168.7663,
1506.487,4125.4693,
1503.577,4058.0878,
1500.666,4050.7552,
1497.756,3960.9232,
1494.845,3904.1793,
1491.934,3872.3016,
1489.024,3811.6645,
1486.113,3756.6487,
1483.203,3723.1905,
1480.292,3651.6191,
1477.382,3621.7185,
1474.471,3533.8557,
1471.560,3483.8274,
1468.650,3461.5178,
1465.739,3454.8595,
1462.829,3429.4337,
1459.918,3362.2233,
1457.008,3331.654,
1454.097,3330.4082,
1451.186,3347.8578,
1448.276,3401.2001,
1445.365,3420.143,
1442.455,3392.5281,
1439.544,3315.0513,
1436.633,3322.064,
1433.723,3358.1382,
1430.812,3330.012,
1427.902,3360.6657,
1424.991,3325.5984,
1422.081,3330.9223,
1419.170,3370.3827,
1416.259,3415.383,
1413.349,3358.0388,
1410.438,3411.3764,
1407.528,3393.9319,
1404.617,3354.7574,
1401.707,3342.2605,
1398.796,3287.0491,
1395.885,3268.772,
1392.975,3319.1873,
1390.064,3307.4398,
1387.154,3292.9199,
1384.243,3261.6724,
1381.332,3266.484,
1378.422,3306.2771,
1375.511,3457.0988,
1372.601,3593.1277,
1369.690,3625.0733,
1366.780,3714.8318,
1363.869,3837.0274,
1360.958,3865.257,
1358.048,3973.2292,
1355.137,4042.6147,
1352.227,4100.9252,
1349.316,4208.8287,
1346.406,4270.2304,
1343.495,4331.8869,
1340.584,4440.9278,
1337.674,4500.6825,
1334.763,4560.4294,
1331.853,4558.575,
1328.942,4688.3618,
1326.032,4800.7432,
1323.121,4867.6988,
1320.210,4968.0719,
1317.300,5054.1772,
1314.389,5155.4181,
1311.479,5285.4122,
1308.568,5412.1173,
1305.657,5536.2055,
1302.747,5676.8395,
1299.836,5828.7558,
1296.926,6035.4138,
1294.015,6141.136,
1291.105,6355.9495,
1288.194,6556.2298,
1285.283,6720.5045,
1282.373,6844.4372,
1279.462,6979.0865,
1276.552,7140.3744,
1273.641,7244.2961,
1270.731,7260.497,
1267.820,7277.4369,
1264.909,7250.7418,
1261.999,7251.2018,
1259.088,7215.6291,
1256.178,7168.1078,
1253.267,6994.7858,
1250.356,6821.2398,
1247.446,6592.3491,
1244.535,6358.5271,
1241.625,6091.9189,
1238.714,5809.0958,
1235.804,5646.6652,
1232.893,5525.5278,
1229.982,5398.0895,
1227.072,5356.4451,
1224.161,5237.5105,
1221.251,5122.4364,
1218.340,5019.2407,
1215.430,4940.8615,
1212.519,4897.181,
1209.608,4873.2231,
1206.698,4857.5639,
1203.787,4859.1784,
1200.877,4823.4562,
1197.966,4887.2965,
1195.055,5064.5627,
1192.145,5178.6505,
1189.234,5307.7116,
1186.324,5441.5985,
1183.413,5530.0229,
1180.503,5549.3941,
1177.592,5514.3077,
1174.681,5449.8973,
1171.771,5396.1813,
1168.860,5339.0235,
1165.950,5340.7566,
1163.039,5325.7383,
1160.129,5311.4217,
1157.218,5273.3292,
1154.307,5227.4823,
1151.397,5187.8209,
1148.486,5133.0908,
1145.576,5184.8402,
1142.665,5123.5742,
1139.754,5127.4499,
1136.844,5055.9682,
1133.933,4983.4446,
1131.023,4961.1093,
1128.112,4951.7167,
1125.202,4925.3647,
1122.291,4941.2601,
1119.380,4967.5,
1116.470,4967.5,
1113.559,4987.6045,
1110.649,4941.7672,
1107.738,4912.8925,
1104.828,4909.4195,
1101.917,4895.5528,
1099.006,4865.9949,
1096.096,4849.07,
1093.185,4842.046,
1090.275,4903.8138,
1087.364,4943.8865,
1084.453,5011.184,
1081.543,5087.3666,
1078.632,5133.8875,
1075.722,5139.5507,
1072.811,5118.4666,
1069.901,5061.7047,
1066.990,5090.6416,
1064.079,5063.1133,
1061.169,5042.0816,
1058.258,5049.5106,
1055.348,5080.6677,
1052.437,5123.5997,
1049.527,5145.3392,
1046.616,5167.0599,
1043.705,5206.4967,
1040.795,5175.9972,
1037.884,5202.0623,
1034.974,5257.9485,
1032.063,5269.3077,
1029.153,5267.9927,
1026.242,5288.7516,
1023.331,5291.9998,
1020.421,5322.4754,
1017.510,5364.6343,
1014.600,5439.0975,
1011.689,5484.1287,
1008.778,5430.7628,
1005.868,5491.8668,
1002.957,5644.1495,
1000.047,5841.4921,
997.136,6064.4906,
994.226,6221.007,
991.315,6268.3663,
988.404,6240.2041,
985.494,6201.0615,
982.583,6136.8198,
979.673,6115.7937,
976.762,6144.9648,
973.852,6208.7229,
970.941,6250.0158,
968.030,6232.6099,
965.120,6261.6325,
962.209,6293.1765,
959.299,6298.5,
956.388,6318.0987,
953.477,6338.4323,
950.567,6326.1547,
947.656,6282.084,
944.746,6362.7918,
941.835,6347.8743,
938.925,6324.4165,
936.014,6326.6398,
933.103,6302.4844,
930.193,6236.5,
927.282,6231.3672,
924.372,6136.6592,
921.461,6034.6592,
918.551,5942.0829,
915.640,5890.0011,
912.729,5831.5376,
909.819,5698.2734,
906.908,5658.6794,
903.998,5666.8397,
901.087,5700.6888,
898.176,5745.7001,
895.266,5783.7524,
892.355,5818.1483,
889.445,5907.1107,
886.534,5996.8313,
883.624,6035.3578,
880.713,6066.4246,
877.802,6038.56,
874.892,5883.0506,
871.981,5586.2068,
869.071,5319.7101,
866.160,5501.1867,
863.250,5758.1398,
860.339,5915.3248,
857.428,5945.5,
854.518,5940.7579,
851.607,5776.8402,
848.697,5595.1168,
845.786,5511.4879,
842.875,5577.4979,
839.965,5755.3941,
837.054,5896.8907,
834.144,5931.6983,
831.233,5929.834,
828.323,5885.9343,
825.412,5841.3145,
822.501,5812.2442,
819.591,5699.8539,
816.680,5579.5126,
813.770,5492.2353,
810.859,5452.9876,
807.949,5449.1537,
805.038,5445.834,
802.127,5382.4532,
799.217,5357.8652,
796.306,5321.9863,
793.396,5286.6525,
790.485,5270.0799,
787.574,5284.8389,
784.664,5320.1037,
781.753,5384.8756,
778.843,5470.8396,
775.932,5533.895,
773.022,5530.849,
770.111,5462.1724,
767.200,5467.3971,
764.290,5438.7167,
761.379,5398.5637,
758.469,5364.7571,
755.558,5334.2357,
752.648,5291.8763,
749.737,5287.4167,
746.826,5277.8445,
743.916,5231.5515,
741.005,5124.8576,
738.095,4933.2547,
735.184,4816.1121,
732.274,4791.1215,
729.363,4886.5576,
726.452,5076.1808,
723.542,5207.3025,
720.631,5275.6631,
717.721,5334.5992,
714.810,5362.9773,
711.899,5369.3416,
708.989,5407.2671,
706.078,5410.7052,
703.168,5365.3512,
700.257,5345.4017,
697.347,5352.1095,
694.436,5325.1508,
691.525,5312.29,
688.615,5309.5,
685.704,5325.4727,
682.794,5353.0531,
679.883,5375.7976,
676.973,5404.6469,
674.062,5374.1293,
671.151,5360.075,
668.241,5360.8761,
665.330,5335.0252,
662.420,5303.8746,
659.509,5326.7068,
656.598,5369.465,
653.688,5421.6734,
650.777,5483.4451,
647.867,5511.3166,
644.956,5454.9658,
642.046,5348.9205,
639.135,5246.7925,
636.224,5221.866,
633.314,5294.9084,
630.403,5295.1725,
627.493,5305.1604,
624.582,5346.0909,
621.672,5366.6827,
618.761,5302.9052,
615.850,5333.1909,
612.940,5395.3336,
610.029,5427.0826,
607.119,5376.5462,
604.208,5350.9096,
601.297,5379.8888,
598.387,5406.8946,
595.476,5378.7916,
592.566,5360.689,
589.655,5273.9222,
586.745,5273.1988,
583.834,5314.8116,
580.923,5255.5284,
578.013,5260.2368,
575.102,5278.1341,
572.192,5298.003,
569.281,5327.9502,
566.371,5419.5172,
563.460,5357.2477,
560.549,5362.0968,
557.639,5397.4257,
554.728,5399.575,
551.818,5479.9475,
548.907,5479.2176,
545.996,5484.9955,
543.086,5504.2796,
540.175,5466.126,
537.265,5488.8498,
534.354,5555.6927,
531.444,5614.1719,
528.533,5618.7207,
525.622,5621.8245,
522.712,5691.0631,
519.801,5734.3544,
516.891,5741.8903,
513.980,5788.3481,
511.070,5886.8825,
508.159,5957.0643,
505.248,6026.8026,
502.338,6138.324,
499.427,6234.803,
496.517,6302.3585,
493.606,6375.8885,
490.695,6457.286,
487.785,6455.7464,
484.874,6487.8112,
481.964,6480.168,
479.053,6454.0606,
476.143,6493.9947,
473.232,6397.2223,
470.321,6408.1308,
467.411,6453.4087,
464.500,6434.1096,
461.590,6497.6661,
458.679,6539.1627,
455.769,6590.9516,
452.858,6672.794,
449.947,6781.2722,
447.037,6825.9501,
444.126,6855.6576,
441.216,6881.5,
438.305,6881.5,
435.395,6909.6924,
432.484,6972.8433,
429.573,7017.9572,
426.663,6921.4194,
423.752,6613.6098,
420.842,6215.882,
417.931,5904.1795,
415.020,5927.6886,
412.110,6618.4112,
409.199,7064.6538,
406.289,7250.2654,
403.378,7200.1055,
400.468,7083.6824,
397.557,7129.7922,
394.646,7257.7902,
391.736,7392.4175,
388.825,7421.0783,
385.915,7408.7444,
383.004,7417.9122,
380.094,7492.4503,
377.183,7609.0841,
374.272,7687.0936,
371.362,7733.4468,
368.451,7754.0045,
365.541,7778.7722,
362.630,7834.1154,
359.719,7870.9484,
356.809,7861.1407,
353.898,7838.6768,
350.988,7831.9575,
348.077,7841.9547,
345.167,7867.1973,
342.256,7861.2207,
339.345,7873.3172,
336.435,7886.3328,
333.524,7891.2011,
330.614,7976.894,
327.703,8019.929,
324.793,8020.5481,
321.882,7977.6839,
318.971,8053.515,
316.061,8145.9107,
313.150,8220.5809,
310.240,8236.9075,
307.329,8344.6955,
304.418,8387.044,
301.508,8361.6876,
298.597,8268.3951,
295.687,8225.2835,
292.776,8250.5836,
289.866,8337.0572,
286.955,8467.8116,
284.044,8547.8524,
281.134,8606.4578,
278.223,8662.7449,
275.313,8780.6418,
272.402,8768.9031,
269.492,8712.7158,
266.581,8648.027,
263.670,8641.4104,
260.760,8770.6182,
257.849,8927.7109,
254.939,9034.1239,
252.028,9054.32,
249.117,9116.7761,
246.207,9187.9929,
243.296,9209.222,
240.386,9238.2727,
237.475,9277.4722,
234.565,9313.7039,
231.654,9289.6012,
228.743,9267.239,
225.833,9259.9881,
222.922,9271.8885,
220.012,9258.7745,
217.101,9255.9721,
214.191,9257.7186,
211.280,9258.446,
208.369,9278.6844,
205.459,9306.067,
202.548,9333.0014,
199.638,9335.904,
196.727,9367.0394,
193.816,9371.4386,
190.906,9333.5378,
187.995,9448.6577,
185.085,9457.7644,
182.174,9450.5319,
179.264,9550.2736,
176.353,9559.5777,
173.442,9584.2416,
170.532,9618.3271,
167.621,9522.4373,
164.711,9384.5541,
161.800,9138.7447,
158.890,8714.8251,
155.979,8167.9566,
153.068,7567.5008,
150.158,6890.0909,
147.247,6017.7789,
144.337,5009.3466,
141.426,3975.9511,
138.516,2965.1344,
135.605,2131.5789,
132.694,1465.3147,
129.784,959.31668,
126.873,645.37469,
123.963,425.00571,
121.052,275.62147,
118.141,197.80616,
115.231,161.26091,
112.320,134.63819,
109.410,113.45486,
106.499,87.105112,
103.589,79.819237,
100.678,75.512161,
97.767,67.691848,
94.857,59.184131,
91.946,57.515554,
89.036,58.35494,
86.125,44.88004,
83.215,42.561841,
80.304,43.739433,
77.393,44.447603,
74.483,39.914055,
71.572,38.224704,
68.662,39.5,
65.751,39.5,
62.840,35.164682,
59.930,30.125428,
57.019,28.715264,
54.109,24.319874,
51.198,24.516093,
48.288,31.449038,
45.377,25.118635,
42.466,19.614465,
39.556,15.960474,
36.645,18.769235,
33.735,18.461503,
30.824,15.953791,
27.914,11.045564,
25.003,13.613187,
22.092,16.145809,
19.182,17.316937,
16.271,11.721016,
13.361,-19.5806,
10.450,-94.715599,
7.539,-299.322,
4.629,-614.27676,
1.718,-821.65438,
-1.192,-698.2598,
-4.103,-469.20801,
-7.013,-231.47664,
-9.924,-2.5,
