,PLE54F~1,
2469.889,470.39922,
2466.978,479.88771,
2464.068,489.99803,
2461.157,490.62256,
2458.247,490.78689,
2455.336,494.57313,
2452.425,497.14859,
2449.515,498.47428,
2446.604,500.72183,
2443.694,494.68341,
2440.783,517.12838,
2437.872,523.35924,
2434.962,502.33698,
2432.051,496.22369,
2429.141,507.78362,
2426.230,515.05981,
2423.320,523.55377,
2420.409,517.01599,
2417.498,522.51826,
2414.588,529.84741,
2411.677,517.83813,
2408.767,518.72539,
2405.856,534.7441,
2402.946,525.49408,
2400.035,530.62031,
2397.124,518.37098,
2394.214,535.8006,
2391.303,529.76592,
2388.393,530.35059,
2385.482,514.91811,
2382.571,543.28953,
2379.661,540.40414,
2376.750,539.91314,
2373.840,543.34063,
2370.929,554.00587,
2368.019,534.13606,
2365.108,548.4051,
2362.197,547.08394,
2359.287,551.52834,
2356.376,557.11443,
2353.466,556.47255,
2350.555,564.5948,
2347.645,565.00578,
2344.734,571.125,
2341.823,587.84309,
2338.913,584.99364,
2336.002,579.57472,
2333.092,587.68821,
2330.181,582.08921,
2327.270,590.51994,
2324.360,596.89862,
2321.449,581.29508,
2318.539,593.14641,
2315.628,596.91477,
2312.718,606.9576,
2309.807,603.92006,
2306.896,601.88087,
2303.986,603.68993,
2301.075,614.23134,
2298.165,601.9708,
2295.254,591.25426,
2292.344,607.07104,
2289.433,611.78909,
2286.522,618.82583,
2283.612,617.15432,
2280.701,613.99047,
2277.791,642.76433,
2274.880,632.62703,
2271.969,627.89866,
2269.059,633.59367,
2266.148,635.6659,
2263.238,641.42229,
2260.327,632.5045,
2257.417,650.17611,
2254.506,650.36148,
2251.595,656.83772,
2248.685,672.11918,
2245.774,646.48817,
2242.864,650.96788,
2239.953,667.44906,
2237.043,678.61822,
2234.132,680.83405,
2231.221,689.96739,
2228.311,669.37889,
2225.400,680.63162,
2222.490,697.19664,
2219.579,697.22785,
2216.669,700.64646,
2213.758,706.56161,
2210.847,712.93104,
2207.937,722.71782,
2205.026,750.12588,
2202.116,724.28955,
2199.205,728.19936,
2196.294,746.18299,
2193.384,754.38801,
2190.473,750.97711,
2187.563,768.10083,
2184.652,764.63112,
2181.742,783.76268,
2178.831,823.63479,
2175.920,846.78803,
2173.010,853.02523,
2170.099,915.65131,
2167.189,937.62729,
2164.278,1011.9672,
2161.368,1052.6949,
2158.457,1101.0701,
2155.546,1145.9875,
2152.636,1186.8164,
2149.725,1234.5746,
2146.815,1267.2574,
2143.904,1329.5228,
2140.993,1334.6011,
2138.083,1372.4077,
2135.172,1374.6544,
2132.262,1364.8662,
2129.351,1343.7559,
2126.441,1350.494,
2123.530,1291.5526,
2120.619,1228.1898,
2117.709,1147.125,
2114.798,1112.1631,
2111.888,1045.338,
2108.977,981.35675,
2106.067,936.71582,
2103.156,896.05176,
2100.245,870.0974,
2097.335,829.25588,
2094.424,844.94452,
2091.514,811.3991,
2088.603,798.77013,
2085.692,792.53028,
2082.782,804.32969,
2079.871,787.65943,
2076.961,794.28549,
2074.050,783.97955,
2071.140,779.03321,
2068.229,773.5677,
2065.318,790.03875,
2062.408,793.125,
2059.497,783.50594,
2056.587,772.15996,
2053.676,763.59207,
2050.766,765.81708,
2047.855,742.83698,
2044.944,767.25801,
2042.034,764.33304,
2039.123,756.88594,
2036.213,755.95385,
2033.302,744.21194,
2030.391,770.88701,
2027.481,750.16191,
2024.570,740.6535,
2021.660,764.64677,
2018.749,767.75734,
2015.839,737.6985,
2012.928,761.83808,
2010.017,752.89048,
2007.107,757.30815,
2004.196,753.9941,
2001.286,760.66565,
1998.375,735.64074,
1995.465,733.41786,
1992.554,728.98976,
1989.643,717.5052,
1986.733,721.30219,
1983.822,741.70181,
1980.912,732.97599,
1978.001,722.15841,
1975.090,742.53111,
1972.180,736.2633,
1969.269,708.34906,
1966.359,710.88202,
1963.448,707.51469,
1960.538,706.99406,
1957.627,688.50889,
1954.716,696.809,
1951.806,694.88305,
1948.895,673.42051,
1945.985,685.85702,
1943.074,677.33158,
1940.164,679.23057,
1937.253,652.36436,
1934.342,644.17633,
1931.432,636.27011,
1928.521,641.71049,
1925.611,652.28732,
1922.700,649.95925,
1919.790,646.54121,
1916.879,672.17201,
1913.968,626.18402,
1911.058,635.06794,
1908.147,621.85202,
1905.237,632.72794,
1902.326,640.09091,
1899.415,655.93962,
1896.505,633.60086,
1893.594,638.57321,
1890.684,647.51064,
1887.773,629.68571,
1884.863,626.77876,
1881.952,647.16734,
1879.041,658.66394,
1876.131,657.68186,
1873.220,660.61174,
1870.310,622.13852,
1867.399,592.55683,
1864.489,655.30719,
1861.578,638.48738,
1858.667,669.95136,
1855.757,659.53789,
1852.846,642.36091,
1849.936,633.21809,
1847.025,636.41696,
1844.114,652.16031,
1841.204,650.29983,
1838.293,659.08841,
1835.383,671.83451,
1832.472,662.34587,
1829.562,675.17865,
1826.651,715.26254,
1823.740,684.99082,
1820.830,669.66832,
1817.919,669.31062,
1815.009,678.54357,
1812.098,690.89665,
1809.188,703.38079,
1806.277,712.92581,
1803.366,690.17491,
1800.456,694.88363,
1797.545,721.43724,
1794.635,692.99412,
1791.724,739.19306,
1788.813,710.13271,
1785.903,739.28388,
1782.992,751.02811,
1780.082,729.59344,
1777.171,716.79417,
1774.261,732.33013,
1771.350,740.35475,
1768.439,738.25296,
1765.529,742.94352,
1762.618,768.31505,
1759.708,785.97275,
1756.797,757.07197,
1753.887,747.71538,
1750.976,752.1767,
1748.065,749.51056,
1745.155,753.59594,
1742.244,770.02987,
1739.334,735.35795,
1736.423,738.02777,
1733.512,765.31611,
1730.602,778.85715,
1727.691,791.10459,
1724.781,824.80149,
1721.870,825.8821,
1718.960,832.34732,
1716.049,777.91369,
1713.138,825.26472,
1710.228,786.38837,
1707.317,761.43357,
1704.407,824.708,
1701.496,836.68274,
1698.586,862.99656,
1695.675,839.86087,
1692.764,895.87503,
1689.854,879.99113,
1686.943,849.17049,
1684.033,873.47926,
1681.122,878.05703,
1678.211,876.14403,
1675.301,908.02633,
1672.390,973.20874,
1669.480,1000.6758,
1666.569,945.96293,
1663.659,1011.3047,
1660.748,1021.1223,
1657.837,971.5684,
1654.927,1037.2496,
1652.016,1083.5904,
1649.106,1063.6673,
1646.195,1124.7174,
1643.285,1108.5352,
1640.374,1128.1738,
1637.463,1224.5934,
1634.553,1250.4206,
1631.642,1271.0805,
1628.732,1358.8124,
1625.821,1474.1499,
1622.911,1511.9109,
1620.000,1620.7391,
1617.089,1726.9956,
1614.179,1843.7973,
1611.268,1967.4778,
1608.358,2069.349,
1605.447,2169.3543,
1602.536,2230.1063,
1599.626,2233.2051,
1596.715,2269.429,
1593.805,2216.7821,
1590.894,2155.5235,
1587.984,2165.4468,
1585.073,2123.8825,
1582.162,2073.5458,
1579.252,2070.0348,
1576.341,2067.9207,
1573.431,2091.4034,
1570.520,2013.2791,
1567.610,2004.2625,
1564.699,1973.8735,
1561.788,1912.9424,
1558.878,1912.9251,
1555.967,1852.7552,
1553.057,1785.8667,
1550.146,1793.9358,
1547.235,1708.5888,
1544.325,1677.1467,
1541.414,1649.8789,
1538.504,1605.2354,
1535.593,1602.3082,
1532.683,1559.2922,
1529.772,1509.7939,
1526.861,1494.0901,
1523.951,1479.1615,
1521.040,1460.5607,
1518.130,1445.6829,
1515.219,1444.0854,
1512.309,1421.7106,
1509.398,1385.8209,
1506.487,1359.6683,
1503.577,1361.8311,
1500.666,1356.0957,
1497.756,1320.0821,
1494.845,1270.0844,
1491.934,1245.1124,
1489.024,1241.2624,
1486.113,1268.0143,
1483.203,1184.8609,
1480.292,1234.3693,
1477.382,1190.1641,
1474.471,1196.3095,
1471.560,1193.417,
1468.650,1124.5307,
1465.739,1104.3728,
1462.829,1123.255,
1459.918,1119.4177,
1457.008,1111.6635,
1454.097,1087.3198,
1451.186,1054.0457,
1448.276,1074.3701,
1445.365,1098.0508,
1442.455,1064.945,
1439.544,1068.6954,
1436.633,1070.979,
1433.723,1056.3742,
1430.812,1055.4652,
1427.902,1021.9897,
1424.991,1016.3031,
1422.081,988.60069,
1419.170,915.27205,
1416.259,959.20929,
1413.349,978.16693,
1410.438,964.03007,
1407.528,939.74397,
1404.617,933.06064,
1401.707,946.78369,
1398.796,961.84527,
1395.885,967.53839,
1392.975,973.08354,
1390.064,978.00467,
1387.154,976.30313,
1384.243,988.63955,
1381.332,929.19555,
1378.422,1013.6996,
1375.511,1083.0214,
1372.601,1171.6742,
1369.690,1126.8344,
1366.780,1163.271,
1363.869,1215.0812,
1360.958,1296.1466,
1358.048,1340.2113,
1355.137,1343.9709,
1352.227,1362.6284,
1349.316,1409.8994,
1346.406,1453.0657,
1343.495,1493.301,
1340.584,1565.6958,
1337.674,1608.341,
1334.763,1638.4418,
1331.853,1725.6015,
1328.942,1746.0248,
1326.032,1757.0968,
1323.121,1839.8901,
1320.210,1866.1272,
1317.300,1886.9636,
1314.389,1900.0694,
1311.479,1933.95,
1308.568,2009.2195,
1305.657,2083.6016,
1302.747,2162.1528,
1299.836,2249.9162,
1296.926,2286.2615,
1294.015,2332.2276,
1291.105,2466.2063,
1288.194,2528.8546,
1285.283,2612.4413,
1282.373,2647.4531,
1279.462,2708.2219,
1276.552,2803.9047,
1273.641,2861.6434,
1270.731,2868.5355,
1267.820,2883.6953,
1264.909,2896.8938,
1261.999,2865.7588,
1259.088,2855.7255,
1256.178,2860.2637,
1253.267,2863.4266,
1250.356,2732.0605,
1247.446,2599.3045,
1244.535,2534.2679,
1241.625,2443.0363,
1238.714,2316.5569,
1235.804,2274.0425,
1232.893,2233.2683,
1229.982,2147.9785,
1227.072,2084.6067,
1224.161,2083.487,
1221.251,2087.103,
1218.340,2029.1741,
1215.430,1978.9573,
1212.519,1950.995,
1209.608,1922.7219,
1206.698,1922.5936,
1203.787,1990.1501,
1200.877,2002.9081,
1197.966,2031.6812,
1195.055,2092.8524,
1192.145,2133.1787,
1189.234,2182.0525,
1186.324,2244.5835,
1183.413,2291.9321,
1180.503,2283.8426,
1177.592,2235.1957,
1174.681,2220.9743,
1171.771,2144.0632,
1168.860,2141.3839,
1165.950,2146.769,
1163.039,2122.9825,
1160.129,2110.9453,
1157.218,2104.3562,
1154.307,2104.8035,
1151.397,2102.5697,
1148.486,2056.9319,
1145.576,2017.0501,
1142.665,2038.3601,
1139.754,2026.2933,
1136.844,2017.5226,
1133.933,2012.779,
1131.023,1987.5202,
1128.112,1961.8392,
1125.202,1953.2217,
1122.291,1928.2665,
1119.380,1970.9431,
1116.470,1952.41,
1113.559,1977.962,
1110.649,2007.7349,
1107.738,2025.5548,
1104.828,2027.3801,
1101.917,2030.1135,
1099.006,2036.3315,
1096.096,1977.6838,
1093.185,2003.1459,
1090.275,1994.6045,
1087.364,2014.0809,
1084.453,2017.9379,
1081.543,2009.6192,
1078.632,2009.8259,
1075.722,2021.4414,
1072.811,2029.545,
1069.901,2063.6022,
1066.990,2056.425,
1064.079,2084.0676,
1061.169,2108.0664,
1058.258,2115.7015,
1055.348,2130.7048,
1052.437,2170.9128,
1049.527,2185.0243,
1046.616,2182.4178,
1043.705,2224.5171,
1040.795,2237.7635,
1037.884,2238.6307,
1034.974,2238.3802,
1032.063,2243.5632,
1029.153,2266.41,
1026.242,2285.439,
1023.331,2266.9596,
1020.421,2294.4946,
1017.510,2309.2456,
1014.600,2308.0103,
1011.689,2318.2382,
1008.778,2361.8276,
1005.868,2424.8818,
1002.957,2509.1965,
1000.047,2620.405,
997.136,2706.4604,
994.226,2746.9249,
991.315,2730.9864,
988.404,2676.1794,
985.494,2665.7989,
982.583,2651.2375,
979.673,2649.125,
976.762,2637.9701,
973.852,2645.5954,
970.941,2666.9033,
968.030,2672.6279,
965.120,2681.0534,
962.209,2664.0026,
959.299,2670.3322,
956.388,2664.0456,
953.477,2673.3882,
950.567,2688.1909,
947.656,2666.364,
944.746,2713.9391,
941.835,2702.3582,
938.925,2695.8347,
936.014,2686.0318,
933.103,2664.0012,
930.193,2639.3235,
927.282,2641.0087,
924.372,2583.5074,
921.461,2546.669,
918.551,2491.9741,
915.640,2455.0257,
912.729,2454.0288,
909.819,2467.1225,
906.908,2444.377,
903.998,2431.1945,
901.087,2468.8614,
898.176,2495.4654,
895.266,2517.2167,
892.355,2563.3498,
889.445,2601.956,
886.534,2606.2994,
883.624,2636.7296,
880.713,2632.7522,
877.802,2632.1472,
874.892,2662.1027,
871.981,2653.4801,
869.071,2668.5175,
866.160,2655.2559,
863.250,2653.8912,
860.339,2648.3858,
857.428,2630.6555,
854.518,2636.5473,
851.607,2616.5776,
848.697,2584.2367,
845.786,2566.9733,
842.875,2571.8637,
839.965,2581.2996,
837.054,2550.2087,
834.144,2557.6675,
831.233,2548.4591,
828.323,2513.9453,
825.412,2495.7157,
822.501,2514.7632,
819.591,2485.0128,
816.680,2450.4711,
813.770,2410.7999,
810.859,2393.4787,
807.949,2389.3372,
805.038,2374.2246,
802.127,2375.0477,
799.217,2337.1101,
796.306,2349.6657,
793.396,2367.957,
790.485,2362.124,
787.574,2347.5921,
784.664,2359.8937,
781.753,2350.0473,
778.843,2365.6886,
775.932,2379.7918,
773.022,2365.6897,
770.111,2395.1225,
767.200,2426.0549,
764.290,2418.3665,
761.379,2397.066,
758.469,2377.8933,
755.558,2357.9791,
752.648,2353.0915,
749.737,2330.583,
746.826,2295.8139,
743.916,2269.125,
741.005,2255.0024,
738.095,2129.9734,
735.184,2016.4468,
732.274,1991.3242,
729.363,2062.6291,
726.452,2193.1813,
723.542,2276.5488,
720.631,2325.4683,
717.721,2332.8237,
714.810,2333.4545,
711.899,2345.323,
708.989,2359.0408,
706.078,2327.0729,
703.168,2289.9784,
700.257,2283.0896,
697.347,2305.7766,
694.436,2325.4049,
691.525,2298.8793,
688.615,2283.6913,
685.704,2266.0376,
682.794,2258.0824,
679.883,2283.9808,
676.973,2280.7753,
674.062,2297.9913,
671.151,2306.81,
668.241,2305.3632,
665.330,2306.8057,
662.420,2321.1829,
659.509,2285.3942,
656.598,2279.5695,
653.688,2301.8151,
650.777,2305.2861,
647.867,2339.5282,
644.956,2327.3122,
642.046,2308.4914,
639.135,2297.2385,
636.224,2290.1727,
633.314,2299.7,
630.403,2341.7361,
627.493,2367.9728,
624.582,2370.8924,
621.672,2392.2763,
618.761,2367.2871,
615.850,2398.2451,
612.940,2425.3435,
610.029,2421.7805,
607.119,2455.7346,
604.208,2447.0548,
601.297,2425.6739,
598.387,2405.1121,
595.476,2397.5019,
592.566,2422.6881,
589.655,2426.4771,
586.745,2407.8983,
583.834,2372.2675,
580.923,2330.2293,
578.013,2347.4934,
575.102,2353.2722,
572.192,2370.9174,
569.281,2401.5468,
566.371,2403.8947,
563.460,2370.2625,
560.549,2363.9215,
557.639,2382.0618,
554.728,2413.1653,
551.818,2477.1512,
548.907,2459.4355,
545.996,2454.2878,
543.086,2476.6151,
540.175,2469.6073,
537.265,2508.9604,
534.354,2523.1216,
531.444,2522.6823,
528.533,2524.7872,
525.622,2534.0986,
522.712,2546.4398,
519.801,2600.0963,
516.891,2675.186,
513.980,2670.5402,
511.070,2664.4902,
508.159,2710.8368,
505.248,2771.1351,
502.338,2792.5768,
499.427,2808.0135,
496.517,2839.2765,
493.606,2854.4046,
490.695,2854.4654,
487.785,2936.0632,
484.874,2936.8467,
481.964,2933.8625,
479.053,2933.977,
476.143,2912.474,
473.232,2880.91,
470.321,2846.2559,
467.411,2824.1511,
464.500,2830.7262,
461.590,2854.4641,
458.679,2889.7403,
455.769,2916.5907,
452.858,2924.4431,
449.947,2927.4989,
447.037,2939.6535,
444.126,2973.3735,
441.216,3016.0084,
438.305,3003.8175,
435.395,3055.8872,
432.484,3073.2894,
429.573,3060.0775,
426.663,3068.4391,
423.752,3097.0218,
420.842,3105.0148,
417.931,3105.5117,
415.020,3124.4707,
412.110,3182.9224,
409.199,3185.0541,
406.289,3196.6104,
403.378,3292.833,
400.468,3206.6496,
397.557,3179.125,
394.646,3176.1622,
391.736,3168.9701,
388.825,3195.3682,
385.915,3196.7387,
383.004,3198.8347,
380.094,3219.4302,
377.183,3245.0144,
374.272,3306.9458,
371.362,3337.5256,
368.451,3304.2282,
365.541,3371.7764,
362.630,3365.5442,
359.719,3357.5556,
356.809,3389.6623,
353.898,3431.595,
350.988,3403.5235,
348.077,3375.6428,
345.167,3388.9358,
342.256,3385.2005,
339.345,3402.1937,
336.435,3404.523,
333.524,3370.4873,
330.614,3413.7063,
327.703,3433.7993,
324.793,3437.8049,
321.882,3431.1484,
318.971,3440.8132,
316.061,3437.2886,
313.150,3449.9869,
310.240,3513.8088,
307.329,3513.9811,
304.418,3510.3893,
301.508,3503.5804,
298.597,3490.2529,
295.687,3485.0616,
292.776,3496.4584,
289.866,3551.2452,
286.955,3722.6295,
284.044,3811.0074,
281.134,3888.8567,
278.223,3961.1429,
275.313,3981.7748,
272.402,4045.958,
269.492,4127.4642,
266.581,4212.8051,
263.670,4250.2993,
260.760,4303.9604,
257.849,4344.6648,
254.939,4349.0681,
252.028,4371.5642,
249.117,4402.9664,
246.207,4417.6239,
243.296,4369.3095,
240.386,4332.7814,
237.475,4306.9045,
234.565,4295.2309,
231.654,4314.9513,
228.743,4258.7114,
225.833,4192.4774,
222.922,4141.1885,
220.012,4099.6608,
217.101,4052.2656,
214.191,4007.5083,
211.280,3975.5,
208.369,3925.3553,
205.459,3940.453,
202.548,3989.2252,
199.638,3937.7042,
196.727,3938.6493,
193.816,3966.0894,
190.906,4008.4743,
187.995,3961.4127,
185.085,3983.4263,
182.174,4029.455,
179.264,4041.742,
176.353,4030.9502,
173.442,4020.4994,
170.532,4013.4529,
167.621,4007.6851,
164.711,3920.983,
161.800,3815.1248,
158.890,3730.1969,
155.979,3540.5681,
153.068,3275.1164,
150.158,2942.3103,
147.247,2549.5905,
144.337,2151.5199,
141.426,1722.6197,
138.516,1246.6039,
135.605,888.56968,
132.694,602.41836,
129.784,386.31719,
126.873,259.02408,
123.963,168.82007,
121.052,109.07672,
118.141,81.234542,
115.231,61.9396,
112.320,52.430456,
109.410,47.670605,
106.499,34.851811,
103.589,38.848054,
100.678,40.86554,
97.767,32.334289,
94.857,26.581088,
91.946,24.125,
89.036,23.673408,
86.125,20.836587,
83.215,19.59408,
80.304,20.322163,
77.393,23.863013,
74.483,18.88392,
71.572,17.574408,
68.662,19.29379,
65.751,10.816377,
62.840,9.570106,
59.930,12.248717,
57.019,16.479209,
54.109,12.347713,
51.198,8.2201722,
48.288,6.1476498,
45.377,8.961162,
42.466,11.773877,
39.556,14.585474,
36.645,17.394235,
33.735,11.894018,
30.824,6.125,
27.914,6.125,
25.003,2.3891751,
22.092,-0.19790456,
19.182,-0.92076573,
16.271,-2.319746,
13.361,-4.5608319,
10.450,-47.378949,
7.539,-282.71123,
4.629,-524.58874,
1.718,-726.58901,
-1.192,-833.25212,
-4.103,-602.59187,
-7.013,-309.28102,
-9.924,1.125,
