,PL041B~1,
Raman shift [1/cm],Intensity,
991.315,2271.3862,
988.404,2229.245,
985.494,2183.6931,
982.583,2169.9882,
979.673,2155.562,
976.762,2159.2194,
973.852,2183.1224,
970.941,2205.7036,
968.030,2198.8381,
965.120,2163.9785,
962.209,2158.8633,
959.299,2189.8712,
956.388,2192.9206,
953.477,2187.4662,
950.567,2192.5685,
947.656,2203.3504,
944.746,2251.7751,
941.835,2200.5523,
938.925,2212.3479,
936.014,2204.767,
933.103,2185.3531,
930.193,2179.2083,
927.282,2152.2291,
924.372,2156.4572,
921.461,2103.9792,
918.551,2093.1331,
915.640,2091.351,
912.729,2072.4126,
909.819,2048.7776,
906.908,2047.0927,
903.998,2026.3205,
901.087,2058.5539,
898.176,2067.5929,
895.266,2064.4742,
892.355,2099.0936,
889.445,2163.7172,
886.534,2153.1467,
883.624,2175.222,
880.713,2210.4764,
877.802,2233.6948,
874.892,2236.6546,
871.981,2242.9939,
869.071,2200.3878,
866.160,2191.6201,
863.250,2197.2904,
860.339,2204.0739,
857.428,2205.6174,
854.518,2201.7854,
851.607,2125.235,
848.697,2158.0837,
845.786,2144.7482,
842.875,2132.5747,
839.965,2172.0535,
837.054,2185.6372,
834.144,2153.3158,
831.233,2137.6673,
828.323,2127.0651,
825.412,2121.322,
822.501,2118.5744,
819.591,2099.5672,
816.680,2056.532,
813.770,2067.3011,
810.859,2052.9256,
807.949,2023.3073,
805.038,2030.5066,
802.127,2018.1597,
799.217,2000.6014,
796.306,2026.784,
793.396,2032.3128,
790.485,2000.6836,
787.574,1991.6575,
784.664,1982.6363,
781.753,1974.2902,
778.843,1987.1727,
775.932,2010.79,
773.022,2024.9856,
770.111,2018.445,
767.200,2049.2138,
764.290,2029.5282,
761.379,2004.8491,
758.469,2009.6263,
755.558,2045.149,
752.648,2016.6379,
749.737,1976.4022,
746.826,1935.6214,
743.916,1915.3053,
741.005,1915.0608,
738.095,1791.6556,
735.184,1714.0747,
732.274,1657.9721,
729.363,1693.5476,
726.452,1840.3419,
723.542,1958.5133,
720.631,1987.9362,
717.721,1996.1457,
714.810,1992.0512,
711.899,1995.2872,
708.989,2043.7027,
706.078,2003.9349,
703.168,2006.7516,
700.257,2012.5246,
697.347,2014.4342,
694.436,2032.407,
691.525,1973.7292,
688.615,1954.7109,
685.704,1960.4973,
682.794,1970.8936,
679.883,1963.4233,
676.973,1950.6014,
674.062,1969.0567,
671.151,1974.8634,
668.241,1976.7682,
665.330,2009.021,
662.420,2030.5868,
659.509,2000.7137,
656.598,1976.6725,
653.688,1969.1597,
650.777,1964.7012,
647.867,2014.8698,
644.956,1993.8042,
642.046,1978.9752,
639.135,1991.6594,
636.224,2012.9204,
633.314,1997.0417,
630.403,2014.8748,
627.493,2025.3911,
624.582,2022.0611,
621.672,2040.277,
618.761,2082.7967,
615.850,2086.0822,
612.940,2075.6093,
610.029,2073.2359,
607.119,2086.6596,
604.208,2093.6801,
601.297,2119.9289,
598.387,2123.9357,
595.476,2074,
592.566,2074,
