,PL718D~1,
Raman shift [1/cm],Intensity,
1372.601,1326.331,
1369.690,1393.9167,
1366.780,1492.5409,
1363.869,1532.334,
1360.958,1527.4013,
1358.048,1598.1622,
1355.137,1660.0873,
1352.227,1696.5337,
1349.316,1745.9558,
1346.406,1785.6747,
1343.495,1814.1302,
1340.584,1818.7315,
1337.674,1876.7051,
1334.763,2013.0244,
1331.853,2076.0761,
1328.942,2070.6198,
1326.032,2142.2152,
1323.121,2183.8178,
1320.210,2228.5847,
1317.300,2315.0919,
1314.389,2408.8759,
1311.479,2461.3628,
1308.568,2488.4294,
1305.657,2535.1682,
1302.747,2594.9586,
1299.836,2660.5785,
1296.926,2786.7098,
1294.015,2896.1093,
1291.105,2958.7408,
1288.194,3058.4804,
1285.283,3173.2734,
1282.373,3265.9451,
1279.462,3302.4681,
1276.552,3333.9637,
1273.641,3384.8461,
1270.731,3423.4459,
1267.820,3444.8327,
1264.909,3439.2178,
1261.999,3393.0577,
1259.088,3404.9153,
1256.178,3299.4244,
1253.267,3204.9055,
1250.356,3197.8791,
1247.446,3085.9327,
1244.535,2924.8172,
1241.625,2813.9251,
1238.714,2752.8592,
1235.804,2697.1009,
1232.893,2598.2506,
1229.982,2594.7971,
1227.072,2570.3536,
1224.161,2483.7341,
1221.251,2445.2897,
1218.340,2396.8128,
1215.430,2372.9734,
1212.519,2351.2508,
1209.608,2333.3581,
1206.698,2345.3697,
1203.787,2352.2582,
1200.877,2393.4578,
1197.966,2390.7604,
1195.055,2452.9121,
1192.145,2553.0349,
1189.234,2580.0298,
1186.324,2624.4476,
1183.413,2675.4321,
1180.503,2695.6721,
1177.592,2697.1198,
1174.681,2665.488,
1171.771,2595.1717,
1168.860,2575.5237,
1165.950,2549.4363,
1163.039,2519.1809,
1160.129,2495.0583,
1157.218,2472.6451,
1154.307,2454.1727,
1151.397,2436.1978,
1148.486,2405.8757,
1145.576,2400.3529,
1142.665,2371.0518,
1139.754,2352.3524,
1136.844,2338.8208,
1133.933,2317.6163,
1131.023,2288.1575,
1128.112,2271.1246,
1125.202,2278.282,
1122.291,2288.8811,
1119.380,2304.8935,
1116.470,2332.2519,
1113.559,2320.16,
1110.649,2330.0316,
1107.738,2322.0863,
1104.828,2297.8064,
1101.917,2292.0929,
1099.006,2318.1301,
1096.096,2336.7214,
1093.185,2370.9635,
1090.275,2341.2542,
1087.364,2340.4862,
1084.453,2327.876,
1081.543,2316.5014,
1078.632,2331.4144,
1075.722,2364.822,
1072.811,2376.0809,
1069.901,2340.2772,
1066.990,2343.2833,
1064.079,2369.1235,
1061.169,2391.1187,
1058.258,2408.9417,
1055.348,2440.4383,
1052.437,2491.2006,
1049.527,2519.9271,
1046.616,2527.7466,
1043.705,2523.2296,
1040.795,2535.6721,
1037.884,2546.1537,
1034.974,2554.2113,
1032.063,2559.0944,
1029.153,2548.1563,
1026.242,2577.5648,
1023.331,2589.4576,
1020.421,2624.3888,
1017.510,2663.8374,
1014.600,2695.89,
1011.689,2712.9101,
1008.778,2726.6734,
1005.868,2803.4127,
1002.957,2891.1688,
1000.047,2981.065,
997.136,3072.4689,
994.226,3144.7323,
991.315,3152.8329,
988.404,3083.8427,
985.494,3042.7427,
982.583,3003.3411,
979.673,2974.2123,
976.762,2970.9089,
973.852,2982.1392,
970.941,2992.8105,
968.030,2993.07,
965.120,2978.7897,
962.209,3018.0066,
959.299,3026.7497,
956.388,2988.4275,
953.477,2997.0836,
950.567,3046.828,
947.656,3033.4184,
944.746,3077.5953,
941.835,3055.3306,
938.925,3031.1996,
936.014,3006.956,
933.103,3008.1612,
930.193,3027.6359,
927.282,2990.3418,
924.372,2966.6648,
921.461,2888.5122,
918.551,2836.6449,
915.640,2819.4749,
912.729,2814.7212,
909.819,2794.7328,
906.908,2765.248,
903.998,2762.8296,
901.087,2797.6328,
898.176,2802.3548,
895.266,2822.7607,
892.355,2909.8498,
889.445,2948.456,
886.534,2990.3686,
883.624,2993.9152,
880.713,2990.6043,
877.802,2997.9624,
874.892,3011.235,
871.981,3000.5658,
869.071,2998.0596,
866.160,2985.2057,
863.250,2967.5683,
860.339,2972.0179,
857.428,2995.0336,
854.518,2974.9751,
851.607,2952.5092,
848.697,2908.7316,
845.786,2876.0939,
842.875,2868.9169,
839.965,2889.067,
837.054,2926.89,
834.144,2861.4186,
831.233,2861.2908,
828.323,2888.397,
825.412,2884.8339,
822.501,2831.4335,
819.591,2824.8223,
816.680,2775.7467,
813.770,2712.8783,
810.859,2696.6135,
807.949,2706.1835,
805.038,2688.6162,
802.127,2705.0787,
799.217,2685.0087,
796.306,2667.9763,
793.396,2666.4648,
790.485,2669.5182,
787.574,2647.6214,
784.664,2673.865,
781.753,2669.2312,
778.843,2696.4803,
775.932,2705.86,
773.022,2663.4028,
770.111,2732.8969,
767.200,2745.2381,
764.290,2741.8462,
761.379,2702.9647,
758.469,2663.4366,
755.558,2713.6313,
752.648,2646.8339,
749.737,2623.1804,
746.826,2647.9294,
743.916,2650.2349,
741.005,2561.4895,
738.095,2516.0244,
735.184,2382.6293,
732.274,2347.4019,
729.363,2398.2741,
726.452,2489.0434,
723.542,2591.0269,
720.631,2632.5583,
717.721,2640.1879,
714.810,2636.483,
711.899,2640.6448,
708.989,2666.4664,
706.078,2625.7586,
703.168,2605.9095,
700.257,2595.9119,
697.347,2589.5382,
694.436,2585.2758,
691.525,2572.415,
688.615,2574.0274,
685.704,2568.4228,
682.794,2561.6037,
679.883,2573.0751,
676.973,2538.6162,
674.062,2549.4913,
671.151,2547.7901,
668.241,2538.1047,
665.330,2555.4359,
662.420,2551.4423,
659.509,2572.8476,
656.598,2563.122,
653.688,2542.1366,
650.777,2570.787,
647.867,2575.565,
644.956,2596.4378,
642.046,2586.6513,
639.135,2552.0616,
636.224,2539.003,
633.314,2614.4271,
630.403,2622.392,
627.493,2632.2924,
624.582,2654.9747,
621.672,2629.6309,
618.761,2640.0241,
615.850,2657.9507,
612.940,2693.874,
610.029,2731.4184,
607.119,2676.1443,
604.208,2685.5353,
601.297,2709.5716,
598.387,2733.9309,
595.476,2746.8767,
592.566,2717.7551,
589.655,2687.3573,
586.745,2663.2098,
583.834,2652.6992,
580.923,2663.5302,
578.013,2647.8355,
575.102,2619.5343,
572.192,2632.3515,
569.281,2689.3122,
566.371,2698.7037,
563.460,2689.7484,
560.549,2695.3706,
557.639,2701.5966,
554.728,2691.2163,
551.818,2700.58,
548.907,2722.7356,
545.996,2743.012,
543.086,2757.9803,
540.175,2773.5532,
537.265,2778.9707,
534.354,2814.2383,
531.444,2850.6902,
528.533,2860.9978,
525.622,2894.3636,
522.712,2925.8951,
519.801,2935.5149,
516.891,2942.5275,
513.980,3026.1515,
511.070,3070.2511,
508.159,3102.8174,
505.248,3138.9,
502.338,3190.9865,
499.427,3203.3358,
496.517,3288.6451,
493.606,3349.2696,
490.695,3342.4853,
487.785,3327.0895,
484.874,3345.3042,
481.964,3330.4625,
479.053,3306.1273,
476.143,3358.3488,
473.232,3304.7921,
470.321,3286.5176,
467.411,3284.2935,
464.500,3265.8189,
461.590,3273.4763,
458.679,3280.0274,
455.769,3280.4744,
452.858,3284.5213,
449.947,3389.1799,
447.037,3371.7923,
444.126,3349.2129,
441.216,3358.652,
438.305,3387.6054,
435.395,3393.5919,
432.484,3381.2889,
429.573,3365.11,
426.663,3375.752,
423.752,3363.374,
420.842,3322.4602,
417.931,3299.8017,
415.020,3367.2956,
412.110,3393.0366,
409.199,3453.4587,
406.289,3502.4594,
403.378,3486.5943,
400.468,3477.5223,
397.557,3502.9032,
394.646,3531.5104,
391.736,3535.466,
388.825,3499.2629,
385.915,3489.6894,
383.004,3481.7732,
380.094,3463.4255,
377.183,3537.9207,
