,PLAAA0~1,
Raman shift [1/cm],Intensity,
199.638,3407.1721,
196.727,3392.0519,
193.816,3397.546,
190.906,3428.2635,
187.995,3407.2668,
185.085,3477.0755,
182.174,3539.8857,
179.264,3454.5994,
176.353,3489.2137,
173.442,3503.4858,
170.532,3485.6721,
167.621,3491.4399,
164.711,3434.1364,
161.800,3337.2539,
158.890,3209.1424,
155.979,3057.1564,
153.068,2821.696,
150.158,2518.7665,
147.247,2199.9957,
144.337,1839.0276,
141.426,1469.9222,
138.516,1107.1752,
135.605,779.47032,
132.694,529.02701,
129.784,347.00399,
126.873,229.00757,
123.963,153.78369,
121.052,104.5183,
118.141,78.103925,
115.231,59.525171,
112.320,49.034549,
109.410,43.091026,
106.499,33.120853,
103.589,35.482036,
100.678,34.382431,
97.767,22.296492,
94.857,18.535055,
91.946,19.418665,
89.036,22.661306,
86.125,20.53369,
83.215,23.185522,
80.304,24.802837,
77.393,21.261987,
74.483,19.034595,
71.572,14.376479,
68.662,8.415605,
65.751,12.654311,
62.840,13.036596,
59.930,12.936431,
57.019,16.461841,
54.109,11.028392,
51.198,6.6983907,
48.288,6.0226498,
45.377,8.836162,
42.466,11.648877,
39.556,13.539526,
36.645,10.730765,
33.735,10.519248,
30.824,7.6866954,
27.914,-2.8309333,
25.003,3.4716497,
22.092,6.7083818,
19.182,4.3661258,
16.271,15.557968,
13.361,59.61705,
10.450,95.851346,
7.539,-9.5942737,
4.629,-206.87092,
1.718,-444.47086,
-1.192,-700.32291,
-4.103,-576.82894,
-7.013,-332.19742,
-9.924,-3,
