,PLF44C~1,
Wavenumbers [1/cm],Intensity,
1765.529,2515.1241,
1762.618,2532.315,
1759.708,2550.4836,
1756.797,2551.6553,
1753.887,2588.5886,
1750.976,2582.642,
1748.065,2582.4015,
1745.155,2589.3767,
1742.244,2576.8551,
1739.334,2618.0003,
1736.423,2642.6577,
1733.512,2680.5072,
1730.602,2699.3611,
1727.691,2754.8612,
1724.781,2723.1438,
1721.870,2718.1727,
1718.960,2707.7915,
1716.049,2766.3702,
1713.138,2840.5397,
1710.228,2868.5309,
1707.317,2808.3204,
1704.407,2804.617,
1701.496,2816.0636,
1698.586,2844.8445,
1695.675,2834.9608,
1692.764,2955.3054,
1689.854,2914.2903,
1686.943,2913.0913,
1684.033,2994.0636,
1681.122,3088.5277,
1678.211,3072.2963,
1675.301,3156.8629,
1672.390,3183.2327,
1669.480,3219.8951,
1666.569,3316.0645,
1663.659,3389.0107,
1660.748,3385.0173,
1657.837,3532.4312,
1654.927,3546.6404,
1652.016,3571.5755,
1649.106,3711.1042,
1646.195,3753.17,
1643.285,3878.6517,
1640.374,3946.132,
1637.463,4042.3948,
1634.553,4170.1002,
1631.642,4436.8514,
1628.732,4595.6538,
1625.821,4852.3324,
1622.911,5167.3387,
1620.000,5455.4714,
1617.089,5848.2245,
1614.179,6139.8903,
1611.268,6553.4731,
1608.358,6932.2854,
1605.447,7203.7556,
1602.536,7351.453,
1599.626,7445.7588,
1596.715,7432.2502,
1593.805,7316.5448,
1590.894,7303.125,
1587.984,7326.5095,
1585.073,7129.3322,
1582.162,7104.1436,
1579.252,6994.0177,
1576.341,6959.5122,
1573.431,6926.5812,
1570.520,6964.752,
1567.610,6883.751,
1564.699,6772.0968,
1561.788,6640.0133,
1558.878,6616.2424,
1555.967,6510.1693,
1553.057,6380.9533,
1550.146,6201.009,
1547.235,6097.1862,
1544.325,5968.4944,
1541.414,5858.1429,
1538.504,5783.0653,
1535.593,5701.3447,
1532.683,5618.9165,
1529.772,5540.0315,
1526.861,5524.5506,
1523.951,5508.7618,
1521.040,5455.3667,
1518.130,5425.125,
1515.219,5416.1657,
1512.309,5347.787,
1509.398,5209.6953,
1506.487,5176.796,
