,PL0BCA~1,
Wavenumbers [1/cm],Intensity,
1203.787,5280.0214,
1200.877,5300.3132,
1197.966,5341.6745,
1195.055,5430.7814,
1192.145,5613.2996,
1189.234,5797.2109,
1186.324,5921.3007,
1183.413,5982.2069,
1180.503,5996.6912,
1177.592,5967.2344,
1174.681,5900.976,
1171.771,5888.1318,
1168.860,5861.3392,
1165.950,5866.0066,
1163.039,5823.0522,
1160.129,5813.7775,
1157.218,5779.8874,
1154.307,5720.538,
1151.397,5673.3743,
1148.486,5615.2976,
1145.576,5629.5573,
1142.665,5625.1177,
1139.754,5510.0283,
1136.844,5478.1476,
1133.933,5443.4922,
1131.023,5388.6475,
1128.112,5352.75,
1125.202,5358.064,
1122.291,5363.4696,
1119.380,5285.2697,
1116.470,5338.2214,
1113.559,5306.0875,
1110.649,5288.8564,
1107.738,5251.9935,
1104.828,5206.5221,
1101.917,5186.4128,
1099.006,5188.8944,
1096.096,5171.6101,
1093.185,5185.6581,
1090.275,5245.0175,
1087.364,5288.2533,
1084.453,5373.7454,
1081.543,5455.1668,
1078.632,5489.0036,
1075.722,5498.7082,
1072.811,5526.8264,
1069.901,5499.7553,
1066.990,5446.8251,
1064.079,5383.7115,
1061.169,5366.9299,
1058.258,5370.6326,
1055.348,5394.5002,
1052.437,5454.3223,
1049.527,5432.2535,
1046.616,5445.2859,
1043.705,5506.0989,
1040.795,5511.6184,
1037.884,5513.8533,
1034.974,5536.9021,
1032.063,5543.5814,
1029.153,5501.7328,
1026.242,5609.8523,
1023.331,5612.0834,
1020.421,5655.6674,
1017.510,5711.7282,
1014.600,5766.1258,
1011.689,5813.5782,
1008.778,5863.0501,
1005.868,5965.0859,
1002.957,6113.9272,
1000.047,6341.3181,
997.136,6584.5505,
994.226,6696.3962,
991.315,6693.4035,
988.404,6697.8589,
985.494,6676.7143,
982.583,6630.4602,
979.673,6671.307,
976.762,6705.776,
973.852,6720.8441,
970.941,6733.9378,
968.030,6761.7617,
965.120,6795.5459,
962.209,6746.951,
959.299,6742.9995,
956.388,6713.392,
953.477,6715.8778,
950.567,6756.3185,
947.656,6766.6548,
944.746,6811.6812,
941.835,6799.1734,
938.925,6777.9826,
936.014,6784.9364,
933.103,6763.322,
930.193,6684.7622,
927.282,6640.1671,
924.372,6555.6065,
921.461,6481.4196,
918.551,6348.3727,
915.640,6264.9255,
912.729,6192.9293,
909.819,6011.306,
906.908,6015.5181,
903.998,6071.4255,
901.087,6088.9325,
898.176,6116.9957,
895.266,6160.6678,
892.355,6209.0842,
889.445,6296.368,
886.534,6354.3562,
883.624,6382.5708,
880.713,6477.5105,
877.802,6521.1474,
874.892,6393.8022,
871.981,6154.9228,
869.071,5992.8527,
866.160,6073.0737,
863.250,6219.7759,
860.339,6322.711,
857.428,6337.8019,
854.518,6291.8985,
851.607,6158.7674,
848.697,6010.5673,
845.786,5952.7121,
842.875,6012.5714,
839.965,6152.1537,
837.054,6272.7314,
834.144,6271.0739,
831.233,6192.7556,
828.323,6138.9128,
825.412,6114.735,
822.501,6074.4516,
819.591,5956.2765,
816.680,5823.7434,
813.770,5749.1478,
810.859,5695.7731,
807.949,5669.7427,
805.038,5683.2832,
802.127,5621.5486,
799.217,5581.462,
796.306,5527.1821,
793.396,5499.8111,
790.485,5522.7012,
787.574,5579.9955,
784.664,5612.8,
781.753,5648.9443,
778.843,5705.407,
775.932,5762.9473,
773.022,5795.0036,
770.111,5796.6388,
767.200,5708.4378,
764.290,5664.5694,
761.379,5651.5684,
758.469,5640.9608,
755.558,5605.3673,
752.648,5525.5362,
749.737,5516.2779,
746.826,5484.3172,
743.916,5426.9965,
741.005,5361.2823,
738.095,5162.3725,
735.184,5086.5506,
732.274,5046.2918,
729.363,5108.7728,
726.452,5288.969,
723.542,5411.9968,
720.631,5491.3812,
717.721,5554.9949,
714.810,5581.5625,
711.899,5587.5421,
708.989,5642.413,
706.078,5579.4471,
703.168,5567.3933,
700.257,5538.8071,
697.347,5499.9668,
694.436,5518.0953,
691.525,5493.9812,
688.615,5512.0197,
685.704,5534.3839,
682.794,5556.5158,
679.883,5589.9478,
