,PLECFE~1,
Wavenumbers [1/cm],Intensity,
2050.766,1302.0579,
2047.855,1305.1519,
2044.944,1288.2083,
2042.034,1323.5479,
2039.123,1340.9453,
2036.213,1311.9967,
2033.302,1320.1633,
2030.391,1323.5632,
2027.481,1328.7744,
2024.570,1342.921,
2021.660,1347.6317,
2018.749,1338.636,
2015.839,1336.9606,
2012.928,1336.0151,
2010.017,1316.4894,
2007.107,1345.9612,
2004.196,1339.8095,
2001.286,1330.8136,
1998.375,1298.4773,
1995.465,1264.4446,
1992.554,1286.9204,
1989.643,1255.0289,
1986.733,1278.4623,
1983.822,1302.9664,
1980.912,1275.0377,
1978.001,1285.9541,
1975.090,1255.75,
1972.180,1261.5425,
1969.269,1267.1839,
1966.359,1260.9121,
1963.448,1251.1754,
1960.538,1234.9543,
1957.627,1266.524,
1954.716,1261.0373,
1951.806,1240.8926,
1948.895,1262.6225,
1945.985,1256.848,
1943.074,1232.4217,
1940.164,1220.1731,
1937.253,1208.9764,
1934.342,1197.3056,
1931.432,1183.545,
1928.521,1208.3631,
1925.611,1220.38,
1922.700,1181.1354,
1919.790,1170.8887,
1916.879,1165.1685,
1913.968,1184.7254,
1911.058,1189.7109,
1908.147,1154.3223,
1905.237,1197,
1902.326,1170.5411,
1899.415,1160.2841,
1896.505,1121.8282,
1893.594,1116.7409,
1890.684,1160.0505,
1887.773,1163.535,
1884.863,1171.7113,
1881.952,1189.6325,
1879.041,1171.3248,
1876.131,1178.5944,
1873.220,1181.75,
1870.310,1194.7455,
1867.399,1181.9739,
1864.489,1177.75,
1861.578,1179.151,
1858.667,1194.3638,
1855.757,1205.9421,
1852.846,1216.0064,
1849.936,1214.6109,
1847.025,1221.0955,
1844.114,1246.7029,
1841.204,1232.4948,
1838.293,1237.2375,
1835.383,1232.1805,
1832.472,1217.0057,
1829.562,1245.0513,
1826.651,1247.7069,
1823.740,1247.3017,
1820.830,1268.2698,
1817.919,1285.1513,
1815.009,1280.0439,
1812.098,1270.6713,
1809.188,1265.9981,
1806.277,1255.9713,
1803.366,1284.5171,
1800.456,1272.2338,
1797.545,1297.4734,
1794.635,1298.1041,
1791.724,1321.9053,
1788.813,1319.7397,
1785.903,1281.4186,
1782.992,1233.656,
1780.082,1135.0465,
1777.171,1036.061,
1774.261,1004.9461,
1771.350,1161.4445,
1768.439,1281.7528,
1765.529,1316.9334,
1762.618,1333.0306,
1759.708,1343.3261,
1756.797,1352.1288,
1753.887,1357.8783,
1750.976,1357.5707,
1748.065,1361.6655,
1745.155,1360.2791,
1742.244,1343.8451,
1739.334,1394.95,
1736.423,1414.6846,
1733.512,1423.3923,
1730.602,1412.0416,
1727.691,1428.2445,
1724.781,1448.9084,
1721.870,1448.7262,
1718.960,1422.2608,
1716.049,1452.8259,
1713.138,1517.8897,
1710.228,1502.5114,
1707.317,1518.2106,
1704.407,1474.0333,
1701.496,1519.7967,
1698.586,1476.7028,
1695.675,1540.121,
1692.764,1550.4303,
1689.854,1545.0098,
1686.943,1534.121,
1684.033,1606.8873,
1681.122,1616.6141,
1678.211,1615.7595,
1675.301,1645.6575,
1672.390,1714.6752,
1669.480,1690.472,
1666.569,1779.7627,
1663.659,1781.142,
1660.748,1805.6562,
1657.837,1851.5969,
1654.927,1845.9449,
1652.016,1898.1313,
1649.106,1993.6766,
1646.195,1992.3564,
1643.285,2059.4818,
1640.374,2133.4155,
1637.463,2121.2448,
1634.553,2312.4298,
1631.642,2359.3027,
1628.732,2501.4374,
1625.821,2616.8795,
1622.911,2813.6342,
1620.000,3006.3058,
1617.089,3220.4515,
1614.179,3468.6715,
1611.268,3644.2439,
1608.358,3881.4188,
1605.447,4074.7229,
1602.536,4096.0008,
1599.626,4108.7091,
1596.715,4087.9676,
1593.805,4054.4484,
1590.894,4021.6879,
1587.984,4004.7586,
1585.073,3835.9899,
1582.162,3792.5569,
1579.252,3775.8389,
1576.341,3739.1053,
1573.431,3726.051,
1570.520,3765.262,
1567.610,3677.9053,
1564.699,3609.6736,
1561.788,3543.9336,
1558.878,3516.2879,
1555.967,3459.5755,
1553.057,3369.8713,
1550.146,3274.5247,
1547.235,3185.3916,
1544.325,3115.8181,
1541.414,3084.8895,
1538.504,3040.1596,
1535.593,2981.2996,
1532.683,2929.43,
1529.772,2856.6631,
1526.861,2823.0385,
1523.951,2853.9499,
1521.040,2835.5483,
1518.130,2766.8951,
1515.219,2744.4705,
1512.309,2710.3896,
1509.398,2653.6532,
1506.487,2610.4118,
1503.577,2582.0439,
1500.666,2580.0565,
1497.756,2551.8942,
1494.845,2561.0274,
1491.934,2447.7941,
1489.024,2461.269,
1486.113,2410.7531,
1483.203,2304.6107,
1480.292,2270.5372,
1477.382,2230.3788,
1474.471,2186.4506,
1471.560,2140.1924,
