,PL4B76~1,
Raman shift [1/cm],Intensity,
1282.373,3078.2654,
1279.462,3134.1784,
1276.552,3187.4303,
1273.641,3212.6072,
1270.731,3205.1362,
1267.820,3224.8577,
1264.909,3195.8808,
1261.999,3221.6413,
1259.088,3228.9383,
1256.178,3133.4519,
1253.267,3051.3962,
1250.356,3017.1527,
1247.446,2923.5394,
1244.535,2803.9019,
1241.625,2710.0603,
1238.714,2631.3524,
1235.804,2560.8556,
1232.893,2522.3873,
1229.982,2463.7072,
1227.072,2384.9451,
1224.161,2392.8231,
1221.251,2333.5807,
1218.340,2282.5756,
1215.430,2246.0052,
1212.519,2209.0008,
1209.608,2198.1956,
1206.698,2225.4176,
1203.787,2222.9629,
1200.877,2180.9411,
1197.966,2238.4873,
1195.055,2291.7167,
1192.145,2358.2284,
1189.234,2441.6054,
1186.324,2517.288,
1183.413,2536.8014,
1180.503,2530.1789,
1177.592,2544.7789,
1174.681,2508.012,
1171.771,2450.0453,
1168.860,2435.7559,
1165.950,2399.7046,
1163.039,2383.6926,
1160.129,2373.8866,
1157.218,2336.685,
1154.307,2295.4386,
1151.397,2278.076,
1148.486,2254.3779,
1145.576,2236.5655,
1142.665,2217.9193,
1139.754,2225.3249,
1136.844,2182.5556,
1133.933,2192.1138,
1131.023,2202.461,
1128.112,2184.9474,
1125.202,2168.5441,
1122.291,2154.127,
1119.380,2159.4356,
1116.470,2165.6133,
1113.559,2215.0897,
1110.649,2208.4199,
1107.738,2179.1572,
1104.828,2172.9453,
1101.917,2189.6296,
1099.006,2191.9421,
1096.096,2167.1275,
1093.185,2179.4196,
1090.275,2217.6014,
1087.364,2205.1052,
1084.453,2174.0014,
1081.543,2189.3651,
1078.632,2210.3178,
1075.722,2166.1869,
1072.811,2167.9191,
1069.901,2203.7228,
1066.990,2203.1417,
1064.079,2246.6084,
1061.169,2260.7474,
1058.258,2252.8341,
1055.348,2252.3146,
1052.437,2272.6581,
1049.527,2340.375,
1046.616,2340.375,
1043.705,2304.149,
1040.795,2350.2019,
1037.884,2371.2488,
1034.974,2359.2577,
1032.063,2365.4824,
1029.153,2391.5827,
1026.242,2393.3126,
1023.331,2370.0432,
1020.421,2398.8359,
1017.510,2423.46,
1014.600,2465.2094,
1011.689,2502.5378,
1008.778,2490.0513,
1005.868,2547.2013,
1002.957,2639.2592,
1000.047,2777.8631,
997.136,2825.5497,
994.226,2839.3133,
991.315,2861.1596,
988.404,2856.5407,
985.494,2765.1614,
982.583,2800.2802,
979.673,2762.2078,
976.762,2765.7494,
973.852,2760.8106,
970.941,2745.97,
968.030,2770.1323,
965.120,2791.375,
962.209,2791.375,
959.299,2782.1678,
956.388,2785.0946,
953.477,2790.375,
950.567,2779.6566,
947.656,2756.2825,
944.746,2808.9549,
941.835,2840.5283,
938.925,2825.6593,
936.014,2829.5498,
933.103,2814.0089,
930.193,2753.3811,
927.282,2728.9755,
924.372,2647.7972,
921.461,2607.919,
918.551,2617.1267,
915.640,2601.204,
912.729,2564.6687,
909.819,2571.7044,
906.908,2536.3225,
903.998,2572.5525,
901.087,2560.0973,
898.176,2593.6629,
895.266,2651.9926,
892.355,2675.5998,
889.445,2714.206,
886.534,2715.2099,
883.624,2764.4917,
880.713,2768.4711,
877.802,2774.0398,
874.892,2811.5504,
871.981,2772.1777,
869.071,2763.8236,
866.160,2764.4449,
863.250,2758.0362,
860.339,2746.7213,
857.428,2725.9399,
854.518,2673.8083,
851.607,2688.7855,
848.697,2664.5501,
845.786,2652.375,
842.875,2643.9858,
839.965,2627.8361,
837.054,2625.1238,
834.144,2602.7475,
831.233,2613.7072,
828.323,2606.0433,
825.412,2570.0913,
822.501,2530.6517,
819.591,2548.8325,
816.680,2514.1185,
813.770,2487.2064,
810.859,2478.18,
807.949,2473.7603,
805.038,2457.8684,
802.127,2470.2153,
799.217,2438.5778,
796.306,2447.8076,
793.396,2441.5732,
790.485,2412.8501,
787.574,2432.6588,
784.664,2413.7963,
781.753,2411.046,
778.843,2428.0378,
775.932,2441.6714,
773.022,2435.4038,
770.111,2448.485,
767.200,2444.8071,
764.290,2435.2847,
761.379,2423.0731,
758.469,2410.236,
755.558,2397.7672,
752.648,2377.4021,
749.737,2379.9029,
746.826,2341.8813,
743.916,2260.0303,
741.005,2161.9294,
738.095,2078.3061,
735.184,1898.9059,
732.274,1831.375,
729.363,1908.708,
726.452,2089.8796,
723.542,2247.7113,
720.631,2282.3693,
717.721,2324.1729,
714.810,2342.9035,
711.899,2346.8602,
708.989,2408.9934,
706.078,2374.1177,
703.168,2328.3345,
700.257,2306.0253,
697.347,2309.8966,
694.436,2314.8731,
691.525,2296.3856,
688.615,2281.0546,
685.704,2278.6919,
682.794,2284.8431,
679.883,2286.6273,
676.973,2292.2369,
674.062,2308.689,
671.151,2301.5951,
668.241,2289.4754,
665.330,2314.1649,
662.420,2288.6055,
659.509,2308.1373,
656.598,2328.8662,
653.688,2325.4128,
650.777,2287.4542,
647.867,2348.7714,
644.956,2318.4153,
642.046,2288.0582,
639.135,2292.1786,
636.224,2325.3869,
633.314,2327.7688,
630.403,2302.9529,
627.493,2304.9628,
624.582,2341.6721,
621.672,2365.432,
618.761,2381.5738,
615.850,2399.5987,
612.940,2412.0827,
610.029,2418.5315,
607.119,2437.4827,
604.208,2409.5544,
601.297,2415.3216,
598.387,2416.4637,
595.476,2375.1178,
592.566,2382.9885,
589.655,2375.9524,
586.745,2363.1296,
583.834,2338.7608,
580.923,2290.6546,
578.013,2336.9539,
575.102,2332.7409,
572.192,2318.9459,
569.281,2322.5614,
566.371,2356.9968,
563.460,2379.4226,
560.549,2374.7058,
557.639,2369.7005,
554.728,2392.6706,
551.818,2397.3525,
548.907,2397.7656,
545.996,2407.8723,
543.086,2425.8849,
540.175,2432.8927,
537.265,2421.7865,
534.354,2449.9849,
531.444,2467.8848,
528.533,2434.2929,
525.622,2489.3852,
522.712,2523.8249,
519.801,2533.7924,
516.891,2534.9828,
513.980,2577.5691,
511.070,2629.2706,
508.159,2680.8944,
505.248,2731.8989,
502.338,2783.1598,
499.427,2844.1345,
496.517,2877.3447,
493.606,2881.6262,
490.695,2866.4077,
487.785,2881.0337,
484.874,2892.4221,
481.964,2890.7305,
479.053,2881.0073,
476.143,2879.4714,
473.232,2880.8138,
470.321,2862.8851,
467.411,2829.6989,
464.500,2790.5968,
461.590,2838.8384,
458.679,2861.73,
455.769,2863.3888,
452.858,2851.7271,
449.947,2864.7139,
447.037,2904.9942,
444.126,2927.8962,
441.216,2928.4176,
438.305,2945.9421,
435.395,2925.4277,
432.484,2964.6355,
429.573,3034.0675,
426.663,3024.1856,
423.752,2975.2531,
420.842,2970.8157,
417.931,2999.2092,
415.020,3030.3019,
412.110,3033.5698,
409.199,3064.2038,
406.289,3089.9635,
403.378,3073.5825,
400.468,3134.818,
397.557,3095.2478,
394.646,3038.0283,
391.736,3033.6024,
388.825,3009.467,
385.915,3004.5038,
383.004,3036.6426,
380.094,3113.3347,
377.183,3132.1466,
374.272,3173.7413,
371.362,3219.68,
368.451,3260.5694,
365.541,3329.6187,
362.630,3353.2912,
359.719,3367.7339,
356.809,3392.3297,
353.898,3391.5809,
350.988,3382.1527,
348.077,3362.7586,
345.167,3334.8669,
342.256,3344.5788,
339.345,3329.3063,
336.435,3315.5957,
333.524,3322.2675,
330.614,3350.5835,
327.703,3382.9916,
324.793,3403.3127,
321.882,3397.4219,
318.971,3416.7514,
316.061,3434.6062,
313.150,3468.0845,
310.240,3537.8434,
307.329,3541.0896,
304.418,3548.6703,
301.508,3553.4365,
298.597,3538.6282,
295.687,3529.9254,
292.776,3586.792,
289.866,3691.4591,
286.955,3786.7547,
284.044,3932.5674,
281.134,4108.2419,
278.223,4290.6021,
275.313,4387.867,
272.402,4465.3035,
269.492,4546.9322,
266.581,4639.1571,
263.670,4706.0585,
260.760,4722.2407,
257.849,4739.9052,
254.939,4798.6158,
252.028,4805.8896,
249.117,4790.1019,
246.207,4768.375,
243.296,4768.375,
240.386,4721.3596,
237.475,4645.2781,
234.565,4540.3682,
231.654,4394.2915,
228.743,4319.0717,
225.833,4247.6532,
