,PLC8A7~1,
2647.434,655.27801,
2644.524,640.81358,
2641.613,656.05013,
2638.702,640.53406,
2635.792,651.99777,
2632.881,651.92886,
2629.971,650.59235,
2627.060,653.74969,
2624.149,662.22187,
2621.239,672.25593,
2618.328,656.67387,
2615.418,663.59545,
2612.507,658.87055,
2609.597,665.60729,
2606.686,660.87252,
2603.775,681.52777,
2600.865,691.83367,
2597.954,681.5854,
2595.044,698.16143,
2592.133,707.85499,
2589.223,703.03316,
2586.312,717.61187,
2583.401,694.73907,
2580.491,719.12495,
2577.580,698.31106,
2574.670,729.43852,
2571.759,707.64384,
2568.848,698.95717,
2565.938,716.7737,
2563.027,732.71363,
2560.117,724.44624,
2557.206,720.05812,
2554.296,738.16075,
2551.385,728.06805,
2548.474,746.2132,
2545.564,739.62987,
2542.653,746.22987,
2539.743,742.05284,
2536.832,771.08739,
2533.922,758.17115,
2531.011,755.17484,
2528.100,756.51828,
2525.190,761.15574,
2522.279,775.31204,
2519.369,757.45747,
2516.458,763.58569,
2513.548,767.86816,
2510.637,757.31148,
2507.726,757.62546,
2504.816,757.37514,
2501.905,759.06159,
2498.995,769.96663,
2496.084,781.25,
2493.173,783.4606,
2490.263,790.83419,
2487.352,780.46027,
2484.442,804.54766,
2481.531,794.19682,
2478.621,801.69553,
2475.710,795.36502,
2472.799,812.71634,
2469.889,826.55195,
2466.978,817.37386,
2464.068,818.9114,
2461.157,793.1423,
2458.247,819.85287,
2455.336,817.84492,
2452.425,837.29719,
2449.515,833.63669,
2446.604,828.1924,
2443.694,837.2969,
2440.783,844.44032,
2437.872,835.83344,
2434.962,852.03802,
2432.051,860.10196,
2429.141,866.25,
2426.230,871.85885,
2423.320,885.72137,
2420.409,888.6282,
2417.498,871.30054,
2414.588,874.78225,
2411.677,878.35757,
2408.767,883.52657,
2405.856,885.0905,
2402.946,887.46448,
2400.035,886.75469,
2397.124,880.40506,
2394.214,907.41081,
2391.303,901.68089,
2388.393,919.19421,
2385.482,906.04311,
2382.571,914.41453,
2379.661,921.57547,
2376.750,929.93474,
2373.840,934.52497,
2370.929,926.3583,
2368.019,964.32267,
2365.108,943.60078,
2362.197,936.19526,
2359.287,965.80488,
2356.376,941.30283,
2353.466,946.03766,
2350.555,957.94031,
2347.645,972.4341,
2344.734,973.25,
2341.823,985.051,
2338.913,969.62465,
2336.002,993.03701,
2333.092,996.67546,
2330.181,1002.0761,
2327.270,997.74505,
2324.360,997.80422,
2321.449,1007.7874,
2318.539,984.03591,
2315.628,1007.0298,
2312.718,1032.7324,
2309.807,1033.7471,
2306.896,1017.0293,
2303.986,1022.5941,
2301.075,1013.3989,
2298.165,1007.4614,
2295.254,1062.022,
2292.344,1026.723,
2289.433,1029.25,
2286.522,1046.1918,
2283.612,1053.9694,
2280.701,1076.2141,
2277.791,1072.168,
2274.880,1051.1719,
2271.969,1080.0813,
2269.059,1081.0511,
2266.148,1069.7091,
2263.238,1110.7326,
2260.327,1127.0428,
2257.417,1099.1478,
2254.506,1113.3412,
2251.595,1117.8282,
2248.685,1131.3999,
2245.774,1117.5251,
2242.864,1139.861,
2239.953,1133.3397,
2237.043,1135.3154,
2234.132,1140.4968,
2231.221,1138.25,
2228.311,1152.1675,
2225.400,1174.856,
2222.490,1169.9766,
2219.579,1202.4376,
2216.669,1201.2023,
2213.758,1218.4252,
2210.847,1238.3709,
2207.937,1237.4536,
2205.026,1285.9165,
2202.116,1282.3349,
2199.205,1280.7608,
2196.294,1320.432,
2193.384,1340.881,
2190.473,1366.1256,
2187.563,1378.3998,
2184.652,1416.1782,
2181.742,1461.7508,
2178.831,1503.1917,
2175.920,1547.9076,
2173.010,1585.2523,
2170.099,1640.445,
2167.189,1713.3863,
2164.278,1747.2168,
2161.368,1855.1046,
2158.457,1934.7858,
2155.546,2003.0818,
2152.636,2072.5424,
2149.725,2135.5251,
2146.815,2187.7484,
2143.904,2225.9674,
2140.993,2268.9484,
2138.083,2281.098,
2135.172,2293.292,
2132.262,2279.4877,
2129.351,2257.6361,
2126.441,2208.0751,
2123.530,2130.4194,
2120.619,2047.6174,
2117.709,1950.8611,
2114.798,1823.6113,
2111.888,1741.7393,
2108.977,1667.2831,
2106.067,1600.2306,
2103.156,1568.5331,
2100.245,1490.2287,
2097.335,1449.8678,
2094.424,1405.4041,
2091.514,1397.5913,
2088.603,1379.7937,
2085.692,1392.7964,
2082.782,1364.8566,
2079.871,1371.1438,
2076.961,1310.7059,
2074.050,1355.8924,
2071.140,1336.8126,
2068.229,1360.4662,
2065.318,1337.3875,
2062.408,1337.719,
2059.497,1321.2798,
2056.587,1329.8314,
2053.676,1316.1841,
2050.766,1317.8651,
2047.855,1286.4176,
2044.944,1325.718,
2042.034,1319.643,
2039.123,1322.1322,
2036.213,1338.3855,
2033.302,1327.9022,
2030.391,1340.9953,
2027.481,1325.7014,
2024.570,1341.6922,
2021.660,1332.1369,
2018.749,1324.1238,
2015.839,1349.8819,
2012.928,1362.2164,
2010.017,1332.7169,
2007.107,1342.807,
2004.196,1322.4523,
2001.286,1325.9602,
1998.375,1322.3327,
1995.465,1318.6098,
1992.554,1303.4737,
1989.643,1316.697,
1986.733,1282.407,
1983.822,1333.4538,
1980.912,1299.9229,
1978.001,1285.8771,
1975.090,1296.4149,
1972.180,1313.1463,
1969.269,1333.2328,
1966.359,1324.8443,
1963.448,1293.5261,
1960.538,1300.0457,
1957.627,1317.5163,
1954.716,1341.5893,
1951.806,1297.3926,
1948.895,1318.3573,
1945.985,1302.6503,
1943.074,1269.1761,
1940.164,1274.2691,
1937.253,1284.1887,
1934.342,1299.6687,
1931.432,1279.2815,
1928.521,1264.1066,
1925.611,1264.5746,
1922.700,1262.2928,
1919.790,1280.1978,
1916.879,1247.9005,
1913.968,1279.2082,
1911.058,1277.241,
1908.147,1287.2646,
1905.237,1259.8603,
1902.326,1265.8529,
1899.415,1283.1597,
1896.505,1263.214,
1893.594,1281.6128,
1890.684,1281.701,
1887.773,1284.8706,
1884.863,1309.2978,
1881.952,1301.7202,
1879.041,1267.5293,
1876.131,1278.7951,
1873.220,1266.688,
1870.310,1265.1782,
1867.399,1293.7862,
1864.489,1284.549,
1861.578,1267.25,
1858.667,1274.4386,
1855.757,1315.2536,
1852.846,1303.9628,
1849.936,1297.6674,
1847.025,1317.7269,
1844.114,1305.3442,
1841.204,1326.9948,
1838.293,1331.2384,
1835.383,1337.7035,
1832.472,1339.6222,
1829.562,1376.3841,
1826.651,1366.1638,
1823.740,1348.6101,
1820.830,1368.0848,
1817.919,1357.9625,
1815.009,1352.5375,
1812.098,1398.9271,
1809.188,1362.0408,
1806.277,1402.2762,
1803.366,1402.2685,
1800.456,1346.1735,
1797.545,1380.7251,
1794.635,1392.0249,
1791.724,1376.6868,
1788.813,1405.0446,
1785.903,1394.5814,
1782.992,1409.3483,
1780.082,1401.0828,
1777.171,1423.9192,
1774.261,1442.0102,
1771.350,1462.3948,
1768.439,1455.7799,
1765.529,1465.801,
1762.618,1499.3175,
1759.708,1483.4564,
1756.797,1459.4924,
1753.887,1466.0459,
1750.976,1456.4326,
1748.065,1489.1763,
1745.155,1488.5922,
1742.244,1472.5743,
1739.334,1489.6829,
1736.423,1514.9135,
1733.512,1520.0671,
1730.602,1535.7064,
1727.691,1530.5028,
1724.781,1546.1278,
1721.870,1544.0071,
1718.960,1583.3616,
1716.049,1567.0808,
1713.138,1592.1749,
1710.228,1577.2332,
1707.317,1596.3643,
1704.407,1631.5923,
1701.496,1640.7193,
1698.586,1619.0744,
1695.675,1677.1354,
1692.764,1651.9016,
1689.854,1727.7422,
1686.943,1748.6429,
1684.033,1695.616,
1681.122,1727.6723,
1678.211,1773.8122,
1675.301,1836.0588,
1672.390,1786.4414,
1669.480,1850.6671,
1666.569,1902.6309,
1663.659,1932.9523,
1660.748,1975.4428,
1657.837,1986.6715,
1654.927,2051.4917,
1652.016,2103.2014,
1649.106,2103.233,
1646.195,2182.8974,
1643.285,2209.6602,
1640.374,2227.8563,
1637.463,2257.6191,
1634.553,2333.8017,
1631.642,2438.3684,
1628.732,2540.9433,
1625.821,2657.3128,
1622.911,2752.709,
1620.000,2943.8184,
1617.089,3111.8868,
1614.179,3260.048,
1611.268,3467.4055,
1608.358,3607.7416,
1605.447,3692.5078,
1602.536,3737.3211,
1599.626,3767.848,
1596.715,3802.016,
1593.805,3757.8504,
1590.894,3717.0232,
1587.984,3724.3753,
1585.073,3687.1124,
1582.162,3710.3059,
1579.252,3645.0578,
1576.341,3573.1756,
1573.431,3578.8294,
1570.520,3529.2149,
1567.610,3538.3288,
1564.699,3518.2488,
1561.788,3462.8842,
1558.878,3367.0978,
1555.967,3300.8594,
1553.057,3239.3194,
1550.146,3162.8574,
1547.235,3105.2756,
1544.325,3103.0849,
1541.414,3079.6062,
1538.504,3034.8635,
1535.593,3015.407,
1532.683,2977.5518,
1529.772,2930.3314,
1526.861,2904.3755,
1523.951,2886.3682,
1521.040,2867.6958,
1518.130,2801.7651,
1515.219,2738.7703,
1512.309,2728.7365,
1509.398,2720.7901,
1506.487,2685.9345,
1503.577,2728.5188,
1500.666,2689.0941,
1497.756,2638.8007,
1494.845,2621.33,
1491.934,2623.2059,
1489.024,2609.731,
1486.113,2519.3101,
1483.203,2500.7038,
1480.292,2483.1283,
1477.382,2436.6046,
1474.471,2405.5308,
1471.560,2372.4004,
1468.650,2352.0009,
1465.739,2309.4611,
1462.829,2296.6054,
1459.918,2311.0899,
1457.008,2316.2192,
1454.097,2311.9392,
1451.186,2317.9831,
1448.276,2325.4534,
1445.365,2312.1062,
1442.455,2313.0027,
1439.544,2332.3599,
1436.633,2291.25,
1433.723,2288.3837,
1430.812,2263.817,
1427.902,2208.8588,
1424.991,2234.4484,
1422.081,2175.614,
1419.170,2216.9093,
1416.259,2185.367,
1413.349,2171.7186,
1410.438,2154.8548,
1407.528,2142.4563,
1404.617,2156.8638,
1401.707,2162.3608,
1398.796,2161.9143,
1395.885,2195.9471,
1392.975,2221.7911,
1390.064,2180.1801,
1387.154,2129.4362,
1384.243,2094.6633,
1381.332,2085.1273,
1378.422,2112.9839,
1375.511,2204.7884,
1372.601,2332.5051,
1369.690,2380.9678,
1366.780,2510.8075,
1363.869,2544.703,
1360.958,2565.7167,
1358.048,2595.8293,
1355.137,2654.4588,
1352.227,2719.041,
1349.316,2773.3015,
1346.406,2847.1391,
1343.495,2920.2396,
1340.584,2930.1428,
1337.674,2951.0805,
1334.763,3092.485,
1331.853,3124.9381,
1328.942,3152.9339,
1326.032,3149.725,
1323.121,3224.5693,
1320.210,3280.5505,
1317.300,3308.2351,
1314.389,3357.848,
1311.479,3383.5802,
1308.568,3405.3243,
1305.657,3495.4456,
1302.747,3556.2938,
1299.836,3589.572,
1296.926,3715.8137,
1294.015,3770.9732,
1291.105,3879.7956,
1288.194,3992.4954,
1285.283,4088.8503,
1282.373,4171.0389,
1279.462,4217.0732,
1276.552,4258.0533,
1273.641,4283.6579,
1270.731,4285.0694,
1267.820,4311.8101,
1264.909,4286.8873,
1261.999,4284.0503,
1259.088,4278.5775,
1256.178,4216.5851,
1253.267,4128.7633,
1250.356,4088.3187,
1247.446,3988.1338,
1244.535,3899.4644,
1241.625,3817.1168,
1238.714,3709.1433,
1235.804,3644.7404,
1232.893,3586.3794,
1229.982,3563.9502,
1227.072,3496.0518,
1224.161,3460.1514,
1221.251,3389.4777,
1218.340,3332.916,
1215.430,3296.0823,
1212.519,3240.5016,
1209.608,3191.9588,
1206.698,3202.1864,
1203.787,3233.2349,
1200.877,3262.7017,
1197.966,3302.2647,
1195.055,3406.6398,
1192.145,3458.0605,
1189.234,3526.3437,
1186.324,3603.6181,
1183.413,3651.9657,
1180.503,3668.9716,
1177.592,3667.0982,
1174.681,3628.9829,
1171.771,3617.8598,
1168.860,3514.2614,
1165.950,3467.1607,
1163.039,3463.1388,
1160.129,3408.6239,
1157.218,3331.2719,
1154.307,3306.9461,
1151.397,3321.6947,
1148.486,3281.6016,
1145.576,3271.2863,
1142.665,3249.0885,
1139.754,3215.5185,
1136.844,3186.5406,
1133.933,3167.8659,
1131.023,3166.9152,
1128.112,3160.7518,
1125.202,3135.1099,
1122.291,3128.8848,
1119.380,3154.6571,
1116.470,3196.1359,
1113.559,3226.7672,
1110.649,3221.1531,
1107.738,3190.1382,
1104.828,3184.2296,
1101.917,3202.883,
1099.006,3200.5798,
1096.096,3215.2824,
1093.185,3199.4784,
1090.275,3257.3267,
1087.364,3212.9296,
1084.453,3192.9996,
1081.543,3194.306,
1078.632,3212.7546,
1075.722,3254.4709,
1072.811,3213.8013,
1069.901,3235.6328,
1066.990,3265.5416,
1064.079,3258.6397,
1061.169,3290.3588,
1058.258,3328.0258,
1055.348,3347.8325,
1052.437,3376.8577,
1049.527,3395.8878,
1046.616,3412.3955,
1043.705,3455.8713,
1040.795,3431.2167,
1037.884,3438.0656,
1034.974,3453.3325,
1032.063,3439.6882,
1029.153,3462.7427,
1026.242,3483.5016,
1023.331,3524.2474,
1020.421,3536.4326,
1017.510,3532.087,
1014.600,3559.3927,
1011.689,3618.6438,
1008.778,3667.3662,
1005.868,3727.1149,
1002.957,3823.4746,
1000.047,4005.6901,
997.136,4110.5375,
994.226,4125.9733,
991.315,4091.2005,
988.404,4041.5494,
985.494,3985.3485,
982.583,3945.0904,
979.673,3888.0347,
976.762,3839.8949,
973.852,3825.8802,
970.941,3841.6595,
968.030,3856.3945,
965.120,3840.0603,
962.209,3794.8755,
959.299,3828.3285,
956.388,3841.3303,
953.477,3847.2926,
950.567,3867.5699,
947.656,3889.6983,
944.746,3900.7426,
941.835,3914.207,
938.925,3924.4886,
936.014,3931.7908,
933.103,3926.4226,
930.193,3901.6605,
927.282,3864.4545,
924.372,3812.8724,
921.461,3768.6936,
918.551,3736.6601,
915.640,3676.9311,
912.729,3621.4956,
909.819,3639.5819,
906.908,3626.9456,
903.998,3623.8639,
901.087,3670.3515,
898.176,3737.8116,
895.266,3776.8542,
892.355,3774.5165,
889.445,3824.0333,
886.534,3876.0121,
883.624,3919.2188,
880.713,3939.8432,
877.802,3952.24,
874.892,3953.4615,
871.981,3891.816,
869.071,3873.4369,
866.160,3887.499,
863.250,3854.3622,
860.339,3856.2692,
857.428,3908.6496,
854.518,3834.5148,
851.607,3843.6676,
848.697,3850.0647,
845.786,3836.681,
842.875,3843.5725,
839.965,3885.7646,
837.054,3897.1384,
834.144,3887.1933,
831.233,3854.5856,
828.323,3822.4346,
825.412,3812.6551,
822.501,3826.1648,
819.591,3814.5953,
816.680,3708.4806,
813.770,3684.1295,
810.859,3654.1144,
807.949,3620.9354,
805.038,3631.0597,
802.127,3612.9509,
799.217,3601.5599,
796.306,3605.6284,
793.396,3587.5017,
790.485,3560.9896,
787.574,3600.7518,
784.664,3587.63,
781.753,3623.4961,
778.843,3623.6269,
775.932,3611.04,
773.022,3635.3794,
770.111,3694.2451,
767.200,3650.2873,
764.290,3612.7128,
761.379,3614.7618,
758.469,3638.6461,
755.558,3619.9857,
752.648,3577.6263,
749.737,3535.305,
746.826,3476.6888,
743.916,3398.9768,
741.005,3296.9744,
738.095,3108.619,
735.184,2949.6736,
732.274,2919.9672,
729.363,3053.2061,
726.452,3296.5155,
723.542,3430.8748,
720.631,3511.6457,
717.721,3564.6108,
714.810,3597.909,
711.899,3605.844,
708.989,3565.4978,
706.078,3552.4292,
703.168,3521.9251,
700.257,3489.3974,
697.347,3466.0763,
694.436,3458.4682,
691.525,3466.5063,
688.615,3433.6599,
685.704,3458.1461,
682.794,3509.0586,
679.883,3481.421,
676.973,3462.9895,
674.062,3442.0218,
671.151,3474.768,
668.241,3522.5791,
665.330,3501.25,
662.420,3501.25,
659.509,3518.3931,
656.598,3539.0687,
653.688,3544.9685,
650.777,3516.926,
647.867,3507.37,
644.956,3523.8245,
642.046,3551.4193,
639.135,3559.9966,
636.224,3506.429,
633.314,3542.1563,
630.403,3556.5709,
627.493,3558.3296,
624.582,3568.846,
621.672,3629.8295,
618.761,3570.6949,
615.850,3585.9622,
612.940,3649.0865,
610.029,3708.6217,
607.119,3662.8231,
604.208,3612.8092,
601.297,3625.1581,
598.387,3650.2307,
595.476,3638.0726,
592.566,3667.9812,
589.655,3658.9964,
586.745,3637.797,
583.834,3601.8049,
580.923,3536.2358,
578.013,3533.8816,
575.102,3544.1482,
572.192,3560.8248,
569.281,3586.6544,
566.371,3644.5685,
563.460,3677.0578,
560.549,3669.2461,
557.639,3659.9925,
554.728,3691.5165,
551.818,3727.411,
548.907,3726.1088,
545.996,3742.7998,
543.086,3777.2434,
540.175,3772.5715,
537.265,3801.2212,
534.354,3806.2297,
531.444,3805.8232,
528.533,3821.4088,
525.622,3837.7037,
522.712,3847.3175,
519.801,3864.9977,
516.891,3889.4411,
513.980,3900.2812,
511.070,4002.676,
508.159,4041.4295,
505.248,4059.0315,
502.338,4125.854,
499.427,4180.6541,
496.517,4238.2399,
493.606,4264.8567,
490.695,4254.0687,
487.785,4267.1552,
484.874,4308.6697,
481.964,4306.5791,
479.053,4259.8284,
476.143,4203.7671,
473.232,4244.1336,
470.321,4234.4883,
467.411,4215.6206,
464.500,4243.2888,
461.590,4244.8203,
458.679,4284.8712,
455.769,4269.6753,
452.858,4173.0105,
449.947,4237.9446,
447.037,4255.4973,
444.126,4261.947,
441.216,4267.8531,
438.305,4265.5673,
435.395,4277.7071,
432.484,4265.0794,
429.573,4256.3552,
426.663,4333.8896,
423.752,4290.0358,
420.842,4229.8884,
417.931,4214.8466,
415.020,4322.5334,
412.110,4365.0255,
409.199,4394.4089,
406.289,4420.0892,
403.378,4450.2295,
400.468,4444.1816,
397.557,4418.5991,
394.646,4377.9345,
391.736,4326.8013,
388.825,4281.5474,
385.915,4268.25,
383.004,4275.3886,
380.094,4298.0486,
377.183,4392.1082,
374.272,4479.0414,
371.362,4535.8422,
368.451,4553.8091,
365.541,4628.8627,
362.630,4653.6199,
359.719,4664.0573,
356.809,4682.8326,
353.898,4725.5141,
350.988,4743.2174,
348.077,4730.8255,
345.167,4688.7798,
342.256,4699.2387,
339.345,4736.7931,
336.435,4761.9757,
333.524,4749.7767,
330.614,4798.2118,
327.703,4836.3532,
324.793,4859.7967,
321.882,4864.3473,
318.971,4904.4933,
316.061,4953.8969,
313.150,4980.8572,
310.240,4947.462,
307.329,5037.0089,
304.418,5079.1774,
301.508,5078.57,
298.597,5049.6937,
295.687,5083.821,
292.776,5144.5836,
289.866,5256.9392,
286.955,5502.1961,
284.044,5691.5798,
281.134,5885.3009,
278.223,6080.1416,
275.313,6202.4596,
272.402,6361.8577,
269.492,6521.6206,
266.581,6661.5607,
263.670,6707.877,
260.760,6793.8613,
257.849,6895.4079,
254.939,6995.9498,
252.028,7064.5676,
249.117,7110.8072,
246.207,7110.0584,
243.296,7012.6975,
240.386,7048.6124,
237.475,7000.2545,
234.565,6868.0655,
231.654,6771.6549,
228.743,6685.0827,
225.833,6603.931,
222.922,6525.2559,
220.012,6418.1582,
217.101,6298.8469,
214.191,6220.4295,
211.280,6250.983,
208.369,6227.0103,
205.459,6179.9145,
202.548,6125.4923,
199.638,6109.528,
196.727,6123.5365,
193.816,6154.9134,
190.906,6195.1264,
187.995,6106.0714,
185.085,6135.3027,
182.174,6175.0222,
179.264,6074.5577,
176.353,6179.231,
173.442,6222.134,
170.532,6172.5811,
167.621,6081.0172,
164.711,6008.4233,
161.800,5897.9105,
158.890,5700.7051,
155.979,5322.875,
153.068,4870.7253,
150.158,4350.4018,
147.247,3745.886,
144.337,3083.1656,
141.426,2440.7909,
138.516,1857.9583,
135.605,1330.2044,
132.694,902.91859,
129.784,573.69341,
126.873,365.59062,
123.963,258.376,
121.052,191.40278,
118.141,146.42695,
115.231,103.61578,
112.320,87.520908,
109.410,86.38654,
106.499,71.43128,
103.589,58.165419,
100.678,50.521622,
97.767,51.232559,
94.857,40.162175,
91.946,36.056222,
89.036,37.024204,
86.125,35.605794,
83.215,32.064478,
80.304,29.010567,
77.393,28.302397,
74.483,24.31919,
71.572,21.887648,
68.662,20.834395,
65.751,16.595689,
62.840,19.103616,
59.930,23.25,
57.019,23.25,
54.109,18.472713,
51.198,15.25,
48.288,15.317949,
45.377,23.758486,
42.466,24.776684,
39.556,21.365119,
36.645,22.067309,
33.735,23.807745,
30.824,24.808226,
27.914,23.405876,
25.003,19.514175,
22.092,16.281286,
19.182,14.936486,
16.271,35.92119,
13.361,138.23513,
10.450,310.75869,
7.539,563.54885,
4.629,652.48462,
1.718,560.92696,
-1.192,191.44035,
-4.103,50.061229,
-7.013,-7.4057539,
-9.924,0.25,
