,PLD1E6~1,
Wavenumbers [1/cm],Intensity,
1430.812,3654.518,
1427.902,3702.0206,
1424.991,3713.3937,
1422.081,3694.483,
1419.170,3764.467,
1416.259,3723.0959,
1413.349,3728.8758,
1410.438,3748.0458,
1407.528,3762.7624,
1404.617,3723.7154,
1401.707,3663.6033,
1398.796,3650.0227,
1395.885,3677.3918,
1392.975,3684.7078,
1390.064,3664.8102,
1387.154,3671.152,
1384.243,3672.8184,
1381.332,3660.41,
1378.422,3683.3144,
1375.511,3868.797,
1372.601,3994.3189,
1369.690,4049.3256,
1366.780,4131.9933,
1363.869,4201.1504,
1360.958,4308.219,
1358.048,4403.5882,
1355.137,4449.8407,
1352.227,4521.6,
1349.316,4661.7951,
1346.406,4777.0521,
1343.495,4817.4208,
1340.584,4896.9992,
1337.674,4967.403,
1334.763,5122.3619,
1331.853,5112.1623,
1328.942,5214.9278,
1326.032,5335.4119,
1323.121,5476.0814,
1320.210,5588.6694,
1317.300,5649.5397,
1314.389,5761.8213,
1311.479,5865.2936,
1308.568,5981.5276,
1305.657,6192.5887,
1302.747,6319.7618,
1299.836,6481.5437,
1296.926,6576.8168,
1294.015,6814.9216,
1291.105,7036.08,
1288.194,7219.7061,
1285.283,7429.1587,
1282.373,7579.0153,
1279.462,7722.8266,
1276.552,7890.4827,
1273.641,8025.0165,
1270.731,8068.6351,
1267.820,8046.3345,
1264.909,8044.8709,
1261.999,8045.8166,
1259.088,8047.6408,
1256.178,7925.2767,
1253.267,7718.3215,
1250.356,7456.5421,
1247.446,7244.9249,
1244.535,7014.1076,
1241.625,6740.4466,
1238.714,6479.6164,
1235.804,6259.2697,
1232.893,6107.0335,
1229.982,5951.101,
1227.072,5843.3689,
1224.161,5696.2264,
1221.251,5581.1534,
1218.340,5526.781,
1215.430,5463.6513,
1212.519,5398.301,
1209.608,5350.3225,
1206.698,5306.537,
1203.787,5283.7601,
1200.877,5323.8674,
1197.966,5358.0354,
1195.055,5529.5465,
1192.145,5627.1222,
1189.234,5796.3771,
1186.324,5955.9395,
1183.413,6006.8515,
1180.503,5982.3657,
1177.592,5965.8508,
1174.681,5941.7774,
1171.771,5954.6991,
1168.860,5909.1516,
1165.950,5899.9123,
1163.039,5869.4171,
1160.129,5847.3123,
1157.218,5798.4452,
1154.307,5740.1351,
1151.397,5723.9636,
1148.486,5730.5079,
1145.576,5681.7841,
1142.665,5636.5005,
1139.754,5560.337,
1136.844,5513.637,
1133.933,5457.3485,
1131.023,5422.9732,
1128.112,5416.9645,
1125.202,5412.3007,
1122.291,5404.9926,
1119.380,5385.75,
1116.470,5385.75,
1113.559,5415.1335,
1110.649,5375.2914,
1107.738,5336.8904,
1104.828,5333.6559,
1101.917,5336.4656,
1099.006,5310.2656,
1096.096,5282.3839,
1093.185,5325.406,
1090.275,5356.2652,
1087.364,5402.5451,
1084.453,5462.9348,
1081.543,5534.3134,
1078.632,5589.7045,
1075.722,5602.5619,
1072.811,5599.8884,
1069.901,5573.6906,
1066.990,5558.0084,
1064.079,5533.6541,
1061.169,5481.2228,
1058.258,5461.9955,
1055.348,5486.5715,
1052.437,5508.8691,
1049.527,5575.9178,
1046.616,5580.262,
1043.705,5606.1852,
1040.795,5585.0173,
1037.884,5613.7607,
1034.974,5680.8402,
1032.063,5716.4117,
1029.153,5706.2693,
1026.242,5710.5941,
1023.331,5810.7436,
1020.421,5791.7123,
1017.510,5813.9693,
1014.600,5862.936,
1011.689,5913.1213,
1008.778,5980.8551,
1005.868,6006.1245,
1002.957,6159.2676,
1000.047,6400.4221,
997.136,6617.4222,
994.226,6757.3647,
991.315,6798.4406,
988.404,6758.7784,
985.494,6722.3664,
982.583,6705.2353,
979.673,6684.4588,
976.762,6704.1696,
973.852,6755.9008,
970.941,6795.0826,
968.030,6788.75,
965.120,6789.0829,
962.209,6868.3694,
959.299,6849.8788,
956.388,6845.1495,
953.477,6849.6949,
950.567,6851.1942,
947.656,6867.0923,
944.746,6892.579,
941.835,6894.5598,
938.925,6864.4797,
936.014,6859.8782,
933.103,6842.1494,
930.193,6792.5466,
927.282,6796.9674,
924.372,6671.8176,
921.461,6522.4616,
918.551,6443.3796,
915.640,6365.5073,
912.729,6259.3523,
909.819,6173.4164,
906.908,6170.8891,
903.998,6153.252,
901.087,6165.9357,
898.176,6171.9324,
895.266,6200.1247,
892.355,6288.5972,
889.445,6389.3092,
886.534,6458.2095,
883.624,6552.4899,
880.713,6596.3432,
877.802,6558.3682,
874.892,6400.4313,
871.981,6046.8513,
869.071,5797.0629,
866.160,5912.4407,
863.250,6177.705,
860.339,6341.9368,
857.428,6346.1941,
854.518,6448.1894,
851.607,6255.9814,
848.697,6026.7221,
845.786,5904.5362,
842.875,5973.0218,
839.965,6186.8479,
837.054,6320.3361,
834.144,6372.5475,
831.233,6363.4181,
828.323,6353.75,
825.412,6328.9589,
822.501,6262.7497,
819.591,6185.0681,
816.680,6097.814,
813.770,5963.353,
810.859,5875.8954,
807.949,5831.906,
805.038,5784.8275,
802.127,5826.8069,
799.217,5714.469,
796.306,5679.2906,
793.396,5693.2616,
790.485,5713.1193,
787.574,5726.871,
784.664,5756.395,
781.753,5811.4028,
778.843,5850.4525,
775.932,5895.9964,
773.022,5958.6781,
770.111,5925.975,
767.200,5883.4004,
764.290,5835.4994,
761.379,5799.1156,
758.469,5776.2627,
755.558,5750.4614,
752.648,5707.2874,
749.737,5681.7775,
746.826,5650.3714,
743.916,5585.1001,
741.005,5473.121,
738.095,5387.8739,
735.184,5311.2494,
732.274,5286.3277,
729.363,5338.857,
726.452,5468.8393,
723.542,5629.9086,
720.631,5678.506,
717.721,5755.4816,
714.810,5776.3411,
711.899,5748.6807,
708.989,5821.304,
706.078,5830.5643,
703.168,5779.3146,
