,PL2B6E~1,
Wavenumbers [1/cm],Intensity,
1983.822,1634.2736,
1980.912,1597.6319,
1978.001,1618.3437,
1975.090,1585.7958,
1972.180,1585.1276,
1969.269,1618.4684,
1966.359,1623.9121,
1963.448,1568.8834,
1960.538,1598.4406,
1957.627,1603.5085,
1954.716,1578.4682,
1951.806,1603.21,
1948.895,1571.4545,
1945.985,1560.2435,
1943.074,1572.4217,
1940.164,1558.3942,
1937.253,1540.1025,
1934.342,1505.6559,
1931.432,1505.1412,
1928.521,1546.5186,
1925.611,1531.5945,
1922.700,1487.884,
1919.790,1490.0851,
1916.879,1508.4945,
1913.968,1552.6971,
1911.058,1493.9662,
1908.147,1479.3778,
1905.237,1529.294,
1902.326,1466.0448,
1899.415,1485.1305,
1896.505,1407.7737,
1893.594,1401.3629,
1890.684,1466.3381,
1887.773,1488.3706,
1884.863,1497.4903,
1881.952,1510.5149,
1879.041,1500.3767,
1876.131,1503.0794,
1873.220,1466.3959,
1870.310,1490.454,
1867.399,1525.2222,
1864.489,1520.2437,
1861.578,1507.0962,
1858.667,1504.4176,
1855.757,1532.9242,
1852.846,1558.4833,
1849.936,1532.4257,
1847.025,1509.5675,
1844.114,1553.2465,
1841.204,1562.8654,
1838.293,1558.7267,
1835.383,1581.494,
1832.472,1575.703,
1829.562,1583.9977,
1826.651,1587.596,
1823.740,1602.2213,
1820.830,1581.7419,
1817.919,1579.4506,
1815.009,1597.0184,
1812.098,1592.5689,
1809.188,1611.4476,
1806.277,1630.3516,
1803.366,1597.4487,
1800.456,1638.9149,
1797.545,1641.3812,
1794.635,1635.17,
1791.724,1622.3713,
1788.813,1647.7526,
1785.903,1639.1009,
1782.992,1560.8751,
1780.082,1465.0212,
1777.171,1377.0744,
1774.261,1367.8405,
1771.350,1476.236,
1768.439,1615.202,
1765.529,1676.2065,
1762.618,1682.4694,
1759.708,1677.7935,
1756.797,1700.1894,
1753.887,1733.5459,
1750.976,1740.4431,
1748.065,1755.7976,
1745.155,1756.892,
1742.244,1713.6704,
1739.334,1765.2747,
1736.423,1784.3257,
1733.512,1772.2012,
1730.602,1783.9623,
1727.691,1818.6888,
1724.781,1830.1097,
1721.870,1827.5309,
1718.960,1839.0835,
1716.049,1840.0721,
1713.138,1867.9649,
1710.228,1866.6579,
1707.317,1876.3649,
1704.407,1885.8356,
1701.496,1892.2193,
1698.586,1900.1419,
1695.675,1864.2574,
1692.764,1970.623,
1689.854,1953.7894,
1686.943,1952.75,
1684.033,2003.4585,
1681.122,2009.665,
1678.211,2060.2646,
1675.301,2064.7377,
1672.390,2132.9414,
1669.480,2196.9907,
1666.569,2226.7881,
1663.659,2230.3543,
1660.748,2268.0804,
1657.837,2335.7937,
1654.927,2338.9917,
1652.016,2391.7706,
1649.106,2435.2226,
1646.195,2535.4283,
1643.285,2603.8411,
1640.374,2608.9416,
1637.463,2667.5062,
1634.553,2820.144,
1631.642,2980.7706,
1628.732,3075.0595,
1625.821,3294.8998,
1622.911,3522.4596,
1620.000,3702.4696,
1617.089,3960.556,
1614.179,4221.3331,
1611.268,4563.8121,
1608.358,4760.7131,
1605.447,4956.4372,
1602.536,5010.6168,
1599.626,5067.1061,
1596.715,5002.7723,
1593.805,5028.8403,
1590.894,4918.2629,
1587.984,4899.2856,
1585.073,4800.0553,
1582.162,4781.0802,
1579.252,4705.4663,
1576.341,4648.6968,
1573.431,4705.3198,
1570.520,4667.9505,
1567.610,4615.7299,
1564.699,4550.8228,
1561.788,4441.3142,
1558.878,4396.2396,
1555.967,4320.7375,
1553.057,4229.5264,
1550.146,4120.0884,
1547.235,4020.5723,
1544.325,3915.624,
1541.414,3842.3079,
1538.504,3798.5185,
1535.593,3747.9174,
1532.683,3682.7015,
1529.772,3613.8941,
1526.861,3584.1523,
1523.951,3582.5137,
1521.040,3567.1026,
1518.130,3515.4608,
1515.219,3459.9893,
1512.309,3472.3536,
1509.398,3417.3416,
1506.487,3326.0895,
1503.577,3254.8647,
1500.666,3267.8933,
1497.756,3179.1565,
1494.845,3146.6694,
1491.934,3120.5736,
1489.024,3066.674,
1486.113,3032.2975,
1483.203,2997.776,
1480.292,2946.2334,
1477.382,2880.3644,
1474.471,2776.1993,
1471.560,2745.8473,
1468.650,2763.1984,
1465.739,2748.0519,
1462.829,2678.0523,
1459.918,2629.8052,
1457.008,2642.5656,
1454.097,2642.8772,
1451.186,2623.9086,
1448.276,2656.3158,
1445.365,2694.6773,
1442.455,2671.0038,
1439.544,2655.3776,
1436.633,2680.177,
1433.723,2667.5158,
1430.812,2628.3858,
1427.902,2599.9226,
1424.991,2649.2062,
1422.081,2570.012,
1419.170,2659.5248,
1416.259,2626.1462,
1413.349,2613.2395,
1410.438,2640.7412,
1407.528,2591.5945,
1404.617,2580.648,
1401.707,2550.1152,
1398.796,2547.9282,
1395.885,2589.6831,
1392.975,2588.8751,
1390.064,2579.5061,
1387.154,2551.7222,
1384.243,2573.8896,
1381.332,2612.4381,
1378.422,2577.2373,
1375.511,2722.4383,
1372.601,2810.456,
1369.690,2848.61,
1366.780,2957.5066,
1363.869,3002.9119,
1360.958,3039.4597,
1358.048,3128.3207,
1355.137,3180.8527,
1352.227,3220.2666,
1349.316,3332.7951,
1346.406,3429.2127,
1343.495,3447.109,
1340.584,3571.4284,
1337.674,3599.8301,
1334.763,3734.3146,
1331.853,3749.1503,
1328.942,3813.7914,
1326.032,3854.3748,
1323.121,3972.1537,
1320.210,4070.0169,
1317.300,4143.4272,
1314.389,4257.5155,
1311.479,4375.1963,
1308.568,4436.2441,
1305.657,4502.5461,
1302.747,4645.8325,
1299.836,4779.4628,
1296.926,5006.3985,
1294.015,5170.9574,
1291.105,5337.1281,
1288.194,5473.769,
1285.283,5628.0505,
1282.373,5779.6324,
1279.462,5933.1796,
1276.552,6042.3407,
1273.641,6095.0731,
1270.731,6113.2231,
1267.820,6100.6441,
1264.909,6135.1021,
1261.999,6165.0523,
1259.088,6118.5341,
1256.178,5995.8461,
1253.267,5899.7976,
1250.356,5677.6374,
1247.446,5456.6037,
1244.535,5250.8039,
1241.625,5033.6503,
1238.714,4833.3276,
1235.804,4669.027,
1232.893,4515.6314,
1229.982,4483.1623,
1227.072,4377.2408,
1224.161,4283.1781,
1221.251,4227.291,
1218.340,4143.1385,
1215.430,4099.7952,
1212.519,4080.8089,
1209.608,4022.3512,
1206.698,3962.7929,
1203.787,3992.2223,
1200.877,3936.1579,
1197.966,4039.5612,
1195.055,4121.5424,
1192.145,4236.1814,
1189.234,4399.5085,
1186.324,4487.7517,
1183.413,4525.7145,
1180.503,4542.6088,
1177.592,4514.3358,
1174.681,4495.3151,
1171.771,4463.4519,
1168.860,4407.1872,
1165.950,4371.9173,
1163.039,4388.4957,
1160.129,4402.2891,
1157.218,4372.06,
1154.307,4336.0079,
1151.397,4332.9252,
1148.486,4313.5136,
1145.576,4232.1332,
1142.665,4217.9266,
1139.754,4210.241,
1136.844,4187.0406,
1133.933,4132.0025,
1131.023,4111.5524,
1128.112,4114.3944,
1125.202,4090.9191,
1122.291,4082.6436,
1119.380,4130.1524,
1116.470,4069.2579,
1113.559,4063.2965,
1110.649,4048.0337,
1107.738,4038.6784,
1104.828,4040.2466,
1101.917,4021.8556,
1099.006,3985.1723,
1096.096,4055.3849,
1093.185,4016.7527,
1090.275,4054.2135,
1087.364,4080.2169,
1084.453,4140.0592,
1081.543,4201.7846,
1078.632,4227.4964,
1075.722,4222.8694,
1072.811,4215.0603,
1069.901,4219.4266,
1066.990,4158.3168,
1064.079,4125.3761,
1061.169,4144.9174,
1058.258,4145.3053,
1055.348,4144.1458,
1052.437,4218.5217,
1049.527,4236.6423,
1046.616,4207.9709,
1043.705,4244.059,
1040.795,4196.3691,
1037.884,4223.9443,
1034.974,4274.4394,
1032.063,4274.4879,
1029.153,4330.047,
1026.242,4374.1598,
1023.331,4414.0809,
1020.421,4429.4181,
1017.510,4438.3528,
1014.600,4460.936,
1011.689,4490.3111,
1008.778,4507.1746,
1005.868,4539.723,
1002.957,4648.1276,
1000.047,4801.6141,
997.136,5023.6618,
994.226,5176.3187,
991.315,5211.5743,
988.404,5194.724,
985.494,5167.3307,
982.583,5103.9455,
979.673,5072.8006,
976.762,5116.415,
973.852,5150.0979,
970.941,5146.1572,
968.030,5154.0681,
965.120,5207.0078,
962.209,5268.3908,
959.299,5251.8365,
956.388,5218.9114,
953.477,5225.5896,
950.567,5251.3844,
947.656,5233.3205,
944.746,5275.7983,
941.835,5263.1734,
938.925,5266.3305,
936.014,5247.4937,
933.103,5212.6855,
930.193,5176.1653,
927.282,5123.2294,
924.372,5076.7211,
921.461,5025.0932,
918.551,4911.1532,
915.640,4814.8284,
912.729,4764.4537,
909.819,4718.413,
906.908,4685.5584,
903.998,4689.3175,
901.087,4684.3849,
898.176,4711.2905,
895.266,4764.1113,
892.355,4819.8854,
889.445,4895.4194,
886.534,4934.989,
883.624,4966.972,
880.713,5006.3092,
877.802,4969.1773,
874.892,4798.0891,
871.981,4563.2459,
869.071,4330.1657,
866.160,4477.419,
863.250,4710.6236,
860.339,4852.9095,
857.428,4874.3589,
854.518,4906.1041,
851.607,4745.5148,
848.697,4519.6587,
845.786,4457.7742,
842.875,4533.3859,
839.965,4664.188,
837.054,4839.6384,
834.144,4829.6933,
831.233,4782.4199,
828.323,4758.2663,
825.412,4723.9098,
822.501,4653.4095,
819.591,4645.9719,
816.680,4545.5896,
813.770,4454.3407,
810.859,4418.3599,
807.949,4412.2768,
805.038,4382.1615,
802.127,4360.7602,
799.217,4355.023,
796.306,4321.966,
793.396,4290.7423,
790.485,4284.3828,
787.574,4304.023,
784.664,4363.8912,
781.753,4368.7111,
778.843,4424.0698,
775.932,4506.9718,
773.022,4552.6925,
770.111,4526.53,
767.200,4407.5079,
764.290,4359.7703,
761.379,4348.2052,
758.469,4336.0535,
755.558,4310.9688,
752.648,4318.3002,
749.737,4318.4444,
746.826,4308.8918,
743.916,4264.1261,
741.005,4167.597,
738.095,4104.2706,
735.184,4000.2169,
732.274,3973.8456,
729.363,4039.2193,
726.452,4164.2913,
723.542,4261.4185,
720.631,4305.7415,
717.721,4337.7996,
714.810,4372.5453,
711.899,4407.0074,
708.989,4416.6905,
706.078,4399.1213,
703.168,4381.9984,
700.257,4370.4494,
697.347,4349.6647,
694.436,4292.1428,
691.525,4306.6113,
688.615,4280.8201,
685.704,4299.1489,
682.794,4343.1756,
679.883,4333.4524,
676.973,4304.6031,
674.062,4337.673,
671.151,4350.9834,
668.241,4335.2233,
665.330,4320.5987,
662.420,4317.4038,
659.509,4293.2576,
656.598,4293.598,
653.688,4338.895,
650.777,4429.723,
647.867,4428.9267,
644.956,4369.3116,
642.046,4260.6099,
639.135,4170.6977,
636.224,4215.933,
633.314,4252.4542,
630.403,4280.6687,
627.493,4294.1341,
624.582,4291.7483,
621.672,4278.2844,
618.761,4210.1154,
615.850,4271.9492,
612.940,4331.5532,
610.029,4322.3261,
607.119,4361.8077,
604.208,4308.2389,
601.297,4307.1833,
598.387,4327.1703,
595.476,4317.1103,
592.566,4278.544,
589.655,4223.8061,
586.745,4198.6179,
583.834,4192.5037,
580.923,4166.6457,
578.013,4149.3816,
575.102,4179.1653,
572.192,4231.1891,
569.281,4275.6568,
566.371,4258.4391,
563.460,4273.6812,
560.549,4303.1648,
557.639,4333.1955,
554.728,4353.115,
551.818,4390.5702,
548.907,4393.2653,
545.996,4353.5926,
543.086,4313.3585,
540.175,4390.4444,
537.265,4412.4084,
534.354,4434.8041,
531.444,4449.0781,
528.533,4446.9021,
525.622,4477.1641,
522.712,4545.0321,
519.801,4623.7018,
516.891,4685.6545,
513.980,4680.2344,
511.070,4720.6021,
508.159,4757.8078,
505.248,4827.5692,
502.338,4973.2803,
499.427,5059.7255,
496.517,5137.053,
493.606,5199.6125,
490.695,5244.2805,
487.785,5269.6836,
484.874,5244.6699,
481.964,5225.4278,
479.053,5215.2343,
476.143,5192.1954,
473.232,5191.4694,
470.321,5189.8037,
467.411,5181.1652,
464.500,5163.4178,
461.590,5229.2715,
458.679,5270.8624,
455.769,5335.4343,
452.858,5436.1021,
449.947,5449.0889,
447.037,5479.661,
444.126,5552.4651,
441.216,5644.824,
438.305,5639.4905,
435.395,5636.1275,
432.484,5660.5886,
429.573,5687.3424,
426.663,5647.0549,
423.752,5267.1437,
420.842,4852.116,
417.931,4600.3686,
415.020,4767.9657,
412.110,5350.2612,
409.199,5718.718,
406.289,5861.1038,
403.378,5794.3812,
400.468,5685.518,
397.557,5766.9478,
394.646,5921.7307,
391.736,6045.078,
388.825,6086.5607,
385.915,6105.1363,
383.004,6141.3031,
380.094,6215.7922,
377.183,6177.4159,
374.272,6236.7687,
371.362,6303.1082,
368.451,6324.0782,
365.541,6378.8673,
362.630,6390.4726,
359.719,6398.9968,
356.809,6424.3907,
353.898,6401.9268,
350.988,6411.4821,
348.077,6435.2047,
345.167,6457.5713,
342.256,6394.8176,
339.345,6378.8757,
336.435,6390.4657,
333.524,6417.0418,
330.614,6458.0254,
327.703,6481.5315,
324.793,6509.7954,
321.882,6561.7861,
318.971,6576.6549,
316.061,6617.3969,
313.150,6681.0785,
310.240,6765.6797,
307.329,6778.0403,
304.418,6806.8274,
301.508,6814.3007,
298.597,6729.8932,
295.687,6802.6644,
292.776,6855.3334,
289.866,6898.7922,
286.955,7008.1236,
284.044,7083.8374,
281.134,7127.2666,
278.223,7147.139,
275.313,7183.9818,
272.402,7146.4396,
269.492,7096.0062,
266.581,7055.4903,
263.670,7023.8776,
260.760,7122.361,
257.849,7267.1995,
254.939,7400.0323,
252.028,7396.6831,
249.117,7415.3072,
246.207,7448.2735,
243.296,7481.2151,
240.386,7493.8919,
237.475,7512.9649,
234.565,7543.4573,
231.654,7592.393,
228.743,7498.6084,
225.833,7460.1669,
222.922,7545.5417,
220.012,7498.1856,
217.101,7453.7978,
214.191,7439.2678,
