,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
1782.992,2360.6575,
1780.082,2213.6695,
1777.171,2092.7387,
1774.261,2089.4408,
1771.350,2248.564,
1768.439,2451.7375,
1765.529,2508.1082,
1762.618,2498.3894,
1759.708,2507.3803,
1756.797,2528.4015,
1753.887,2569.2121,
1750.976,2569.8534,
1748.065,2584.7976,
1745.155,2597.3887,
1742.244,2543.4548,
1739.334,2589.6982,
1736.423,2629.4023,
1733.512,2655.0346,
1730.602,2644.3016,
1727.691,2667.6888,
1724.781,2719.2251,
1721.870,2732.3595,
1718.960,2714.6609,
1716.049,2745.148,
1713.138,2823.5696,
1710.228,2758.2936,
1707.317,2776.8254,
1704.407,2757.3917,
1701.496,2782.0964,
1698.586,2871.6045,
1695.675,2884.3643,
1692.764,2913.1517,
1689.854,2925.2736,
1686.943,2900.6269,
1684.033,3012.869,
1681.122,3044.2572,
1678.211,3083.3788,
1675.301,3090.7284,
1672.390,3119.07,
1669.480,3226.6725,
1666.569,3340.2929,
1663.659,3305.8279,
1660.748,3373.5459,
1657.837,3515.422,
1654.927,3503.0461,
1652.016,3601.1556,
1649.106,3698.4355,
1646.195,3727.4044,
1643.285,3797.6667,
1640.374,3924.0253,
1637.463,3987.407,
1634.553,4189.6612,
1631.642,4385.9759,
1628.732,4589.8107,
1625.821,4767.9888,
1622.911,5130.6932,
1620.000,5341.0917,
1617.089,5799.4962,
1614.179,6159.5694,
1611.268,6508.6634,
1608.358,6876.3318,
1605.447,7121.9233,
1602.536,7222.4155,
1599.626,7351.1011,
1596.715,7377.1792,
1593.805,7221.3476,
1590.894,7134.9384,
1587.984,7100.6333,
1585.073,6978.4865,
1582.162,6908.4917,
1579.252,6812.8284,
1576.341,6769.7181,
1573.431,6779.4135,
1570.520,6736.3586,
1567.610,6667.357,
1564.699,6576.9721,
1561.788,6477.9197,
1558.878,6386.9841,
1555.967,6299.2902,
1553.057,6148.8202,
1550.146,6019.9101,
1547.235,5905.5979,
1544.325,5776.9687,
1541.414,5661.5039,
1538.504,5595.7945,
1535.593,5533.98,
1532.683,5410.8687,
1529.772,5308.0877,
1526.861,5283.1174,
1523.951,5280.7135,
1521.040,5281.5006,
1518.130,5238.823,
1515.219,5187.3897,
1512.309,5159.0922,
1509.398,5041.5276,
1506.487,5012.9084,
1503.577,4937.7787,
1500.666,4930.8786,
1497.756,4823.0289,
1494.845,4750.8684,
1491.934,4681.7469,
1489.024,4680.7844,
1486.113,4642.7342,
1483.203,4505.6367,
1480.292,4431.8997,
