,PL605E~1,
Wavenumbers [1/cm],Intensity,
1037.884,2666.6008,
1034.974,2671.2539,
1032.063,2709.0959,
1029.153,2737.2041,
1026.242,2749.3135,
1023.331,2750.5833,
1020.421,2760.5094,
1017.510,2769.2322,
1014.600,2788.3984,
1011.689,2788.9399,
1008.778,2729.8593,
1005.868,2689.2481,
1002.957,2633.325,
1000.047,2857.7101,
997.136,3064.5644,
994.226,3186.6725,
991.315,3227.9654,
988.404,3213.9393,
985.494,3208.9636,
982.583,3173.8448,
979.673,3208.2589,
976.762,3239.776,
973.852,3239.3737,
970.941,3231.1595,
968.030,3242.2875,
965.120,3205.9004,
962.209,3241.7071,
959.299,3252.7077,
956.388,3267.0692,
953.477,3287.0257,
950.567,3306.4556,
947.656,3321.9782,
944.746,3338.9693,
941.835,3317.0752,
938.925,3310.4339,
936.014,3302.6684,
933.103,3294.6907,
930.193,3284.9595,
927.282,3250.7711,
924.372,3195.8067,
921.461,3149.7208,
918.551,3108.4461,
915.640,3066.6529,
912.729,3043.9956,
909.819,3052.4071,
906.908,2966.4798,
903.998,3029.356,
901.087,3006.6501,
898.176,3027.1747,
895.266,3094.1113,
892.355,3136.3782,
889.445,3139.7353,
886.534,3191.5121,
883.624,3223.9535,
880.713,3195.4526,
877.802,3081.6712,
874.892,2836.5313,
871.981,2375.1547,
869.071,2053.5208,
866.160,2252.3451,
863.250,2691.7557,
860.339,3048.3216,
857.428,3150.3324,
854.518,3107.5525,
851.607,2858.7638,
848.697,2553.0039,
845.786,2393.2706,
842.875,2500.8126,
839.965,2827.3293,
837.054,3085.5732,
834.144,3069.8269,
831.233,3083.4155,
828.323,3090.7609,
825.412,3084.2766,
822.501,3069.1754,
819.591,3049.3419,
816.680,3045.5449,
813.770,2978.9672,
810.859,2936.5913,
807.949,2928.6158,
805.038,2918.646,
802.127,2926.0542,
799.217,2877.5542,
796.306,2865.2906,
793.396,2878.0936,
790.485,2901.1732,
787.574,2933.3728,
784.664,2949.775,
781.753,2967.5116,
778.843,3024.7384,
775.932,3077.3673,
773.022,3075.9605,
770.111,3057.9737,
767.200,3033.1493,
764.290,2995.7003,
761.379,2977.6887,
758.469,2983.9593,
755.558,2984.3124,
752.648,2969.6495,
749.737,2996.1255,
746.826,2985.1754,
743.916,2967.0359,
741.005,2993.8896,
738.095,2950.8602,
735.184,2941.4596,
732.274,2935.0169,
729.363,2937.4746,
726.452,2949.7268,
723.542,2944.061,
720.631,2994.9741,
717.721,3027.9354,
714.810,3032.7557,
711.899,3024.0767,
708.989,3042.636,
706.078,3066.7891,
703.168,3022.3507,
700.257,2990.9877,
697.347,3000.1405,
694.436,3026.4008,
691.525,3013.54,
688.615,2997.5429,
685.704,2993.2035,
682.794,3010.3882,
679.883,3051.2093,
676.973,3039.1888,
674.062,3047.5974,
671.151,3028.7652,
668.241,2999.3707,
665.330,3007.3718,
662.420,2999.3845,
659.509,2997.1151,
656.598,3001.943,
653.688,3029.6839,
650.777,3098.3459,
647.867,3056.9368,
644.956,2958.5924,
642.046,2820.0012,
639.135,2712.4401,
636.224,2753.4105,
633.314,2885.2043,
630.403,2980.8271,
627.493,3023.3659,
624.582,3027.8706,
621.672,3050.8384,
618.761,3060.8693,
615.850,3095.1563,
612.940,3113.9193,
610.029,3101.4076,
607.119,3105.3558,
604.208,3127.0504,
601.297,3098.8597,
598.387,3071.2089,
595.476,3092.9673,
592.566,3074.0777,
589.655,3075.9331,
586.745,3058.3535,
583.834,3035.4829,
580.923,3048.5841,
578.013,3021.1184,
575.102,3031.5312,
572.192,3041.1772,
569.281,3039.3898,
566.371,3065.2164,
563.460,3091.0305,
560.549,3107.0846,
557.639,3108.1102,
554.728,3095.0658,
551.818,3131.7406,
548.907,3167.783,
545.996,3188.8603,
543.086,3200.125,
540.175,3229.7135,
537.265,3233.9228,
534.354,3225.7196,
531.444,3223.4378,
528.533,3247.5926,
525.622,3343.8101,
522.712,3352.0082,
519.801,3348.7144,
516.891,3365.8273,
513.980,3410.7365,
511.070,3465.463,
508.159,3509.1956,
505.248,3536.2536,
502.338,3547.1614,
499.427,3663.708,
496.517,3715.1136,
493.606,3764.7357,
490.695,3833.1408,
487.785,3843.1481,
484.874,3842.1651,
481.964,3863.5903,
479.053,3874.7902,
476.143,3787.2424,
473.232,3789.6634,
470.321,3809.7802,
467.411,3811.2881,
464.500,3763.6227,
461.590,3798.081,
458.679,3831.4127,
455.769,3886.6673,
452.858,3964.9091,
449.947,3966.4369,
447.037,3977.6717,
444.126,4012.4773,
441.216,4055.2522,
438.305,4029.3465,
435.395,4078.2009,
432.484,4104.9165,
429.573,4065.0545,
426.663,3899.3439,
423.752,3220.4122,
420.842,2378.2466,
417.931,1756.1642,
415.020,1884.3267,
412.110,2893.9865,
409.199,3555.6592,
406.289,3837.644,
403.378,3763.0226,
400.468,3548.3202,
397.557,3639.1364,
394.646,3895.0641,
391.736,4184.1786,
388.825,4291.2794,
385.915,4351.4885,
383.004,4362.7584,
380.094,4330.4756,
377.183,4383.9014,
374.272,4440.5441,
371.362,4471.6294,
368.451,4462.6162,
365.541,4476.8764,
362.630,4524.9955,
359.719,4531.8573,
356.809,4462.9701,
353.898,4499.6613,
350.988,4516.2598,
348.077,4520.0075,
345.167,4514.8418,
342.256,4496.9122,
339.345,4524.6988,
336.435,4547.3654,
333.524,4531.1963,
330.614,4545.3542,
327.703,4550.2634,
324.793,4559.5149,
321.882,4584.7644,
318.971,4590.712,
316.061,4641.0931,
313.150,4700.7571,
310.240,4729.6996,
307.329,4814.3625,
304.418,4883.7703,
301.508,4942.307,
298.597,5000.7999,
295.687,5000.3321,
292.776,5057.7503,
289.866,5151.2471,
286.955,5196.3094,
284.044,5281.8124,
281.134,5358.1136,
278.223,5421.8215,
275.313,5504.3492,
272.402,5513.0365,
269.492,5414.5458,
266.581,5207.0791,
263.670,5085.7744,
260.760,5262.3152,
257.849,5518.6237,
254.939,5698.4249,
252.028,5745.6284,
249.117,5828.0763,
246.207,5954.2392,
243.296,6141.6406,
240.386,6255.7808,
237.475,6329.9538,
234.565,6375.1919,
231.654,6416.0934,
228.743,6494.3695,
225.833,6558.2508,
222.922,6589.6378,
220.012,6651.565,
217.101,6755.1717,
214.191,6858.5791,
211.280,6914.5938,
208.369,6984.6857,
205.459,7032.72,
202.548,7074.5495,
199.638,7177.5917,
196.727,7256.3716,
193.816,7316.8114,
190.906,7361.4927,
187.995,7439.6873,
185.085,7529.6398,
182.174,7591.7188,
179.264,7562.0854,
176.353,7601.6822,
173.442,7633.7263,
170.532,7637.9212,
167.621,7553.567,
164.711,7374.6564,
161.800,7092.6811,
158.890,6679.5575,
155.979,6247.5535,
153.068,5799.8453,
150.158,5298.9234,
147.247,4594.6122,
144.337,3828.8079,
141.426,3053.3017,
138.516,2290.5294,
135.605,1632.5668,
132.694,1110.4609,
129.784,714.01941,
126.873,453.71215,
123.963,302.30087,
121.052,205.37015,
118.141,148.97189,
115.231,118.19547,
112.320,95.582738,
109.410,80.386447,
106.499,73.264895,
103.589,63.906437,
100.678,54.762161,
97.767,46.941848,
94.857,44.671033,
91.946,42.540667,
89.036,39.621021,
86.125,32.528968,
83.215,28.626319,
80.304,26.75,
77.393,26.75,
74.483,31.335945,
71.572,29.764127,
68.662,22.75,
65.751,22.75,
62.840,20.823192,
59.930,19.499145,
57.019,22.319473,
54.109,22.152839,
51.198,19.940344,
48.288,15.75,
45.377,15.75,
42.466,19.872193,
39.556,24.713933,
36.645,18.394221,
33.735,24.538727,
30.824,29.762017,
27.914,23.45144,
25.003,22.75,
22.092,25.979046,
19.182,33.894143,
16.271,68.86865,
13.361,261.44818,
10.450,666.00143,
7.539,1591.2693,
4.629,2433.2686,
1.718,2881.9302,
-1.192,2507.5636,
-4.103,1528.8003,
-7.013,645.31322,
-9.924,-1.25,
