,PLFBCD~1,
Raman shift [1/cm],Intensity,
1276.552,2105.6321,
1273.641,2157.3053,
1270.731,2165.6321,
1267.820,2173.1512,
1264.909,2193.1455,
1261.999,2188.8499,
1259.088,2191.5862,
1256.178,2172.908,
1253.267,2134.459,
1250.356,2072.956,
1247.446,1975.9958,
1244.535,1894.0269,
1241.625,1816.3242,
1238.714,1729.0683,
1235.804,1671.1482,
1232.893,1609.7531,
1229.982,1593.3582,
1227.072,1522.7439,
1224.161,1539.6031,
1221.251,1521.4147,
1218.340,1456.0947,
1215.430,1422.5479,
1212.519,1430.7107,
1209.608,1433.8906,
1206.698,1433.5802,
1203.787,1478.8153,
1200.877,1476.5918,
1197.966,1522.4489,
1195.055,1546.0812,
1192.145,1567.0309,
1189.234,1619.463,
1186.324,1651.8416,
1183.413,1674.9734,
1180.503,1688.9931,
1177.592,1665.1539,
1174.681,1633.5822,
1171.771,1611.5233,
1168.860,1601.6994,
1165.950,1586.2368,
1163.039,1565.2899,
1160.129,1567.1877,
1157.218,1567.5004,
1154.307,1555.1846,
1151.397,1541.5791,
1148.486,1524.8047,
1145.576,1496.75,
1142.665,1496.75,
1139.754,1482.9183,
1136.844,1516.1657,
1133.933,1493.6271,
1131.023,1470.9989,
1128.112,1461.4664,
1125.202,1439.3732,
1122.291,1451.6274,
1119.380,1457.802,
1116.470,1463.0971,
1113.559,1474.5755,
1110.649,1471.8564,
1107.738,1471.4291,
1104.828,1474.1661,
1101.917,1490.1353,
1099.006,1515.8843,
1096.096,1466.3088,
1093.185,1491.7709,
1090.275,1484.848,
1087.364,1490.2974,
1084.453,1503.3119,
1081.543,1512.5029,
1078.632,1505.0348,
1075.722,1480.741,
1072.811,1470.5423,
1069.901,1509.8391,
1066.990,1517.6,
1064.079,1557.5393,
1061.169,1563.0471,
1058.258,1550.6326,
1055.348,1559.2144,
1052.437,1591.9976,
1049.527,1618.8171,
1046.616,1620.5548,
1043.705,1668.5374,
1040.795,1680.8345,
1037.884,1675.1984,
1034.974,1673.7294,
1032.063,1683.996,
1029.153,1701.5809,
1026.242,1708.5005,
1023.331,1709.5833,
1020.421,1702.0819,
1017.510,1716.6788,
1014.600,1725.6748,
1011.689,1734.1438,
1008.778,1778.028,
1005.868,1809.5763,
1002.957,1901.6342,
1000.047,1922.302,
997.136,1990.5305,
994.226,2054.5959,
991.315,2061.8317,
988.404,2026.453,
985.494,2018.7526,
982.583,1974.2117,
979.673,1969.2133,
976.762,1970.3371,
973.852,1985.7783,
970.941,2004.1572,
968.030,1999.7442,
965.120,1982.8538,
962.209,2007.5775,
959.299,2055.6614,
956.388,2036.7924,
953.477,2011.8603,
950.567,2018.0114,
947.656,2020.3097,
944.746,2032.2035,
941.835,2031.9402,
938.925,2026.4856,
936.014,2031.3374,
933.103,2034.866,
930.193,2012.169,
927.282,1949.3375,
924.372,1941.7271,
921.461,1914.976,
918.551,1886.5792,
915.640,1852.7776,
912.729,1835.4108,
909.819,1859.6371,
906.908,1843.631,
903.998,1822.8659,
901.087,1854.6674,
898.176,1865.2517,
895.266,1874.3809,
892.355,1922.6765,
889.445,1943.6582,
886.534,1927.8874,
883.624,1977.2309,
880.713,1994.5843,
877.802,1994.0452,
874.892,2004.2569,
871.981,1988.5133,
869.071,1978.4883,
866.160,1986.4094,
863.250,1984.4596,
860.339,1991.6371,
857.428,2000.0192,
854.518,1938.1111,
851.607,1950.5921,
848.697,1933.4911,
845.786,1916.9655,
842.875,1908.0023,
839.965,1907.2646,
837.054,1918.5732,
834.144,1902.8269,
831.233,1901.0832,
828.323,1881.9671,
825.412,1854.0229,
822.501,1836.4095,
819.591,1828.9719,
816.680,1808.7179,
813.770,1805.003,
810.859,1791.3103,
807.949,1775.1281,
805.038,1778.9491,
802.127,1780.5954,
799.217,1760.6244,
796.306,1758.8581,
793.396,1767.0325,
790.485,1756.693,
787.574,1694.2757,
784.664,1734.4612,
781.753,1776.6412,
778.843,1786.3988,
775.932,1764.2441,
773.022,1741.3866,
770.111,1803.5226,
767.200,1794.0464,
764.290,1787.4385,
761.379,1779.842,
758.469,1775.3539,
755.558,1790.5375,
752.648,1716.4086,
749.737,1682.1663,
746.826,1678.7433,
743.916,1686.4708,
741.005,1676.121,
738.095,1590.8739,
735.184,1498.5181,
732.274,1448.3954,
729.363,1490.5816,
726.452,1625.361,
723.542,1739.4855,
720.631,1699.8777,
717.721,1708.6638,
714.810,1718.1364,
711.899,1717.2253,
708.989,1766.4477,
706.078,1733.0953,
703.168,1719.285,
700.257,1705.0231,
697.347,1698.01,
694.436,1726.9208,
691.525,1696.3762,
688.615,1668.367,
685.704,1662.6571,
682.794,1677.601,
679.883,1695.7047,
676.973,1672.465,
674.062,1657.5407,
671.151,1667.9682,
668.241,1693.7532,
665.330,1709.5987,
662.420,1706.4038,
659.509,1716.5438,
656.598,1709.3348,
653.688,1684.6187,
650.777,1661.9651,
647.867,1697.7999,
644.956,1697.0819,
642.046,1693.4084,
639.135,1697.4269,
636.224,1703.6744,
633.314,1688.5896,
630.403,1713.1281,
627.493,1733.1341,
624.582,1740.8129,
621.672,1772.4926,
618.761,1767.6705,
615.850,1771.8109,
612.940,1781.5315,
610.029,1790.0924,
607.119,1786.1442,
604.208,1797.1102,
601.297,1803.2456,
598.387,1795.5778,
595.476,1774.607,
592.566,1794.2837,
589.655,1786.088,
586.745,1774.9763,
583.834,1761.0646,
580.923,1733.84,
578.013,1748.75,
575.102,1728.0857,
572.192,1730.4725,
569.281,1764.0944,
566.371,1743.7462,
563.460,1729.0516,
560.549,1730.5719,
557.639,1739.0928,
554.728,1746.3961,
551.818,1804.1395,
548.907,1809.437,
545.996,1817.5801,
543.086,1834.898,
540.175,1821.6611,
537.265,1812.7829,
534.354,1853.3971,
531.444,1874.736,
528.533,1822.2198,
525.622,1885.0715,
522.712,1898.1432,
519.801,1922.1903,
516.891,1956.1158,
513.980,1928.2412,
511.070,1978.5761,
508.159,2013.1667,
505.248,2038.2667,
502.338,2073.7666,
499.427,2108.4991,
496.517,2156.7803,
493.606,2193.4798,
490.695,2202.8986,
487.785,2175.1861,
484.874,2170.75,
481.964,2166.1819,
479.053,2159.9339,
476.143,2160.7018,
473.232,2143.4843,
470.321,2135.7768,
467.411,2128.1652,
464.500,2109.5063,
461.590,2139.3702,
458.679,2134.5429,
455.769,2144.2292,
452.858,2191.4542,
449.947,2217.4279,
447.037,2236.0987,
444.126,2252.1439,
441.216,2265.676,
438.305,2271.0095,
435.395,2267.1605,
432.484,2271.8348,
429.573,2284.945,
426.663,2298.6276,
423.752,2303.2371,
420.842,2307.0334,
417.931,2308.2417,
415.020,2302.9332,
412.110,2409.5655,
409.199,2425.2781,
406.289,2401.242,
403.378,2402.8294,
400.468,2426.2652,
397.557,2445.5754,
394.646,2441.3973,
391.736,2401.2711,
388.825,2448.7877,
385.915,2427.6252,
383.004,2407.6006,
380.094,2435.9017,
377.183,2458.476,
374.272,2495.6885,
371.362,2517.0408,
368.451,2505.8412,
365.541,2507.3423,
362.630,2520.8598,
359.719,2538.8532,
356.809,2558.7857,
353.898,2608.9552,
350.988,2609.1878,
348.077,2588.7473,
345.167,2569.2475,
342.256,2618.554,
339.345,2604.5841,
336.435,2578.362,
333.524,2573.7635,
330.614,2542.467,
327.703,2549.6924,
324.793,2563.4299,
321.882,2556.8131,
318.971,2582.8336,
316.061,2615.1891,
313.150,2641.1357,
310.240,2645.5884,
307.329,2661.472,
304.418,2653.6154,
301.508,2629.8577,
298.597,2603.9431,
295.687,2624.0989,
292.776,2652.2501,
289.866,2700.1036,
286.955,2810.9124,
284.044,2891.8974,
281.134,2956.4107,
278.223,3010.3725,
275.313,3069.3209,
272.402,3113.1188,
269.492,3150.0084,
266.581,3184.376,
263.670,3235.1034,
260.760,3308.7793,
257.849,3354.7946,
254.939,3332.0442,
252.028,3369.3899,
249.117,3381.9227,
246.207,3371.9842,
243.296,3341.9706,
240.386,3346.5859,
237.475,3329.2355,
234.565,3289.5735,
231.654,3256.7062,
228.743,3237.0919,
225.833,3200.9191,
222.922,3139.4782,
220.012,3133.6498,
217.101,3116.5378,
214.191,3090.0405,
211.280,3054.3949,
208.369,3046.3675,
205.459,3041.3545,
202.548,3035.1177,
199.638,3019.879,
196.727,3053.6278,
193.816,3049.4436,
190.906,2979.5434,
187.995,3059.1861,
185.085,3111.8114,
182.174,3127.0176,
179.264,3080.0378,
176.353,3088.8471,
173.442,3098.9253,
170.532,3102.33,
167.621,3098.7251,
164.711,3071.4716,
161.800,3026.1227,
158.890,2962.7867,
155.979,2769.4001,
153.068,2547.349,
150.158,2297.2038,
147.247,1994.2279,
144.337,1670.2359,
141.426,1329.3213,
138.516,970.87568,
135.605,699.85571,
132.694,478.2866,
129.784,307.37761,
126.873,207.97456,
123.963,141.65532,
121.052,96.551588,
118.141,70.851116,
115.231,53.696311,
112.320,43.784549,
109.410,37.977382,
106.499,28.719364,
103.589,30.111527,
100.678,29.49054,
97.767,20.959289,
94.857,19.364022,
91.946,20.765554,
89.036,23.411306,
86.125,21.28369,
83.215,20.75,
80.304,19.073971,
77.393,14.116782,
74.483,17.025675,
71.572,14.764127,
68.662,7.888535,
65.751,9.3014372,
62.840,9.268298,
59.930,10.061003,
57.019,14.996577,
54.109,6.7925873,
51.198,4.9725299,
48.288,14.682051,
45.377,6.2415139,
42.466,9.3455094,
39.556,18.059289,
36.645,13.846147,
33.735,5.9997699,
30.824,1.0753218,
27.914,5.2823733,
25.003,0.7689002,
22.092,-0.63547721,
19.182,2.7042343,
16.271,1.305254,
13.361,6.6504117,
10.450,-13.374404,
7.539,-176.7802,
4.629,-388.60459,
1.718,-600.27663,
-1.192,-773.16848,
-4.103,-588.64237,
-7.013,-317.52787,
-9.924,-2.25,
