,PLF9CE~1,
Raman shift [1/cm],Intensity,
1358.048,1730.447,
1355.137,1747.8218,
1352.227,1826.9062,
1349.316,1845.683,
1346.406,1848.7245,
1343.495,1907.8776,
1340.584,1911.5174,
1337.674,1937.7674,
1334.763,1932.8833,
1331.853,1992.226,
1328.942,1938.5888,
1326.032,1999.3215,
1323.121,2033.1491,
1320.210,2058.9367,
1317.300,2052.6887,
1314.389,2091.4732,
1311.479,2135.5668,
1308.568,2155.3316,
1305.657,2186.1057,
1302.747,2176.6418,
1299.836,2262.5047,
1296.926,2315.0006,
1294.015,2387.6272,
1291.105,2468.1127,
1288.194,2524.1534,
1285.283,2586.4612,
1282.373,2649.6561,
1279.462,2684.5072,
1276.552,2719.57,
1273.641,2765.05,
1270.731,2787.1548,
1267.820,2777.8083,
1264.909,2760.3398,
1261.999,2794.5917,
1259.088,2793.6796,
1256.178,2707.1229,
1253.267,2659.6356,
1250.356,2632.0164,
1247.446,2535.6159,
1244.535,2449.8394,
1241.625,2374.7585,
1238.714,2290.5955,
1235.804,2251.4018,
1232.893,2180.3785,
1229.982,2160.7614,
1227.072,2046.692,
1224.161,2026.0174,
1221.251,2014.6909,
1218.340,1973.4041,
1215.430,1943.8164,
1212.519,1905.3846,
1209.608,1875.0669,
1206.698,1893.7315,
1203.787,1904.7305,
1200.877,1887.0797,
1197.966,1942.8276,
1195.055,1967.8095,
1192.145,2052.0187,
1189.234,2085.1129,
1186.324,2137.1751,
1183.413,2172.3255,
1180.503,2164.9505,
1177.592,2162.4634,
1174.681,2158.4983,
1171.771,2155.5851,
1168.860,2067.1692,
1165.950,2061.8502,
1163.039,2030.4985,
1160.129,2008.9569,
1157.218,1995.9332,
1154.307,1972.413,
1151.397,1944.8002,
1148.486,1938.576,
1145.576,1932.1624,
1142.665,1921.5075,
1139.754,1888.8935,
1136.844,1878.8238,
1133.933,1865.3084,
1131.023,1862.7622,
1128.112,1846.7712,
1125.202,1815.2868,
1122.291,1843.7449,
1119.380,1830.6943,
1116.470,1837.7545,
1113.559,1885.0199,
1110.649,1872.4312,
1107.738,1848.4445,
1104.828,1844.6182,
1101.917,1862.8681,
1099.006,1879.2851,
1096.096,1832.1301,
1093.185,1856.7142,
1090.275,1857.8157,
1087.364,1828.8078,
1084.453,1835.3112,
1081.543,1845.3663,
1078.632,1832.3571,
1075.722,1816.5563,
1072.811,1808.3696,
1069.901,1818.8488,
1066.990,1860.0416,
1064.079,1870.986,
1061.169,1869.4158,
1058.258,1881.1765,
1055.348,1896.9794,
1052.437,1901.7762,
1049.527,1959.0949,
1046.616,1971.2585,
1043.705,1934.0867,
1040.795,1941.1416,
1037.884,1980.452,
1034.974,2006.018,
1032.063,2007.3479,
1029.153,2022.7169,
1026.242,1998.4981,
1023.331,2042.6221,
1020.421,2043.2598,
1017.510,2055.3127,
1014.600,2087.0798,
1011.689,2111.6295,
1008.778,2117.3276,
1005.868,2180.2582,
1002.957,2250.8073,
1000.047,2308.945,
997.136,2361.2772,
994.226,2376.7021,
991.315,2370.1918,
988.404,2379.328,
985.494,2371.4358,
982.583,2318.3294,
979.673,2319.4048,
976.762,2332.0186,
973.852,2342.1611,
970.941,2349.5888,
968.030,2350.1625,
965.120,2313.7503,
962.209,2343.5893,
959.299,2340.8343,
956.388,2342.1047,
953.477,2360.011,
950.567,2371.998,
947.656,2345.174,
944.746,2326.4837,
941.835,2364.496,
938.925,2355.8576,
936.014,2322.8512,
933.103,2311.6302,
930.193,2321.4398,
927.282,2272.4417,
924.372,2269.0593,
921.461,2229.5958,
918.551,2191.2258,
915.640,2170.2255,
912.729,2154.0857,
909.819,2123.0698,
906.908,2126.4395,
903.998,2124.2389,
901.087,2138.2646,
898.176,2174.3023,
895.266,2218.2732,
892.355,2250.4521,
889.445,2265.5589,
886.534,2286.4968,
883.624,2313.5013,
880.713,2333.8114,
877.802,2346.0989,
874.892,2346.7419,
871.981,2319.6978,
869.071,2280.4334,
866.160,2301.2234,
863.250,2314.6734,
860.339,2325.2903,
857.428,2333.6335,
854.518,2294.5899,
851.607,2258.8109,
848.697,2207.2291,
845.786,2191.8147,
842.875,2197.6736,
839.965,2199.625,
837.054,2199.3738,
834.144,2176.9975,
831.233,2195.29,
828.323,2189.315,
825.412,2148.4437,
822.501,2100.5186,
819.591,2105.477,
816.680,2086.3942,
813.770,2058.4444,
810.859,2045.0762,
807.949,2048.6567,
805.038,2053.3396,
802.127,2026.1764,
799.217,2048.2229,
796.306,2017.4625,
793.396,1989.9609,
790.485,1999.1001,
787.574,2019.6561,
784.664,2020.4762,
781.753,2004.5214,
778.843,2016.2283,
775.932,2023.3536,
773.022,1995.9074,
770.111,2010.6238,
767.200,2005.5345,
764.290,1995.5347,
761.379,1997.5024,
758.469,2013.8103,
755.558,2028.5552,
752.648,1992.7127,
749.737,1972.5692,
746.826,1948.3748,
743.916,1906.0078,
741.005,1835.3365,
738.095,1726.545,
735.184,1570.6131,
732.274,1503.6329,
729.363,1564.2247,
726.452,1732.1761,
723.542,1901.3393,
720.631,1927.4449,
717.721,1958.9759,
714.810,1977.483,
711.899,1976.0012,
708.989,1977.6151,
706.078,1959.9963,
703.168,1928.3001,
700.257,1909.3873,
697.347,1914.7982,
694.436,1939.7958,
691.525,1909.2512,
688.615,1908.2852,
685.704,1909.0348,
682.794,1914.5185,
679.883,1943.7331,
676.973,1946.1372,
674.062,1912.8067,
671.151,1890.1184,
668.241,1891.5812,
665.330,1912.7427,
662.420,1957.4717,
659.509,1934.8784,
656.598,1914.4613,
653.688,1898.0525,
650.777,1854.2721,
647.867,1902.8482,
644.956,1933.4378,
642.046,1940.6498,
639.135,1931.5289,
636.224,1923.7324,
633.314,1945.1688,
630.403,1929.3414,
627.493,1938.8217,
624.582,1973.5639,
621.672,1955.348,
618.761,1984.2626,
615.850,1988.6661,
612.940,1993.1634,
610.029,2015.1489,
607.119,2048.3134,
604.208,2010.4442,
601.297,2002.5983,
598.387,2015.0646,
595.476,2020.8767,
592.566,1991.7551,
589.655,1980.1461,
586.745,1941.9075,
583.834,1899.4796,
580.923,1909.7719,
578.013,1934.0987,
575.102,1937.7571,
572.192,1913.8306,
569.281,1889.6692,
566.371,1973.4099,
563.460,1971.7484,
560.549,1971.5232,
557.639,1977.2364,
554.728,1982.5612,
551.818,1997.3872,
548.907,1977.4673,
545.996,1978.9542,
543.086,2014.0197,
540.175,2057.6239,
537.265,2064.2464,
534.354,2083.1842,
531.444,2080.5616,
528.533,2030.5564,
525.622,2057.7145,
522.712,2101.2437,
519.801,2126.0069,
516.891,2135.5458,
513.980,2179.6807,
511.070,2216.025,
508.159,2238.2212,
505.248,2261.6453,
502.338,2305.1387,
499.427,2356.8514,
496.517,2382.5038,
493.606,2411.8145,
490.695,2448.7364,
487.785,2427.9521,
484.874,2424.625,
481.964,2436.6681,
479.053,2447.3738,
476.143,2421.2631,
473.232,2406.6757,
470.321,2395.2995,
467.411,2370.8968,
464.500,2319.2456,
461.590,2343.7493,
458.679,2365.483,
455.769,2384.5564,
452.858,2399.7841,
449.947,2401.3119,
447.037,2386.456,
444.126,2386.2371,
441.216,2411.7529,
438.305,2464.3262,
435.395,2465.0686,
432.484,2469.5433,
429.573,2480.625,
426.663,2480.625,
423.752,2505.0347,
420.842,2514.7116,
417.931,2514.0559,
415.020,2515.5727,
412.110,2508.3089,
409.199,2544.2558,
406.289,2586.5928,
403.378,2592.4969,
400.468,2554.6972,
397.557,2570.3891,
394.646,2579.1175,
391.736,2531.456,
388.825,2526.1764,
385.915,2490.0324,
383.004,2484.7528,
380.094,2550.8497,
377.183,2614.0577,
374.272,2688.6169,
371.362,2730.1498,
368.451,2719.2297,
365.541,2795.0338,
362.630,2797.5991,
359.719,2786.4726,
356.809,2795.4891,
353.898,2793.2427,
350.988,2802.3898,
348.077,2802.4936,
345.167,2782.5115,
342.256,2780.2703,
339.345,2827.4539,
336.435,2843.5313,
333.524,2775.4841,
330.614,2771.0131,
327.703,2801.4561,
324.793,2825.1802,
321.882,2806.7025,
318.971,2838.6706,
316.061,2862.8095,
313.150,2885.8631,
310.240,2915.5477,
307.329,2963.0764,
304.418,2986.6405,
301.508,2986.3234,
298.597,2962.6301,
295.687,2941.6623,
292.776,2955.5418,
289.866,3024.9907,
286.955,3202.2848,
284.044,3318.7049,
281.134,3429.7602,
278.223,3550.289,
275.313,3698.3969,
272.402,3745.8903,
269.492,3774.1013,
266.581,3817.5076,
263.670,3927.7846,
260.760,3992.5351,
257.849,4033.66,
254.939,4065.2169,
252.028,4043.1858,
249.117,4039.1933,
246.207,4031.9345,
243.296,3982.888,
240.386,3927.9976,
237.475,3873.9635,
234.565,3817.6615,
231.654,3741.7016,
228.743,3662.3345,
225.833,3597.0263,
222.922,3549.1892,
220.012,3432.6204,
217.101,3382.3571,
214.191,3344.9277,
211.280,3262.7244,
208.369,3292.9569,
205.459,3271.4985,
202.548,3218.1403,
199.638,3250.0689,
196.727,3237.0337,
193.816,3208.4769,
190.906,3176.6408,
187.995,3205.6018,
185.085,3221.7721,
182.174,3239.3986,
179.264,3279.1507,
176.353,3285.5473,
173.442,3316.7173,
170.532,3365.6767,
167.621,3331.7908,
164.711,3284.7841,
161.800,3219.6587,
158.890,3128.973,
155.979,2970.5648,
153.068,2772.4889,
150.158,2525.9942,
147.247,2181.3771,
144.337,1838.0734,
141.426,1483.974,
138.516,1111.9075,
135.605,813.8289,
132.694,562.93755,
129.784,361.81719,
126.873,234.52408,
123.963,157.97776,
121.052,109.1433,
118.141,82.728925,
115.231,57.044467,
112.320,38.999553,
109.410,28.215934,
106.499,26.079469,
103.589,31.787799,
100.678,33.36554,
97.767,24.834289,
94.857,25.317989,
91.946,21.997002,
89.036,16.850796,
86.125,18.269206,
83.215,13.315796,
80.304,6.4701058,
77.393,0.096576403,
74.483,9.4520244,
71.572,14.987352,
68.662,14.447453,
65.751,2.4377842,
62.840,6.8139337,
59.930,13.564852,
57.019,5.80895,
54.109,7.6108042,
51.198,6.307298,
48.288,-1.2900634,
45.377,9.2606076,
42.466,11.151684,
39.556,7.3947628,
36.645,5.9903824,
33.735,7.1827454,
30.824,8.625,
27.914,8.625,
25.003,10.492912,
22.092,12.593714,
19.182,14.625,
16.271,14.625,
13.361,63.935583,
10.450,143.16322,
7.539,210.20149,
4.629,95.445806,
1.718,-117.10908,
-1.192,-406.42406,
-4.103,-347.97089,
-7.013,-199.4246,
-9.924,-0.375,
