,PL4B8A~1,
Raman shift [1/cm],Intensity,
1838.293,444.25499,
1835.383,443.436,
1832.472,445.84304,
1829.562,440.50078,
1826.651,459.13088,
1823.740,462.69826,
1820.830,471.05324,
1817.919,466.92061,
1815.009,444.70039,
1812.098,469.97439,
1809.188,479.81588,
1806.277,483.1836,
1803.366,478.03373,
1800.456,463.93103,
1797.545,441.34219,
1794.635,447.02308,
1791.724,476.44421,
1788.813,470.26029,
1785.903,500.60854,
1782.992,498.20083,
1780.082,490.58435,
1777.171,457.91863,
1774.261,472.18514,
1771.350,481.084,
1768.439,480.93151,
1765.529,476.79349,
1762.618,479.71003,
1759.708,514.64149,
1756.797,533.32576,
1753.887,516.76166,
1750.976,491.45681,
1748.065,502.29762,
1745.155,508.50165,
1742.244,509.88496,
1739.334,501.29471,
1736.423,511.7939,
1733.512,516.06707,
1730.602,512.25793,
1727.691,516.62362,
1724.781,532.40838,
1721.870,557.9787,
1718.960,564.89446,
1716.049,550.98743,
1713.138,532.00508,
1710.228,524.02822,
1707.317,510.866,
1704.407,529.01474,
1701.496,559.50798,
1698.586,591.8175,
1695.675,570.85728,
1692.764,585.34427,
1689.854,573.81298,
1686.943,593.54176,
1684.033,597.17549,
1681.122,629.68925,
1678.211,660.95496,
1675.301,651.28083,
1672.390,630.32477,
1669.480,655.18582,
1666.569,648.32915,
1663.659,732.36433,
1660.748,739.94414,
1657.837,775.18439,
1654.927,773.44488,
1652.016,823.90607,
1649.106,850.39689,
1646.195,856.70555,
1643.285,875.27279,
1640.374,876.79355,
1637.463,903.3669,
1634.553,964.53078,
1631.642,983.95576,
1628.732,1048.8011,
1625.821,1141.286,
1622.911,1195.9401,
1620.000,1294.9901,
1617.089,1329.5734,
1614.179,1406.0503,
1611.268,1539.1938,
1608.358,1585.2366,
1605.447,1625.9075,
1602.536,1688.8227,
1599.626,1679.451,
1596.715,1717.2769,
1593.805,1687.2654,
1590.894,1646.2619,
1587.984,1666.3667,
1585.073,1617.4994,
1582.162,1599.9011,
1579.252,1547.5153,
1576.341,1504.2075,
1573.431,1475.1043,
1570.520,1481.48,
1567.610,1456.9358,
1564.699,1424.7741,
1561.788,1402.1656,
1558.878,1375.7671,
1555.967,1321.9855,
1553.057,1274.3709,
1550.146,1246.73,
1547.235,1227.6241,
1544.325,1189.1457,
1541.414,1163.0898,
1538.504,1175.1227,
1535.593,1193.1191,
1532.683,1214.3288,
1529.772,1206.9442,
1526.861,1204.8386,
1523.951,1242.8138,
1521.040,1244.434,
1518.130,1277.8225,
1515.219,1263.5305,
1512.309,1225.1914,
1509.398,1170.9171,
1506.487,1202.6281,
1503.577,1186.8378,
1500.666,1187.7877,
1497.756,1165.1225,
1494.845,1123.7681,
1491.934,1040.565,
1489.024,1136.8143,
1486.113,1066.0728,
1483.203,1071.7962,
1480.292,1014.7027,
1477.382,981.61905,
1474.471,986.99331,
1471.560,966.30302,
1468.650,950.41726,
1465.739,956.85735,
1462.829,922.26323,
1459.918,902.98487,
1457.008,906.20381,
1454.097,900.01489,
1451.186,895.00242,
1448.276,880.33608,
1445.365,857.28555,
1442.455,854.70336,
1439.544,849.66052,
1436.633,838.82299,
1433.723,844.6299,
1430.812,831.77235,
1427.902,813.81374,
1424.991,837.5078,
1422.081,770.35669,
1419.170,749.56097,
1416.259,807.19467,
1413.349,790.28512,
1410.438,796.34493,
1407.528,778.14407,
1404.617,754.26882,
1401.707,746.19012,
1398.796,740.52973,
1395.885,718.71443,
1392.975,689.5831,
1390.064,649.23046,
1387.154,551.07999,
1384.243,444.9014,
1381.332,340.27808,
1378.422,293.62118,
1375.511,475.35668,
1372.601,642.28952,
1369.690,711.96946,
1366.780,771.14822,
1363.869,792.24125,
1360.958,846.08665,
1358.048,869.28344,
1355.137,870.92979,
1352.227,891.17821,
1349.316,928.7473,
1346.406,956.88862,
1343.495,979.17689,
1340.584,1033.8577,
1337.674,1003.1829,
1334.763,1069.3206,
1331.853,1071.175,
1328.942,1169.091,
1326.032,1153.5189,
1323.121,1177.6295,
1320.210,1177.5953,
1317.300,1195.8593,
1314.389,1210.1944,
1311.479,1219.6091,
1308.568,1218.8048,
1305.657,1183.9451,
1302.747,1170.1026,
1299.836,1204.4836,
1296.926,1315.5574,
1294.015,1365.2008,
1291.105,1487.8842,
1288.194,1564.1557,
1285.283,1591.4221,
1282.373,1636.7499,
1279.462,1629.5055,
1276.552,1631.195,
1273.641,1657.3151,
1270.731,1637.7828,
1267.820,1614.197,
1264.909,1632.635,
1261.999,1656.4844,
1259.088,1635.5056,
1256.178,1629.1113,
1253.267,1601.3982,
1250.356,1565.4826,
1247.446,1554.0102,
1244.535,1549.3036,
1241.625,1547.6907,
1238.714,1529.0297,
1235.804,1479.3665,
1232.893,1495.0096,
1229.982,1449.5022,
1227.072,1397.8994,
1224.161,1383.3235,
1221.251,1331.3679,
1218.340,1281.2116,
1215.430,1249.4866,
1212.519,1235.0807,
1209.608,1237.2744,
1206.698,1261.2716,
1203.787,1292.2399,
1200.877,1258.2619,
1197.966,1323.0014,
1195.055,1373.1787,
1192.145,1401.5363,
1189.234,1458.207,
1186.324,1503.7972,
1183.413,1562.0876,
1180.503,1606.1323,
1177.592,1588.5733,
1174.681,1592.1952,
1171.771,1564.4973,
1168.860,1575.2143,
1165.950,1574.6374,
1163.039,1533.7426,
1160.129,1508.5819,
1157.218,1518.1528,
1154.307,1526.0874,
1151.397,1502.6049,
1148.486,1478.2471,
1145.576,1496.4064,
1142.665,1523.0438,
1139.754,1540.7089,
1136.844,1544.25,
1133.933,1524.3088,
1131.023,1481.4522,
1128.112,1450.6784,
1125.202,1454.2162,
1122.291,1452.2365,
1119.380,1417.3713,
1116.470,1429.7267,
1113.559,1415.785,
1110.649,1404.0467,
1107.738,1400.7858,
1104.828,1402.9144,
1101.917,1397.2615,
1099.006,1382.1056,
1096.096,1401.0025,
1093.185,1413.2946,
1090.275,1445.0023,
1087.364,1438.5275,
1084.453,1469.3726,
1081.543,1507.8909,
1078.632,1539.9938,
1075.722,1567.641,
1072.811,1500.7464,
1069.901,1507.7325,
1066.990,1489.6584,
1064.079,1493.4162,
1061.169,1471.2918,
1058.258,1450.25,
1055.348,1464.066,
1052.437,1491.5104,
1049.527,1463.8612,
1046.616,1505.565,
1043.705,1490.2101,
1040.795,1462.5408,
1037.884,1458.8475,
1034.974,1470.2294,
1032.063,1479.0653,
1029.153,1490.8346,
1026.242,1487.3747,
1023.331,1513.915,
1020.421,1526.221,
1017.510,1510.7609,
1014.600,1504.2857,
1011.689,1523.8021,
1008.778,1548.7687,
1005.868,1570.0068,
1002.957,1654.3215,
1000.047,1695.642,
997.136,1706.25,
994.226,1701.7885,
991.315,1683.4629,
988.404,1646.3056,
985.494,1605.3459,
982.583,1609.6287,
979.673,1600.0069,
976.762,1580.3982,
973.852,1565.7139,
970.941,1556.5079,
968.030,1544.6488,
965.120,1541.3538,
962.209,1566.0775,
959.299,1562.4593,
956.388,1574.929,
953.477,1580.2625,
950.567,1562.4073,
947.656,1543.2581,
944.746,1566.1961,
941.835,1582.6365,
938.925,1619.8106,
936.014,1623.0869,
933.103,1624.7862,
930.193,1648.6556,
927.282,1629.7917,
924.372,1621.3356,
921.461,1601.84,
918.551,1592.9263,
915.640,1567.8781,
912.729,1538.1285,
909.819,1539.1354,
906.908,1507.9657,
903.998,1489.5474,
901.087,1520.8943,
898.176,1526.457,
895.266,1514.6936,
892.355,1533.2024,
889.445,1581.0406,
886.534,1582.0849,
883.624,1618.5829,
880.713,1637.2707,
877.802,1639.987,
874.892,1633.8738,
871.981,1591.9344,
869.071,1578.5677,
866.160,1581.7697,
863.250,1584.7742,
860.339,1583.8181,
857.428,1577.8064,
854.518,1563.7555,
851.607,1581.229,
848.697,1578.7475,
845.786,1579.3638,
842.875,1581.5509,
839.965,1584.3812,
837.054,1603.3616,
834.144,1613.3067,
831.233,1583.9189,
828.323,1594.9569,
825.412,1612.9131,
822.501,1592.0585,
819.591,1585.4473,
816.680,1577.2372,
813.770,1549.5634,
810.859,1515.2979,
807.949,1491.9744,
805.038,1495.2323,
802.127,1528.1574,
799.217,1507.3975,
796.306,1487.331,
793.396,1478.6393,
790.485,1490.2002,
787.574,1532.9314,
784.664,1577.2175,
781.753,1579.2111,
778.843,1592.9128,
775.932,1590.8059,
773.022,1546.1088,
770.111,1538.7506,
767.200,1526.8303,
764.290,1503.0243,
761.379,1481.5543,
758.469,1468.3203,
755.558,1456.083,
752.648,1416.982,
749.737,1389.6663,
746.826,1337.7563,
743.916,1226.5867,
741.005,1018.415,
738.095,630.33791,
735.184,258.18278,
732.274,161.90743,
729.363,409.45488,
726.452,898.03662,
723.542,1229.0785,
720.631,1369.5762,
717.721,1449.6406,
714.810,1490.3863,
711.899,1508.448,
708.989,1522.1658,
706.078,1489.3966,
703.168,1515.2544,
700.257,1530.6488,
697.347,1514.7289,
694.436,1491.621,
691.525,1505.2857,
688.615,1517.6837,
685.704,1520.6598,
682.794,1512.5692,
679.883,1496.7093,
676.973,1484.6888,
674.062,1538.4012,
671.151,1547.4568,
668.241,1516.5823,
665.330,1512.1954,
662.420,1532.1637,
659.509,1537.5199,
656.598,1543.0102,
653.688,1560.292,
650.777,1597.79,
647.867,1613.7166,
644.956,1600.5329,
642.046,1576.5683,
639.135,1552.8482,
636.224,1536.5166,
633.314,1589.7105,
630.403,1581.9664,
627.493,1545.3578,
624.582,1505.1294,
621.672,1482.1616,
618.761,1512.4075,
615.850,1527.2089,
612.940,1531.9331,
610.029,1528.9098,
607.119,1502.8519,
604.208,1495.2799,
601.297,1482.2826,
598.387,1488.4479,
595.476,1527.3875,
592.566,1486.4599,
589.655,1443.616,
586.745,1432.4954,
583.834,1415.802,
580.923,1318.0984,
578.013,1292.9869,
575.102,1318.9445,
572.192,1381.1222,
569.281,1455.0146,
566.371,1487.1022,
563.460,1527.6398,
560.549,1567.6139,
557.639,1583.3132,
554.728,1556.3978,
551.818,1558.7388,
548.907,1573.8759,
545.996,1600.3567,
543.086,1631.4441,
540.175,1650.9102,
537.265,1605.8961,
534.354,1576.7111,
531.444,1559.6768,
528.533,1547.6228,
525.622,1580.9886,
522.712,1590.677,
519.801,1606.3796,
516.891,1629.7195,
513.980,1632.0424,
511.070,1625.9109,
508.159,1650.9489,
505.248,1671.4859,
502.338,1643.8314,
499.427,1697.8597,
496.517,1718.4722,
493.606,1711.1363,
490.695,1687.571,
487.785,1689.8803,
484.874,1659.2313,
481.964,1666.7514,
479.053,1687.6445,
476.143,1630.8153,
473.232,1677.6083,
470.321,1688.4916,
467.411,1681.5293,
464.500,1687.6682,
461.590,1664.696,
458.679,1646.6938,
455.769,1652.3731,
452.858,1689.704,
449.947,1732.4841,
447.037,1699.9903,
444.126,1690.9954,
441.216,1721.25,
438.305,1721.25,
435.395,1702.2365,
432.484,1694.3338,
429.573,1695.6525,
426.663,1688.8112,
423.752,1667.3274,
420.842,1668.7538,
417.931,1684.6975,
415.020,1696.8312,
412.110,1766.0216,
409.199,1809.3429,
406.289,1817.9189,
403.378,1786.1962,
400.468,1770.3203,
397.557,1759.5944,
394.646,1718.6964,
391.736,1618.2661,
388.825,1493.8179,
385.915,1423.1896,
383.004,1417.8067,
380.094,1484.279,
377.183,1582.8534,
374.272,1681.897,
371.362,1770.2111,
368.451,1837.2044,
365.541,1836.4539,
362.630,1863.0158,
359.719,1872.2274,
356.809,1844.4669,
353.898,1897.6316,
350.988,1923.0997,
348.077,1926.1514,
345.167,1909.6228,
342.256,1877.4989,
339.345,1901.1988,
336.435,1922.4774,
333.524,1902.9546,
330.614,1925.3093,
327.703,1952.2728,
324.793,1963.0007,
321.882,1939.2716,
318.971,1948.1929,
316.061,1982.5021,
313.150,2027.7214,
310.240,2067.7957,
307.329,2081.3988,
304.418,2075.3071,
301.508,2028.5761,
298.597,1901.9648,
295.687,1820.1398,
292.776,1817.5002,
289.866,1932.4006,
286.955,2269.9981,
284.044,2532.0348,
281.134,2741.4162,
278.223,2906.8361,
275.313,3047.5755,
272.402,3168.4518,
269.492,3266.569,
266.581,3343.6596,
263.670,3447.3201,
260.760,3463.668,
257.849,3488.7176,
254.939,3595.8644,
252.028,3585.6685,
249.117,3571.1998,
246.207,3547.5065,
243.296,3502.1202,
240.386,3445.0107,
237.475,3407.6453,
234.565,3378.5609,
231.654,3291.6453,
228.743,3253.1121,
225.833,3217.8219,
222.922,3169.5513,
220.012,3133.1236,
217.101,3077.5763,
214.191,2995.3133,
211.280,2872.3721,
208.369,2834.319,
205.459,2817.8545,
202.548,2809.3614,
199.638,2781.0611,
196.727,2734.3387,
193.816,2719.9032,
190.906,2756.0976,
187.995,2751.7535,
185.085,2790.9156,
182.174,2822.3423,
179.264,2771.0259,
176.353,2774.2209,
173.442,2766.1979,
170.532,2743.418,
167.621,2744.86,
164.711,2675.3495,
161.800,2582.7582,
158.890,2496.3909,
155.979,2304.639,
153.068,2123.806,
150.158,1936.8568,
147.247,1658.2913,
144.337,1372.079,
141.426,1084.0322,
138.516,796.55879,
135.605,569.5402,
132.694,387.82499,
129.784,249.38626,
126.873,162.85555,
123.963,116.22742,
121.052,84.334877,
118.141,59.348307,
115.231,49.302015,
112.320,41.437277,
109.410,34.613737,
106.499,26.067874,
103.589,27.051272,
100.678,27.62027,
97.767,23.354644,
94.857,19.785055,
91.946,17.846889,
89.036,16.346817,
86.125,10.673175,
83.215,10.311841,
80.304,10.052837,
77.393,6.5119869,
74.483,11.49108,
71.572,13.525296,
68.662,12.52707,
65.751,15.352874,
62.840,14.323192,
59.930,11.875428,
57.019,10.465264,
54.109,9.0556783,
51.198,7.6467814,
48.288,6.2783122,
45.377,9.7952025,
42.466,10.013342,
39.556,8.7104743,
36.645,11.519235,
33.735,12.25,
30.824,11.808226,
27.914,10.405876,
25.003,8.3820876,
22.092,10.156141,
19.182,16.455946,
16.271,22.751357,
13.361,88.890155,
10.450,225.40761,
7.539,511.0186,
4.629,815.01461,
1.718,957.33838,
-1.192,719.61209,
-4.103,405.46835,
-7.013,154.45301,
-9.924,-0.75,
