,PLB712~1,
Wavenumbers [1/cm],Intensity,
1849.936,1963.4832,
1847.025,1961.2427,
1844.114,2013.1607,
1841.204,2038.0927,
1838.293,2008.7924,
1835.383,1982.7035,
1832.472,1994.1109,
1829.562,2006.0828,
1826.651,2019.1904,
1823.740,2021.3381,
1820.830,2061.148,
1817.919,2043.9324,
1815.009,2055.2309,
1812.098,2011.5729,
1809.188,2036.2654,
1806.277,2026.5156,
1803.366,2057.3997,
1800.456,2067.514,
1797.545,2090.0797,
1794.635,2099.54,
1791.724,2111.0558,
1788.813,2119.2423,
1785.903,2088.2152,
1782.992,2018.8415,
1780.082,1845.2531,
1777.171,1719.2409,
1774.261,1721.3857,
1771.350,1885.562,
1768.439,2088.7674,
1765.529,2173.7991,
1762.618,2213.6763,
1759.708,2208.2606,
1756.797,2188.9394,
1753.887,2192.9424,
1750.976,2203.6846,
1748.065,2231.1409,
1745.155,2219.3405,
1742.244,2193.3315,
1739.334,2244.7653,
1736.423,2285.3808,
1733.512,2312.3517,
1730.602,2315.0139,
1727.691,2316.3206,
1724.781,2315.6768,
1721.870,2322.4929,
1718.960,2327.5389,
1716.049,2335.8008,
1713.138,2391.1147,
1710.228,2412.4342,
1707.317,2431.9414,
1704.407,2404.6029,
1701.496,2442.2697,
1698.586,2450.8699,
1695.675,2483.0641,
1692.764,2555.3074,
1689.854,2499.935,
1686.943,2550.3951,
1684.033,2607.8343,
1681.122,2609.25,
1678.211,2707.3078,
1675.301,2698.2808,
1672.390,2755.4025,
1669.480,2806.4185,
1666.569,2828.3926,
1663.659,2917.9196,
1660.748,2959.6961,
1657.837,3033.4468,
1654.927,3043.0466,
1652.016,3080.3565,
1649.106,3245.7396,
1646.195,3266.233,
1643.285,3308.8477,
1640.374,3423.5531,
1637.463,3579.2048,
1634.553,3633.4815,
1631.642,3784.9862,
1628.732,4035.6247,
1625.821,4266.375,
1622.911,4456.1737,
1620.000,4697.1885,
1617.089,5038.3843,
1614.179,5393.154,
1611.268,5713.2787,
1608.358,6061.7214,
1605.447,6294.166,
1602.536,6342.6617,
1599.626,6440.923,
1596.715,6431.098,
1593.805,6449.8196,
1590.894,6344.8082,
1587.984,6337.1787,
1585.073,6189.3571,
1582.162,6124.0104,
1579.252,6107.2487,
1576.341,5997.9075,
1573.431,6022.9395,
1570.520,5991.3874,
1567.610,5928.8179,
1564.699,5882.5238,
1561.788,5784.6311,
1558.878,5700.4566,
1555.967,5567.2583,
1553.057,5468.7849,
1550.146,5345.0793,
1547.235,5234.4336,
1544.325,5132.2551,
1541.414,5036.5855,
1538.504,4946.8145,
1535.593,4887.9725,
1532.683,4807.5845,
1529.772,4706.8628,
1526.861,4704.5618,
1523.951,4704.1778,
1521.040,4667.24,
1518.130,4660.0261,
1515.219,4592.97,
1512.309,4559.0517,
1509.398,4448.368,
1506.487,4396.4949,
1503.577,4317.1676,
1500.666,4265.9969,
1497.756,4228.436,
1494.845,4180.1288,
1491.934,4129.0768,
1489.024,4076.1397,
1486.113,4020.4715,
1483.203,3914.9989,
1480.292,3869.1581,
1477.382,3802.6314,
1474.471,3741.4399,
1471.560,3679.356,
1468.650,3621.6201,
1465.739,3610.9359,
1462.829,3574.6664,
1459.918,3500.8408,
1457.008,3483.0503,
1454.097,3483.7637,
1451.186,3505.4995,
1448.276,3549.6464,
1445.365,3543.7539,
1442.455,3571.8443,
1439.544,3517.1092,
1436.633,3508.1725,
1433.723,3517.0008,
1430.812,3514.5112,
1427.902,3504.4382,
1424.991,3470.3188,
1422.081,3510.5365,
1419.170,3561.7733,
1416.259,3589.5016,
1413.349,3533.0755,
1410.438,3551.0381,
1407.528,3558.8814,
1404.617,3487.9045,
1401.707,3432.771,
1398.796,3435.6346,
1395.885,3443.1161,
1392.975,3433.7082,
1390.064,3405.7654,
1387.154,3376.6814,
1384.243,3436.1094,
1381.332,3370.1313,
1378.422,3393.5102,
1375.511,3553.6997,
1372.601,3723.9758,
1369.690,3773.3961,
1366.780,3847.365,
1363.869,3898.6679,
1360.958,3975.291,
1358.048,4122.1659,
1355.137,4202.3527,
1352.227,4266.9301,
1349.316,4372.3563,
1346.406,4451.904,
1343.495,4540.6682,
1340.584,4631.7843,
1337.674,4737.0773,
1334.763,4828.4497,
1331.853,4859.9756,
1328.942,4916.3968,
1326.032,4988.4997,
1323.121,5098.0934,
1320.210,5245.1224,
1317.300,5360.683,
1314.389,5474.2236,
1311.479,5605.2884,
1308.568,5718.2956,
1305.657,5835.9701,
1302.747,6023.0486,
1299.836,6195.0316,
1296.926,6392.5312,
1294.015,6527.6717,
1291.105,6697.0308,
1288.194,6912.5458,
1285.283,7110.8946,
1282.373,7288.5855,
1279.462,7524.1487,
1276.552,7659.8563,
1273.641,7720.5055,
1270.731,7783.144,
1267.820,7705.8691,
1264.909,7763.689,
1261.999,7724.1488,
1259.088,7748.776,
1256.178,7625.2074,
1253.267,7463.086,
1250.356,7217.7511,
1247.446,6998.0373,
1244.535,6746.2371,
1241.625,6462.3874,
1238.714,6192.5483,
1235.804,5926.8474,
1232.893,5743.646,
1229.982,5645.2449,
1227.072,5556.5244,
1224.161,5437.6225,
1221.251,5352.9667,
1218.340,5280.0729,
1215.430,5190.59,
1212.519,5113.9899,
1209.608,5060.2787,
1206.698,5016.4201,
1203.787,5010.2349,
1200.877,5041.4291,
1197.966,5108.866,
1195.055,5276.927,
