,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
1515.219,2929.4055,
1512.309,2881.6519,
1509.398,2788.9102,
1506.487,2783.2355,
1503.577,2758.6268,
1500.666,2745.0204,
1497.756,2749.3789,
1494.845,2712.7231,
1491.934,2631.1407,
1489.024,2635.9532,
1486.113,2530.4224,
1483.203,2505.2498,
1480.292,2463.245,
1477.382,2456.9332,
1474.471,2381.1545,
1471.560,2352.3197,
1468.650,2330.3101,
1465.739,2321.125,
1462.829,2281.1382,
1459.918,2257.9924,
1457.008,2254.0172,
1454.097,2229.1008,
1451.186,2223.096,
1448.276,2237.8525,
1445.365,2229.3754,
1442.455,2242.3246,
1439.544,2258.0678,
1436.633,2242.3683,
1433.723,2257.0306,
1430.812,2183.6869,
1427.902,2154.1172,
1424.991,2195.8187,
1422.081,2206.2998,
1419.170,2249.464,
1416.259,2247.2143,
1413.349,2200.5658,
1410.438,2234.4098,
1407.528,2218.4317,
1404.617,2186.3824,
1401.707,2173.3555,
1398.796,2154.0201,
1395.885,2158.6212,
1392.975,2188.4166,
1390.064,2175.9412,
1387.154,2155.4338,
1384.243,2172.6761,
1381.332,2150.5917,
1378.422,2113.9987,
1375.511,2266.694,
1372.601,2423.9488,
1369.690,2446.5544,
1366.780,2538.417,
1363.869,2549.0484,
1360.958,2577.1358,
1358.048,2654.6428,
1355.137,2690.3425,
1352.227,2726.3017,
1349.316,2828.0057,
1346.406,2932.5189,
1343.495,2987.5919,
1340.584,3021.6603,
1337.674,3056.0227,
1334.763,3128.5019,
1331.853,3085.8492,
1328.942,3173.0714,
1326.032,3235.5091,
1323.121,3360.4926,
1320.210,3366.829,
1317.300,3438.6598,
1314.389,3566.9319,
1311.479,3671.6295,
1308.568,3721.1739,
1305.657,3751.2114,
1302.747,3878.8798,
1299.836,4030.6068,
1296.926,4194.9706,
1294.015,4277.7097,
1291.105,4438.742,
1288.194,4591.9176,
1285.283,4741.8335,
1282.373,4840.0154,
1279.462,4948.0843,
1276.552,5048.8259,
1273.641,5123.7712,
1270.731,5155.9548,
1267.820,5100.1393,
1264.909,5089.7083,
1261.999,5151.5258,
1259.088,5135.1076,
1256.178,5065.6085,
1253.267,4953.6224,
1250.356,4792.415,
1247.446,4632.7283,
1244.535,4455.1074,
1241.625,4247.6401,
1238.714,4062.7798,
1235.804,3922.1593,
1232.893,3747.8846,
1229.982,3702.6531,
1227.072,3659.1982,
1224.161,3550.2215,
1221.251,3489.177,
1218.340,3456.3385,
1215.430,3388.3188,
1212.519,3334.7864,
1209.608,3321.1006,
1206.698,3310.6357,
1203.787,3311.3461,
1200.877,3309.5767,
1197.966,3349.1397,
1195.055,3443.2759,
1192.145,3565.8158,
1189.234,3671.8434,
1186.324,3722.1262,
1183.413,3766.5717,
1180.503,3797.6465,
1177.592,3769.1754,
1174.681,3752.0702,
1171.771,3722.7032,
1168.860,3661.0801,
1165.950,3663.1879,
1163.039,3654.649,
1160.129,3663.6917,
1157.218,3623.1285,
1154.307,3563.1886,
1151.397,3564.8556,
1148.486,3589.2835,
1145.576,3536.4267,
1142.665,3474.2728,
1139.754,3475.634,
1136.844,3457.5165,
1133.933,3399.8585,
1131.023,3400.0601,
1128.112,3433.7686,
1125.202,3401.1782,
1122.291,3338.024,
1119.380,3400.0644,
1116.470,3393.8867,
1113.559,3387.7123,
1110.649,3377.612,
1107.738,3343.1192,
1104.828,3327.1114,
1101.917,3331.3613,
1099.006,3312.5063,
1096.096,3331.5124,
1093.185,3305.1723,
1090.275,3355.7276,
1087.364,3403.1173,
1084.453,3443.311,
1081.543,3470.013,
1078.632,3490.1536,
1075.722,3513.4414,
1072.811,3516.8291,
1069.901,3484.5184,
1066.990,3487.7833,
1064.079,3478.2368,
1061.169,3456.556,
1058.258,3454.1356,
1055.348,3465.3035,
1052.437,3460.5527,
1049.527,3482.89,
1046.616,3476.8082,
1043.705,3499.248,
1040.795,3469.0917,
1037.884,3491.6184,
1034.974,3548.6495,
1032.063,3568.3559,
1029.153,3558.1104,
1026.242,3599.6283,
1023.331,3609.4578,
1020.421,3648.0714,
1017.510,3659.0825,
1014.600,3667.8129,
1011.689,3682.2743,
1008.778,3686.5607,
1005.868,3754.1443,
1002.957,3867.7111,
1000.047,3986.317,
997.136,4197.9734,
994.226,4314.3251,
991.315,4304.0804,
988.404,4288.0457,
985.494,4240.0126,
982.583,4190.3323,
979.673,4200.6845,
976.762,4246.4608,
973.852,4278.9871,
970.941,4267.9349,
968.030,4242.0038,
965.120,4326.1859,
962.209,4340.6791,
959.299,4348.0827,
956.388,4352.9248,
953.477,4361.2904,
950.567,4366.9879,
947.656,4361.2445,
944.746,4385.0321,
941.835,4391.7937,
938.925,4367.461,
936.014,4356.1483,
933.103,4342.2358,
930.193,4300.3406,
927.282,4245.5504,
924.372,4179.593,
921.461,4140.1962,
918.551,4087.8787,
915.640,4001.1825,
912.729,3912.854,
909.819,3882.7922,
906.908,3887.8468,
903.998,3887.3296,
901.087,3897.3091,
898.176,3920.7812,
895.266,3954.0906,
892.355,3980.6697,
889.445,3962.2058,
886.534,4029.7496,
883.624,4111.7539,
880.713,4149.2078,
877.802,4123.5967,
874.892,4005.4333,
871.981,3723.9291,
869.071,3588.5922,
866.160,3695.5274,
863.250,3897.2324,
860.339,4016.3858,
857.428,3993.1075,
854.518,3973.7178,
851.607,3890.5109,
848.697,3733.7469,
845.786,3651.4802,
842.875,3700.4906,
839.965,3849.9656,
837.054,3977.0413,
834.144,3969.5825,
831.233,3947.4598,
828.323,3953.4459,
825.412,3928.9137,
822.501,3839.2951,
819.591,3823.5936,
816.680,3742.1954,
813.770,3679.5228,
810.859,3659.9911,
807.949,3657.4786,
805.038,3626.3506,
802.127,3578.6093,
799.217,3555.4902,
796.306,3568.99,
793.396,3565.4378,
790.485,3528.7547,
787.574,3503.5226,
784.664,3566.6712,
781.753,3624.4229,
