,PL5BD3~1,
Raman shift [1/cm],Intensity,
1794.635,284.53108,
1791.724,313.8787,
1788.813,289.29846,
1785.903,292.9418,
1782.992,306.28237,
1780.082,281.05681,
1777.171,316.83566,
1774.261,316.00981,
1771.350,285.64874,
1768.439,269.6071,
1765.529,286.95651,
1762.618,283.55684,
1759.708,300.7286,
1756.797,324.89394,
1753.887,293.80612,
1750.976,290.24149,
1748.065,283.91014,
1745.155,305.43526,
1742.244,347.33692,
1739.334,314.30943,
1736.423,280.07572,
1733.512,259.21947,
1730.602,272.94844,
1727.691,305.60046,
1724.781,313.5,
1721.870,331.20487,
1718.960,328.92214,
1716.049,328.33897,
1713.138,333.62997,
1710.228,303.16931,
1707.317,317.076,
1704.407,340.16314,
1701.496,304.21499,
1698.586,361.48297,
1695.675,340.30016,
1692.764,370.68854,
1689.854,328.4921,
1686.943,331.33137,
1684.033,352.9536,
1681.122,336.78887,
1678.211,357.30014,
1675.301,325.59867,
1672.390,344.64655,
1669.480,393.21923,
1666.569,359.21097,
1663.659,414.451,
1660.748,411.23006,
1657.837,397.41252,
1654.927,394.74174,
1652.016,445.98972,
1649.106,425.54896,
1646.195,427.04445,
1643.285,409.95834,
1640.374,472.75087,
1637.463,484.91433,
1634.553,507.18966,
1631.642,487.02118,
1628.732,534.87923,
1625.821,598.49935,
1622.911,597.50564,
1620.000,653.78187,
1617.089,679.98259,
1614.179,750.46953,
1611.268,749.61153,
1608.358,824.80098,
1605.447,867.15746,
1602.536,879.75076,
1599.626,870.38074,
1596.715,899.45084,
1593.805,867.62106,
1590.894,885.51675,
1587.984,853.85632,
1585.073,809.36243,
1582.162,779.95808,
1579.252,794.32093,
1576.341,794.49468,
1573.431,795.84952,
1570.520,755.98802,
1567.610,752.44131,
1564.699,737.37426,
1561.788,733.31687,
1558.878,761.12776,
1555.967,718.66483,
1553.057,690.5,
1550.146,696.0309,
1547.235,649.32225,
1544.325,633.16255,
1541.414,669.10229,
1538.504,655.64424,
1535.593,622.57851,
1532.683,619.5,
1529.772,611.73762,
1526.861,587.82083,
1523.951,583.8997,
1521.040,585.46462,
1518.130,537.9927,
1515.219,545.17987,
1512.309,556.18921,
1509.398,561.2474,
1506.487,516.00338,
1503.577,556.88711,
1500.666,516.7092,
1497.756,501.66091,
1494.845,491.37993,
1491.934,488.43386,
1489.024,468.22151,
1486.113,525.91458,
1483.203,493.19696,
1480.292,482.56042,
1477.382,500.89796,
1474.471,474.03746,
1471.560,476.83632,
1468.650,465.10143,
1465.739,443.40922,
1462.829,443.85544,
1459.918,441.21264,
1457.008,444.14628,
1454.097,443.33252,
1451.186,421.51934,
1448.276,417.0932,
1445.365,427.0703,
1442.455,417.59979,
1439.544,430.96777,
1436.633,448.4136,
1433.723,482.89801,
1430.812,426.47081,
1427.902,389.89808,
1424.991,448.65935,
1422.081,438.5728,
1419.170,414.17037,
1416.259,416.9805,
1413.349,392.8218,
1410.438,357.20859,
1407.528,382.83702,
1404.617,374.14359,
1401.707,371.51798,
1398.796,404.02094,
1395.885,393.56275,
1392.975,362.77126,
1390.064,386.79757,
1387.154,395.06045,
1384.243,379.63777,
1381.332,376.60665,
1378.422,387.19068,
1375.511,419.97801,
1372.601,438.00984,
1369.690,370.06498,
1366.780,454.33625,
1363.869,483.13239,
1360.958,554.48293,
1358.048,594.65318,
1355.137,578.04969,
1352.227,540.82668,
1349.316,511.27874,
1346.406,520.65872,
1343.495,573.45822,
1340.584,620.92777,
1337.674,675.96562,
1334.763,695.93544,
