,PLCB58~1,
Wavenumbers [1/cm],Intensity,
1113.559,5402.0577,
1110.649,5378.6141,
1107.738,5340.0322,
1104.828,5307.606,
1101.917,5284.8417,
1099.006,5282.9202,
1096.096,5267.3038,
1093.185,5268.1818,
1090.275,5296.5745,
1087.364,5342.359,
1084.453,5412.5592,
1081.543,5524.2418,
1078.632,5610.5491,
1075.722,5596.3007,
1072.811,5579.4982,
1069.901,5582.9913,
1066.990,5553.3417,
1064.079,5463.9078,
1061.169,5461.1496,
1058.258,5475.8515,
1055.348,5458.3077,
1052.437,5477.517,
1049.527,5551.022,
1046.616,5571.0051,
1043.705,5581.7284,
1040.795,5574.6724,
1037.884,5600.1,
1034.974,5625.7809,
1032.063,5637.0878,
1029.153,5706.5976,
1026.242,5784.4437,
1023.331,5723.9207,
1020.421,5741.9225,
1017.510,5800.0721,
1014.600,5870.3532,
1011.689,5938.49,
1008.778,6002.0052,
1005.868,6078.1497,
1002.957,6289.7968,
1000.047,6513.7141,
997.136,6717.9856,
994.226,6843.8187,
991.315,6869.3317,
988.404,6824.8737,
985.494,6770.8856,
982.583,6754.611,
979.673,6749.3234,
976.762,6770.5599,
973.852,6807.0245,
970.941,6827.6188,
968.030,6818.4582,
965.120,6842.386,
962.209,6874.7826,
959.299,6849.7953,
956.388,6907.8055,
953.477,6930.3678,
950.567,6886.3871,
947.656,6897.2554,
944.746,6912.5474,
941.835,6919.7285,
938.925,6902.1665,
936.014,6931.1986,
933.103,6916.992,
930.193,6815.4571,
927.282,6787.9879,
924.372,6709.3465,
921.461,6590.9992,
918.551,6437.8061,
915.640,6356.9498,
912.729,6312.2876,
909.819,6179.8018,
906.908,6146.1048,
903.998,6167.3156,
901.087,6232.4451,
898.176,6238.5727,
895.266,6228.8809,
892.355,6281.8883,
889.445,6328.048,
886.534,6412.5721,
883.624,6499.8974,
880.713,6560.7885,
877.802,6549.7739,
874.892,6435.656,
871.981,6228.1996,
869.071,6014.3339,
866.160,6121.4516,
863.250,6309.9619,
860.339,6430.1254,
857.428,6432.5802,
854.518,6380.5299,
851.607,6286.5061,
848.697,6123.0571,
845.786,6079.0845,
842.875,6140.4481,
839.965,6237.5225,
837.054,6339.65,
834.144,6375.2864,
831.233,6375.5838,
828.323,6328.2331,
825.412,6248.8,
822.501,6165.6753,
819.591,6107.0009,
816.680,6011.4998,
813.770,5916.2022,
810.859,5840.7607,
807.949,5794.3597,
805.038,5769.6792,
802.127,5715.3528,
799.217,5683.4159,
796.306,5644.1687,
793.396,5639.1586,
790.485,5654.6152,
787.574,5609.4919,
784.664,5668.54,
781.753,5760.4391,
778.843,5826.2244,
775.932,5869.2991,
773.022,5897.5153,
770.111,5847.6431,
767.200,5780.2998,
764.290,5751.5818,
761.379,5722.4057,
758.469,5699.5967,
755.558,5743.2109,
752.648,5641.3854,
749.737,5606.8886,
746.826,5613.7029,
743.916,5578.3142,
741.005,5430.586,
738.095,5309.6163,
