,PLFA52~1,
Raman shift [1/cm],Intensity,
1710.228,2080.826,
1707.317,2147.545,
1704.407,2096.3308,
1701.496,2128.8216,
1698.586,2144.6368,
1695.675,2213.9317,
1692.764,2164.6619,
1689.854,2181.7156,
1686.943,2250.2642,
1684.033,2300.408,
1681.122,2227.8994,
1678.211,2302.8922,
1675.301,2394.3444,
1672.390,2448.5622,
1669.480,2427.9539,
1666.569,2469.9708,
1663.659,2574.8537,
1660.748,2589.9554,
1657.837,2660.1181,
1654.927,2770.2661,
1652.016,2717.7315,
1649.106,2883.6532,
1646.195,2925.2963,
1643.285,2953.7188,
1640.374,3002.7574,
1637.463,3104.5165,
1634.553,3208.6742,
1631.642,3280.3948,
1628.732,3442.2472,
1625.821,3546.7487,
1622.911,3734.56,
1620.000,3925.206,
1617.089,4149.1275,
1614.179,4386.8568,
1611.268,4572.7099,
1608.358,4825.5446,
1605.447,4924.3686,
1602.536,5062.8849,
1599.626,5079.9845,
1596.715,5057.0274,
1593.805,5047.4703,
1590.894,5054.551,
1587.984,5032.2405,
1585.073,4995.4431,
1582.162,4947.8807,
1579.252,4878.2524,
1576.341,4830.1793,
1573.431,4883.4958,
1570.520,4856.2911,
1567.610,4812.8206,
1564.699,4752.5979,
1561.788,4714.6111,
1558.878,4644.4936,
1555.967,4564.0932,
1553.057,4457.8844,
1550.146,4370.2215,
1547.235,4289.315,
1544.325,4194.5063,
1541.414,4119.3017,
1538.504,4083.3766,
1535.593,4051.74,
1532.683,3984.4419,
1529.772,3904.7317,
1526.861,3855.7621,
1523.951,3813.9073,
1521.040,3744.9322,
1518.130,3678.7993,
1515.219,3617.5468,
1512.309,3555.8727,
1509.398,3553.1878,
1506.487,3538.8141,
1503.577,3523.4243,
1500.666,3486.2139,
1497.756,3517.2091,
1494.845,3447.3427,
1491.934,3344.5715,
1489.024,3328.2091,
1486.113,3322.0617,
1483.203,3323.4013,
1480.292,3323.625,
1477.382,3258.1569,
1474.471,3186.6063,
1471.560,3142.0497,
1468.650,3109.077,
1465.739,3112.0753,
1462.829,3128.5773,
1459.918,3099.8181,
1457.008,3077.7174,
1454.097,3085.0115,
1451.186,3067.9113,
1448.276,3075.9391,
1445.365,3129.4812,
1442.455,3112.8853,
1439.544,3085.0618,
1436.633,3049.1404,
1433.723,3077.023,
1430.812,3016.0151,
1427.902,2921.2789,
1424.991,2948.7641,
1422.081,2893.6589,
1419.170,2834.1892,
1416.259,2850.737,
1413.349,2833.2125,
1410.438,2850.8171,
1407.528,2844.244,
1404.617,2837.5606,
1401.707,2855.5232,
1398.796,2878.1215,
1395.885,2895.8928,
1392.975,2891.6868,
1390.064,2882.638,
1387.154,2927.1201,
1384.243,2911.1414,
1381.332,2902.4622,
1378.422,3010.8902,
1375.511,3112.9994,
1372.601,3153.331,
1369.690,3260.3489,
1366.780,3329.8993,
1363.869,3402.4696,
1360.958,3476.7821,
1358.048,3560.5829,
1355.137,3667.4382,
1352.227,3716.272,
1349.316,3742.452,
1346.406,3852.6059,
1343.495,3951.6215,
1340.584,3967.1241,
1337.674,4039.0971,
1334.763,4161.9538,
1331.853,4223.1511,
1328.942,4200.72,
1326.032,4307.7338,
1323.121,4374.86,
1320.210,4418.9255,
1317.300,4476.7119,
1314.389,4574.9736,
1311.479,4688.1198,
1308.568,4769.6621,
1305.657,4827.5064,
1302.747,4898.5323,
1299.836,4958.3869,
1296.926,5112.6071,
1294.015,5241.3124,
1291.105,5432.4193,
1288.194,5602.1975,
1285.283,5689.4612,
1282.373,5800.1169,
1279.462,5911.369,
1276.552,5995.3968,
1273.641,6043.0783,
1270.731,6070.0907,
1267.820,6107.3399,
1264.909,6091.3715,
1261.999,6037.0605,
1259.088,5994.1908,
1256.178,5896.5583,
1253.267,5833.8261,
1250.356,5671.9837,
1247.446,5447.9025,
1244.535,5286.6028,
1241.625,5141.3882,
1238.714,4992.3024,
1235.804,4919.5573,
1232.893,4765.0118,
1229.982,4707.4854,
1227.072,4585.2682,
1224.161,4559.8149,
1221.251,4465.7949,
1218.340,4376.3219,
1215.430,4290.6725,
1212.519,4221.7232,
1209.608,4225.6451,
1206.698,4269.4969,
1203.787,4218.3386,
1200.877,4230.5225,
1197.966,4277.2788,
1195.055,4389.6941,
1192.145,4477.7486,
1189.234,4601.1878,
1186.324,4695.9925,
1183.413,4761.422,
1180.503,4790.8328,
1177.592,4763.1198,
1174.681,4727.6867,
1171.771,4629.6881,
1168.860,4545.7377,
1165.950,4482.7973,
1163.039,4432.6097,
1160.129,4390.6714,
1157.218,4360.1259,
1154.307,4316.2009,
1151.397,4261.2362,
1148.486,4247.1293,
1145.576,4221.7021,
1142.665,4223.4779,
1139.754,4153.6529,
1136.844,4082.3011,
1133.933,4039.2703,
1131.023,4032.7064,
1128.112,4024.1988,
1125.202,4001.3883,
1122.291,4024.129,
1119.380,4034.6683,
1116.470,4039.0809,
1113.559,4059.7295,
1110.649,4058.4217,
1107.738,4059.4474,
1104.828,4060.7123,
1101.917,4062.5424,
1099.006,4074.3467,
1096.096,4061.2061,
1093.185,4021.696,
1090.275,4024.2899,
1087.364,4040.7197,
1084.453,4025.1264,
1081.543,4013.7601,
1078.632,4023.8188,
1075.722,4029.9414,
1072.811,4034.5081,
1069.901,4018.7894,
1066.990,4059.6582,
1064.079,4094.804,
1061.169,4125.4032,
1058.258,4179.1622,
1055.348,4244.2652,
1052.437,4280.5286,
1049.527,4310.5579,
1046.616,4308.8202,
1043.705,4326.3526,
1040.795,4368.0198,
1037.884,4374.9701,
1034.974,4375.4046,
1032.063,4412.2168,
1029.153,4458.9486,
1026.242,4486.6272,
1023.331,4469.2928,
1020.421,4472.596,
1017.510,4500.2771,
1014.600,4536.1193,
1011.689,4568.6025,
1008.778,4609.0192,
1005.868,4700.4011,
1002.957,4898.2826,
1000.047,5129.5531,
997.136,5270.4055,
994.226,5346.0707,
991.315,5343.9592,
988.404,5248.8155,
985.494,5211.6878,
982.583,5125.1756,
979.673,5098.7237,
976.762,5082.4701,
973.852,5072.4149,
970.941,5077.9237,
968.030,5103.3361,
965.120,5135.4925,
962.209,5103.9485,
959.299,5107.8322,
956.388,5081.3869,
953.477,5078.5874,
950.567,5111.7621,
947.656,5123.1874,
944.746,5142.7272,
941.835,5156.582,
938.925,5168.1797,
936.014,5167.0609,
933.103,5153.8569,
930.193,5122.0464,
927.282,5051.3959,
924.372,5047.1678,
921.461,4974.4578,
