,PLC2FF~1,
Raman shift [1/cm],Intensity,
1841.204,1784.8086,
1838.293,1785.9024,
1835.383,1784.677,
1832.472,1811.015,
1829.562,1801.2109,
1826.651,1785.5886,
1823.740,1816.8617,
1820.830,1791.5636,
1817.919,1795.8482,
1815.009,1814.7872,
1812.098,1829.0443,
1809.188,1874.4602,
1806.277,1840.216,
1803.366,1821.558,
1800.456,1835.0129,
1797.545,1882.772,
1794.635,1905.988,
1791.724,1900.8993,
1788.813,1884.5701,
1785.903,1882.0377,
1782.992,1917.2051,
1780.082,1888.6258,
1777.171,1874.0485,
1774.261,1897.55,
1771.350,1900.707,
1768.439,1923.1427,
1765.529,1968.5621,
1762.618,1989.8137,
1759.708,1966.6684,
1756.797,1977.2765,
1753.887,1991.5543,
1750.976,1967.5576,
1748.065,1973.2659,
1745.155,1974.2396,
1742.244,1998.4954,
1739.334,2019.8526,
1736.423,2052.0497,
1733.512,2046.9115,
1730.602,2027.6587,
1727.691,2060.2227,
1724.781,2072.1616,
1721.870,2083.6417,
1718.960,2098.7085,
1716.049,2078.7227,
1713.138,2104.2999,
1710.228,2105.0235,
1707.317,2188.4093,
1704.407,2152.6583,
1701.496,2170.1637,
1698.586,2234.282,
1695.675,2246.8607,
1692.764,2231.2807,
1689.854,2242.812,
1686.943,2261.7342,
1684.033,2297.4809,
1681.122,2313.1201,
1678.211,2354.9753,
1675.301,2421.1715,
1672.390,2390.5604,
1669.480,2452.9606,
1666.569,2526.251,
1663.659,2595.5346,
1660.748,2667.7081,
1657.837,2787.2279,
1654.927,2825.047,
1652.016,2813.8535,
1649.106,2913.2526,
1646.195,2911.1563,
1643.285,3025.7878,
1640.374,3086.1241,
1637.463,3077.5456,
1634.553,3252.5473,
1631.642,3398.3196,
1628.732,3485.3053,
1625.821,3641.5137,
1622.911,3852.1804,
1620.000,3967.9135,
1617.089,4287.9073,
1614.179,4485.8194,
1611.268,4733.0433,
1608.358,4959.6993,
1605.447,5073.1473,
1602.536,5200.5203,
1599.626,5233.2933,
1596.715,5219.9458,
1593.805,5179.0244,
1590.894,5139.1482,
1587.984,5138.7055,
1585.073,5102.7899,
1582.162,5077.1726,
