,PLD376~1,
Raman shift [1/cm],Intensity,
936.014,1494.5434,
933.103,1487.9781,
930.193,1485.6286,
927.282,1473.2584,
924.372,1466.4935,
921.461,1422.9138,
918.551,1390.197,
915.640,1379.3248,
912.729,1387.7972,
909.819,1399.732,
906.908,1362.6653,
903.998,1387.6674,
901.087,1409.9011,
898.176,1419.1022,
895.266,1421.212,
892.355,1430.5933,
889.445,1462.4854,
886.534,1460.1204,
883.624,1453.5695,
880.713,1479.7153,
877.802,1501.372,
874.892,1489.2573,
871.981,1487.4672,
869.071,1480.7839,
866.160,1462.376,
863.250,1459.867,
860.339,1476.4382,
857.428,1489.3987,
854.518,1454.7454,
851.607,1458.9057,
848.697,1448.6199,
845.786,1433.7646,
842.875,1426.7223,
839.965,1427.9307,
837.054,1416.1088,
834.144,1459.2039,
831.233,1440.2936,
828.323,1421.6793,
825.412,1404.7124,
822.501,1385.4337,
819.591,1417.6632,
816.680,1380.1634,
813.770,1365.613,
810.859,1366.2349,
807.949,1371.4518,
805.038,1368.3484,
802.127,1324.7227,
799.217,1342.2413,
796.306,1354.7331,
793.396,1355.1211,
790.485,1348.9933,
787.574,1347.3723,
784.664,1367.055,
781.753,1351.1665,
778.843,1363.1886,
775.932,1370.1932,
773.022,1340.3165,
770.111,1370.5669,
767.200,1405.3614,
764.290,1380.9523,
761.379,1353.2618,
758.469,1356.7401,
755.558,1382.7984,
752.648,1355.1018,
749.737,1348.3194,
746.826,1347.1588,
743.916,1354.4433,
741.005,1367.0135,
738.095,1299.6277,
735.184,1197.9522,
732.274,1126.4417,
729.363,1147.0683,
726.452,1257.2495,
723.542,1305.0037,
720.631,1349.6746,
717.721,1359.1879,
714.810,1349.7728,
711.899,1346.526,
708.989,1380.4169,
706.078,1324.5338,
703.168,1347.6655,
700.257,1360.8981,
697.347,1349.9724,
694.436,1365.4068,
691.525,1357.3687,
688.615,1349.3359,
685.704,1340.8764,
682.794,1332.7527,
679.883,1327.5261,
676.973,1347.5604,
674.062,1332.4825,
671.151,1335.2132,
668.241,1353.3397,
665.330,1355.8519,
662.420,1360.6443,
659.509,1349.5613,
656.598,1343.4905,
653.688,1348.0756,
650.777,1360.03,
647.867,1371.975,
644.956,1395.057,
642.046,1383.9929,
639.135,1353.9787,
636.224,1366.6011,
633.314,1361.8375,
630.403,1384.2734,
627.493,1385.6461,
624.582,1366.7456,
621.672,1389.7134,
618.761,1388.3452,
615.850,1410.2155,
612.940,1423.1604,
610.029,1418.8066,
607.119,1455.9192,
604.208,1461.755,
601.297,1472.5954,
598.387,1461.4142,
595.476,1411.8933,
592.566,1446.5243,
589.655,1424.1178,
586.745,1406.8891,
583.834,1404.8446,
580.923,1405.6013,
578.013,1401.6776,
575.102,1389.7268,
572.192,1397.7028,
569.281,1429.437,
566.371,1445.0895,
563.460,1416.9953,
560.549,1425.0907,
557.639,1456.0247,
554.728,1480.3439,
551.818,1460.0557,
548.907,1469.6415,
545.996,1483.2905,
543.086,1486.5987,
540.175,1467.9112,
537.265,1476.7649,
534.354,1476.6115,
531.444,1470.9531,
528.533,1468.3356,
525.622,1492.39,
522.712,1491.5575,
519.801,1518.9392,
516.891,1564.3038,
513.980,1537.9778,
511.070,1555.3467,
508.159,1599.92,
505.248,1629.1098,
502.338,1598.845,
499.427,1640.5239,
496.517,1671.423,
493.606,1695.0373,
490.695,1713.2298,
487.785,1724.7766,
484.874,1698.1911,
481.964,1669.7514,
479.053,1666.8852,
476.143,1730.6261,
473.232,1696.4966,
470.321,1657.7828,
467.411,1647.0608,
464.500,1689.2565,
461.590,1674.7075,
458.679,1667.3232,
455.769,1682.5837,
452.858,1719.6366,
449.947,1700.5383,
447.037,1714.2211,
444.126,1723.0371,
441.216,1719.551,
438.305,1724.8845,
435.395,1743.3272,
432.484,1759.7098,
429.573,1765.0099,
426.663,1745.2463,
423.752,1768.7321,
420.842,1769.1212,
417.931,1767.3984,
415.020,1805.3163,
412.110,1800.0405,
409.199,1799.092,
406.289,1818.5815,
403.378,1873.4816,
400.468,1831.1459,
397.557,1831.507,
394.646,1845.9717,
391.736,1849.8182,
388.825,1855.852,
385.915,1807.5988,
383.004,1774.4756,
380.094,1803.3909,
377.183,1838.0048,
374.272,1879.649,
371.362,1908.391,
368.451,1912.7618,
365.541,1915.0134,
362.630,1897.5991,
359.719,1896.5355,
356.809,1930.0328,
353.898,1936.772,
350.988,1953.8146,
348.077,1962.2689,
345.167,1951.1331,
342.256,1941.4212,
339.345,1937.5621,
336.435,1933.5715,
333.524,1926.2592,
330.614,1946.3784,
327.703,1943.8971,
324.793,1943.8743,
321.882,1967.6683,
318.971,1985.5109,
316.061,1970.6275,
313.150,1955.7845,
310.240,1978.7901,
307.329,1998.9202,
304.418,1996.594,
301.508,1980.6865,
298.597,1965.8782,
295.687,1986.2967,
292.776,1997.4583,
289.866,2011.3916,
286.955,2071.9671,
284.044,2116.6775,
281.134,2172.4321,
278.223,2232.0561,
275.313,2235.0035,
272.402,2265.832,
269.492,2306.953,
266.581,2350.149,
263.670,2371.4692,
260.760,2391.207,
257.849,2407.2178,
254.939,2417.4921,
252.028,2414.0058,
249.117,2412.1682,
246.207,2402.9121,
243.296,2369.2384,
240.386,2391.7447,
237.475,2386.0315,
234.565,2355.6603,
231.654,2362.2338,
228.743,2294.5808,
225.833,2243.3201,
222.922,2242.2853,
220.012,2234.9997,
217.101,2225.2643,
214.191,2217.8436,
211.280,2218.571,
208.369,2211.2241,
205.459,2208.4235,
202.548,2212.132,
199.638,2226.645,
196.727,2235.9634,
193.816,2247.5485,
190.906,2261.8981,
187.995,2212.6645,
