,PL1F6B~1,
Raman shift [1/cm],Intensity,
1052.437,1083.3188,
1049.527,1100.1365,
1046.616,1081.0223,
1043.705,1068.8551,
1040.795,1077.3681,
1037.884,1085.898,
1034.974,1093.0889,
1032.063,1090.1908,
1029.153,1055.2638,
1026.242,1075.1578,
1023.331,1085.8744,
1020.421,1093.4518,
1017.510,1103.7189,
1014.600,1123.8317,
1011.689,1144.8705,
1008.778,1147.6758,
1005.868,1135.3383,
1002.957,1186.9596,
1000.047,1208.707,
997.136,1209.1764,
994.226,1215.2441,
991.315,1223.526,
988.404,1208.0927,
985.494,1167.7024,
982.583,1159.9934,
979.673,1150.8269,
976.762,1154.9202,
973.852,1148.3827,
970.941,1136.5424,
968.030,1141.2218,
965.120,1131.9215,
962.209,1143.0046,
959.299,1159.04,
956.388,1164.875,
953.477,1161.5868,
950.567,1159.7507,
947.656,1166.8723,
944.746,1159.2263,
941.835,1171.0222,
938.925,1187.036,
936.014,1206.5207,
933.103,1219.9343,
930.193,1218.8786,
927.282,1206.7375,
924.372,1204.2007,
921.461,1189.147,
918.551,1153.6665,
915.640,1122.9512,
912.729,1116.7788,
909.819,1134.9879,
906.908,1150.994,
903.998,1151.875,
901.087,1158.2401,
898.176,1154.7171,
895.266,1145.9228,
892.355,1150.7856,
889.445,1187.7134,
886.534,1203.7376,
883.624,1210.912,
880.713,1203.6886,
877.802,1196.612,
874.892,1204.2873,
871.981,1222.79,
869.071,1176.8423,
866.160,1199.2332,
863.250,1179.326,
860.339,1155.3185,
857.428,1169.362,
854.518,1180.0916,
851.607,1187.5803,
848.697,1206.0704,
845.786,1195.7112,
842.875,1201.2461,
839.965,1236.4088,
837.054,1207.0239,
834.144,1220.2839,
831.233,1221.5418,
828.323,1234.723,
825.412,1242.7577,
822.501,1228.2367,
819.591,1219.1463,
816.680,1206.8557,
813.770,1189.4654,
810.859,1177.2651,
807.949,1177.5604,
805.038,1188.3816,
802.127,1176.0347,
799.217,1188.292,
796.306,1176.4154,
793.396,1170.4934,
790.485,1184.876,
787.574,1199.4391,
784.664,1187.9575,
781.753,1224.7921,
778.843,1226.232,
775.932,1222.0723,
773.022,1247.7887,
770.111,1208.545,
767.200,1228.7144,
764.290,1230.0962,
761.379,1214.8467,
758.469,1198.7121,
755.558,1201.2186,
752.648,1179.2243,
749.737,1113.5128,
746.826,1064.091,
743.916,1000.4782,
741.005,859.73909,
738.095,628.35419,
735.184,441.41669,
732.274,428.36115,
729.363,591.89189,
726.452,855.27993,
723.542,1023.6337,
720.631,1116.2098,
717.721,1145.3121,
714.810,1163.1022,
711.899,1189.5681,
708.989,1196.8304,
