,PLACEA~1,
Raman shift [1/cm],Intensity,
1125.202,3234.4511,
1122.291,3227.3743,
1119.380,3225.6683,
1116.470,3230.0809,
1113.559,3266.1945,
1110.649,3263.5281,
1107.738,3241.0863,
1104.828,3256.752,
1101.917,3284.9026,
1099.006,3256.027,
1096.096,3261.9262,
1093.185,3250.5122,
1090.275,3334.5984,
1087.364,3277.7792,
1084.453,3249.937,
1081.543,3260.8837,
1078.632,3275.4599,
1075.722,3304.8489,
1072.811,3352.7849,
1069.901,3284.6706,
1066.990,3307.9166,
1064.079,3329.5963,
1061.169,3391.3028,
1058.258,3430.5432,
1055.348,3435.6773,
1052.437,3456.4256,
1049.527,3417.5788,
1046.616,3494.0358,
1043.705,3513.4157,
1040.795,3504.4934,
1037.884,3511.2799,
1034.974,3522.3905,
1032.063,3523.1556,
1029.153,3540.637,
1026.242,3565.7207,
1023.331,3563.2919,
1020.421,3562.625,
1017.510,3578.873,
1014.600,3610.2339,
1011.689,3644.4622,
1008.778,3680.2598,
1005.868,3760.5594,
1002.957,3864.6622,
1000.047,4031.3211,
997.136,4156.3421,
994.226,4198.8251,
991.315,4170.922,
988.404,4114.5457,
985.494,4065.8221,
982.583,3985.3058,
979.673,3937.7743,
976.762,3871.1987,
973.852,3864.1237,
970.941,3895.8082,
968.030,3878.2724,
965.120,3870.557,
962.209,3854.3587,
959.299,3909.7014,
956.388,3911.7864,
953.477,3908.1889,
950.567,3937.2977,
947.656,3964.7364,
944.746,3965.586,
941.835,3965.625,
938.925,3967.5992,
936.014,3971.66,
933.103,3964.0322,
930.193,3945.424,
927.282,3945.6461,
924.372,3890.6817,
921.461,3822.5038,
918.551,3793.6538,
915.640,3762.2785,
912.729,3731.9921,
909.819,3743.4001,
906.908,3718.9697,
903.998,3726.374,
901.087,3736.8996,
898.176,3776.9374,
895.266,3816.8946,
892.355,3833.7604,
889.445,3909.2944,
886.534,3938.8455,
883.624,3952.0262,
880.713,3952.5629,
877.802,3949.2776,
874.892,3943.2934,
871.981,3918.6189,
869.071,3876.0128,
866.160,3896.9133,
863.250,3941.6014,
860.339,3968.8351,
857.428,3949.7464,
854.518,3882.6731,
851.607,3884.3373,
848.697,3869.493,
845.786,3839.2715,
842.875,3851.5312,
839.965,3919.1154,
837.054,3939.6901,
834.144,3945.4914,
831.233,3958.6241,
828.323,3934.4561,
825.412,3911.996,
822.501,3919.0503,
819.591,3860.3759,
816.680,3794.5223,
813.770,3769.854,
810.859,3733.4894,
807.949,3692.0421,
805.038,3689.6936,
802.127,3748.1357,
799.217,3735.7356,
796.306,3701.2464,
793.396,3671.06,
790.485,3662.6789,
787.574,3681.1891,
784.664,3669.7075,
781.753,3734.0524,
778.843,3734.2796,
775.932,3715.4396,
773.022,3750.2734,
770.111,3760.9019,
767.200,3727.3659,
764.290,3727.6047,
761.379,3723.809,
758.469,3702.6953,
755.558,3690.5552,
752.648,3654.7127,
749.737,3633.2636,
746.826,3610.2397,
743.916,3550.462,
741.005,3420.8997,
738.095,3237.4155,
735.184,3012.548,
732.274,2953.7127,
729.363,3093.9955,
726.452,3364.5149,
723.542,3546.6284,
720.631,3585.6775,
717.721,3633.0057,
714.810,3676.0908,
711.899,3696.6151,
708.989,3683.7043,
706.078,3649.169,
703.168,3641.2322,
