,PLA93A~1,
Wavenumbers [1/cm],Intensity,
1945.985,1516.0833,
1943.074,1486.1567,
1940.164,1503.1825,
1937.253,1468.1438,
1934.342,1447.0043,
1931.432,1450.9637,
1928.521,1432.7193,
1925.611,1446.727,
1922.700,1442.2541,
1919.790,1407.4946,
1916.879,1453.6638,
1913.968,1466.4889,
1911.058,1396.8964,
1908.147,1408.611,
1905.237,1436.3896,
1902.326,1391.4555,
1899.415,1374.9439,
1896.505,1332.205,
1893.594,1371.2165,
1890.684,1402.8267,
1887.773,1410.7673,
1884.863,1417.7916,
1881.952,1458.7696,
1879.041,1422.3022,
1876.131,1413.6438,
1873.220,1425.0885,
1870.310,1391.2265,
1867.399,1415.0682,
1864.489,1446.5515,
1861.578,1470.5386,
1858.667,1450.3264,
1855.757,1440.1122,
1852.846,1428.5103,
1849.936,1434.5,
1847.025,1454.6095,
1844.114,1482.6482,
1841.204,1482.1294,
1838.293,1495.5033,
1835.383,1486.942,
1832.472,1482.093,
1829.562,1493.9984,
1826.651,1510.7567,
1823.740,1515.5,
1820.830,1539.4215,
1817.919,1488.6793,
1815.009,1514.0305,
1812.098,1516.0118,
1809.188,1501.4303,
1806.277,1500.5,
1803.366,1520.9991,
1800.456,1551.3793,
1797.545,1562.6279,
1794.635,1529.9181,
1791.724,1566.335,
1788.813,1558.6913,
1785.903,1526.5756,
1782.992,1484.7473,
1780.082,1362.6829,
1777.171,1230.8271,
1774.261,1260.4261,
1771.350,1438.3778,
1768.439,1563.5417,
1765.529,1584.1418,
1762.618,1610.77,
1759.708,1607.6087,
1756.797,1616.803,
1753.887,1630.6545,
1750.976,1642.038,
1748.065,1653.1021,
1745.155,1650.1968,
1742.244,1638.2165,
1739.334,1682.4294,
1736.423,1686.8365,
1733.512,1702.7846,
1730.602,1705.5159,
1727.691,1706.5706,
1724.781,1736.6033,
1721.870,1758.9858,
1718.960,1750.9888,
1716.049,1758.5677,
1713.138,1804.1048,
1710.228,1824.5545,
1707.317,1796.4246,
1704.407,1770.9385,
1701.496,1817.7236,
1698.586,1851.1435,
1695.675,1898.414,
1692.764,1856.0574,
1689.854,1893.6811,
1686.943,1876.1745,
1684.033,1966.1902,
1681.122,1934.0947,
1678.211,1933.5,
1675.301,2001.2903,
1672.390,2030.6884,
1669.480,2093.8209,
1666.569,2134.0205,
1663.659,2174.157,
1660.748,2155.7367,
1657.837,2270.2217,
1654.927,2302.2891,
1652.016,2296.829,
1649.106,2430.3531,
1646.195,2425.2912,
1643.285,2460.0521,
1640.374,2569.939,
1637.463,2592.3555,
1634.553,2695.7462,
1631.642,2846.7595,
1628.732,2962.8569,
1625.821,3190.6551,
1622.911,3426.1645,
1620.000,3528.2149,
1617.089,3853.9129,
1614.179,4045.1418,
1611.268,4323.9415,
1608.358,4593.7641,
1605.447,4708.3294,
1602.536,4780.664,
1599.626,4825.0571,
1596.715,4821.2392,
1593.805,4825.866,
1590.894,4719.9389,
1587.984,4701.1695,
1585.073,4611.1642,
1582.162,4542.0673,
1579.252,4494.6764,
1576.341,4492.1074,
1573.431,4486.4514,
1570.520,4432.5224,
1567.610,4429.912,
1564.699,4361.997,
1561.788,4214.0786,
1558.878,4201.7347,
1555.967,4147.4875,
1553.057,4034.587,
1550.146,3940.4928,
1547.235,3835.2995,
1544.325,3777.1481,
1541.414,3743.9571,
1538.504,3651.1367,
1535.593,3554.3375,
1532.683,3509.5557,
1529.772,3462.2943,
1526.861,3416.4884,
1523.951,3406.791,
1521.040,3387.2783,
1518.130,3359.0365,
1515.219,3324.5005,
1512.309,3298.3243,
1509.398,3253.0916,
1506.487,3162.7449,
1503.577,3095.6147,
1500.666,3116.2542,
1497.756,3088.2116,
1494.845,3057.8586,
1491.934,2994.4118,
1489.024,2967.462,
1486.113,2944.2468,
1483.203,2869.6703,
1480.292,2813.8319,
1477.382,2769.1288,
1474.471,2709.853,
1471.560,2656.0397,
1468.650,2625.1014,
1465.739,2611.7356,
1462.829,2603.7255,
1459.918,2579.5053,
1457.008,2557.423,
1454.097,2517.8381,
1451.186,2519.9178,
1448.276,2576.9172,
1445.365,2580.8586,
1442.455,2572.2613,
1439.544,2516.8579,
1436.633,2568.5973,
1433.723,2569.901,
1430.812,2510.9777,
1427.902,2528.8461,
1424.991,2501.3609,
1422.081,2519.767,
1419.170,2619.1388,
1416.259,2586.7063,
1413.349,2554.3533,
1410.438,2527.9062,
1407.528,2535.5935,
1404.617,2511.6208,
1401.707,2488.5,
1398.796,2479.5315,
1395.885,2495.5435,
1392.975,2525.7706,
1390.064,2494.6642,
1387.154,2452.7713,
1384.243,2463.1551,
1381.332,2465.2626,
1378.422,2502.8424,
1375.511,2645.2331,
1372.601,2719.3825,
1369.690,2736.6439,
1366.780,2858.0973,
1363.869,2909.1149,
1360.958,2941.5882,
1358.048,3052.3964,
1355.137,3111.6147,
1352.227,3146.1342,
1349.316,3241.3818,
1346.406,3321.1635,
1343.495,3354.1917,
1340.584,3414.4993,
1337.674,3470.4697,
1334.763,3554.2057,
1331.853,3572.7503,
1328.942,3631.3152,
1326.032,3768.1837,
