,PL84A9~1,
Raman shift [1/cm],Intensity,
1521.040,1479.3072,
1518.130,1441.8403,
1515.219,1473.5996,
1512.309,1468.6756,
1509.398,1415.1558,
1506.487,1437.8029,
1503.577,1444.5663,
1500.666,1375.9414,
1497.756,1316.1954,
1494.845,1364.9589,
1491.934,1315.789,
1489.024,1251.302,
1486.113,1274.962,
1483.203,1261.013,
1480.292,1264.0911,
1477.382,1242.3691,
1474.471,1221.6524,
1471.560,1215.5487,
1468.650,1176.7367,
1465.739,1147.4712,
1462.829,1172.6313,
1459.918,1178.5303,
1457.008,1196.4619,
1454.097,1189.4895,
1451.186,1150.3269,
1448.276,1161.6414,
1445.365,1167.8562,
1442.455,1146.0672,
1439.544,1128.6658,
1436.633,1162.0089,
1433.723,1125.3859,
1430.812,1097.1925,
1427.902,1062.8343,
1424.991,1097.9016,
1422.081,1076.9805,
1419.170,1034.3892,
1416.259,1047.4415,
1413.349,1013.4827,
1410.438,1027.5916,
1407.528,1026.1252,
1404.617,1016.6515,
1401.707,1024.009,
1398.796,1034.3601,
1395.885,1026.2519,
1392.975,1019.5004,
1390.064,1048.2439,
1387.154,1071.1209,
1384.243,1030.4461,
1381.332,981.52926,
1378.422,1035.0144,
1375.511,1054.6868,
1372.601,1188.6277,
1369.690,1155.4244,
1366.780,1216.9071,
1363.869,1272.0503,
1360.958,1361.9249,
1358.048,1396.8468,
1355.137,1402.9366,
1352.227,1438.9087,
1349.316,1471.2223,
1346.406,1500.0153,
1343.495,1581.6882,
1340.584,1644.9993,
1337.674,1696.2528,
1334.763,1740.1764,
1331.853,1744.8126,
1328.942,1761.8998,
1326.032,1821.0934,
1323.121,1930.3254,
1320.210,1925.3766,
1317.300,1960.8916,
1314.389,2021.0977,
1311.479,2056.8543,
1308.568,2108.3272,
1305.657,2173.5859,
1302.747,2211.6015,
1299.836,2289.6684,
1296.926,2327.0593,
1294.015,2414.395,
1291.105,2509.5763,
1288.194,2575.5158,
1285.283,2654.1563,
1282.373,2759.1013,
1279.462,2832.9995,
1276.552,2862.504,
1273.641,2880.2494,
1270.731,2907.5851,
1267.820,2928.8452,
1264.909,2911.5493,
1261.999,2901.3329,
1259.088,2910.4541,
1256.178,2888.7321,
1253.267,2835.1323,
1250.356,2768.5287,
1247.446,2680.6335,
1244.535,2578.518,
1241.625,2480.8409,
1238.714,2403.6956,
1235.804,2347.6748,
1232.893,2301.3729,
1229.982,2307.7496,
1227.072,2211.7866,
1224.161,2207.5215,
1221.251,2156.6289,
1218.340,2113.7353,
1215.430,2059.8109,
1212.519,2049.1852,
1209.608,2075.2912,
1206.698,2082.6811,
1203.787,2105.6633,
1200.877,2096.9005,
1197.966,2159.8416,
1195.055,2197.9832,
1192.145,2211.5134,
1189.234,2289.9087,
1186.324,2370.2765,
1183.413,2404.7665,
1180.503,2397.8941,
1177.592,2367.4543,
1174.681,2323.2123,
1171.771,2303.8146,
1168.860,2295.7767,
1165.950,2249.8478,
1163.039,2239,
1160.129,2230.742,
1157.218,2212.9816,
1154.307,2203.7103,
1151.397,2206.8719,
1148.486,2195.0029,
1145.576,2178.5011,
