,PL21A3~1,
Wavenumbers [1/cm],Intensity,
1800.456,2283.5787,
1797.545,2309.4638,
1794.635,2277.681,
1791.724,2294.9914,
1788.813,2313.6657,
1785.903,2289.0959,
1782.992,2272.0254,
1780.082,2153.5311,
1777.171,2065.5372,
1774.261,2085.3757,
1771.350,2210.612,
1768.439,2340.6247,
1765.529,2395.6945,
1762.618,2387.4487,
1759.708,2380.0925,
1756.797,2411.3902,
1753.887,2435.5164,
1750.976,2424.5439,
1748.065,2453.8135,
1745.155,2438.6366,
1742.244,2423.1585,
1739.334,2477.5432,
1736.423,2521.3647,
1733.512,2500.7692,
1730.602,2510.8195,
1727.691,2525.5516,
1724.781,2596.3072,
1721.870,2531.984,
1718.960,2563.6756,
1716.049,2583.2647,
1713.138,2631.0448,
1710.228,2624.9502,
1707.317,2632.6053,
1704.407,2631.1798,
1701.496,2683.7448,
1698.586,2719.3665,
1695.675,2731.2321,
1692.764,2761.2234,
1689.854,2766.7018,
1686.943,2803.5934,
1684.033,2863.3848,
1681.122,2870.773,
1678.211,2841.1605,
1675.301,2969.4772,
1672.390,2961.0814,
1669.480,3030.2119,
1666.569,3072.2686,
1663.659,3104.4592,
1660.748,3200.8005,
1657.837,3248.7935,
1654.927,3290.1327,
1652.016,3303.9853,
1649.106,3430.148,
1646.195,3483.872,
1643.285,3607.6296,
1640.374,3684.4638,
1637.463,3762.2077,
1634.553,3946.136,
1631.642,4099.242,
1628.732,4315.5564,
1625.821,4430.1125,
1622.911,4790.8294,
1620.000,5115.7552,
1617.089,5399.2033,
1614.179,5764.4406,
1611.268,6100.3089,
1608.358,6415.0321,
1605.447,6739.1347,
1602.536,6836.1535,
1599.626,6870.3929,
1596.715,6865.6142,
1593.805,6774.5475,
1590.894,6749.7843,
1587.984,6600.6393,
1585.073,6506.4064,
1582.162,6496.3797,
1579.252,6442.0488,
1576.341,6393.0261,
1573.431,6325.9201,
1570.520,6322.8694,
1567.610,6275.4624,
1564.699,6218.7234,
1561.788,6170.7767,
1558.878,6097.4746,
1555.967,5994.5592,
1553.057,5867.8414,
1550.146,5750.2752,
1547.235,5626.4099,
1544.325,5501.4456,
1541.414,5377.0474,
1538.504,5278.8812,
1535.593,5223.9115,
1532.683,5137.641,
1529.772,5006.5383,
1526.861,4965.452,
1523.951,4997.0843,
1521.040,4951.2653,
1518.130,4892.9188,
1515.219,4868.5544,
1512.309,4854.9515,
1509.398,4731.0521,
1506.487,4671.4422,
1503.577,4637.323,
1500.666,4574.9357,
1497.756,4522.0109,
1494.845,4542.7922,
1491.934,4420.6703,
1489.024,4358.1082,
1486.113,4311.3687,
1483.203,4218.1701,
1480.292,4235.7244,
1477.382,4167.3244,
1474.471,4017.8858,
1471.560,3959.0077,
1468.650,3962.1241,
1465.739,3977.1228,
1462.829,3963.18,
1459.918,3911.2006,
1457.008,3844.3361,
1454.097,3849.1584,
1451.186,3872.8344,
1448.276,3857.0027,
1445.365,3883.518,
1442.455,3896.6277,
1439.544,3922.4908,
1436.633,3898.9813,
1433.723,3866.279,
1430.812,3803.1602,
1427.902,3856.6721,
1424.991,3848.1422,
1422.081,3854.2973,
1419.170,3892.8937,
1416.259,3924.797,
1413.349,3911.2387,
1410.438,3914.6719,
1407.528,3915.6563,
1404.617,3899.7839,
1401.707,3872.9169,
1398.796,3858.347,
1395.885,3844.4064,
1392.975,3829.1877,
1390.064,3843.5839,
1387.154,3852.3047,
1384.243,3841.2883,
1381.332,3829.539,
1378.422,3844.536,
1375.511,4031.8922,
1372.601,4143.6203,
1369.690,4205.1656,
1366.780,4297.8307,
1363.869,4371.4549,
1360.958,4470.7612,
1358.048,4539.7607,
1355.137,4602.5068,
1352.227,4694.4897,
1349.316,4805.4786,
1346.406,4924.3435,
1343.495,5023.3454,
1340.584,5065.8381,
1337.674,5154.8095,
1334.763,5245.5927,
1331.853,5238.1749,
1328.942,5312.59,
1326.032,5405.8839,
1323.121,5548.6161,
1320.210,5647.8123,
1317.300,5737.8494,
1314.389,5887.766,
1311.479,6007.2244,
1308.568,6096.607,
1305.657,6252.6471,
1302.747,6394.3349,
1299.836,6582.514,
1296.926,6734.5752,
1294.015,6835.7008,
1291.105,7129.5733,
1288.194,7354.9821,
1285.283,7569.4197,
1282.373,7699.7888,
1279.462,7845.0298,
1276.552,8031.4345,
1273.641,8195.8811,
1270.731,8274.9944,
1267.820,8252.3577,
1264.909,8211.1708,
1261.999,8148.0414,
1259.088,8152.602,
1256.178,7972.1627,
1253.267,7826.7957,
1250.356,7618.498,
1247.446,7316.4391,
1244.535,7037.4959,
1241.625,6794.205,
1238.714,6528.7778,
1235.804,6274.5986,
1232.893,6086.5237,
1229.982,5975.686,
1227.072,5881.5335,
1224.161,5758.8855,
1221.251,5627.4322,
1218.340,5539.3457,
1215.430,5448.0129,
1212.519,5409.4578,
1209.608,5375.1993,
1206.698,5284.1516,
1203.787,5285.6941,
1200.877,5279.3914,
1197.966,5368.4081,
1195.055,5522.1935,
1192.145,5663.5819,
1189.234,5831.6335,
1186.324,5966.7903,
1183.413,6001.4435,
1180.503,5973.8397,
1177.592,5951.3797,
1174.681,5898.5223,
1171.771,5909.9986,
1168.860,5915.3572,
1165.950,5840.8901,
1163.039,5856.3983,
1160.129,5887.3909,
1157.218,5828.2068,
1154.307,5739.2601,
1151.397,5717.6143,
