,PLD3A7~1,
Raman shift [1/cm],Intensity,
1902.326,729.20722,
1899.415,728.70426,
1896.505,725.67328,
1893.594,745.7104,
1890.684,749.39629,
1887.773,742.04743,
1884.863,768.41315,
1881.952,770.37263,
1879.041,741.1738,
1876.131,735.25376,
1873.220,737.36837,
1870.310,715.34701,
1867.399,737.24115,
1864.489,720.87119,
1861.578,751.9986,
1858.667,755.33159,
1855.757,756.61426,
1852.846,766.11219,
1849.936,755.90428,
1847.025,760.56172,
1844.114,776.60146,
1841.204,760.25088,
1838.293,760.10421,
1835.383,775.904,
1832.472,781.59022,
1829.562,786.81901,
1826.651,820.76254,
1823.740,802.13835,
1820.830,807.37319,
1817.919,794.70872,
1815.009,800.89981,
1812.098,812.49901,
1809.188,761.09799,
1806.277,783.04957,
1803.366,787.72482,
1800.456,793.13039,
1797.545,784.53281,
1794.635,785.17302,
1791.724,797.7706,
1788.813,814.03194,
1785.903,833.04556,
1782.992,817.1138,
1780.082,803.25277,
1777.171,821.96012,
1774.261,829.72002,
1771.350,826.876,
1768.439,826.86005,
1765.529,829.80553,
1762.618,832.7369,
1759.708,851.26637,
1756.797,837.72348,
1753.887,844.31888,
1750.976,860.26636,
1748.065,854.32393,
1745.155,863.7604,
1742.244,874.59782,
1739.334,872.51677,
1736.423,882.6362,
1733.512,871.61682,
1730.602,887.31749,
1727.691,885.41307,
1724.781,900.71626,
1721.870,897.57733,
1718.960,894.80277,
1716.049,878.68448,
1713.138,917.5198,
1710.228,942.03094,
1707.317,959.66271,
1704.407,914.00995,
1701.496,931.41369,
1698.586,938.24492,
1695.675,960.1463,
1692.764,922.80941,
1689.854,928.27855,
1686.943,989.50029,
1684.033,948.71779,
1681.122,998.74139,
1678.211,983.77728,
1675.301,1001.5695,
1672.390,1061.5742,
1669.480,1044.7132,
1666.569,1055.8535,
1663.659,1074.164,
1660.748,1106.5286,
1657.837,1102.7841,
1654.927,1153.7347,
1652.016,1117.9371,
1649.106,1170.9188,
1646.195,1183.2244,
1643.285,1207.4199,
1640.374,1199.5658,
1637.463,1243.7871,
1634.553,1252.6989,
1631.642,1258.4176,
1628.732,1330.8857,
1625.821,1374.6643,
1622.911,1434.2869,
1620.000,1473.1336,
1617.089,1565.7543,
1614.179,1601.638,
1611.268,1677.7251,
1608.358,1792.1467,
1605.447,1840.0539,
1602.536,1829.5786,
1599.626,1845.1838,
1596.715,1839.3642,
1593.805,1843.0967,
1590.894,1854.193,
1587.984,1839.1693,
1585.073,1853.6413,
1582.162,1782.3201,
1579.252,1745.5309,
1576.341,1731.8133,
1573.431,1748.4212,
1570.520,1703.9405,
1567.610,1681.1739,
1564.699,1670.6497,
1561.788,1645.09,
1558.878,1613.0938,
1555.967,1582.1444,
1553.057,1593.9524,
1550.146,1596.1778,
1547.235,1557.157,
1544.325,1541.9769,
1541.414,1530.3432,
1538.504,1536.6909,
1535.593,1528.8709,
1532.683,1506.5159,
1529.772,1536.6184,
1526.861,1574.4762,
1523.951,1578.6797,
1521.040,1577.6704,
1518.130,1588.4225,
1515.219,1559.6245,
1512.309,1581.0935,
1509.398,1578.7355,
1506.487,1524.5624,
1503.577,1490.5677,
1500.666,1483.5497,
1497.756,1520.718,
1494.845,1499.7462,
1491.934,1550.5274,
1489.024,1520.6901,
1486.113,1522.4066,
1483.203,1450.6834,
1480.292,1486.5961,
1477.382,1437.2394,
1474.471,1463.5287,
1471.560,1451.678,
1468.650,1443.9915,
1465.739,1436.2986,
1462.829,1425.06,
1459.918,1436.6472,
1457.008,1464.856,
1454.097,1455.1306,
1451.186,1445.7546,
1448.276,1468.9353,
1445.365,1465.1969,
1442.455,1457.5057,
1439.544,1415.8947,
1436.633,1399.9656,
1433.723,1437.8652,
1430.812,1458.1869,
1427.902,1427.625,
1424.991,1427.625,
1422.081,1485.4261,
1419.170,1501.8578,
1416.259,1483.3734,
1413.349,1492.9746,
1410.438,1446.5411,
1407.528,1459.3871,
1404.617,1441.0488,
1401.707,1428.9334,
1398.796,1437.3768,
1395.885,1446.6802,
1392.975,1429.0818,
1390.064,1343.5551,
1387.154,1286.7361,
1384.243,1214.7937,
1381.332,1133.7902,
1378.422,1251.4411,
1375.511,1325.4468,
1372.601,1380.0761,
1369.690,1444.6306,
1366.780,1532.2444,
1363.869,1546.8132,
1360.958,1538.0228,
1358.048,1592.1762,
1355.137,1630.5736,
1352.227,1649.2983,
1349.316,1654.7389,
1346.406,1626.625,
1343.495,1636.8393,
1340.584,1674.4102,
1337.674,1701.873,
1334.763,1672.5657,
1331.853,1723.5634,
1328.942,1685.5991,
1326.032,1723.0373,
1323.121,1705.2093,
1320.210,1700.9524,
1317.300,1707.1664,
1314.389,1719.3891,
1311.479,1734.7415,
1308.568,1721.0735,
1305.657,1690.4918,
1302.747,1707.7943,
1299.836,1702.8904,
1296.926,1749.4196,
1294.015,1788.0312,
1291.105,1838.9353,
1288.194,1900.7383,
1285.283,1965.4612,
1282.373,1962.211,
1279.462,1935.9978,
1276.552,1958.6094,
1273.641,1981.4407,
1270.731,1956.919,
1267.820,1956.3786,
1264.909,1950.2952,
1261.999,1940.392,
1259.088,1934.0071,
1256.178,1951.6106,
1253.267,1917.0324,
1250.356,1911.043,
1247.446,1882.5285,
1244.535,1851.2098,
1241.625,1851.3139,
1238.714,1858.1523,
1235.804,1836.3823,
1232.893,1812.8823,
1229.982,1780.1156,
1227.072,1794.6006,
1224.161,1728.3847,
1221.251,1676.166,
1218.340,1653.5556,
1215.430,1642.5691,
1212.519,1629.4753,
1209.608,1615.7269,
1206.698,1622.4126,
1203.787,1664.3386,
1200.877,1673.2907,
1197.966,1667.8957,
1195.055,1730.7654,
1192.145,1800.9811,
1189.234,1814.7859,
1186.324,1855.2656,
1183.413,1886.3255,
1180.503,1873.2171,
1177.592,1857.3724,
1174.681,1847.1318,
1171.771,1849.7596,
1168.860,1812.2498,
1165.950,1844.908,
1163.039,1847.3394,
1160.129,1833.4178,
1157.218,1812.6451,
1154.307,1804.9324,
1151.397,1811.7148,
1148.486,1800.4751,
1145.576,1799.9719,
1142.665,1807.9631,
1139.754,1794.7933,
1136.844,1799.3283,
1133.933,1785.0298,
1131.023,1766.9598,
1128.112,1744.1988,
1125.202,1725.9776,
1122.291,1754.9821,
1119.380,1709.084,
1116.470,1755.8581,
1113.559,1726.8288,
1110.649,1729.7219,
1107.738,1739.8399,
1104.828,1732.6386,
1101.917,1720.6961,
1099.006,1735.0887,
1096.096,1777.9049,
1093.185,1749.8088,
1090.275,1767.0475,
1087.364,1781.2307,
1084.453,1768.1886,
1081.543,1766.457,
1078.632,1793.2206,
1075.722,1816.3683,
1072.811,1804.0809,
1069.901,1768.2772,
1066.990,1800.3833,
1064.079,1778.0019,
1061.169,1791.7924,
1058.258,1799.803,
1055.348,1786.386,
1052.437,1805.9048,
1049.527,1822.5243,
1046.616,1819.9178,
1043.705,1818.8542,
1040.795,1809.6859,
1037.884,1817.7742,
1034.974,1825.0387,
1032.063,1812.2867,
1029.153,1803.4945,
1026.242,1819.0637,
1023.331,1794.6266,
1020.421,1777.0772,
1017.510,1795.7169,
1014.600,1825.6212,
1011.689,1841.7653,
1008.778,1847.9971,
1005.868,1868.0652,
1002.957,1917.1054,
1000.047,1961.025,
997.136,1989.8955,
994.226,2012.671,
991.315,2012.7067,
988.404,1966.141,
985.494,1901.6058,
982.583,1900.7493,
979.673,1882.3338,
976.762,1894.4123,
973.852,1905.4149,
970.941,1888.3987,
968.030,1855.0759,
965.120,1857.693,
962.209,1873.8913,
959.299,1862.46,
956.388,1861.1047,
953.477,1877.3669,
950.567,1900.8535,
947.656,1916.1821,
944.746,1920.4298,
941.835,1941.6801,
938.925,1942.0186,
936.014,1949.7415,
933.103,1960.3312,
930.193,1958.4289,
927.282,1945.9916,
924.372,1952.7565,
921.461,1935.9514,
918.551,1925.5585,
915.640,1915.401,
912.729,1891.4021,
909.819,1854.7379,
906.908,1870.744,
903.998,1862.0806,
901.087,1866.6266,
898.176,1870.625,
895.266,1884.5906,
892.355,1916.5097,
889.445,1926.5809,
886.534,1941.6527,
883.624,1953.3718,
880.713,1968.8528,
877.802,1971.2876,
874.892,1951.7642,
871.981,1934.9801,
869.071,1950.0175,
866.160,1948.4852,
863.250,1926.1811,
860.339,1916.2164,
857.428,1929.7119,
854.518,1921.6009,
851.607,1920.7689,
848.697,1935.0692,
845.786,1960.3078,
842.875,1963.6431,
839.965,1937.2658,
837.054,1936.0623,
834.144,1975.0136,
831.233,2021.2889,
828.323,2037.163,
825.412,2017.8488,
822.501,1989.9868,
819.591,2019.7372,
816.680,1970.1441,
813.770,1955.7455,
810.859,1946.5027,
807.949,1934.6957,
805.038,1928.4303,
802.127,1918.5528,
799.217,1884.8278,
796.306,1877.598,
793.396,1905.5413,
790.485,1941.4663,
787.574,1930.5591,
784.664,1955.1625,
781.753,1972.3737,
778.843,1965.3928,
775.932,1960.8841,
773.022,1981.1178,
770.111,1977.8475,
767.200,1958.5922,
764.290,1953.7808,
761.379,1943.2028,
758.469,1918.5099,
755.558,1890.9442,
752.648,1868.1353,
749.737,1870.1529,
746.826,1847.9828,
743.916,1764.1761,
741.005,1591.62,
738.095,1308.275,
735.184,1113.0215,
732.274,1077.0235,
729.363,1265.0243,
726.452,1618.8073,
723.542,1802.5396,
720.631,1860.0264,
717.721,1909.5686,
714.810,1936.767,
711.899,1949.1597,
708.989,1994.3475,
706.078,1981.8042,
703.168,1974.3745,
700.257,1961.3107,
697.347,1947.9292,
694.436,1952.7123,
691.525,1955.9275,
688.615,1951.5937,
685.704,1973.6632,
682.794,1995.8592,
679.883,1960.2285,
676.973,1951.4134,
674.062,1977.7006,
671.151,1992.31,
668.241,1981.0951,
665.330,1950.6628,
662.420,1951.4615,
659.509,1952.2599,
656.598,1981.1865,
653.688,2017.0147,
650.777,2014.6223,
647.867,2103.0147,
644.956,2052.0419,
642.046,2027.6965,
639.135,2053.7866,
636.224,2050.3903,
633.314,2003.5479,
630.403,2010.5437,
627.493,2025.1613,
624.582,2024.6233,
621.672,2011.1594,
618.761,2022.784,
615.850,2010.6464,
612.940,2011.9695,
610.029,2036.863,
607.119,2020.2808,
604.208,1998.0346,
601.297,1981.6487,
598.387,1979.3576,
595.476,1993.105,
592.566,1987.5956,
589.655,1972.3714,
586.745,1958.1155,
583.834,1937.7675,
580.923,1895.7482,
578.013,1916.1513,
575.102,1902.6966,
572.192,1906.1319,
569.281,1946.3422,
566.371,1994.8649,
563.460,2023.6109,
560.549,2026.3158,
557.639,2025.3391,
554.728,2045.5959,
551.818,2076.8085,
548.907,2083.625,
545.996,2086.3465,
543.086,2091.2961,
540.175,2094.4106,
537.265,2080.8637,
534.354,2046.0253,
531.444,2035.0164,
528.533,2081.0247,
525.622,2058.5222,
522.712,2045.1305,
519.801,2033.133,
516.891,2031.2328,
513.980,2073.8191,
511.070,2100.1641,
508.159,2097.6858,
505.248,2097.1431,
502.338,2135.0091,
499.427,2148.1302,
496.517,2147.6654,
493.606,2157.0752,
490.695,2172.2104,
487.785,2104.4688,
484.874,2106.5495,
481.964,2152.2459,
479.053,2195.0419,
