,PL7E40~1,
Raman shift [1/cm],Intensity,
1657.837,910.82826,
1654.927,887.33559,
1652.016,928.54136,
1649.106,974.29783,
1646.195,933.17323,
1643.285,1006.6029,
1640.374,1017.0649,
1637.463,1050.1676,
1634.553,1093.3898,
1631.642,1095.1242,
1628.732,1163.9735,
1625.821,1264.4195,
1622.911,1331.9918,
1620.000,1445.9261,
1617.089,1530.6835,
1614.179,1681.0602,
1611.268,1719.0738,
1608.358,1842.3816,
1605.447,1965.2902,
1602.536,1993.8084,
1599.626,2026.6527,
1596.715,1968.5657,
1593.805,1940.0167,
1590.894,1951.4657,
1587.984,1905.7399,
1585.073,1866.044,
1582.162,1851.1913,
1579.252,1833.8273,
1576.341,1807.9452,
1573.431,1836.8347,
1570.520,1792.1042,
1567.610,1774.6299,
1564.699,1728.6981,
1561.788,1697.9948,
1558.878,1667.7955,
1555.967,1612.7711,
1553.057,1555.9271,
1550.146,1505.6478,
1547.235,1465.7136,
1544.325,1453.0716,
1541.414,1439.7935,
1538.504,1421.7232,
1535.593,1394.4639,
1532.683,1356.6744,
1529.772,1318.2441,
1526.861,1298.8239,
1523.951,1298.3298,
1521.040,1247.9416,
1518.130,1200.8531,
1515.219,1223.2546,
1512.309,1234.9065,
1509.398,1213.6337,
1506.487,1165.5015,
1503.577,1129.1958,
1500.666,1147.2338,
1497.756,1113.4596,
1494.845,1101.8947,
1491.934,1090.3089,
1489.024,1070.0965,
1486.113,1092.5554,
1483.203,1048.1903,
1480.292,1058.4967,
1477.382,983.78317,
1474.471,991.46589,
1471.560,1008.8087,
1468.650,998.70953,
1465.739,966.75539,
1462.829,958.93999,
1459.918,973.31984,
1457.008,984.92889,
1454.097,946.78077,
1451.186,915.42529,
1448.276,948.23026,
1445.365,956.9453,
1442.455,932.1689,
1439.544,909.7783,
1436.633,937.47232,
1433.723,943.38707,
1430.812,911.38534,
1427.902,862.45739,
1424.991,907.94998,
1422.081,890.10798,
1419.170,849.49228,
1416.259,840.94481,
1413.349,844.90645,
1410.438,811.38602,
1407.528,815.04351,
1404.617,805.41264,
1401.707,818.40196,
1398.796,853.23161,
1395.885,861.6545,
1392.975,839.72847,
1390.064,820.55875,
1387.154,857.88974,
1384.243,873.9233,
1381.332,794.44956,
1378.422,869.01737,
1375.511,900.86792,
1372.601,976.94377,
1369.690,935.37054,
1366.780,988.36171,
1363.869,1044.3312,
1360.958,1120.1149,
1358.048,1157.9014,
1355.137,1163.4264,
1352.227,1186.7934,
1349.316,1227.3728,
1346.406,1264.3827,
1343.495,1307.5858,
1340.584,1354.4098,
1337.674,1416.519,
1334.763,1434.9748,
1331.853,1450.7378,
1328.942,1481.6168,
1326.032,1504.9499,
1323.121,1576.8028,
1320.210,1602.3728,
1317.300,1664.1689,
1314.389,1688.9024,
1311.479,1699.8991,
1308.568,1742.5588,
1305.657,1762.6799,
1302.747,1801.594,
1299.836,1890.5889,
1296.926,1960.6052,
1294.015,2051.6182,
1291.105,2138.1459,
1288.194,2189.3122,
1285.283,2240.9032,
1282.373,2271.2968,
1279.462,2330.4328,
1276.552,2410.0051,
1273.641,2463.6244,
1270.731,2493.0183,
1267.820,2514.8577,
1264.909,2478.3856,
1261.999,2451.572,
1259.088,2511.772,
1256.178,2453.7101,
1253.267,2419.5919,
1250.356,2353.4539,
1247.446,2263.7687,
1244.535,2188.1653,
1241.625,2098.8566,
1238.714,1994.2024,
1235.804,1929.0256,
1232.893,1864.9975,
1229.982,1873.9832,
1227.072,1803.3689,
1224.161,1784.9269,
1221.251,1757.0617,
1218.340,1704.3238,
1215.430,1623.6699,
1212.519,1577.375,
1209.608,1609.9776,
1206.698,1667.5877,
1203.787,1658.169,
1200.877,1638.2725,
1197.966,1685.0288,
1195.055,1742.8362,
1192.145,1799.7096,
1189.234,1834.8388,
1186.324,1879.7419,
1183.413,1907.9334,
1180.503,1899.6181,
1177.592,1878.3345,
1174.681,1854.3202,
1171.771,1826.4574,
1168.860,1830.0298,
1165.950,1769.9033,
1163.039,1769.3431,
1160.129,1753.5504,
1157.218,1748.9512,
1154.307,1750.3573,
1151.397,1734.4177,
1148.486,1734.0782,
1145.576,1715.7219,
1142.665,1723.7131,
1139.754,1691.0162,
1136.844,1662.3659,
1133.933,1670.9702,
1131.023,1660.7144,
1128.112,1641.8026,
1125.202,1640.8147,
1122.291,1604.2578,
1119.380,1624.4963,
1116.470,1636.8517,
1113.559,1670.8515,
1110.649,1641.7391,
1107.738,1635.3063,
1104.828,1666.5156,
1101.917,1696.9254,
1099.006,1700.4679,
1096.096,1676.2462,
1093.185,1657.8081,
1090.275,1663.6584,
1087.364,1656.4554,
1084.453,1650.6876,
1081.543,1666.4656,
1078.632,1673.6455,
1075.722,1654.5392,
1072.811,1709.8857,
1069.901,1688.9275,
1066.990,1698.6916,
1064.079,1723.1514,
1061.169,1732.8227,
1058.258,1738.3038,
