,PLB099~1,
Raman shift [1/cm],Intensity,
1296.926,3545.1588,
1294.015,3610.4307,
1291.105,3753.1311,
1288.194,3836.8232,
1285.283,3882.4811,
1282.373,3944.7498,
1279.462,4029.0259,
1276.552,4090.8495,
1273.641,4109.7454,
1270.731,4107.6548,
1267.820,4104.7482,
1264.909,4098.0582,
1261.999,4033.9891,
1259.088,4085.0679,
1256.178,4047.8715,
1253.267,3970.543,
1250.356,3905.7808,
1247.446,3796.5292,
1244.535,3708.3572,
1241.625,3648.214,
1238.714,3573.8388,
1235.804,3508.329,
1232.893,3465.7506,
1229.982,3460.2426,
1227.072,3375.1433,
1224.161,3351.4744,
1221.251,3239.4267,
1218.340,3167.791,
1215.430,3128.7552,
1212.519,3099.9005,
1209.608,3075.5569,
1206.698,3070.1253,
1203.787,3106.6828,
1200.877,3119.6384,
1197.966,3192.4703,
1195.055,3241.3472,
1192.145,3365.5832,
1189.234,3411.9105,
1186.324,3461.9476,
1183.413,3514.6986,
1180.503,3533.7995,
1177.592,3540.4685,
1174.681,3554.3236,
1171.771,3525.6936,
1168.860,3420.309,
1165.950,3364.9728,
1163.039,3314.316,
1160.129,3260.554,
1157.218,3237.5287,
1154.307,3211.5561,
1151.397,3155.826,
1148.486,3136.0241,
1145.576,3139.1976,
1142.665,3094.802,
1139.754,3126.111,
1136.844,3079.5014,
1133.933,3026.7997,
1131.023,3001.8761,
1128.112,3000.3388,
1125.202,3004.9173,
1122.291,3010.1493,
1119.380,3073.3329,
1116.470,3094.5136,
1113.559,3065.4218,
1110.649,3075.1155,
1107.738,3061.549,
1104.828,3063.1783,
1101.917,3089.9828,
1099.006,3085.7331,
1096.096,3110.0824,
1093.185,3076.7183,
1090.275,3115.3978,
1087.364,3095.6217,
1084.453,3098.4365,
1081.543,3094.0344,
1078.632,3079.0197,
1075.722,3097.134,
1072.811,3111.8004,
1069.901,3135.3785,
1066.990,3106.4084,
1064.079,3124.9845,
1061.169,3194.012,
1058.258,3226.5735,
1055.348,3225.1746,
1052.437,3260.8774,
1049.527,3237.9516,
1046.616,3336.9981,
1043.705,3311.899,
1040.795,3326.0267,
1037.884,3339.6193,
1034.974,3339.8698,
1032.063,3338.0251,
1029.153,3326.6709,
1026.242,3314.5615,
1023.331,3391.62,
1020.421,3375.0583,
1017.510,3409.869,
1014.600,3433.3224,
1011.689,3421.9622,
1008.778,3458.1997,
1005.868,3541.1521,
1002.957,3655.5792,
1000.047,3830.3731,
997.136,3916.142,
994.226,3951.1863,
991.315,3944.0285,
988.404,3874.8291,
985.494,3834.67,
982.583,3725.0308,
979.673,3727.4162,
976.762,3700.6602,
973.852,3668.7268,
970.941,3669.0911,
968.030,3685.2058,
965.120,3629.3291,
962.209,3677.924,
959.299,3693.2075,
956.388,3705.0844,
953.477,3703.9045,
950.567,3693.1707,
947.656,3698.2418,
944.746,3714.3834,
941.835,3735.3703,
938.925,3733.5445,
936.014,3747.3231,
933.103,3748.5888,
930.193,3718.3272,
927.282,3709.521,
924.372,3679.9248,
921.461,3625.3134,
918.551,3586.7923,
915.640,3566.1758,
912.729,3560.0035,
909.819,3559.7872,
906.908,3519.3508,
903.998,3508.376,
901.087,3537.3138,
898.176,3553.2162,
895.266,3559.06,
892.355,3590.5745,
889.445,3667.7871,
886.534,3721.5568,
883.624,3711.2672,
880.713,3738.381,
877.802,3777.5989,
874.892,3773.8296,
871.981,3728.1645,
869.071,3729.8353,
866.160,3719.7756,
863.250,3725.0849,
860.339,3740.5685,
857.428,3739.4986,
854.518,3686.6305,
851.607,3704.104,
848.697,3674.7976,
845.786,3656.4922,
842.875,3670.6024,
839.965,3701.8677,
837.054,3695.9668,
834.144,3681.8781,
831.233,3707.7896,
828.323,3701.8476,
825.412,3673.0759,
822.501,3652.8483,
819.591,3634.6675,
816.680,3573.2275,
813.770,3551.2335,
810.859,3525.4654,
807.949,3496.9201,
805.038,3491.3241,
802.127,3492.9704,
799.217,3473.7448,
796.306,3460.8817,
793.396,3459.2395,
790.485,3464.3356,
787.574,3466.6819,
784.664,3507.6875,
781.753,3512.4411,
778.843,3496.4225,
775.932,3477.1127,
773.022,3474.2113,
770.111,3513.455,
767.200,3503.1827,
764.290,3517.0392,
761.379,3512.401,
758.469,3483.6601,
755.558,3476.496,
752.648,3421.9176,
749.737,3430.0559,
746.826,3398.6313,
743.916,3308.4036,
741.005,3176.7577,
738.095,2987.5904,
735.184,2753.4673,
732.274,2736.4399,
729.363,2891.6058,
726.452,3116.1312,
723.542,3326.5734,
720.631,3349.5931,
717.721,3412.7009,
714.810,3478.8237,
711.899,3506.7883,
708.989,3475.3183,
706.078,3447.8807,
703.168,3427.1589,
700.257,3423.0759,
697.347,3418.8218,
694.436,3377.3176,
691.525,3347.5768,
688.615,3364.3947,
685.704,3371.6496,
682.794,3357.508,
679.883,3342.3689,
676.973,3414.4923,
674.062,3432.9535,
671.151,3421.0984,
668.241,3408.3665,
665.330,3423.4233,
662.420,3387.4803,
659.509,3371.236,
656.598,3379.1075,
653.688,3401.416,
650.777,3420.9612,
647.867,3475.1115,
644.956,3471.6462,
642.046,3434.7615,
639.135,3395.4962,
636.224,3393.3637,
633.314,3441,
630.403,3438.9359,
627.493,3453.7058,
624.582,3500.7176,
621.672,3534.7733,
618.761,3511.047,
615.850,3532.8783,
612.940,3577.6171,
610.029,3605.8141,
607.119,3537.9058,
604.208,3543.1952,
601.297,3558.5939,
598.387,3574.571,
595.476,3581.3656,
592.566,3509.7424,
589.655,3548.3083,
586.745,3563.9739,
583.834,3529.8995,
580.923,3465.1582,
578.013,3470.6513,
575.102,3477.8609,
572.192,3477.123,
569.281,3482.4662,
566.371,3562.2938,
563.460,3532.7352,
560.549,3556.1073,
557.639,3600.6163,
554.728,3609.4352,
551.818,3598.5108,
548.907,3645.4875,
545.996,3678.2914,
543.086,3676.9375,
540.175,3662.1432,
537.265,3674.162,
534.354,3689.6605,
531.444,3721.5817,
528.533,3775.5247,
525.622,3753.0222,
522.712,3769.9681,
519.801,3784.5069,
516.891,3794.8283,
513.980,3842.8347,
511.070,3915.4467,
508.159,3966.0931,
505.248,3998.387,
502.338,4023.6446,
499.427,4041.3968,
496.517,4116.2663,
493.606,4157.3383,
490.695,4138.2231,
487.785,4182.1012,
484.874,4212.3891,
481.964,4233.8458,
479.053,4228.6585,
476.143,4155.702,
473.232,4164.0743,
470.321,4146.7425,
467.411,4138.8271,
464.500,4183.4184,
461.590,4116.0332,
458.679,4154.3556,
455.769,4185.3718,
452.858,4153.9883,
449.947,4181.4898,
447.037,4155.5735,
444.126,4127.3614,
441.216,4126.2955,
438.305,4196.3932,
435.395,4188.4228,
432.484,4179.125,
429.573,4175.0425,
426.663,4157.5592,
423.752,4124.0437,
420.842,4106.4715,
417.931,4113.1139,
415.020,4151.7902,
412.110,4253.356,
409.199,4273.4991,
406.289,4279.2471,
403.378,4350.1532,
400.468,4358.4691,
397.557,4295.3139,
394.646,4221.8125,
391.736,4188.5898,
388.825,4109.3955,
385.915,4081.8675,
383.004,4105.5372,
380.094,4179.7682,
377.183,4290.3822,
374.272,4382.4592,
371.362,4456.7882,
368.451,4510.5779,
365.541,4501.5715,
362.630,4532.4457,
359.719,4543.8468,
356.809,4510.7886,
353.898,4604.3884,
350.988,4611.138,
348.077,4620.1002,
345.167,4679.0437,
342.256,4637.955,
339.345,4638.8794,
336.435,4654.5665,
333.524,4667.8866,
330.614,4723.7733,
327.703,4713.9145,
324.793,4706.686,
321.882,4760.1142,
318.971,4755.6535,
316.061,4782.9355,
313.150,4822.1321,
310.240,4851.0746,
307.329,4867.1324,
304.418,4880.4203,
301.508,4882.2327,
298.597,4856.3181,
295.687,4856.1567,
292.776,4902.5419,
289.866,5014.5447,
286.955,5244.2884,
284.044,5439.0448,
281.134,5628.289,
278.223,5803.5976,
275.313,5895.7045,
272.402,6040.6001,
269.492,6187.2079,
266.581,6311.278,
263.670,6355.3889,
260.760,6457.4525,
257.849,6570.4335,
254.939,6659.9672,
252.028,6747.9864,
249.117,6791.1752,
246.207,6788.5404,
243.296,6732.1735,
240.386,6737.8789,
237.475,6685.3444,
234.565,6590.3198,
231.654,6585.2071,
228.743,6503.5735,
225.833,6401.1346,
222.922,6299.6597,
220.012,6225.347,
217.101,6176.5892,
214.191,6136.0443,
211.280,6085.8494,
208.369,6072.7056,
205.459,6046.9647,
202.548,6020.2643,
199.638,6050.0159,
196.727,6026.1618,
193.816,6026.4007,
190.906,6079.0138,
187.995,6104.3547,
185.085,6136.2949,
182.174,6150.372,
179.264,6107.006,
176.353,6145.698,
173.442,6162.5113,
170.532,6139.3802,
167.621,6055.747,
164.711,5944.8296,
161.800,5792.8702,
158.890,5581.2703,
155.979,5232.8773,
153.068,4792.1786,
150.158,4277.5601,
147.247,3727.6086,
144.337,3093.2121,
141.426,2442.227,
138.516,1803.477,
135.605,1292.7779,
132.694,880.42226,
129.784,562.40462,
126.873,358.59262,
123.963,253.95822,
121.052,184.59502,
118.141,130.33847,
115.231,93.885912,
112.320,80.395908,
109.410,79.53425,
106.499,66.003301,
103.589,57.522455,
100.678,51.223648,
97.767,46.247085,
94.857,41.967066,
91.946,36.497002,
89.036,32.479775,
86.125,40.990238,
83.215,36.753956,
80.304,30.167269,
77.393,27.33459,
74.483,25.81473,
71.572,26.574408,
68.662,28.224523,
65.751,19.040658,
62.840,20.94202,
59.930,24.252138,
57.019,17.201318,
