,PLCB9D~1,
Wavenumbers [1/cm],Intensity,
1282.373,1020.7265,
1279.462,1036.4802,
1276.552,1058.0434,
1273.641,1053.8993,
1270.731,1021.4418,
1267.820,1015.669,
1264.909,1011.8955,
1261.999,1007.4334,
1259.088,1005.6092,
1256.178,1061.1697,
1253.267,1026.0027,
1250.356,1024.0133,
1247.446,1041.2345,
1244.535,1020.759,
1241.625,983.82965,
1238.714,985.88856,
1235.804,1010.4758,
1232.893,995.37057,
1229.982,1014.7641,
1227.072,993.03658,
1224.161,1009.9911,
1221.251,997.86531,
1218.340,976.3047,
1215.430,965.84839,
1212.519,950.0117,
1209.608,927.18437,
1206.698,928.47899,
1203.787,961.90201,
1200.877,968.27414,
1197.966,948.49264,
1195.055,958.59223,
1192.145,1014.5967,
1189.234,1064.2908,
1186.324,1077.1359,
1183.413,1087.1904,
1180.503,1108.8843,
1177.592,1118.6616,
1174.681,1116.2911,
1171.771,1074.3036,
1168.860,1109.1341,
1165.950,1077.8296,
1163.039,1082.0713,
1160.129,1056.8275,
1157.218,1064.8249,
1154.307,1102.0654,
1151.397,1096.6413,
1148.486,1070.6845,
1145.576,1160.8039,
1142.665,1121.7357,
1139.754,1125.009,
1136.844,1109.6927,
1133.933,1107.192,
1131.023,1114.2768,
1128.112,1112.4295,
1125.202,1099.8092,
1122.291,1091.2412,
1119.380,1068.7598,
1116.470,1095.2357,
1113.559,1090.7675,
1110.649,1069.5095,
1107.738,1049.3195,
1104.828,1054.6474,
1101.917,1073.6124,
1099.006,1068.5207,
1096.096,1054.3387,
1093.185,1051.7047,
1090.275,1057.9742,
1087.364,1045.7775,
1084.453,1076.6226,
1081.543,1089.2858,
1078.632,1077.9018,
1075.722,1107.3388,
1072.811,1143.2661,
1069.901,1111.8287,
1066.990,1090.9084,
1064.079,1084.4585,
1061.169,1098.9644,
1058.258,1104.3007,
1055.348,1096.8517,
1052.437,1099.5482,
1049.527,1085.2385,
1046.616,1104.3527,
1043.705,1091.8555,
1040.795,1086.223,
1037.884,1082.4656,
1034.974,1088.0657,
1032.063,1103.4538,
1029.153,1105.2537,
1026.242,1094.8742,
1023.331,1115.332,
1020.421,1122.9855,
1017.510,1133.4644,
1014.600,1151.9191,
1011.689,1156.6673,
1008.778,1127.1542,
1005.868,1113.5077,
1002.957,1114.3681,
1000.047,1139.98,
997.136,1168.2944,
994.226,1197.5613,
991.315,1218.7178,
988.404,1211.4479,
985.494,1159.7493,
982.583,1170.8846,
979.673,1162.2569,
976.762,1154.9774,
973.852,1157.3621,
970.941,1159.9434,
968.030,1148.3439,
965.120,1130.7685,
962.209,1194.7092,
959.299,1177.17,
956.388,1156.5406,
953.477,1164.708,
950.567,1189.8985,
947.656,1198.1631,
944.746,1187.9684,
941.835,1223.1318,
938.925,1248.6093,
936.014,1238.7844,
933.103,1230.0335,
930.193,1243.1053,
927.282,1223.5752,
924.372,1188.0597,
921.461,1223.2656,
918.551,1227.6241,
915.640,1204.7771,
912.729,1187.7937,
909.819,1200.3896,
906.908,1207.129,
903.998,1208.2954,
901.087,1193.8604,
898.176,1182.6368,
895.266,1196.9569,
892.355,1232.3012,
889.445,1220.5514,
886.534,1222.1697,
883.624,1201.6422,
880.713,1211.4039,
877.802,1214.52,
874.892,1169.0569,
871.981,1096.5149,
869.071,927.76154,
866.160,930.23814,
863.250,1048.8164,
860.339,1172.1379,
857.428,1227.1349,
854.518,1241.1038,
851.607,1192.8438,
848.697,1139.1041,
845.786,1078.5396,
842.875,1077.1539,
839.965,1156.7916,
837.054,1218.0117,
834.144,1263.5931,
831.233,1287.1656,
828.323,1287.576,
825.412,1289.8369,
822.501,1311.2873,
819.591,1321.2041,
816.680,1326.3077,
813.770,1319.3555,
810.859,1286.5231,
807.949,1269.5879,
805.038,1310.4181,
802.127,1276.6699,
799.217,1257.8468,
796.306,1249.6621,
793.396,1254.5077,
790.485,1269.0799,
787.574,1283.0916,
784.664,1298.6737,
781.753,1305.5259,
778.843,1314.3612,
775.932,1319.6482,
773.022,1318.5431,
770.111,1338.165,
767.200,1330.3643,
764.290,1286.4707,
761.379,1272.2547,
758.469,1299.639,
755.558,1311.889,
752.648,1324.9227,
749.737,1309.8747,
746.826,1272.5267,
743.916,1243.013,
741.005,1252.8931,
738.095,1282.9325,
735.184,1213.5639,
732.274,1135.5915,
729.363,1115.0361,
726.452,1172.9018,
723.542,1236.0345,
720.631,1262.4362,
717.721,1288.9767,
714.810,1325.5794,
711.899,1360.9356,
708.989,1358.5149,
706.078,1348.8844,
703.168,1347.7144,
700.257,1341.0737,
697.347,1326.8047,
694.436,1313.4782,
691.525,1312.6744,
688.615,1326.965,
685.704,1322.9809,
682.794,1324.5211,
679.883,1382.7791,
676.973,1366.7517,
674.062,1382.0044,
671.151,1366.2002,
668.241,1351.0834,
665.330,1408.1932,
662.420,1359.4706,
659.509,1364.7383,
656.598,1372.6345,
653.688,1392.6639,
650.777,1462.9329,
647.867,1446.2101,
644.956,1415.8765,
642.046,1375.0387,
639.135,1332.7445,
636.224,1303.8422,
633.314,1372.1209,
630.403,1386.5439,
627.493,1400.2471,
624.582,1414.9057,
621.672,1367.3861,
618.761,1402.737,
615.850,1420.5609,
612.940,1434.3799,
610.029,1446.3706,
607.119,1415.575,
604.208,1440.1905,
601.297,1465.4585,
598.387,1464.3085,
595.476,1426.0543,
592.566,1421.3319,
589.655,1449.0072,
586.745,1448.0092,
583.834,1417.7166,
580.923,1386.5758,
578.013,1399.1316,
575.102,1407.0887,
572.192,1423.7195,
569.281,1449.609,
566.371,1461.3484,
563.460,1468.1437,
560.549,1481.2201,
557.639,1498.9455,
554.728,1515.4653,
551.818,1499.0787,
548.907,1485.14,
545.996,1483.9431,
543.086,1487.8026,
540.175,1466.0006,
537.265,1455.0844,
534.354,1455.5135,
531.444,1463.1226,
528.533,1474.1555,
525.622,1497.4339,
522.712,1479.4434,
519.801,1458.7718,
516.891,1448.248,
513.980,1442.0536,
511.070,1466.8565,
508.159,1490.8719,
505.248,1500.7431,
502.338,1486.1611,
499.427,1474.5836,
496.517,1469.803,
493.606,1482.6327,
490.695,1510.286,
487.785,1508.7464,
484.874,1516.2547,
481.964,1492.2611,
479.053,1452.6839,
476.143,1453.4518,
473.232,1466.4493,
470.321,1478.3121,
467.411,1477.6489,
464.500,1454.403,
461.590,1450.5743,
458.679,1466.0088,
455.769,1482.6506,
452.858,1491.5679,
449.947,1511.4301,
447.037,1481.5214,
444.126,1483.5303,
441.216,1523.3094,
438.305,1516.452,
435.395,1525.9902,
432.484,1516.9137,
429.573,1480.7023,
426.663,1413.0498,
423.752,1302.8871,
420.842,1146.0686,
417.931,975.79296,
415.020,843.08029,
412.110,1068.9581,
409.199,1292.3752,
406.289,1415.1159,
403.378,1346.4462,
400.468,1330.5703,
397.557,1335.783,
394.646,1374.32,
391.736,1453.0553,
388.825,1470.4027,
385.915,1462.7274,
383.004,1446.9313,
380.094,1436.5365,
377.183,1456.8534,
374.272,1485.2968,
371.362,1502.734,
368.451,1499.0471,
365.541,1508.0535,
362.630,1503.3989,
359.719,1493.0605,
356.809,1484.1764,
353.898,1511.882,
350.988,1527.0948,
348.077,1532.048,
345.167,1526.0403,
342.256,1477.4809,
339.345,1494.3231,
336.435,1517.6137,
333.524,1506.6075,
330.614,1478.2915,
327.703,1492.0898,
324.793,1512.9844,
321.882,1511.5523,
318.971,1533.1121,
316.061,1517.0609,
313.150,1510.5142,
310.240,1568.3993,
307.329,1598.3708,
304.418,1597.1893,
301.508,1588.9985,
298.597,1613.4322,
295.687,1557.9346,
292.776,1536.3334,
289.866,1552.1288,
286.955,1588.3264,
284.044,1617.535,
281.134,1674.8237,
278.223,1744.4043,
275.313,1716.4038,
272.402,1712.2427,
269.492,1725.8573,
266.581,1743.8817,
263.670,1623.3121,
260.760,1652.7531,
257.849,1712.0133,
254.939,1713.481,
252.028,1761.9976,
249.117,1786.4388,
246.207,1776.6424,
243.296,1711.4912,
240.386,1750.8624,
237.475,1788.1782,
234.565,1808.9601,
231.654,1811.8817,
228.743,1811.9246,
225.833,1789.2426,
222.922,1737.4808,
220.012,1715.6241,
217.101,1732.0544,
214.191,1751.036,
211.280,1732.8494,
208.369,1706.6059,
205.459,1674.1382,
202.548,1654.7814,
199.638,1720.0898,
196.727,1666.659,
193.816,1655.4289,
190.906,1739.6654,
187.995,1630.3377,
185.085,1603.3757,
182.174,1610.2111,
179.264,1590.6965,
176.353,1572.4805,
173.442,1571.8388,
170.532,1580.9555,
167.621,1533.3711,
164.711,1455.8552,
161.800,1351.542,
158.890,1216.953,
155.979,1124.2263,
153.068,1029.6095,
150.158,929.81144,
147.247,819.96475,
144.337,677.28047,
141.426,523.85594,
138.516,368.29054,
135.605,278.71514,
132.694,202.66137,
129.784,136.65357,
126.873,75.867536,
123.963,54.963948,
121.052,42.267637,
118.141,26.561793,
115.231,25.078859,
112.320,18.569097,
109.410,11.999908,
106.499,19.833615,
103.589,16.45771,
100.678,10.327026,
97.767,4.6395258,
94.857,5.8859781,
91.946,8.9186652,
89.036,11.709715,
86.125,6.7452777,
83.215,7.6236814,
80.304,6.1479424,
77.393,-3.7664367,
74.483,1.3962146,
71.572,3.7752958,
68.662,2.2921975,
65.751,0.17284427,
62.840,-0.018298017,
59.930,1.2491448,
57.019,4.0694727,
54.109,5.6943217,
51.198,5.2935629,
48.288,2.4830127,
45.377,0.37287847,
42.466,-0.087780661,
39.556,1.0755929,
36.645,4.586544,
33.735,4.4615031,
30.824,2.6164521,
27.914,-0.18824887,
25.003,-1.745275,
22.092,-1.5312863,
19.182,0.98054012,
16.271,15.669833,
13.361,73.760789,
10.450,157.15841,
7.539,224.895,
4.629,76.243358,
1.718,-178.92493,
-1.192,-503.09714,
-4.103,-510.47051,
-7.013,-339.52904,
-9.924,1.5,
