,PL3A49~1,
Wavenumbers [1/cm],Intensity,
1686.943,628.34529,
1684.033,649.22844,
1681.122,637.95391,
1678.211,670.43593,
1675.301,672.74383,
1672.390,661.77393,
1669.480,669.84626,
1666.569,682.61332,
1663.659,749.53768,
1660.748,736.36436,
1657.837,717.6904,
1654.927,760.45287,
1652.016,789.33692,
1649.106,772.55415,
1646.195,765.90087,
1643.285,813.41081,
1640.374,841.54094,
1637.463,832.21838,
1634.553,859.18345,
1631.642,954.92373,
1628.732,970.84481,
1625.821,986.77682,
1622.911,1027.519,
1620.000,1065.2712,
1617.089,1113.7749,
1614.179,1181.8041,
1611.268,1306.0284,
1608.358,1310.75,
1605.447,1353.1789,
1602.536,1338.976,
1599.626,1456.4213,
1596.715,1463.1196,
1593.805,1429.6597,
1590.894,1412.5399,
1587.984,1465.3138,
1585.073,1426.1043,
1582.162,1386.0243,
1579.252,1360.1108,
1576.341,1326.1107,
1573.431,1292.9053,
1570.520,1262.8187,
1567.610,1268.4169,
1564.699,1262.5996,
1561.788,1251.0036,
1558.878,1204.7359,
1555.967,1186.732,
1553.057,1163.5089,
1550.146,1137.4591,
1547.235,1130.9307,
1544.325,1137.4053,
1541.414,1148.7707,
1538.504,1134.7117,
1535.593,1117.2107,
1532.683,1129.7755,
1529.772,1135.4189,
1526.861,1127.7616,
1523.951,1150.1315,
1521.040,1179.6669,
1518.130,1194.3147,
1515.219,1230.2307,
1512.309,1196.5833,
1509.398,1169.6093,
1506.487,1165.3252,
1503.577,1140.1263,
1500.666,1184.4969,
1497.756,1152.0468,
1494.845,1166.1091,
1491.934,1126.539,
1489.024,1062.052,
1486.113,1094.057,
1483.203,1088.7565,
1480.292,1035.9908,
1477.382,1101.9171,
1474.471,1011.5496,
1471.560,989.63499,
1468.650,969.15215,
1465.739,975.68372,
1462.829,1003.6545,
1459.918,1021.8274,
1457.008,1040.4579,
1454.097,1026.4827,
1451.186,995.16586,
1448.276,962.1738,
1445.365,895.74842,
1442.455,869.64369,
1439.544,855.90988,
1436.633,863.43819,
1433.723,818.73793,
1430.812,847.34106,
1427.902,855.20099,
1424.991,874.15624,
1422.081,838.05092,
1419.170,864.12805,
1416.259,805.56508,
1413.349,817.93868,
1410.438,852.64185,
1407.528,865.68123,
1404.617,839.7421,
1401.707,807.50149,
1398.796,767.4284,
1395.885,770.06131,
