,PL12CC~1,
Wavenumbers [1/cm],Intensity,
1884.863,325.03531,
1881.952,335.05488,
1879.041,336.71755,
1876.131,333.87124,
1873.220,343.08853,
1870.310,338.9305,
1867.399,368.02019,
1864.489,317.82408,
1861.578,350.7802,
1858.667,348.2186,
1855.757,322.68138,
1852.846,337.97181,
1849.936,323.61611,
1847.025,326.73601,
1844.114,335.97298,
1841.204,348.63636,
1838.293,346.49168,
1835.383,351.5,
1832.472,353.27913,
1829.562,357.69401,
1826.651,364.97022,
1823.740,364.58812,
1820.830,365.04332,
1817.919,365.5,
1815.009,367.21247,
1812.098,375.57874,
1809.188,386.81781,
1806.277,342.51807,
1803.366,372.11737,
1800.456,350.48923,
1797.545,367.96097,
1794.635,373.01601,
1791.724,377.32523,
1788.813,381.70026,
1785.903,380.62404,
1782.992,372.6222,
1780.082,348.52046,
1777.171,276.8185,
1774.261,241.5754,
1771.350,288.76826,
1768.439,355.59184,
1765.529,408.22496,
1762.618,407.51065,
1759.708,414.83688,
1756.797,431.70455,
1753.887,447.42274,
1750.976,455.29319,
1748.065,453.05453,
1745.155,469.49339,
1742.244,458.00095,
1739.334,425.64354,
1736.423,423.56541,
1733.512,432.32115,
1730.602,446.46827,
1727.691,433.61147,
1724.781,474.90802,
1721.870,438.40924,
1718.960,482.41179,
1716.049,460.10204,
1713.138,466.32494,
1710.228,468.5,
1707.317,468.5,
1704.407,464.90641,
1701.496,474.52703,
1698.586,501.37156,
1695.675,508.17854,
1692.764,468.73768,
1689.854,485.63387,
1686.943,482.6349,
1684.033,513.70524,
1681.122,494.83985,
1678.211,511.3382,
1675.301,538.41675,
1672.390,558.38336,
1669.480,519.63637,
1666.569,537.16019,
1663.659,588.05903,
1660.748,561.65425,
1657.837,570.28731,
1654.927,604.84398,
1652.016,577.08692,
1649.106,560.8917,
1646.195,577.8187,
1643.285,631.02148,
1640.374,611.27351,
1637.463,648.13051,
1634.553,682.367,
1631.642,673.93432,
1628.732,713.62443,
1625.821,734.49607,
1622.911,728.53381,
1620.000,780.83227,
1617.089,796.20149,
1614.179,828.56937,
1611.268,908.45141,
1608.358,915.31271,
1605.447,972.07189,
1602.536,997.86529,
1599.626,1036.2973,
1596.715,1048.576,
1593.805,1031.6134,
1590.894,1018.932,
1587.984,1039.1523,
1585.073,1012.7214,
1582.162,1000.8209,
1579.252,979.86077,
1576.341,972.29575,
1573.431,964.45143,
1570.520,932.6893,
1567.610,950.32394,
1564.699,934.12396,
1561.788,901.26079,
1558.878,913.34842,
1555.967,860.73685,
1553.057,847.63774,
1550.146,842.52186,
1547.235,829.54837,
1544.325,845.03149,
1541.414,862.2804,
1538.504,860.87578,
1535.593,872.08126,
1532.683,871.96181,
1529.772,848.18757,
1526.861,850.14424,
1523.951,878.27243,
1521.040,892.79717,
1518.130,881.14458,
1515.219,914.61992,
1512.309,902.13959,
1509.398,859.15203,
1506.487,870.50798,
