,PL2AF3~1,
Wavenumbers [1/cm],Intensity,
1474.471,747.89174,
1471.560,714.35169,
1468.650,702.70018,
1465.739,690.86167,
1462.829,696.08953,
1459.918,711.48487,
1457.008,738.56565,
1454.097,734.71778,
1451.186,729.20648,
1448.276,745.99123,
1445.365,704.03278,
1442.455,654.26406,
1439.544,627.64015,
1436.633,667.00224,
1433.723,659.24849,
1430.812,664.74483,
1427.902,690.13335,
1424.991,706.24531,
1422.081,694.8228,
1419.170,685.1094,
1416.259,670.78899,
1413.349,656.42138,
1410.438,693.33722,
1407.528,711.39374,
1404.617,744.62918,
1401.707,712.63619,
1398.796,665.63811,
1395.885,659.8956,
1392.975,651.93763,
1390.064,684.53214,
1387.154,744.07678,
1384.243,734.7856,
1381.332,757.9954,
1378.422,706.05001,
1375.511,595.50985,
1372.601,674.84819,
1369.690,695.46556,
1366.780,689.82965,
1363.869,719.71499,
1360.958,716.56503,
1358.048,736.63565,
1355.137,790.44515,
1352.227,804.82179,
1349.316,803.02496,
1346.406,807.16298,
1343.495,765.96084,
1340.584,805.10677,
1337.674,829.8572,
1334.763,830.53829,
1331.853,824.9749,
1328.942,809.62911,
1326.032,809.38124,
1323.121,790.48492,
1320.210,826.36893,
1317.300,852.47186,
1314.389,891.20903,
1311.479,907.2744,
1308.568,893.0114,
1305.657,903.25468,
1302.747,902.87046,
1299.836,949.94413,
1296.926,972.53635,
1294.015,967.93974,
1291.105,965.10837,
1288.194,979.12737,
1285.283,972.72596,
1282.373,976.34372,
1279.462,960.98567,
1276.552,981.91551,
1273.641,1007.6677,
1270.731,987.10075,
1267.820,1001.8417,
1264.909,986.15613,
1261.999,952.4837,
1259.088,945.18673,
1256.178,990.99865,
1253.267,974.19975,
1250.356,959.97746,
1247.446,976.69872,
1244.535,954.57599,
1241.625,909.67595,
1238.714,922.65895,
1235.804,972.94421,
1232.893,955.87481,
1229.982,955.95274,
1227.072,932.41463,
1224.161,976.97771,
1221.251,955.96963,
1218.340,938.62407,
1215.430,930.89625,
1212.519,928.20276,
1209.608,923.78874,
1206.698,906.83491,
1203.787,883.43844,
1200.877,884.36888,
1197.966,926.62937,
1195.055,918.51102,
1192.145,925.01478,
1189.234,990.68286,
1186.324,1012.2033,
1183.413,988.05963,
1180.503,1002.1148,
1177.592,1048.184,
1174.681,998.01712,
1171.771,1006.6058,
1168.860,1000.3541,
1165.950,997.33113,
1163.039,986.27396,
1160.129,977.03116,
1157.218,1001.6327,
1154.307,1024.3295,
1151.397,1011.4893,
1148.486,1012.9978,
1145.576,1024.1695,
1142.665,987.76512,
1139.754,995.32717,
1136.844,1029.2636,
1133.933,1023.9818,
1131.023,998.47551,
1128.112,990.10637,
1125.202,999.75,
1122.291,997.36859,
1119.380,980.85394,
1116.470,991.44428,
1113.559,974.19202,
1110.649,977.91784,
1107.738,981.67836,
1104.828,995.72958,
1101.917,1006.0987,
1099.006,978.64696,
1096.096,967.78244,
1093.185,951.97839,
1090.275,979.88373,
1087.364,975.08591,
1084.453,993.93596,
1081.543,988.64785,
1078.632,972.47954,
1075.722,1010.956,
1072.811,1035.0818,
1069.901,997.53154,
1066.990,1018.1916,
1064.079,1001.9736,
1061.169,1000.5868,
1058.258,1003.5151,
1055.348,1003.0413,
1052.437,1007.8786,
1049.527,969.02552,
1046.616,1002.041,
1043.705,1016.5407,
1040.795,1025.4965,
1037.884,1024.1984,
1034.974,1014.5361,
1032.063,1000.504,
1029.153,989.04698,
1026.242,1033.1598,
1023.331,984.7532,
1020.421,1025.6384,
1017.510,1033.1828,
1014.600,1040.3589,
1011.689,1060.6187,
1008.778,1050.2424,
1005.868,1064.5801,
1002.957,1045.6523,
1000.047,1068.23,
997.136,1078.3373,
994.226,1100.6112,
991.315,1117.703,
988.404,1091.1831,
985.494,1072.7884,
982.583,1074.5015,
979.673,1074.0184,
976.762,1070.8145,
973.852,1060.3518,
970.941,1051.2319,
968.030,1052.9465,
965.120,1042.8896,
962.209,1076.1388,
959.299,1079.6253,
956.388,1084.9096,
953.477,1082.7625,
950.567,1082.1613,
947.656,1109.7527,
944.746,1117.3987,
941.835,1103.9832,
938.925,1131.6784,
936.014,1128.0228,
933.103,1113.3402,
930.193,1120.5515,
927.282,1115.7042,
924.372,1114.8586,
921.461,1122.114,
918.551,1114.8741,
915.640,1095.8516,
912.729,1091.826,
909.819,1123.3043,
906.908,1112.3528,
903.998,1102.2056,
901.087,1110.5706,
898.176,1101.0026,
895.266,1090.098,
892.355,1109.4042,
889.445,1139.6178,
886.534,1146.429,
883.624,1131.602,
880.713,1140.5917,
877.802,1163.003,
874.892,1155.8138,
871.981,1069.718,
869.071,983.67049,
866.160,950.12109,
863.250,1032.4371,
860.339,1106.1586,
857.428,1105.0982,
854.518,1163.8483,
851.607,1098.1149,
848.697,1074.3693,
845.786,1027.2327,
842.875,1029.9967,
839.965,1119.1436,
837.054,1176.1873,
834.144,1215.1386,
831.233,1228.0829,
828.323,1204.5377,
825.412,1186.765,
822.501,1207.0905,
819.591,1214.5281,
816.680,1206.7372,
813.770,1215.4005,
810.859,1189.2607,
807.949,1156.0891,
805.038,1173.0487,
802.127,1175.5181,
799.217,1148.9159,
796.306,1130.1013,
793.396,1156.6206,
790.485,1201.5374,
787.574,1170.9991,
784.664,1177.56,
781.753,1196.1956,
778.843,1223.3731,
775.932,1244.2932,
773.022,1241.6637,
770.111,1202.42,
767.200,1210.4084,
764.290,1198.1473,
761.379,1202.8986,
758.469,1227.75,
755.558,1227.4096,
752.648,1216.0052,
749.737,1218.3195,
746.826,1237.534,
743.916,1265.9644,
741.005,1300.1127,
738.095,1391.8547,
735.184,1427.062,
732.274,1398.8854,
729.363,1318.6864,
726.452,1226.7268,
723.542,1221.061,
720.631,1208.5174,
717.721,1207.6142,
714.810,1226.4999,
711.899,1251.3044,
708.989,1240.8144,
706.078,1234.3396,
703.168,1219.9984,
700.257,1210.9249,
697.347,1215.4016,
694.436,1235.1172,
