,PL2AF3~1,
Wavenumbers [1/cm],Intensity,
426.663,1339.3135,
423.752,1284.6539,
420.842,1198.6407,
417.931,1082.3026,
415.020,932.9061,
412.110,1079.1939,
409.199,1238.9064,
406.289,1347.0121,
403.378,1344.6347,
400.468,1310.615,
397.557,1300.2641,
394.646,1322.8363,
391.736,1384.6574,
388.825,1444.2417,
385.915,1455.3637,
383.004,1445.4669,
380.094,1432.9073,
377.183,1396.7885,
374.272,1391.635,
371.362,1406.9344,
368.451,1432.3823,
365.541,1409.8662,
362.630,1397.1951,
359.719,1388.7903,
356.809,1380.7079,
353.898,1363.4855,
350.988,1394.5541,
348.077,1426.4925,
345.167,1429.5012,
342.256,1404.848,
339.345,1404.6586,
336.435,1402.1446,
333.524,1380.2198,
330.614,1395.1229,
327.703,1400.7768,
324.793,1398.6565,
321.882,1389.8852,
318.971,1445.6434,
316.061,1453.0305,
313.150,1445.8309,
310.240,1462.1575,
307.329,1487.7623,
304.418,1519.1798,
301.508,1551.8393,
298.597,1578.4943,
295.687,1565.1735,
292.776,1578.5834,
289.866,1612.265,
286.955,1633.6881,
284.044,1617.775,
281.134,1615.2666,
278.223,1626.5166,
275.313,1604.4109,
272.402,1624.1479,
269.492,1638.5815,
266.581,1628.7546,
263.670,1586.8493,
260.760,1587.2872,
257.849,1620.0501,
254.939,1680.9623,
252.028,1688.2646,
249.117,1645.5241,
246.207,1602.5464,
243.296,1644.2725,
240.386,1686.6235,
237.475,1690.6141,
234.565,1665.5552,
231.654,1670.6679,
228.743,1689.011,
225.833,1678.5779,
222.922,1625.75,
220.012,1625.75,
217.101,1617.4078,
214.191,1610.9356,
211.280,1618.2102,
208.369,1599.9112,
205.459,1587.9552,
202.548,1587.8865,
199.638,1611.8329,
196.727,1602.3446,
193.816,1606.5001,
190.906,1637.5756,
187.995,1547.0726,
185.085,1519.06,
182.174,1513.3476,
179.264,1478.6548,
176.353,1511.2744,
173.442,1539.7263,
170.532,1545.5173,
167.621,1474.8617,
164.711,1396.8864,
161.800,1315.7328,
158.890,1233.6839,
155.979,1094.8618,
153.068,981.08834,
150.158,878.85474,
147.247,726.64886,
144.337,622.48745,
141.426,509.85452,
138.516,361.45803,
135.605,261.346,
132.694,191.08294,
129.784,140.43664,
126.873,87.517031,
123.963,59.108826,
121.052,40.934083,
118.141,28.797749,
115.231,20.223156,
112.320,16.75,
109.410,16.340934,
106.499,14.204469,
103.589,14.310254,
100.678,11.49054,
97.767,2.9592886,
94.857,2.75,
91.946,7.1842196,
89.036,12.733919,
86.125,6.3510714,
83.215,4.75,
80.304,3.0739712,
77.393,-1.8832184,
74.483,2.9910797,
71.572,4.3005915,
68.662,1.8192675,
65.751,2.5257186,
62.840,3.231702,
59.930,3.75,
57.019,3.75,
54.109,-1.0272868,
51.198,-3.0435629,
48.288,-0.22735023,
45.377,2.586162,
42.466,3.75,
39.556,3.0592885,
36.645,-1.1538528,
33.735,-2.25,
30.824,-1.3664521,
27.914,1.4382489,
25.003,-2.6084623,
22.092,-4.6041909,
19.182,-2.9067571,
16.271,7.5855949,
13.361,59.796209,
10.450,130.55759,
7.539,158.4902,
4.629,-35.61674,
1.718,-322.17821,
-1.192,-641.47041,
-4.103,-595.35326,
-7.013,-375.68596,
-9.924,-1.25,
