,PLEA86~1,
Wavenumbers [1/cm],Intensity,
1550.146,491.95865,
1547.235,489.46533,
1544.325,510.23415,
1541.414,517.77414,
1538.504,520.63725,
1535.593,506.99002,
1532.683,486.09076,
1529.772,485.56257,
1526.861,479.07034,
1523.951,483.83853,
1521.040,499.6987,
1518.130,532.68608,
1515.219,577.51525,
1512.309,556.48757,
1509.398,519.94913,
1506.487,518.8044,
1503.577,500.2836,
1500.666,526.99425,
1497.756,535.26475,
1494.845,526.27413,
1491.934,487.90965,
1489.024,498.49707,
1486.113,540.5997,
1483.203,484.36777,
1480.292,464.14733,
1477.382,519.26062,
1474.471,496.80819,
1471.560,463.37935,
1468.650,421.39459,
1465.739,449.42833,
1462.829,479.24636,
1459.918,481.77002,
1457.008,484.42889,
1454.097,481.40479,
1451.186,490.92529,
1448.276,479.08498,
1445.365,418.83945,
1442.455,421.96828,
1439.544,424.65066,
1436.633,420.55425,
1433.723,405.12425,
1430.812,404.65852,
1427.902,378.70153,
1424.991,455.47029,
1422.081,400.99142,
1419.170,413.15621,
1416.259,426.40582,
1413.349,425.85404,
1410.438,418.57698,
1407.528,428.74983,
1404.617,457.59875,
1401.707,427.83006,
1398.796,367.57785,
1395.885,371.33191,
1392.975,401.43719,
1390.064,406.71079,
1387.154,463.09072,
1384.243,494.87407,
1381.332,469.54702,
1378.422,455.30043,
1375.511,385.97864,
1372.601,399.62013,
1369.690,403.44667,
1366.780,413.37942,
1363.869,420.23386,
1360.958,436.39976,
1358.048,461.08104,
1355.137,485.49142,
1352.227,481.77687,
1349.316,475.9287,
1346.406,511.79854,
1343.495,535.66765,
1340.584,501.73194,
1337.674,518.30543,
1334.763,546.59272,
1331.853,539.17487,
1328.942,538.875,
1326.032,556.00303,
1323.121,545.79668,
1320.210,573.50512,
1317.300,581.61175,
1314.389,605.16724,
1311.479,618.45763,
1308.568,595.9239,
1305.657,604.88958,
1302.747,663.46555,
1299.836,727.8381,
1296.926,692.1741,
1294.015,698.60937,
1291.105,687.42796,
1288.194,707.44106,
1285.283,677.79085,
1282.373,693.61708,
1279.462,709.77698,
1276.552,714.9144,
1273.641,720.73618,
1270.731,724.46157,
1267.820,737.04404,
1264.909,726.01707,
1261.999,669.64062,
1259.088,690.6194,
1256.178,703.86539,
1253.267,669.04962,
1250.356,665.32479,
1247.446,692.34409,
1244.535,697.97324,
1241.625,678.39725,
1238.714,672.10224,
1235.804,691.11768,
1232.893,708.00289,
1229.982,695.51894,
1227.072,714.53049,
1224.161,707.46996,
1221.251,698.42991,
1218.340,684.8622,
1215.430,687.68357,
1212.519,696.68604,
1209.608,684.69997,
1206.698,657.59837,
1203.787,656.67903,
1200.877,670.14765,
1197.966,642.27372,
1195.055,657.93997,
1192.145,677.40455,
1189.234,715.96341,
1186.324,755.14977,
1183.413,757.85975,
1180.503,765.51819,
1177.592,811.36981,
1174.681,785.94692,
1171.771,758.38047,
1168.860,736.94632,
1165.950,748.58192,
1163.039,749.77979,
1160.129,739.43732,
1157.218,749.70076,
1154.307,755.63117,
1151.397,737.48179,
1148.486,751.61855,
1145.576,788.71857,
1142.665,762.08119,
1139.754,771.2658,
1136.844,742.36137,
1133.933,741.19163,
1131.023,736.18422,
1128.112,738.72955,
1125.202,772.56582,
1122.291,773.98954,
1119.380,746.90098,
1116.470,749.54857,
1113.559,732.86352,
1110.649,715.43293,
1107.738,721.73463,
1104.828,739.11649,
1101.917,741.95759,
1099.006,727.52449,
1096.096,726.78881,
1093.185,741.71485,
1090.275,744.49354,
1087.364,755.85297,
1084.453,759.18761,
1081.543,745.16659,
1078.632,736.70986,
1075.722,758.20039,
1072.811,777.12321,
1069.901,780.61625,
1066.990,766.32503,
1064.079,760.15294,
1061.169,769.36872,
1058.258,778.29849,
1055.348,771.52604,
1052.437,749.77529,
1049.527,730.25122,
1046.616,765.87323,
1043.705,759.08429,
1040.795,751.40547,
1037.884,766.57582,
1034.974,779.77835,
1032.063,770.72892,
1029.153,763.97886,
1026.242,764.84382,
1023.331,750.70924,
1020.421,782.03297,
1017.510,796.875,
1014.600,803.64188,
1011.689,811.44965,
1008.778,812.12672,
1005.868,836.458,
1002.957,789.99887,
1000.047,825.82702,
997.136,845.39895,
994.226,856.79794,
991.315,868.48391,
988.404,859.82292,
985.494,808.20106,
982.583,822.76252,
979.673,825.60665,
976.762,824.7008,
973.852,834.48325,
970.941,833.64873,
968.030,798.82296,
965.120,792.97166,
962.209,815.9903,
959.299,824.83274,
956.388,829.67482,
953.477,831.05295,
950.567,837.97913,
947.656,861.32064,
944.746,864.71887,
941.835,846.24929,
938.925,851.0877,
936.014,872.06143,
933.103,879.75383,
930.193,861.47913,
927.282,848.8374,
924.372,866.59514,
921.461,861.511,
918.551,853.06567,
915.640,842.0759,
912.729,839.85226,
909.819,860.09825,
906.908,869.36493,
903.998,857.94454,
901.087,838.96234,
898.176,837.51012,
895.266,847.1446,
892.355,846.7338,
889.445,829.94846,
886.534,855.75603,
883.624,870.96748,
880.713,879.95785,
877.802,884.91717,
874.892,882.27883,
871.981,859.82329,
869.071,772.94035,
866.160,757.18504,
863.250,799.33543,
860.339,842.17069,
857.428,858.10128,
854.518,892.538,
851.607,880.88902,
848.697,868.55774,
845.786,856.09051,
842.875,849.92365,
839.965,862.47238,
837.054,911.16341,
834.144,936.85473,
831.233,965.20665,
828.323,954.61927,
825.412,936.38248,
822.501,944.83242,
819.591,939.04763,
816.680,936.47115,
813.770,937.12801,
810.859,913.508,
807.949,894.62383,
805.038,922.77544,
802.127,921.95231,
799.217,912.93031,
796.306,893.41542,
793.396,889.82929,
790.485,909.77125,
787.574,931.78159,
784.664,929.32125,
781.753,932.22992,
778.843,950.04772,
775.932,960.70226,
773.022,946.6214,
770.111,944.98625,
767.200,954.77206,
764.290,960.18651,
761.379,967.78301,
758.469,970.38773,
755.558,946.84752,
752.648,979.43166,
749.737,987.18058,
746.826,988.34122,
743.916,1007.0246,
741.005,1064.0543,
738.095,1154.1726,
735.184,1209.2087,
732.274,1180.596,
729.363,1101.2172,
726.452,1021.1741,
723.542,989.60774,
720.631,977.17145,
717.721,983.61337,
714.810,1015.6192,
711.899,1044.9641,
708.989,998.16243,
706.078,985.05415,
703.168,978.8389,
700.257,981.00072,
697.347,982.52763,
694.436,967.09322,
691.525,975.13127,
688.615,971.84371,
685.704,973.62363,
682.794,979.64096,
679.883,981.00156,
676.973,1028.2824,
674.062,1012.9898,
671.151,1008.5183,
668.241,1013.2511,
665.330,988.34558,
662.420,977.16333,
659.509,973.60514,
656.598,988.454,
653.688,1018.3067,
650.777,1050.28,
647.867,1062.225,
644.956,1050.0154,
642.046,1011.4385,
639.135,963.37712,
636.224,938.97447,
633.314,958.82293,
630.403,979.24648,
627.493,999.86094,
624.582,1017.111,
621.672,1022.655,
618.761,1031.9943,
615.850,1046.9967,
612.940,1059.6073,
610.029,1062.113,
607.119,1045.5308,
604.208,1055.2352,
601.297,1079.3172,
598.387,1089.7028,
595.476,1064.5723,
592.566,1040.1732,
589.655,1079.9315,
586.745,1093.8937,
583.834,1079.9967,
580.923,1076.9935,
578.013,1096.6118,
