,PL5B8D~1,
Wavenumbers [1/cm],Intensity,
1780.082,1566.9881,
1777.171,1517.0749,
1774.261,1509.4755,
1771.350,1563.0183,
1768.439,1594.9433,
1765.529,1617.2963,
1762.618,1645.4569,
1759.708,1627.3474,
1756.797,1636.7727,
1753.887,1656.0561,
1750.976,1647.1846,
1748.065,1660.5088,
1745.155,1685.1886,
1742.244,1661.6568,
1739.334,1651.9665,
1736.423,1672.0004,
1733.512,1662.7418,
1730.602,1708.3632,
1727.691,1700.4172,
1724.781,1748.5969,
1721.870,1717.8783,
1718.960,1737.1726,
1716.049,1705.1572,
1713.138,1717.4149,
1710.228,1695.5114,
1707.317,1713.8643,
1704.407,1691.5949,
1701.496,1718.8311,
1698.586,1755.0134,
1695.675,1762.4285,
1692.764,1710.6803,
1689.854,1696.2697,
1686.943,1735.3672,
1684.033,1728.9487,
1681.122,1762.1723,
1678.211,1773.6453,
1675.301,1785.713,
1672.390,1821.6483,
1669.480,1788.0147,
1666.569,1820.8389,
1663.659,1827.9623,
1660.748,1840.2872,
1657.837,1817.2749,
1654.927,1839.8363,
1652.016,1803.7425,
1649.106,1882.7218,
1646.195,1841.702,
1643.285,1841.1856,
1640.374,1901.6629,
1637.463,1852.2812,
1634.553,1935.5136,
1631.642,1920.1409,
1628.732,1955.7381,
1625.821,1953.765,
1622.911,1976.6204,
1620.000,2064.6287,
1617.089,2066.7301,
1614.179,2080.3552,
1611.268,2125.0398,
1608.358,2178.2216,
1605.447,2257.122,
1602.536,2242.1804,
1599.626,2283.9868,
1596.715,2319.516,
1593.805,2315.5953,
1590.894,2303.3013,
1587.984,2338.992,
1585.073,2265.624,
1582.162,2277.6315,
1579.252,2272.1121,
1576.341,2262.5404,
1573.431,2247.436,
1570.520,2225.405,
1567.610,2260.731,
1564.699,2243.5737,
1561.788,2254.9892,
1558.878,2253.143,
1555.967,2240.4827,
1553.057,2229.0949,
1550.146,2229.0518,
1547.235,2225.8467,
1544.325,2233.6262,
1541.414,2217.9074,
1538.504,2212.1641,
1535.593,2248.6611,
1532.683,2253.3742,
1529.772,2251.1559,
1526.861,2258.2429,
1523.951,2245.2861,
1521.040,2266.6669,
1518.130,2254.2067,
1515.219,2261.3084,
1512.309,2301.8851,
1509.398,2263.6244,
1506.487,2291.8286,
1503.577,2299.578,
1500.666,2268.7866,
1497.756,2308.9026,
1494.845,2308.0685,
1491.934,2243.9075,
1489.024,2292.0321,
1486.113,2290.9684,
1483.203,2267.6576,
1480.292,2324.1458,
1477.382,2342.8325,
1474.471,2330.9372,
1471.560,2272.325,
1468.650,2284.5471,
1465.739,2304.8739,
1462.829,2307.1532,
1459.918,2323.8772,
1457.008,2308.8112,
1454.097,2287.6824,
1451.186,2304.4831,
1448.276,2285.0186,
1445.365,2226.5707,
1442.455,2241.2555,
1439.544,2286.4756,
1436.633,2231.2942,
1433.723,2257.6103,
1430.812,2287.1693,
1427.902,2231.2157,
1424.991,2292.8203,
1422.081,2310.3471,
1419.170,2271.1392,
1416.259,2301.2028,
1413.349,2281.8061,
1410.438,2337.8295,
1407.528,2316.8256,
