,PLE17F~1,
Wavenumbers [1/cm],Intensity,
1081.543,723.28006,
1078.632,707.08844,
1075.722,727,
1072.811,725.63485,
1069.901,706.42311,
1066.990,698.53335,
1064.079,718.77644,
1061.169,709.66946,
1058.258,703.31668,
1055.348,706.29937,
1052.437,682.67202,
1049.527,681.83916,
1046.616,703.5599,
1043.705,692.89699,
1040.795,690.27701,
1037.884,690.49426,
1034.974,698.56572,
1032.063,707.75403,
1029.153,692.24635,
1026.242,702.62582,
1023.331,676.33504,
1020.421,711.43189,
1017.510,721.15614,
1014.600,725.57325,
1011.689,736.00902,
1008.778,725.70678,
1005.868,724.04633,
1002.957,729.20846,
1000.047,748.92801,
997.136,774.2071,
994.226,770.49257,
991.315,750.30446,
988.404,747.75739,
985.494,731.74802,
982.583,765.15371,
979.673,732.68602,
976.762,721.34841,
973.852,721.67397,
970.941,719.11086,
968.030,713.99417,
965.120,697.10024,
962.209,720.97142,
959.299,741.99798,
956.388,738.36068,
953.477,730.82205,
950.567,736.4442,
947.656,750.67116,
944.746,763.4145,
941.835,776.1472,
938.925,792.81905,
936.014,773.19122,
933.103,752.64951,
930.193,765.59684,
927.282,773.93771,
924.372,735.88541,
921.461,755.30121,
918.551,752.96227,
915.640,744.15011,
912.729,747.02534,
909.819,759.11205,
906.908,767.5363,
903.998,736.18543,
901.087,724.81747,
898.176,720.13683,
895.266,725.88717,
892.355,748.45532,
889.445,766.91919,
886.534,752.80718,
883.624,776.91328,
880.713,788.46893,
877.802,780.05217,
874.892,764.79384,
871.981,752.59318,
869.071,650.67281,
866.160,610.23133,
863.250,644.03303,
860.339,712.99592,
857.428,773.22628,
854.518,806.94084,
851.607,770.32979,
848.697,759.8731,
845.786,713.36891,
842.875,687.03058,
839.965,722.5439,
837.054,757.2698,
834.144,781.30362,
831.233,800.66561,
828.323,819.86972,
825.412,830.39019,
822.501,823.57438,
819.591,804.5672,
816.680,825.63465,
813.770,833.50601,
810.859,822.8165,
807.949,807.72439,
805.038,805.50663,
802.127,793.15972,
799.217,786.78226,
796.306,779.89185,
793.396,776,
790.485,775.36826,
787.574,773.46706,
784.664,785.76875,
781.753,807.45854,
778.843,817.98016,
775.932,827.02456,
773.022,839.9281,
770.111,807.22497,
767.200,798.9095,
764.290,819.53724,
761.379,830.48585,
758.469,821.79073,
755.558,820.8055,
752.648,814.28867,
749.737,813,
746.826,813,
743.916,817.4676,
741.005,827.89954,
738.095,818.15702,
735.184,807.70422,
732.274,758.77282,
729.363,726.74199,
726.452,745.60795,
723.542,754.51128,
720.631,793.99149,
717.721,806.57285,
714.810,828.31804,
711.899,861.49504,
708.989,855.03964,
706.078,829.35831,
703.168,828.46499,
700.257,837.36344,
697.347,839.78316,
694.436,820.84725,
691.525,815.22061,
688.615,812.11327,
685.704,812.72677,
