,PLF965~1,
Wavenumbers [1/cm],Intensity,
901.087,1828.3305,
898.176,1834.2154,
895.266,1845.1752,
892.355,1856.3203,
889.445,1831.9815,
886.534,1854.4165,
883.624,1870.3131,
880.713,1883.02,
877.802,1889.1802,
874.892,1868.5711,
871.981,1778.9097,
869.071,1610.9917,
866.160,1661.2204,
863.250,1739.8596,
860.339,1798.2056,
857.428,1837.849,
854.518,1857.4307,
851.607,1807.5065,
848.697,1791.9968,
845.786,1757.2181,
842.875,1774.3649,
839.965,1868.2393,
837.054,1902.9914,
834.144,2002.4417,
831.233,2010.5425,
828.323,2004.875,
825.412,2004.2311,
822.501,2001.3856,
819.591,1993.1216,
816.680,1943.1954,
813.770,1952.8026,
810.859,1942.4105,
807.949,1918.0092,
805.038,1925.9878,
802.127,1902.1171,
799.217,1874.5317,
796.306,1876.0913,
793.396,1902.1729,
790.485,1927.9269,
787.574,1918.0894,
784.664,1950.0737,
781.753,1973.9916,
778.843,1995.1271,
775.932,1991.8259,
773.022,1957.5234,
770.111,1968.1519,
767.200,1981.056,
764.290,1986.6086,
761.379,1967,
758.469,1943.8735,
755.558,1977.8021,
752.648,1975.3583,
749.737,1965.0832,
746.826,1972.463,
743.916,1976.2645,
741.005,1944.9317,
738.095,1910.021,
735.184,1874.4124,
732.274,1850.8312,
729.363,1852.6431,
726.452,1883.0377,
723.542,1922.698,
720.631,1911.1133,
717.721,1952.7026,
714.810,1996.7727,
711.899,2012.3106,
708.989,2009.8899,
706.078,2020.2919,
703.168,2004.0512,
700.257,2005.4899,
697.347,2018.5713,
694.436,1996.5515,
691.525,2021.4694,
688.615,2009.8944,
685.704,2003.7602,
682.794,2008.641,
679.883,2010.1818,
676.973,2061.4695,
674.062,2056.561,
671.151,2054.8883,
668.241,2052.9156,
665.330,2016.9296,
662.420,1996.9613,
659.509,2020.812,
656.598,2056.7815,
653.688,2095.9874,
650.777,2139.524,
647.867,2129.1717,
644.956,2105.8239,
642.046,2058.4634,
639.135,2007.7789,
636.224,2000.1257,
633.314,2050.1438,
630.403,2063.4662,
627.493,2074.6291,
624.582,2081.8104,
621.672,2036.6668,
618.761,2018.9163,
615.850,2043.0774,
612.940,2111.2745,
610.029,2187.5369,
607.119,2131.4731,
604.208,2142.9153,
601.297,2144.3913,
598.387,2136.2953,
595.476,2127.7209,
592.566,2104.8959,
589.655,2134.5653,
586.745,2166.762,
583.834,2178.9462,
580.923,2157.5954,
578.013,2111.2961,
575.102,2107.4788,
572.192,2136.3839,
569.281,2169.2826,
566.371,2127.0209,
563.460,2140.5117,
560.549,2150.7987,
557.639,2180.7313,
554.728,2252.3969,
551.818,2228.9874,
548.907,2203.7644,
545.996,2191.2638,
543.086,2188.1842,
540.175,2171.054,
537.265,2174.945,
534.354,2164.3327,
531.444,2152.711,
528.533,2158.4618,
525.622,2208.8984,
522.712,2198.0319,
519.801,2161.726,
516.891,2134.4828,
513.980,2177.0691,
511.070,2181.5793,
508.159,2161.8172,
505.248,2141.6275,
502.338,2145.9035,
499.427,2112.7148,
496.517,2138.38,
493.606,2170.2589,
490.695,2177.7725,
487.785,2155.4485,
484.874,2124.0874,
481.964,2102.6458,
479.053,2095.8974,
476.143,2104.345,
473.232,2119.2631,
470.321,2136.5528,
467.411,2139.2511,
464.500,2111.1853,
461.590,2123.4371,
458.679,2147.7862,
455.769,2144.0808,
452.858,2104.4424,
449.947,2157.9176,
447.037,2136.7167,
444.126,2118.4629,
441.216,2127.2405,
438.305,2152.3843,
435.395,2145.3848,
432.484,2152.3776,
429.573,2150.8823,
426.663,2069.5472,
423.752,1971.5131,
420.842,1816.3334,
417.931,1648.4939,
415.020,1541.5654,
412.110,1792.4764,
409.199,1993.4543,
406.289,2109.0727,
403.378,2118.8417,
400.468,2109.0138,
397.557,2054.9742,
394.646,2047.8155,
391.736,2158.7301,
388.825,2154.2047,
385.915,2137.4414,
383.004,2128.4437,
380.094,2139.7214,
377.183,2136.7115,
374.272,2138.0461,
371.362,2165.4815,
368.451,2222.4071,
365.541,2148.8545,
362.630,2150.7246,
359.719,2179.2339,
356.809,2203.286,
353.898,2193.5516,
350.988,2191.96,
348.077,2196.6503,
345.167,2204.2857,
342.256,2172.9088,
339.345,2186.7266,
336.435,2192.9954,
333.524,2157.5092,
330.614,2177.6284,
327.703,2209.5453,
324.793,2217.8919,
321.882,2171.9147,
318.971,2188.2704,
316.061,2209.9894,
313.150,2245.1202,
310.240,2303.7473,
307.329,2333.0312,
304.418,2334.3,
301.508,2338.235,
298.597,2395.9876,
295.687,2373.1081,
292.776,2354.0416,
289.866,2364.7136,
286.955,2454.0993,
284.044,2530.1249,
281.134,2593.906,
278.223,2643.5395,
275.313,2668.5926,
272.402,2684.9122,
269.492,2692.2413,
266.581,2689.4036,
263.670,2668.8185,
260.760,2690.0389,
257.849,2732.3256,
254.939,2782.2297,
252.028,2769.1219,
249.117,2749.7133,
246.207,2741.3985,
243.296,2774.3401,
240.386,2783.0989,
237.475,2777.8071,
234.565,2766.7155,
231.654,2778.4017,
228.743,2729.6672,
225.833,2689.1309,
222.922,2680.5648,
220.012,2631.023,
217.101,2661.493,
214.191,2693.7015,
211.280,2639.8693,
208.369,2588.1053,
205.459,2552.4982,
202.548,2538.1369,
199.638,2562.8089,
196.727,2505.0675,
193.816,2470.0128,
190.906,2493.6149,
187.995,2429.1767,
185.085,2412.5493,
182.174,2412.6067,
179.264,2389.4782,
176.353,2378.5449,
173.442,2379.6759,
170.532,2384.5826,
167.621,2339.1611,
164.711,2269.5881,
161.800,2154.4677,
158.890,1968.778,
155.979,1821.5632,
153.068,1660.6058,
150.158,1484.1395,
147.247,1291.7283,
144.337,1072.1033,
141.426,844.19549,
138.516,615.50718,
135.605,437.30528,
132.694,304.69324,
129.784,209.0774,
126.873,138.27954,
123.963,91.438002,
121.052,57.243166,
118.141,32.970499,
115.231,31.453859,
112.320,29.604092,
109.410,27.329579,
106.499,24.480958,
103.589,19.953219,
100.678,16.875,
97.767,16.875,
94.857,10.638099,
91.946,13.518552,
89.036,20.294429,
86.125,10.365555,
83.215,11.591442,
80.304,12.720106,
77.393,6.3465764,
74.483,7.1852699,
71.572,7.875,
68.662,7.32086,
65.751,1.6692514,
62.840,5.1737218,
59.930,9.938569,
57.019,6.4131591,
54.109,6.4721608,
51.198,7.4782186,
48.288,8.8466878,
45.377,5.3297975,
42.466,0.98946462,
39.556,-2.4342885,
36.645,1.7788528,
33.735,1.3172546,
30.824,-2.5547567,
27.914,-10.267684,
25.003,-13.61555,
22.092,-12.218859,
19.182,-6.4453601,
16.271,-16.238222,
13.361,-43.305189,
10.450,-146.7581,
7.539,-562.95405,
4.629,-1149.7583,
1.718,-1650.0825,
-1.192,-1819.4887,
-4.103,-1312.4525,
-7.013,-676.52732,
-9.924,-2.125,
