,PLBA93~1,
Raman shift [1/cm],Intensity,
1730.602,3239.6171,
1727.691,3273.6344,
1724.781,3293.0639,
1721.870,3342.3015,
1718.960,3378.292,
1716.049,3360.1337,
1713.138,3386.4048,
1710.228,3377.7002,
1707.317,3388.8936,
1704.407,3401.4058,
1701.496,3466.4333,
1698.586,3479.0929,
1695.675,3526.4104,
1692.764,3533.4119,
1689.854,3547.9754,
1686.943,3625.9269,
1684.033,3637.4015,
1681.122,3722.1637,
1678.211,3770.1777,
1675.301,3804.5202,
1672.390,3853.9719,
1669.480,3970.7641,
1666.569,4112.4248,
1663.659,4175.8009,
1660.748,4249.1509,
1657.837,4379.0028,
1654.927,4441.609,
1652.016,4486.197,
1649.106,4632.3179,
1646.195,4742.718,
1643.285,4871.3822,
1640.374,4991.5274,
1637.463,5085.7591,
1634.553,5367.9747,
1631.642,5527.6001,
1628.732,5799.9404,
1625.821,6020.8677,
1622.911,6389.5344,
1620.000,6754.9887,
1617.089,7085.9981,
1614.179,7430.811,
1611.268,7872.9321,
1608.358,8234.675,
1605.447,8471.3125,
1602.536,8754.8723,
1599.626,8813.2622,
1596.715,8973.64,
1593.805,8852.7922,
1590.894,8776.7394,
1587.984,8773.8216,
1585.073,8642.7484,
1582.162,8481.8688,
1579.252,8293.4197,
1576.341,8259.2271,
1573.431,8106.1229,
1570.520,7997.8886,
1567.610,7950.8011,
1564.699,7852.4463,
1561.788,7690.4572,
1558.878,7605.9007,
1555.967,7472.7054,
1553.057,7349.1084,
1550.146,7200.5489,
1547.235,7081.2182,
1544.325,6975.8025,
1541.414,6864.9991,
1538.504,6819.6802,
1535.593,6810.426,
1532.683,6780.7086,
1529.772,6741.0815,
1526.861,6739.9601,
1523.951,6792.5156,
1521.040,6841.4664,
1518.130,6880.7409,
1515.219,6889.5849,
1512.309,6897.8457,
1509.398,6898.1727,
1506.487,6852.7594,
1503.577,6813.9117,
1500.666,6865.4545,
1497.756,6795.2854,
1494.845,6726.1025,
1491.934,6618.0408,
1489.024,6745.0898,
1486.113,6746.8434,
1483.203,6688.0059,
1480.292,6621.2292,
1477.382,6470.7981,
1474.471,6393.8844,
1471.560,6325.4744,
1468.650,6310.0912,
1465.739,6342.0875,
1462.829,6419.5004,
1459.918,6490.4595,
1457.008,6527.8252,
1454.097,6522.6008,
1451.186,6449.2266,
1448.276,6334.6694,
1445.365,6209.0081,
1442.455,6065.6596,
1439.544,5982.0427,
1436.633,5934.5962,
1433.723,5927.813,
1430.812,5783.1765,
1427.902,5802.0613,
1424.991,5778.3672,
1422.081,5786.7998,
