,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
1555.967,579.75174,
1553.057,587.01274,
1550.146,612.00951,
1547.235,614.97174,
1544.325,604.65415,
1541.414,594.47443,
1538.504,608.88569,
1535.593,615.18905,
1532.683,583.58044,
1529.772,566.04992,
1526.861,578.90993,
1523.951,599.05662,
1521.040,623.35613,
1518.130,652.8818,
1515.219,697.11483,
1512.309,689.24883,
1509.398,642.07472,
1506.487,619.42626,
1503.577,618.01836,
1500.666,646.5319,
1497.756,634.80707,
1494.845,622.35526,
1491.934,633.67657,
1489.024,573.03952,
1486.113,619.09021,
1483.203,584.68379,
1480.292,596.84523,
1477.382,643.5204,
1474.471,610.1344,
1471.560,612.83965,
1468.650,607.25935,
1465.739,592.26765,
1462.829,596.42408,
1459.918,618.89724,
1457.008,614.61324,
1454.097,602.49658,
1451.186,626.58873,
1448.276,628.892,
1445.365,577.266,
1442.455,563.07459,
1439.544,584.65066,
1436.633,583.17589,
1433.723,583.23981,
1430.812,605.91453,
1427.902,594.34854,
1424.991,614.25156,
1422.081,596.52546,
1419.170,588.82658,
1416.259,605.69639,
1413.349,587.21777,
1410.438,610.6653,
1407.528,631.5999,
1404.617,642.92054,
1401.707,641.51571,
1398.796,604.72124,
1395.885,589.71769,
1392.975,612.56228,
1390.064,595.81158,
1387.154,592.89465,
1384.243,636.80565,
1381.332,618.68576,
1378.422,552.44025,
1375.511,544.00923,
1372.601,561.38484,
1369.690,586.87723,
1366.780,590.08296,
1363.869,644.36078,
1360.958,616.67921,
1358.048,609.67435,
1355.137,649.21057,
1352.227,659.69191,
1349.316,663.48293,
1346.406,699.70674,
1343.495,693.17635,
1340.584,654.58888,
1337.674,679.80299,
1334.763,670.94557,
1331.853,672.80003,
1328.942,669.31714,
1326.032,689.26552,
1323.121,664.97739,
1320.210,681.51183,
1317.300,691.92384,
1314.389,715.56995,
1311.479,707.98203,
1308.568,677.29154,
1305.657,687.72723,
1302.747,683.25241,
1299.836,743.82091,
1296.926,715.04592,
1294.015,718.72321,
1291.105,721.51663,
1288.194,762.61089,
1285.283,739.93886,
1282.373,711.68756,
1279.462,727.58041,
1276.552,745.08759,
1273.641,741.11579,
1270.731,741.34515,
1267.820,733.86483,
1264.909,697.55689,
1261.999,737.64335,
1259.088,703.89487,
1256.178,731.85097,
1253.267,713.09194,
1250.356,699.10246,
1247.446,703.50245,
1244.535,693.51344,
1241.625,674.64538,
1238.714,681.70675,
1235.804,705.4721,
1232.893,697.49904,
1229.982,702.76425,
1227.072,729.0183,
1224.161,728.35349,
1221.251,705.53972,
1218.340,677.14502,
1215.430,675.78464,
1212.519,675.27257,
1209.608,665.58375,
1206.698,667.13033,
