,PLB08E~1,
Wavenumbers [1/cm],Intensity,
1724.781,777.11541,
1721.870,783.97617,
1718.960,796.15571,
1716.049,769.63589,
1713.138,787.08489,
1710.228,794.48119,
1707.317,779.96229,
1704.407,801.35833,
1701.496,804,
1698.586,811.39188,
1695.675,845.68551,
1692.764,824.33195,
1689.854,770.38186,
1686.943,802.78588,
1684.033,825.4536,
1681.122,887.92948,
1678.211,823.62815,
1675.301,878.82733,
1672.390,840.02094,
1669.480,847.16846,
1666.569,869.10454,
1663.659,953.98739,
1660.748,894.29188,
1657.837,959.93439,
1654.927,957.32801,
1652.016,971.77757,
1649.106,1002.951,
1646.195,1001.7433,
1643.285,1032.6836,
1640.374,1061.331,
1637.463,1030.7926,
1634.553,1075.0936,
1631.642,1148.0977,
1628.732,1157.2785,
1625.821,1204.0105,
1622.911,1219.9098,
1620.000,1276.2819,
1617.089,1318.1642,
1614.179,1396.7439,
1611.268,1450.9924,
1608.358,1518.7692,
1605.447,1621.9437,
1602.536,1575.8143,
1599.626,1652.9541,
1596.715,1651.8316,
1593.805,1655.4717,
1590.894,1692.1075,
1587.984,1695.2678,
1585.073,1601.4102,
1582.162,1610.8815,
1579.252,1557.0823,
1576.341,1504.7479,
1573.431,1464.4562,
1570.520,1439.9481,
1567.610,1474.4908,
1564.699,1464.074,
1561.788,1448.662,
1558.878,1424.8343,
1555.967,1386.5914,
1553.057,1361.7932,
1550.146,1350.4691,
1547.235,1341.6871,
1544.325,1351.5728,
1541.414,1346.3383,
1538.504,1349.9555,
1535.593,1363.5654,
1532.683,1352.7309,
1529.772,1356.7998,
1526.861,1369.3674,
1523.951,1372.1816,
1521.040,1382.4357,
1518.130,1380.0214,
1515.219,1411.8399,
1512.309,1407.3108,
1509.398,1395.8078,
1506.487,1414.0559,
1503.577,1356.1434,
1500.666,1387.6789,
1497.756,1398.1013,
1494.845,1362.5598,
1491.934,1351.8331,
1489.024,1300.8209,
1486.113,1324.0348,
1483.203,1312.6775,
1480.292,1282.9991,
1477.382,1326.4949,
1474.471,1272.7728,
1471.560,1258.0797,
1468.650,1225.153,
1465.739,1203.8761,
1462.829,1243.374,
1459.918,1286.9173,
1457.008,1280.2151,
1454.097,1257.8406,
1451.186,1267.1393,
1448.276,1248.9962,
1445.365,1164.7109,
1442.455,1127.2798,
1439.544,1136.2243,
1436.633,1135.427,
1433.723,1133.8573,
1430.812,1169.8282,
1427.902,1105.7441,
1424.991,1137.0203,
1422.081,1154.5146,
1419.170,1111.9329,
1416.259,1137.4025,
1413.349,1175.2096,
1410.438,1181.5011,
1407.528,1154.8941,
1404.617,1135.1287,
1401.707,1080.6557,
1398.796,1039.3042,
1395.885,1068.6301,
1392.975,1098.2706,
1390.064,1077.465,
1387.154,1049.2892,
1384.243,1029.1734,
1381.332,1055.66,
1378.422,1068.1305,
1375.511,1051.2685,
1372.601,1042.7059,
1369.690,1082.2895,
1366.780,1083.4558,
1363.869,1145.93,
1360.958,1167.3591,
1358.048,1177.8662,
1355.137,1219.6438,
1352.227,1276.5361,
1349.316,1334.4404,
1346.406,1366.74,
1343.495,1340.2735,
1340.584,1334.9989,
1337.674,1405.2864,
1334.763,1417.235,
1331.853,1449.6881,
1328.942,1380.7323,
1326.032,1448.6683,
1323.121,1430.4337,
1320.210,1488.5876,
1317.300,1525.7707,
1314.389,1537.278,
1311.479,1538.6991,
1308.568,1563.5599,
1305.657,1623.3476,
1302.747,1625.1205,
1299.836,1676.6168,
1296.926,1731.5555,
1294.015,1743.5067,
1291.105,1742.2389,
1288.194,1757.1761,
1285.283,1776.7521,
1282.373,1805.1484,
1279.462,1828.4312,
1276.552,1846.7559,
1273.641,1868.2494,
1270.731,1895.8791,
1267.820,1924.0774,
1264.909,1926.5599,
1261.999,1885.1026,
1259.088,1833.1117,
1256.178,1830,
1253.267,1825.3968,
1250.356,1811.8094,
1247.446,1788.3982,
