,PL6F2C~1,
Wavenumbers [1/cm],Intensity,
1614.179,530.95503,
1611.268,549.50644,
1608.358,600.76838,
1605.447,662.65048,
1602.536,660.65868,
1599.626,658.41013,
1596.715,698.18445,
1593.805,673.63138,
1590.894,679.93737,
1587.984,651.80287,
1585.073,655.75817,
1582.162,663.0942,
1579.252,642.15587,
1576.341,622.0298,
1573.431,634.69666,
1570.520,610.96805,
1567.610,566.48474,
1564.699,549.89982,
1561.788,605.99593,
1558.878,596.11184,
1555.967,541.27078,
1553.057,519.33623,
1550.146,523.7809,
1547.235,509.54021,
1544.325,529.48532,
1541.414,536.96817,
1538.504,521.22239,
1535.593,511.97245,
1532.683,505.08758,
1529.772,522.34351,
1526.861,525.3522,
1523.951,536.03117,
1521.040,576.03832,
1518.130,545.35126,
1515.219,557.9304,
1512.309,543.01126,
1509.398,535.38314,
1506.487,523.06093,
1503.577,536.98117,
1500.666,564.65376,
1497.756,525.58965,
1494.845,587.16832,
1491.934,513.06102,
1489.024,455.31145,
1486.113,533.91775,
1483.203,526.92748,
1480.292,490.46103,
1477.382,512.53869,
1474.471,477.81154,
1471.560,475.40933,
1468.650,466.95107,
1465.739,437.55186,
1462.829,455.88132,
1459.918,480.56495,
1457.008,487.81929,
1454.097,474.68799,
1451.186,454.25,
1448.276,449.08443,
1445.365,418.38902,
1442.455,373.34328,
1439.544,376.02566,
1436.633,368.43372,
1433.723,342.60576,
1430.812,386.73282,
1427.902,380.76864,
1424.991,402.56718,
1422.081,360.12858,
1419.170,383.03587,
1416.259,433.42359,
1413.349,409.50891,
1410.438,397.55022,
1407.528,383.73142,
1404.617,396.79949,
1401.707,374.15417,
1398.796,329.44933,
1395.885,322.45084,
1392.975,354.27179,
1390.064,401.25326,
1387.154,411.61437,
1384.243,400.73173,
1381.332,372.81135,
1378.422,360.38051,
1375.511,343.51845,
1372.601,344.17157,
1369.690,351.965,
1366.780,358.79425,
1363.869,377.68545,
1360.958,361.80265,
1358.048,368.64267,
1355.137,419.09925,
1352.227,432.66164,
1349.316,431.19091,
1346.406,474.91349,
1343.495,480.03916,
1340.584,453.39235,
1337.674,489.35883,
1334.763,515.99099,
1331.853,535.46284,
1328.942,542.47625,
