,PLB9E1~1,
Wavenumbers [1/cm],Intensity,
1410.438,1104.3248,
1407.528,1075.0129,
1404.617,1090.3299,
1401.707,1095.137,
1398.796,1044.223,
1395.885,1044.7238,
1392.975,1071.5196,
1390.064,1023.6884,
1387.154,1051.8407,
1384.243,1085.8659,
1381.332,1071.297,
1378.422,1058.6928,
1375.511,1021.2216,
1372.601,1060.2525,
1369.690,1054.1956,
1366.780,1078.7622,
1363.869,1110.3252,
1360.958,1104.44,
1358.048,1091.8785,
1355.137,1138.565,
1352.227,1168.9844,
1349.316,1170.6776,
1346.406,1211.8009,
1343.495,1225.6598,
1340.584,1202.0531,
1337.674,1231.8394,
1334.763,1235.4598,
1331.853,1283.6758,
1328.942,1218.0257,
1326.032,1278.9528,
1323.121,1253.872,
1320.210,1264.93,
1317.300,1290.6101,
1314.389,1328.9172,
1311.479,1344.3921,
1308.568,1337.964,
1305.657,1350.6916,
1302.747,1354.5761,
1299.836,1416.1361,
1296.926,1462.2832,
1294.015,1454.9286,
1291.105,1428.2087,
1288.194,1447.7885,
1285.283,1467.9451,
1282.373,1464.7657,
1279.462,1469.5072,
1276.552,1493.8849,
1273.641,1497.4407,
1270.731,1482.328,
1267.820,1505.0018,
1264.909,1498.6356,
1261.999,1468.2935,
1259.088,1431.8086,
1256.178,1486.1511,
1253.267,1484.8843,
1250.356,1468.7572,
1247.446,1456.7577,
1244.535,1465.5089,
1241.625,1472.1658,
1238.714,1453.5955,
1235.804,1440.8337,
1232.893,1467.8731,
1229.982,1476.7477,
1227.072,1480.3689,
1224.161,1500.7971,
1221.251,1468.1441,
1218.340,1435.5428,
1215.430,1433.9841,
1212.519,1432.5698,
1209.608,1418.4356,
1206.698,1412.625,
1203.787,1415.2732,
1200.877,1427.6748,
1197.966,1396.2042,
1195.055,1440.7004,
1192.145,1483.1868,
1189.234,1538.0941,
1186.324,1574.1717,
1183.413,1576.6758,
1180.503,1581.127,
1177.592,1595.6853,
1174.681,1555.327,
1171.771,1593.5535,
1168.860,1547.1129,
1165.950,1527.3055,
1163.039,1543.1803,
1160.129,1535.1091,
1157.218,1528.4324,
1154.307,1546.6109,
1151.397,1554.027,
1148.486,1528.5098,
1145.576,1615.7339,
1142.665,1549.1405,
1139.754,1569.6611,
1136.844,1572.1235,
1133.933,1580.5956,
1131.023,1561.1876,
1128.112,1551.6221,
1125.202,1572.8907,
1122.291,1526.3743,
1119.380,1524.9281,
1116.470,1555.8166,
1113.559,1538.7473,
1110.649,1553.5801,
1107.738,1548.0146,
1104.828,1536.9538,
1101.917,1546.9507,
1099.006,1558.924,
1096.096,1554.3349,
1093.185,1533.2629,
1090.275,1558.3309,
1087.364,1570.114,
1084.453,1551.8138,
1081.543,1546.5805,
1078.632,1559.058,
1075.722,1556.9414,
1072.811,1563.6799,
1069.901,1578.5253,
1066.990,1540.8251,
1064.079,1584.7051,
1061.169,1601.3405,
1058.258,1585.3083,
1055.348,1572.625,
1052.437,1568.6893,
1049.527,1550.2362,
1046.616,1591.94,
1043.705,1584.2928,
1040.795,1581.902,
1037.884,1588.6939,
1034.974,1581.2178,
1032.063,1569.8323,
1029.153,1604.5864,
1026.242,1595.9368,
1023.331,1575.6263,
1020.421,1631.5757,
1017.510,1648.6606,
1014.600,1655.5817,
1011.689,1669.4937,
1008.778,1650.6139,
1005.868,1615.9571,
1002.957,1652.9523,
1000.047,1684.105,
997.136,1718.2927,
994.226,1753.4709,
991.315,1766.7958,
988.404,1738.5185,
985.494,1696.203,
982.583,1677.3588,
979.673,1674.625,
976.762,1701.6317,
973.852,1699.8505,
970.941,1671.254,
968.030,1664.573,
965.120,1658.9651,
962.209,1739.9566,
959.299,1747.959,
956.388,1716.5069,
953.477,1696.5022,
950.567,1723.6303,
947.656,1788.2908,
944.746,1785.7421,
941.835,1763.76,
938.925,1761.9153,
936.014,1772.7299,
933.103,1785.1559,
930.193,1780.2389,
927.282,1735.2208,
924.372,1746.2137,
921.461,1764.5622,
918.551,1763.0729,
915.640,1748.2762,
912.729,1728.9161,
909.819,1713.8499,
906.908,1738.2803,
903.998,1747.5786,
901.087,1749.625,
898.176,1750.5794,
895.266,1756.0686,
892.355,1761.3844,
889.445,1738.7242,
886.534,1824.6168,
883.624,1804.6192,
880.713,1817.2464,
877.802,1839.6772,
874.892,1814.1234,
871.981,1753.6338,
869.071,1542.2744,
866.160,1522.184,
863.250,1614.5459,
860.339,1726.3485,
857.428,1791.4946,
854.518,1802.8066,
851.607,1774.5162,
848.697,1709.7849,
845.786,1681.0681,
842.875,1705.142,
839.965,1758.0135,
837.054,1783.1925,
834.144,1833.7464,
831.233,1878.9558,
828.323,1884.2607,
825.412,1887.4012,
822.501,1922.4123,
819.591,1932.3291,
816.680,1880.5416,
813.770,1873.2635,
810.859,1856.7704,
807.949,1838.1372,
805.038,1854.8153,
802.127,1872.9241,
799.217,1873.1342,
796.306,1828.922,
793.396,1819.3733,
790.485,1857.4673,
787.574,1860.1268,
784.664,1847.005,
781.753,1862.7416,
778.843,1883.8771,
775.932,1916.3778,
773.022,1955.1727,
770.111,1920.0168,
767.200,1925.9994,
764.290,1931.5144,
761.379,1922.9906,
758.469,1917.7161,
755.558,1959.3819,
752.648,1951.2358,
749.737,1935.9164,
746.826,1930.4899,
743.916,1947.4239,
741.005,1989.2015,
738.095,2020.8647,
735.184,2014.6142,
732.274,1999.0553,
729.363,1948.6136,
726.452,1875.1797,
723.542,1905.9367,
720.631,1922.1512,
717.721,1964.4328,
714.810,1984.6307,
711.899,1979.9023,
708.989,2015.407,
706.078,1991.5859,
703.168,1984.4106,
700.257,1962.9964,
697.347,1933.1903,
694.436,1932.1705,
691.525,1952.2657,
688.615,1972.3478,
685.704,1945.3627,
682.794,1919.6248,
679.883,1992.454,
676.973,2010.8855,
674.062,2024.1962,
671.151,2023.05,
668.241,2022.2489,
665.330,2043.6753,
662.420,1981.3743,
659.509,2020.6893,
656.598,2043.2683,
653.688,2046.9675,
650.777,2090.4369,
647.867,2055.3985,
644.956,2021.0015,
642.046,1992.6017,
639.135,1970.3848,
636.224,1950.7284,
633.314,1971.3708,
630.403,2008.5504,
627.493,2031.7772,
624.582,2028.8576,
621.672,2007.4737,
618.761,2037.0226,
615.850,2073.0724,
612.940,2108.9695,
610.029,2128.9967,
607.119,2083.1981,
604.208,2099.9254,
601.297,2103.1413,
598.387,2086.4463,
595.476,2060.9277,
592.566,2085.3268,
589.655,2070.1883,
586.745,2070.0402,
583.834,2085.6013,
580.923,2092.5681,
578.013,2083.1513,
575.102,2080.0514,
572.192,2089.629,
569.281,2116.3422,
566.371,2164.8649,
563.460,2161.8648,
560.549,2160.0868,
557.639,2179.0816,
554.728,2223.8658,
551.818,2180.1681,
548.907,2154.1708,
545.996,2151.4008,
543.086,2154.9013,
540.175,2114.4118,
537.265,2106.555,
534.354,2122.1842,
531.444,2130.1506,
528.533,2105.3491,
525.622,2101.4694,
522.712,2113.3668,
519.801,2093.7477,
516.891,2053.3201,
513.980,2076.549,
511.070,2131.4511,
508.159,2145.0288,
505.248,2144.1373,
502.338,2169.0376,
499.427,2148.97,
496.517,2167.9482,
493.606,2188.3075,
490.695,2182.9593,
487.785,2120.6062,
484.874,2147.4598,
481.964,2136.4791,
479.053,2095.7506,
476.143,2108.806,
473.232,2149.9116,
470.321,2152.0009,
467.411,2120.4033,
464.500,2070.3232,
461.590,2097.8898,
458.679,2139.7433,
455.769,2155.0224,
452.858,2131.9994,
449.947,2174.0156,
447.037,2146.2194,
444.126,2130.7583,
441.216,2142.5084,
438.305,2130.3175,
435.395,2162.7181,
432.484,2147.7016,
429.573,2094.8799,
426.663,2065.9946,
423.752,1999.4624,
420.842,1862.477,
417.931,1683.0672,
415.020,1508.6448,
412.110,1779.9064,
409.199,1983.8254,
406.289,2081.7697,
403.378,2054.5507,
400.468,2032.6269,
397.557,2029.7382,
394.646,2067.2932,
391.736,2158.5767,
388.825,2157.0682,
385.915,2155.0284,
383.004,2159.6214,
380.094,2173.3582,
377.183,2148.5264,
374.272,2148.1384,
371.362,2158.6286,
368.451,2170.3515,
365.541,2165.8482,
362.630,2164.0788,
359.719,2167.1766,
356.809,2175.0813,
353.898,2166.0957,
350.988,2169.0499,
348.077,2188.1454,
345.167,2221.1275,
342.256,2171.821,
339.345,2178.3509,
336.435,2198.2906,
333.524,2201.7559,
330.614,2174.1852,
327.703,2163.058,
324.793,2164.2341,
321.882,2174.6737,
318.971,2194.7466,
316.061,2180.1392,
313.150,2174.0226,
310.240,2226.7128,
307.329,2272.9325,
304.418,2285.1536,
301.508,2292.8035,
298.597,2346.1135,
295.687,2331.6623,
292.776,2326.7917,
289.866,2332.625,
286.955,2332.625,
284.044,2365.515,
281.134,2406.1017,
278.223,2440.5772,
275.313,2426.5769,
272.402,2428.2722,
269.492,2413.5644,
266.581,2374.152,
263.670,2367.5354,
260.760,2404.2814,
257.849,2427.3069,
254.939,2392.0805,
