,PLC1D2~1,
Wavenumbers [1/cm],Intensity,
1902.326,264.74666,
1899.415,262.25363,
1896.505,232.34943,
1893.594,235.54573,
1890.684,241.71237,
1887.773,243.957,
1884.863,263.32346,
1881.952,262.74763,
1879.041,252.46106,
1876.131,264.84444,
1873.220,258.41147,
1870.310,255.1435,
1867.399,294.36026,
1864.489,272.03894,
1861.578,273.2802,
1858.667,272.18565,
1855.757,249.20286,
1852.846,248.76409,
1849.936,255.48849,
1847.025,252.7056,
1844.114,267.68005,
1841.204,315.96503,
1838.293,303.57733,
1835.383,266.29049,
1832.472,296.53565,
1829.562,307.52838,
1826.651,287.22179,
1823.740,288.46362,
1820.830,278.11011,
1817.919,275.62875,
1815.009,265.72519,
1812.098,257.71654,
1809.188,318.90683,
1806.277,299.53116,
1803.366,274.73382,
1800.456,261.3082,
1797.545,302.01413,
1794.635,310.96798,
1791.724,299.21366,
1788.813,287.81646,
1785.903,327.50977,
1782.992,309.04626,
1780.082,337.20026,
1777.171,261.98928,
1774.261,238.06032,
1771.350,270.749,
1768.439,300.13076,
1765.529,340.45651,
1762.618,350.58437,
1759.708,329.09764,
1756.797,322.29546,
1753.887,337.07726,
1750.976,344.53796,
1748.065,341.47005,
1745.155,360.35468,
1742.244,353.79804,
1739.334,320.0353,
1736.423,341.50089,
1733.512,362.27644,
1730.602,360.5119,
1727.691,379.72683,
1724.781,378.92081,
1721.870,370.56187,
1718.960,407.64491,
1716.049,379.08511,
1713.138,390.80991,
1710.228,397.48119,
1707.317,375.00114,
1704.407,402.5455,
1701.496,384.12285,
1698.586,393.08781,
1695.675,403.35709,
1692.764,426.72132,
1689.854,339.9842,
1686.943,436.49253,
1684.033,392.21698,
1681.122,440.15038,
1678.211,387.51394,
1675.301,422.889,
1672.390,407.04187,
1669.480,421.02407,
1666.569,425.09185,
1663.659,509.19971,
1660.748,461.52061,
1657.837,487.54074,
1654.927,466.78914,
1652.016,458.53458,
1649.106,481.71367,
1646.195,549.68831,
1643.285,537.27344,
1640.374,548.81185,
1637.463,540.91874,
1634.553,591.22167,
1631.642,606.69491,
1628.732,669.86964,
1625.821,648.02094,
1622.911,679.81968,
1620.000,684.93701,
1617.089,742.82587,
1614.179,790.64635,
1611.268,814.14491,
1608.358,855.98661,
1605.447,918.34335,
1602.536,922.93189,
1599.626,984.6355,
1596.715,971.84798,
1593.805,953.90203,
1590.894,961.68737,
1587.984,1007.1707,
