,PLDA33~1,
Wavenumbers [1/cm],Intensity,
1864.489,496.01824,
1861.578,475.0618,
1858.667,476.72829,
1855.757,483.64707,
1852.846,512.11091,
1849.936,501.45658,
1847.025,483.17429,
1844.114,469.93386,
1841.204,508.32954,
1838.293,527.88997,
1835.383,503.57301,
1832.472,501.54978,
1829.562,512.06901,
1826.651,513.875,
1823.740,509.50718,
1820.830,507.875,
1817.919,536.37818,
1815.009,509.48188,
1812.098,522.72538,
1809.188,545.51061,
1806.277,497.98159,
1803.366,532.89164,
1800.456,533.21551,
1797.545,525.47056,
1794.635,560.35899,
1791.724,563.6419,
1788.813,592.06754,
1785.903,564.4196,
1782.992,555.5084,
1780.082,558.22198,
1777.171,482.51683,
1774.261,417.25055,
1771.350,488.62001,
1768.439,532.11005,
1765.529,563.69729,
1762.618,594.70626,
1759.708,581.48351,
1756.797,596.68561,
1753.887,609.64322,
1750.976,587.85079,
1748.065,599.30818,
1745.155,605.76536,
1742.244,612.14491,
1739.334,590.85618,
1736.423,627.62633,
1733.512,623.86274,
1730.602,636.56749,
1727.691,633.12775,
1724.781,627.51527,
1721.870,651.82276,
1718.960,656.23054,
1716.049,639.93448,
1713.138,670.21984,
1710.228,648.89579,
1707.317,642.22129,
1704.407,698.47402,
1701.496,682.08631,
1698.586,693.73477,
1695.675,718.26772,
1692.764,678.21924,
1689.854,633.78049,
1686.943,694.68283,
1684.033,726.12991,
1681.122,748.50117,
1678.211,718.17004,
1675.301,745.78866,
1672.390,726.86603,
1669.480,724.13973,
1666.569,758.1065,
1663.659,853.2707,
1660.748,816.43152,
1657.837,794.61857,
1654.927,827.68757,
1652.016,820.11799,
1649.106,830.70735,
1646.195,864.45043,
1643.285,888.5586,
1640.374,917.10149,
1637.463,881.59558,
1634.553,922.02767,
1631.642,999.0813,
1628.732,1017.9165,
1625.821,1024.9254,
1622.911,1101.4411,
1620.000,1157.1695,
1617.089,1228.4422,
1614.179,1237.6494,
1611.268,1275.4251,
1608.358,1364.5673,
1605.447,1432.9898,
1602.536,1415.4416,
1599.626,1474.5906,
1596.715,1512.5486,
1593.805,1478.3131,
1590.894,1508.2211,
1587.984,1522.402,
1585.073,1427.7327,
1582.162,1414.2145,
1579.252,1406.692,
1576.341,1345.5963,
1573.431,1344.9721,
1570.520,1310.6561,
1567.610,1299.6201,
1564.699,1316.5507,
1561.788,1291.1852,
1558.878,1291.5303,
1555.967,1250.9678,
1553.057,1219.8578,
1550.146,1226.9368,
1547.235,1217.3459,
1544.325,1221.1444,
1541.414,1231.2548,
1538.504,1227.8198,
1535.593,1206.8853,
1532.683,1207.0883,
1529.772,1220.9564,
1526.861,1205.8634,
1523.951,1220.3929,
1521.040,1262.8927,
1518.130,1294.1067,
1515.219,1319.0742,
1512.309,1324.0911,
1509.398,1250.3712,
1506.487,1248.6779,
1503.577,1264.8463,
1500.666,1259.3227,
1497.756,1264.1718,
1494.845,1278.3141,
1491.934,1240.6986,
1489.024,1186.799,
1486.113,1208.0554,
1483.203,1166.3548,
1480.292,1193.9669,
1477.382,1175.6276,
1474.471,1128.4365,
1471.560,1137.645,
1468.650,1124.6935,
1465.739,1097.5818,
1462.829,1128.4586,
1459.918,1163.0574,
1457.008,1166.8442,
1454.097,1145.0022,
1451.186,1158.0549,
1448.276,1167.5504,
1445.365,1078.2289,
1442.455,1044.888,
1439.544,1055.2664,
1436.633,1034.8263,
1433.723,1031.4951,
1430.812,1042.0623,
1427.902,1032.9348,
1424.991,1077.4797,
1422.081,1087.1323,
1419.170,1099.9718,
1416.259,1094.5844,
1413.349,1080.0359,
1410.438,1073.0759,
1407.528,1066.0813,
1404.617,1077.5532,
1401.707,1043.8899,
1398.796,985.5219,
1395.885,978.75701,
1392.975,998.81246,
1390.064,995.10914,
1387.154,981.76223,
1384.243,949.28831,
1381.332,940.85895,
1378.422,969.92839,
1375.511,912.78475,
1372.601,973.62021,
1369.690,988.30445,
1366.780,997.79535,
1363.869,1053.6343,
1360.958,1071.2341,
1358.048,1068.0951,
1355.137,1119.9691,
1352.227,1153.6919,
1349.316,1153.9835,
1346.406,1197.7985,
1343.495,1209.7094,
1340.584,1153.3024,
1337.674,1228.9822,
1334.763,1231.2158,
1331.853,1266.4506,
1328.942,1233.1859,
1326.032,1254.9749,
1323.121,1257.9111,
1320.210,1311.4805,
1317.300,1337.6945,
1314.389,1342.5279,
1311.479,1322.9723,
1308.568,1310.9897,
1305.657,1345.7512,
1302.747,1355.2086,
1299.836,1405.4721,
1296.926,1419.3106,
1294.015,1471.712,
1291.105,1425.4452,
1288.194,1511.5292,
1285.283,1486.9028,
1282.373,1478.6328,
1279.462,1517.8155,
1276.552,1539.3002,
1273.641,1530.977,
1270.731,1522.8765,
1267.820,1516.2762,
1264.909,1532.6438,
1261.999,1501.9749,
1259.088,1504.7112,
1256.178,1492.8846,
1253.267,1454.0496,
1250.356,1454.3883,
1247.446,1472.1963,
1244.535,1444.2055,
1241.625,1401.2232,
1238.714,1398.7909,
1235.804,1411.875,
1232.893,1414.1215,
1229.982,1429.4764,
1227.072,1417.7073,
1224.161,1444.6116,
1221.251,1402.9709,
1218.340,1363.5538,
1215.430,1359.133,
1212.519,1355.0088,
1209.608,1336.9137,
1206.698,1327.109,
1203.787,1317.2418,
1200.877,1279.664,
1197.966,1340.8069,
1195.055,1329.3698,
1192.145,1402.0093,
1189.234,1456.0707,
1186.324,1498.0593,
1183.413,1524.2912,
1180.503,1568.6594,
1177.592,1624.1978,
1174.681,1551.8202,
1171.771,1524.2871,
1168.860,1542.1489,
1165.950,1515.6549,
1163.039,1490.0181,
1160.129,1484.2344,
1157.218,1489.2402,
1154.307,1505.1188,
1151.397,1528.4818,
1148.486,1541.5696,
1145.576,1572.1018,
1142.665,1531.2578,
1139.754,1531.9431,
1136.844,1532.1747,
1133.933,1533.048,
1131.023,1499.412,
1128.112,1469.0881,
1125.202,1486.7735,
1122.291,1491.9895,
1119.380,1464.9183,
1116.470,1469.3309,
1113.559,1461.3693,
1110.649,1448.3975,
1107.738,1460.0212,
1104.828,1461.9759,
1101.917,1425.8269,
1099.006,1385.8543,
1096.096,1398.9612,
1093.185,1384.0351,
1090.275,1433.859,
