,PL0AD7~1,
Wavenumbers [1/cm],Intensity,
1852.846,270.03075,
1849.936,284.37238,
1847.025,272.11923,
1844.114,275.05886,
1841.204,305.33566,
1838.293,308.02661,
1835.383,301.29049,
1832.472,337.46609,
1829.562,329.5315,
1826.651,338.61599,
1823.740,331.80073,
1820.830,321.1417,
1817.919,324.88626,
1815.009,306.30662,
1812.098,329.92912,
1809.188,335.81395,
1806.277,286.12872,
1803.366,341.90201,
1800.456,280.13256,
1797.545,333.72342,
1794.635,331.90301,
1791.724,339.15532,
1788.813,345.20026,
1785.903,339.66865,
1782.992,316.85394,
1780.082,296.23814,
1777.171,211.30618,
1774.261,140.29561,
1771.350,225.84726,
1768.439,300.68431,
1765.529,349.00282,
1762.618,371.83126,
1759.708,352.47802,
1756.797,347.82576,
1753.887,376.97522,
1750.976,379.33443,
1748.065,359.25346,
1745.155,384.49008,
1742.244,389.43299,
1739.334,368.30589,
1736.423,398.74014,
1733.512,375.43485,
1730.602,407.37705,
1727.691,415.32339,
1724.781,430.30468,
1721.870,402.00457,
1718.960,416.20027,
1716.049,403.38153,
1713.138,419.6649,
1710.228,413.42673,
1707.317,423.49943,
1704.407,437.57756,
1701.496,427.14988,
1698.586,429.69594,
1695.675,461.81409,
1692.764,413.82374,
1689.854,416.74016,
1686.943,430.52784,
1684.033,429.04967,
1681.122,477.16737,
1678.211,447.29504,
1675.301,512.79649,
1672.390,434.06879,
1669.480,457.16846,
1666.569,478.66019,
1663.659,529.60802,
1660.748,506.59773,
1657.837,536.84691,
1654.927,530.04686,
1652.016,531.9028,
1649.106,527.63278,
1646.195,514.34268,
1643.285,568.84049,
1640.374,561.91638,
1637.463,558.90073,
1634.553,608.60589,
1631.642,648.71769,
1628.732,623.11851,
1625.821,643.02552,
1622.911,681.78023,
1620.000,691.87401,
1617.089,755.70646,
1614.179,765.74619,
1611.268,813.17828,
1608.358,874.09697,
1605.447,940.17194,
1602.536,926.29414,
1599.626,980.19597,
1596.715,957.77196,
1593.805,955.89433,
1590.894,937.50593,
1587.984,960.11667,
1585.073,925.71324,
1582.162,942.37681,
1579.252,904.44834,
1576.341,882.98405,
1573.431,904.2784,
1570.520,850.61421,
1567.610,860.31416,
1564.699,825.77318,
1561.788,790.69032,
1558.878,828.74513,
1555.967,804.41413,
1553.057,783.5517,
1550.146,774.55275,
1547.235,743.20629,
1544.325,758.23532,
1541.414,786.24034,
1538.504,771.53071,
1535.593,746.23554,
1532.683,748.94425,
1529.772,756.96259,
1526.861,734.9185,
1523.951,738.22684,
1521.040,783.79599,
1518.130,803.59395,
1515.219,826.72002,
1512.309,808.6576,
1509.398,757.7186,
1506.487,764.36219,
1503.577,765.41219,
1500.666,760.88075,
1497.756,753.37305,
1494.845,768.55921,
1491.934,733.92126,
1489.024,709.85894,
1486.113,736.81647,
1483.203,743.44084,
1480.292,731.27233,
