,PLFBEA~1,
Wavenumbers [1/cm],Intensity,
1620.000,1227.6035,
1617.089,1293.4366,
1614.179,1368.6067,
1611.268,1423.7052,
1608.358,1507.7232,
1605.447,1560.779,
1602.536,1608.4806,
1599.626,1629.2287,
1596.715,1667.9616,
1593.805,1674.433,
1590.894,1667.7046,
1587.984,1630.3741,
1585.073,1573.701,
1582.162,1573.0989,
1579.252,1561.6572,
1576.341,1557.1479,
1573.431,1483.1316,
1570.520,1455.1062,
1567.610,1430.3967,
1564.699,1432.9004,
1561.788,1390.2716,
1558.878,1376.2121,
1555.967,1360.2514,
1553.057,1359.6809,
1550.146,1323.5756,
1547.235,1290.6661,
1544.325,1289.1432,
1541.414,1312.2722,
1538.504,1330.7776,
1535.593,1321.0379,
1532.683,1295.9682,
1529.772,1306.9183,
1526.861,1326.6569,
1523.951,1320.6406,
1521.040,1352.4629,
1518.130,1359.1775,
1515.219,1362.5503,
1512.309,1340.6013,
1509.398,1316.4171,
1506.487,1349.0336,
1503.577,1334.3987,
1500.666,1318.7354,
1497.756,1304.2756,
1494.845,1320.5488,
1491.934,1267.624,
1489.024,1229.1243,
1486.113,1250.9304,
1483.203,1242.9802,
1480.292,1168.778,
1477.382,1203.4366,
1474.471,1161.0335,
1471.560,1128.0597,
1468.650,1137.4653,
1465.739,1172.9316,
1462.829,1194.1214,
1459.918,1188.9101,
1457.008,1190.8886,
1454.097,1184.0366,
1451.186,1165.75,
1448.276,1138.8152,
1445.365,1062.5304,
1442.455,1002.0298,
1439.544,1010.5257,
1436.633,1000.3121,
1433.723,960.98416,
1430.812,994.94246,
1427.902,960.17844,
1424.991,978.18593,
1422.081,988.84225,
1419.170,975.06097,
1416.259,1025.4041,
1413.349,1022.6452,
1410.438,1026.1474,
1407.528,1027.175,
1404.617,1043.3638,
1401.707,996.39667,
1398.796,930.53325,
1395.885,920.71067,
1392.975,912.87438,
1390.064,889.87033,
1387.154,883.39375,
1384.243,831.9918,
1381.332,847.39795,
1378.422,880.69238,
1375.511,802.00278,
1372.601,899.35803,
1369.690,904.32111,
1366.780,913.25442,
1363.869,949.16794,
1360.958,984.85757,
1358.048,1003.8697,
1355.137,1059.2157,
1352.227,1084.1616,
1349.316,1121.9626,
1346.406,1210.8093,
1343.495,1188.7604,
1340.584,1183.3212,
1337.674,1206.8253,
1334.763,1268.0788,
1331.853,1329.2761,
1328.942,1327.3027,
1326.032,1369.9779,
1323.121,1373.0813,
1320.210,1399.3846,
1317.300,1436.7691,
1314.389,1475.3616,
1311.479,1489.3229,
1308.568,1493.7585,
1305.657,1522.1215,
1302.747,1555.8216,
1299.836,1653.7672,
1296.926,1649.1001,
1294.015,1699.6629,
1291.105,1677.0948,
1288.194,1727.2658,
1285.283,1726.4299,
1282.373,1739.1015,
1279.462,1762.9262,
1276.552,1789.5453,
1273.641,1807.3704,
1270.731,1799.6933,
1267.820,1781.919,
1264.909,1773.7935,
1261.999,1738.6488,
1259.088,1763.276,
1256.178,1822.1326,
1253.267,1746.5913,
1250.356,1731.5861,
1247.446,1753.1784,
1244.535,1735.5135,
1241.625,1705.75,
1238.714,1701.7023,
1235.804,1702.7985,
1232.893,1738.2508,
1229.982,1733.4928,
1227.072,1696.375,
1224.161,1696.2715,
1221.251,1662.5026,
1218.340,1623.5419,
1215.430,1629.1198,
1212.519,1625.3758,
1209.608,1589.7644,
1206.698,1568.218,
1203.787,1567.8003,
1200.877,1591.8674,
1197.966,1626.0354,
1195.055,1602.1525,
1192.145,1678.1437,
1189.234,1775.4684,
1186.324,1798.4758,
1183.413,1824.1714,
1180.503,1882.1932,
1177.592,1890.5276,
1174.681,1855.3562,
1171.771,1846.0385,
1168.860,1858.5417,
1165.950,1867.8129,
1163.039,1890.0037,
1160.129,1860.9993,
1157.218,1857.8253,
1154.307,1878.2977,
1151.397,1874.9209,
1148.486,1887.4993,
1145.576,1892.4439,
1142.665,1908.4263,
1139.754,1900.8001,
1136.844,1865.8358,
1133.933,1866.4127,
1131.023,1860.6987,
1128.112,1847.7493,
1125.202,1859.8901,
1122.291,1860.6004,
1119.380,1797.1224,
1116.470,1835.0712,
1113.559,1821.9653,
1110.649,1779.4238,
1107.738,1780.6469,
1104.828,1797.5017,
1101.917,1780.9565,
1099.006,1753.4611,
1096.096,1787.1161,
1093.185,1744.094,
1090.275,1788.4969,
1087.364,1795.6333,
1084.453,1841.5595,
1081.543,1850.7039,
1078.632,1826.9724,
1075.722,1860.1441,
1072.811,1885.7643,
1069.901,1857.82,
1066.990,1842.0084,
1064.079,1862.568,
1061.169,1862.1517,
1058.258,1842.5863,
1055.348,1830.5138,
1052.437,1828.0265,
1049.527,1795.3276,
1046.616,1836.1626,
1043.705,1815.3148,
1040.795,1840.3137,
1037.884,1826.3828,
1034.974,1793.6327,
1032.063,1799.3805,
1029.153,1826.2427,
1026.242,1847.0016,
1023.331,1811.0857,
1020.421,1851.85,
1017.510,1882.835,
1014.600,1892.8647,
1011.689,1893.4694,
1008.778,1890.5356,
1005.868,1906.5724,
1002.957,1886.7842,
1000.047,1945.63,
997.136,1976.3852,
994.226,1996.0267,
991.315,2004.6163,
988.404,1976.4541,
985.494,1938.7116,
982.583,1936.9985,
979.673,1919.9221,
976.762,1907.879,
973.852,1909.4961,
970.941,1927.4197,
968.030,1948.9927,
965.120,1927.8932,
962.209,1961.9949,
959.299,1947.2108,
956.388,1946.0295,
953.477,1960.3816,
950.567,1983.9912,
947.656,2018.5353,
944.746,2039.7742,
941.835,2000.2593,
938.925,1993.3822,
936.014,2004.3607,
933.103,2025.7552,
930.193,2039.9595,
927.282,2007.7876,
924.372,1990.0299,
921.461,1997.3232,
918.551,1971.7033,
915.640,1945.2257,
912.729,1940.7019,
909.819,1947.9716,
906.908,1942.0746,
903.998,1952.0897,
901.087,1961.1151,
898.176,1951.8657,
895.266,1948.859,
892.355,1971.3365,
889.445,1963.7831,
886.534,2029.7049,
883.624,2036.6945,
880.713,2045.4882,
877.802,2041.8122,
874.892,1983.0476,
871.981,1843.4949,
869.071,1705.6518,
866.160,1717.6279,
863.250,1822.8645,
860.339,1931.672,
857.428,1987.8719,
854.518,2011.752,
851.607,1942.6903,
848.697,1932.1256,
845.786,1870.993,
842.875,1854.6472,
839.965,1953.5613,
837.054,2058.364,
834.144,2113.0617,
831.233,2156.4143,
828.323,2151.4834,
825.412,2123.9547,
822.501,2116.0693,
819.591,2140.0348,
816.680,2116.7115,
813.770,2120.1475,
810.859,2092.8094,
807.949,2055.2305,
805.038,2059.2611,
802.127,2038.6829,
799.217,2070.2926,
796.306,2034.6415,
793.396,2017.0479,
790.485,2049.3299,
787.574,2063.4039,
784.664,2080.6262,
781.753,2097.8407,
778.843,2138.5657,
775.932,2149.6763,
773.022,2095.6232,
770.111,2094.8056,
767.200,2123.6799,
764.290,2107.3234,
761.379,2089.5377,
758.469,2093.2612,
755.558,2102.9688,
752.648,2110.3002,
749.737,2101.3054,
746.826,2110.6691,
743.916,2106.2497,
741.005,2056.2523,
738.095,2104.9649,
735.184,2054.9753,
732.274,2013.2918,
729.363,2004.492,
726.452,2024.8197,
723.542,2041.817,
720.631,2073.3316,
717.721,2099.3625,
714.810,2114.7954,
711.899,2125.5817,
708.989,2150.5964,
706.078,2127.5122,
703.168,2121.1428,
700.257,2147.1546,
697.347,2174.7511,
694.436,2138.4663,
691.525,2128.0168,
688.615,2150.2775,
685.704,2153.9577,
682.794,2147.0052,
679.883,2170.2454,
676.973,2159.0262,
674.062,2161.8547,
671.151,2161.2434,
668.241,2161.0385,
665.330,2173.0861,
662.420,2137.9419,
659.509,2165.6712,
656.598,2192.674,
653.688,2221.7637,
650.777,2289.5601,
647.867,2313.4499,
644.956,2262.4073,
642.046,2197.4843,
639.135,2154.9596,
636.224,2155.9171,
633.314,2189.2625,
630.403,2198.3412,
627.493,2206.0474,
624.582,2205.9197,
621.672,2152.8561,
618.761,2195.5864,
615.850,2235.6464,
612.940,2269.3868,
610.029,2290.725,
607.119,2272.5635,
604.208,2279.2702,
601.297,2287.7352,
598.387,2279.2783,
595.476,2245.3786,
592.566,2241.4433,
589.655,2242.6937,
586.745,2257.637,
583.834,2270.0408,
580.923,2249.7358,
578.013,2247.3816,
575.102,2250.7651,
572.192,2272.6861,
569.281,2307.7342,
566.371,2313.2126,
563.460,2313.75,
560.549,2316.6737,
557.639,2324.047,
554.728,2337.9179,
551.818,2372.2518,
548.907,2335.2628,
545.996,2323.468,
543.086,2347.0658,
540.175,2334.6075,
537.265,2326.5072,
534.354,2339.8041,
531.444,2336.8013,
528.533,2289.9573,
525.622,2320.9952,
522.712,2334.4243,
519.801,2313.164,
516.891,2274.2541,
513.980,2286.6428,
511.070,2295.4978,
508.159,2299.2276,
505.248,2301.2522,
502.338,2305.8404,
499.427,2308.9277,
496.517,2308.053,
493.606,2324.2476,
490.695,2354.5776,
487.785,2324.5558,
484.874,2322.9811,
481.964,2299.8333,
479.053,2265.1177,
476.143,2266.6536,
473.232,2291.2097,
470.321,2288.5856,
467.411,2274.737,
464.500,2271.9827,
461.590,2281.1716,
458.679,2299.1582,
455.769,2322.4622,
452.858,2346.8635,
449.947,2357.5585,
447.037,2329.412,
444.126,2314.5561,
441.216,2320.6334,
438.305,2308.4425,
435.395,2321.8296,
432.484,2343.0861,
429.573,2348.0823,
426.663,2289.5515,
423.752,2207.3365,
420.842,2011.1698,
417.931,1790.8164,
415.020,1696.0216,
412.110,1997.8327,
409.199,2232.9772,
406.289,2338.136,
403.378,2265.5989,
400.468,2220.9952,
397.557,2206.75,
394.646,2244.7277,
391.736,2347.8949,
388.825,2352.4203,
385.915,2346.2993,
383.004,2336.3235,
380.094,2329.324,
377.183,2360.1755,
374.272,2362.7794,
371.362,2372.4664,
368.451,2407.9324,
365.541,2410.9345,
362.630,2416.1199,
359.719,2401.696,
356.809,2358.161,
353.898,2348.4266,
350.988,2383.7241,
348.077,2409.6514,
345.167,2393.7283,
342.256,2373.5574,
339.345,2382.6301,
336.435,2389.3654,
333.524,2372.844,
330.614,2375.8246,
327.703,2398.8264,
324.793,2422.5857,
321.882,2430.8059,
318.971,2453.8526,
316.061,2468.5864,
313.150,2482.9095,
310.240,2505.9151,
307.329,2560.3478,
304.418,2570.3512,
301.508,2559.5069,
298.597,2569.8728,
295.687,2606.6437,
292.776,2636.6667,
289.866,2663.4687,
286.955,2704.8373,
284.044,2750.5975,
281.134,2826.7012,
278.223,2917.1811,
275.313,2920.1285,
272.402,2950.957,
269.492,2962.9276,
266.581,2936.6526,
263.670,2865.3401,
260.760,2915.7941,
257.849,2997.944,
254.939,3047.1142,
252.028,3008.6624,
249.117,2962.6857,
246.207,2957.571,
243.296,3080.5532,
240.386,3076.7722,
237.475,3058.5295,
234.565,3040.7591,
231.654,3021.7691,
228.743,3023.5037,
225.833,3017.0786,
222.922,2991.7308,
220.012,2969.8741,
217.101,2947.0471,
214.191,2942.9894,
211.280,2983.7273,
208.369,2910.7221,
205.459,2884.1305,
202.548,2905.3907,
199.638,2938.0449,
196.727,2888.8571,
193.816,2860.694,
190.906,2887.1947,
187.995,2785.8313,
185.085,2744.6029,
182.174,2747.1524,
179.264,2781.8452,
176.353,2733.2061,
173.442,2711.0012,
170.532,2714.4252,
167.621,2634.3969,
164.711,2582.2671,
161.800,2470.9443,
158.890,2225.5172,
155.979,2072.0146,
153.068,1942.1729,
150.158,1799.1125,
147.247,1519.1111,
144.337,1243.1741,
141.426,973.97676,
138.516,713.74524,
135.605,511.81818,
132.694,361.93957,
129.784,251.07445,
126.873,155.24706,
123.963,106.15835,
121.052,73.834877,
118.141,48.848307,
115.231,43.776008,
112.320,34.124553,
109.410,23.886355,
106.499,24.59851,
103.589,20.267964,
100.678,17.564865,
97.767,19.697678,
94.857,14.899077,
91.946,15.571776,
89.036,19.75,
86.125,19.75,
83.215,21.342761,
80.304,17.243048,
77.393,0.9551397,
74.483,8.2667545,
71.572,12.025296,
68.662,10.265128,
65.751,5.31997,
62.840,4.713404,
59.930,6.1245724,
57.019,7.5347364,
54.109,8.3471608,
51.198,7.2419536,
48.288,3.7726498,
45.377,6.586162,
42.466,7.3377807,
39.556,5.94417,
36.645,1.0288384,
33.735,1.3077454,
30.824,1.6455651,
27.914,-1.8603111,
25.003,0.2405499,
22.092,-1.4790456,
19.182,-7.9754056,
16.271,0.41847594,
13.361,16.815197,
10.450,3.2602832,
7.539,-179.69834,
4.629,-610.36313,
1.718,-1048.7899,
-1.192,-1308.1277,
-4.103,-1001.5628,
-7.013,-544.80853,
-9.924,-1.25,
