,PL631F~1,
Wavenumbers [1/cm],Intensity,
1512.309,1457.6351,
1509.398,1400.4698,
1506.487,1358.492,
1503.577,1358.6828,
1500.666,1309.5146,
1497.756,1328.4749,
1494.845,1361.7785,
1491.934,1296.4244,
1489.024,1273.3246,
1486.113,1299.3893,
1483.203,1238.4401,
1480.292,1210.9842,
1477.382,1233.3639,
1474.471,1177.3423,
1471.560,1147.615,
1468.650,1128.468,
1465.739,1145.1981,
1462.829,1169.8395,
1459.918,1228.3292,
1457.008,1227.361,
1454.097,1181.8784,
1451.186,1178.9952,
1448.276,1147.4479,
1445.365,1061.7812,
1442.455,995.74726,
1439.544,964.05132,
1436.633,957.25671,
1433.723,935.36632,
1430.812,954.83506,
1427.902,946.0941,
1424.991,929.03438,
1422.081,939.50973,
1419.170,945.68436,
1416.259,967.56164,
1413.349,1007.9963,
1410.438,997.80683,
1407.528,966.61278,
1404.617,952.73862,
1401.707,920.23351,
1398.796,843.40922,
1395.885,819.09081,
1392.975,836.64476,
1390.064,780.37641,
1387.154,761.53759,
1384.243,763.56749,
1381.332,726.49599,
1378.422,734.83814,
1375.511,741.3956,
1372.601,801.40207,
1369.690,816.78667,
1366.780,839.09291,
1363.869,883.72976,
1360.958,899.82043,
1358.048,909.39968,
1355.137,936.52736,
1352.227,977.0034,
1349.316,1028.9404,
1346.406,1084.2304,
1343.495,1113.7491,
1340.584,1123.7851,
1337.674,1171.4312,
1334.763,1213.488,
1331.853,1239.4505,
1328.942,1253.842,
1326.032,1277.5218,
1323.121,1301.7651,
1320.210,1322.4843,
1317.300,1367.2749,
1314.389,1443.3482,
1311.479,1484.3835,
1308.568,1494.1004,
1305.657,1533.0859,
1302.747,1574.1344,
1299.836,1661.957,
1296.926,1681.2519,
1294.015,1718.9442,
1291.105,1721.3805,
1288.194,1782.2045,
1285.283,1811.8201,
1282.373,1810.5391,
1279.462,1827.3623,
1276.552,1845.4291,
1273.641,1860.5454,
1270.731,1872.0328,
1267.820,1834.7363,
1264.909,1797.6209,
1261.999,1798.7663,
1259.088,1806.0633,
1256.178,1801.3613,
1253.267,1802.8016,
1250.356,1772.3463,
1247.446,1747.5256,
1244.535,1726.625,
1241.625,1709.6741,
1238.714,1704.2546,
1235.804,1699.0971,
1232.893,1688.8775,
1229.982,1677.2547,
1227.072,1670.0122,
1224.161,1640.9229,
1221.251,1650.3902,
1218.340,1592.0144,
1215.430,1586.1278,
1212.519,1585.9565,
1209.608,1552.8931,
1206.698,1547.0533,
1203.787,1555.4347,
1200.877,1561.1129,
1197.966,1571.0037,
1195.055,1597.0975,
1192.145,1691.6612,
1189.234,1759.13,
1186.324,1820.413,
1183.413,1862.8909,
1180.503,1895.7589,
1177.592,1916.9642,
1174.681,1846.4281,
1171.771,1873.4794,
1168.860,1872.5863,
1165.950,1837.8296,
1163.039,1849.7537,
1160.129,1870.2971,
1157.218,1878.0193,
1154.307,1893.0831,
1151.397,1919.5,
1148.486,1926.3934,
1145.576,1964.3821,
1142.665,1938.6326,
1139.754,1936.5,
1136.844,1932.9985,
1133.933,1945.5761,
1131.023,1914.8998,
1128.112,1859.8585,
1125.202,1846.6063,
1122.291,1853.6091,
1119.380,1812.7165,
1116.470,1834.7797,
1113.559,1786.4656,
1110.649,1742.6868,
1107.738,1740.8955,
1104.828,1749.5873,
1101.917,1740.4702,
1099.006,1726.2217,
1096.096,1715.5538,
1093.185,1716.4318,
1090.275,1769.1026,
1087.364,1797.2808,
1084.453,1823.6238,
1081.543,1843.3204,
1078.632,1853.8875,
1075.722,1865.9448,
1072.811,1873.9559,
1069.901,1838.1522,
1066.990,1832.2667,
1064.079,1817.8897,
1061.169,1787.1987,
1058.258,1778.0871,
1055.348,1786.3269,
1052.437,1767.0723,
1049.527,1745.7755,
1046.616,1778.791,
1043.705,1755.5232,
1040.795,1746.223,
1037.884,1755.6148,
1034.974,1758.424,
1032.063,1750.5537,
1029.153,1762.9807,
1026.242,1758.6559,
1023.331,1735.1682,
1020.421,1792.542,
1017.510,1827.3439,
1014.600,1837.3064,
1011.689,1847.3462,
1008.778,1859.7932,
1005.868,1861.2606,
1002.957,1834.5896,
1000.047,1911.308,
997.136,1973.2156,
994.226,1984.3463,
991.315,1968.9777,
988.404,1953.9887,
985.494,1894.1548,
982.583,1878.7367,
979.673,1888.938,
976.762,1887.629,
973.852,1873.7758,
970.941,1857.6471,
968.030,1843.3901,
965.120,1814.7613,
962.209,1876.9969,
959.299,1883.2505,
956.388,1874.7804,
953.477,1894.9837,
950.567,1928.3629,
947.656,1923.288,
944.746,1952.1729,
941.835,1938.9234,
938.925,1952.6093,
936.014,1970.6049,
933.103,1977.7345,
930.193,1970.9044,
927.282,1954.9877,
924.372,1927.0826,
921.461,1938.9644,
918.551,1911.9677,
915.640,1877.0265,
912.729,1863.3785,
909.819,1867.0543,
906.908,1856.1028,
903.998,1872.998,
901.087,1867.9524,
898.176,1852.0017,
895.266,1844.6262,
892.355,1853.9712,
889.445,1856.489,
886.534,1904.9226,
883.624,1902.389,
880.713,1906.7071,
877.802,1911.9839,
874.892,1880.5192,
871.981,1774.2782,
869.071,1595.4998,
866.160,1570.7096,
863.250,1695.115,
860.339,1823.7567,
857.428,1878.1179,
854.518,1966.6595,
851.607,1868.4754,
848.697,1782.7183,
845.786,1756.6897,
842.875,1778.2783,
839.965,1836.4425,
837.054,1959.9373,
834.144,1998.8886,
831.233,2043.164,
828.323,2042.7063,
825.412,2039.2762,
822.501,2071.3085,
819.591,2064.6973,
816.680,2043.6666,
813.770,2022.8374,
810.859,1980.1082,
807.949,1942.2561,
805.038,1949.0022,
802.127,1944.8866,
799.217,1904.9943,
796.306,1885.2567,
793.396,1894.1261,
790.485,1912.3413,
787.574,1901.621,
784.664,1931.145,
781.753,1974.7461,
778.843,2012.6132,
775.932,2023.5495,
773.022,2005.6556,
770.111,2019.5544,
767.200,1961.8789,
764.290,1966.0372,
761.379,1970.2901,
758.469,1946.6869,
755.558,1929.3023,
752.648,1956.1842,
749.737,1937.9996,
746.826,1932.4933,
743.916,1943.5715,
741.005,1946.7313,
738.095,1904.5137,
735.184,1842.2952,
732.274,1807.4044,
729.363,1817.6825,
726.452,1858.6229,
723.542,1853.7666,
720.631,1926.1312,
717.721,1962.8211,
714.810,1983.3977,
711.899,2001.3812,
708.989,2009.4504,
706.078,2031.9365,
703.168,2024.1411,
700.257,2007.6611,
697.347,1992.5874,
694.436,1978.3254,
691.525,1971.895,
688.615,1981.1915,
685.704,1979.2978,
682.794,1993.5423,
679.883,2076.9057,
676.973,2108.1591,
674.062,2073.0247,
671.151,2054.3216,
668.241,2056.688,
665.330,2044.5378,
662.420,2045.3365,
659.509,2021.3726,
656.598,2020.0497,
653.688,2068.706,
650.777,2176.041,
647.867,2162.5034,
644.956,2131.6382,
642.046,2060.6022,
639.135,1993.094,
636.224,2025.6114,
633.314,2047.8417,
630.403,2051.7264,
627.493,2054.7248,
624.582,2051.9651,
621.672,2009.1975,
618.761,2012.8196,
615.850,2077.8636,
612.940,2116.8632,
610.029,2090.1326,
607.119,2075.9192,
604.208,2105.7406,
601.297,2139.9363,
598.387,2127.6774,
595.476,2043.8714,
592.566,2047.8067,
589.655,2103.5707,
586.745,2113.1035,
583.834,2083.4258,
580.923,2072.6516,
578.013,2097.7631,
575.102,2110.8095,
572.192,2120.502,
569.281,2135.5458,
566.371,2169.1986,
563.460,2156.9797,
560.549,2165.1184,
557.639,2201.7165,
554.728,2257.7755,
551.818,2230.4644,
548.907,2214.14,
545.996,2205.5561,
543.086,2197.6349,
540.175,2175.0542,
537.265,2177.8457,
534.354,2165.9544,
531.444,2162.8103,
528.533,2190.5485,
525.622,2205.2915,
522.712,2198.1852,
519.801,2146.82,
516.891,2083.5773,
513.980,2128.4865,
511.070,2136.0217,
508.159,2134.157,
505.248,2137.0094,
502.338,2156.613,
499.427,2160.4721,
496.517,2167.7222,
493.606,2185.9597,
490.695,2211.9651,
487.785,2208.1161,
484.874,2166.1417,
481.964,2143.9153,
479.053,2133.8362,
476.143,2089.2944,
473.232,2133.9806,
470.321,2152.9866,
467.411,2145.6489,
464.500,2123.043,
461.590,2144.4837,
458.679,2149.9497,
455.769,2153.2808,
452.858,2165.7949,
449.947,2207.0472,
447.037,2195.4769,
444.126,2185.8273,
441.216,2189.2511,
438.305,2176.2983,
435.395,2221.7058,
432.484,2203.1578,
429.573,2144.985,
426.663,2155.627,
423.752,1989.1194,
420.842,1774.9273,
417.931,1559.9587,
415.020,1396.1534,
412.110,1725.5788,
409.199,2023.0719,
406.289,2204.7621,
403.378,2202.2541,
400.468,2129.6786,
397.557,2095.7029,
394.646,2098.6979,
391.736,2136.2143,
388.825,2189.7647,
385.915,2199.6459,
383.004,2184.506,
380.094,2161.1507,
377.183,2193.5072,
374.272,2216.0695,
371.362,2231.6206,
368.451,2239.6764,
365.541,2209.6549,
362.630,2200.9538,
359.719,2221.5137,
356.809,2267.694,
353.898,2204.795,
350.988,2205.9445,
348.077,2238.3437,
345.167,2275.1861,
342.256,2190.0203,
339.345,2208.0146,
336.435,2236.8946,
333.524,2214.5235,
330.614,2215.2686,
327.703,2266.3271,
324.793,2302.8994,
321.882,2269.6298,
318.971,2323.1577,
316.061,2345.8948,
313.150,2351.8857,
310.240,2356.3384,
307.329,2394.3758,
304.418,2429.5619,
301.508,2469.6477,
298.597,2530.3619,
295.687,2481.3208,
292.776,2491.7502,
289.866,2565.0751,
286.955,2672.1903,
284.044,2681.175,
281.134,2748.225,
278.223,2869.7934,
275.313,2878.6356,
272.402,2939.7521,
269.492,2963.4888,
266.581,2921.2388,
263.670,2903.5945,
260.760,2964.8427,
257.849,3031.6591,
254.939,3049.2722,
252.028,3070.4915,
249.117,3059.3132,
246.207,3043.887,
243.296,3072.4365,
240.386,3097.0487,
237.475,3109.6526,
234.565,3118.0569,
231.654,3159.6888,
228.743,3151.8143,
225.833,3120.2915,
222.922,3074.6654,
220.012,3035.3234,
217.101,3043.1101,
214.191,3047.0152,
211.280,2988.8182,
208.369,2975.7534,
205.459,2954.3322,
202.548,2929.5028,
199.638,2935.308,
196.727,2904.8081,
193.816,2898.6583,
190.906,2936.316,
187.995,2874.0499,
185.085,2838.7872,
182.174,2812.5305,
179.264,2772.0556,
176.353,2786.7234,
173.442,2816.7156,
170.532,2841.9313,
167.621,2768.3918,
164.711,2693.3154,
161.800,2560.4316,
158.890,2317.1636,
155.979,2184.306,
153.068,2050.2003,
150.158,1885.0303,
147.247,1594.2596,
144.337,1323.1735,
141.426,1045.1593,
138.516,746.93256,
135.605,543.1523,
132.694,376.58459,
129.784,247.02996,
126.873,167.65055,
123.963,117.35579,
121.052,80.73501,
118.141,53.606734,
115.231,41.420304,
112.320,33.958184,
109.410,29.818224,
106.499,26.257448,
103.589,20.45771,
100.678,16.771622,
97.767,17.482559,
94.857,14.035055,
91.946,16.531109,
89.036,21.258123,
86.125,13.456865,
83.215,12.03092,
80.304,9.6268078,
77.393,1.1287685,
74.483,5.0859447,
71.572,6.4129437,
68.662,4.22293,
65.751,1.3971257,
62.840,5.7987218,
59.930,9.8144242,
57.019,3.4686863,
54.109,0.70851746,
51.198,0.7064371,
48.288,3.5226498,
45.377,6.336162,
42.466,4.2022453,
