,PL36EA~1,
Wavenumbers [1/cm],Intensity,
1835.383,123.83751,
1832.472,127.91913,
1829.562,145.52682,
1826.651,147.44867,
1823.740,143.58812,
1820.830,147.12996,
1817.919,148.5,
1815.009,119.38805,
1812.098,148.61021,
1809.188,185.32938,
1806.277,136.65086,
1803.366,133.25046,
1800.456,119.54419,
1797.545,139.25168,
1794.635,154.30697,
1791.724,142.14074,
1788.813,158.90437,
1785.903,161.00977,
1782.992,121.08569,
1780.082,81.662391,
1777.171,-40.524656,
1774.261,-97.824301,
1771.350,-1.0909845,
1768.439,99.612695,
1765.529,167.7741,
1762.618,164.42185,
1759.708,145.3695,
1756.797,164.7803,
1753.887,200.03936,
1750.976,205.78272,
1748.065,173.62136,
1745.155,173.38375,
1742.244,178.20291,
1739.334,171.39177,
1736.423,196.34856,
1733.512,203.13413,
1730.602,213.46827,
1727.691,212.89404,
1724.781,231.16441,
1721.870,217.1856,
1718.960,242.92259,
1716.049,205.03434,
1713.138,203.33997,
1710.228,205.3703,
1707.317,233.80628,
1704.407,233.00801,
1701.496,234.3231,
1698.586,237.27195,
1695.675,274.92834,
1692.764,233.00407,
1689.854,221.88976,
1686.943,250.48823,
1684.033,259.30131,
1681.122,270.31308,
1678.211,261.58566,
1675.301,258.50925,
1672.390,274.42224,
1669.480,248.5,
1666.569,249.05862,
1663.659,292.01003,
1660.748,262.69282,
1657.837,272.78431,
1654.927,285.92172,
1652.016,302.86822,
1649.106,278.18547,
1646.195,306.21929,
1643.285,335.77344,
1640.374,345.93206,
1637.463,273.81506,
1634.553,345.899,
1631.642,372.40228,
1628.732,363.55333,
1625.821,372.51047,
1622.911,388.40984,
1620.000,427.00865,
1617.089,419.6592,
1614.179,409.78201,
1611.268,460.52957,
1608.358,454.87458,
1605.447,512.95762,
1602.536,485.74773,
1599.626,516.61758,
1596.715,541.28243,
1593.805,521.1417,
1590.894,517.61933,
1587.984,541.75058,
1585.073,484.24119,
1582.162,554.48394,
1579.252,518.12873,
1576.341,499.29043,
1573.431,511.59713,
1570.520,459.70048,
1567.610,490.93212,
1564.699,481.39893,
1561.788,456.71141,
1558.878,452.54829,
1555.967,429.05541,
1553.057,427.34472,
1550.146,424.28184,
1547.235,426.76457,
1544.325,461.34212,
1541.414,469.45851,
1538.504,447.73775,
1535.593,420.97108,
1532.683,426.8479,
1529.772,451.61881,
1526.861,430.00453,
1523.951,424.50875,
1521.040,454.78715,
1518.130,470.19521,
1515.219,513.17987,
1512.309,506.84681,
1509.398,467.41076,
1506.487,441.13781,
1503.577,445.67203,
1500.666,475.67991,
