,PLD3C3~1,
2740.573,452.81086,
2737.662,451.82174,
2734.751,450.58378,
2731.841,449.26694,
2728.930,446.09099,
2726.020,459.03819,
2723.109,449.28233,
2720.199,462.31558,
2717.288,478.61953,
2714.377,475.05434,
2711.467,480.96511,
2708.556,476.59858,
2705.646,484.74123,
2702.735,513.54253,
2699.825,503.12586,
2696.914,500.28001,
2694.003,507.53109,
2691.093,515.82145,
2688.182,498.80981,
2685.272,508.10046,
2682.361,493.7691,
2679.450,505.70006,
2676.540,490.9644,
2673.629,510.74724,
2670.719,506.22159,
2667.808,511.47227,
2664.898,522.69991,
2661.987,511.07503,
2659.076,514.12069,
2656.166,519.74723,
2653.255,527.19302,
2650.345,520.72709,
2647.434,526.77569,
2644.524,547.35579,
2641.613,546.91806,
2638.702,533.64328,
2635.792,528.99814,
2632.881,534.13706,
2629.971,536.97237,
2627.060,525.70563,
2624.149,550.13125,
2621.239,542.85425,
2618.328,540.29023,
2615.418,540.36591,
2612.507,543.1339,
2609.597,552.36502,
2606.686,546.51758,
2603.775,556.81548,
2600.865,558.375,
2597.954,575.7104,
2595.044,582.04462,
2592.133,570.97999,
2589.223,584.88133,
2586.312,585.57097,
2583.401,585.98812,
2580.491,585.90864,
2577.580,575.37995,
2574.670,576.1611,
2571.759,585.78937,
2568.848,578.61799,
2565.938,601.89898,
2563.027,582.39997,
2560.117,597.00118,
2557.206,613.12777,
2554.296,583.77775,
2551.385,593.18498,
2548.474,610.07909,
2545.564,626.12176,
2542.653,644.27098,
2539.743,608.97974,
2536.832,597.35444,
2533.922,626.59577,
2531.011,639.55007,
2528.100,632.04397,
2525.190,634.49016,
2522.279,637.29635,
2519.369,617.48808,
2516.458,610.70007,
2513.548,629.69278,
2510.637,651.375,
2507.726,654.18542,
2504.816,649.12359,
2501.905,670.40366,
2498.995,668.43472,
2496.084,664.46905,
2493.173,647.84851,
2490.263,655.34112,
2487.352,655.45847,
2484.442,662.21653,
2481.531,662.26342,
2478.621,662.12385,
2475.710,671.398,
2472.799,672.8952,
2469.889,662.55781,
2466.978,663.59143,
2464.068,698.93596,
2461.157,678.22978,
2458.247,715.375,
2455.336,715.375,
2452.425,686.84667,
2449.515,711.60162,
2446.604,720.375,
2443.694,709.3281,
2440.783,726.47523,
2437.872,730.08328,
2434.962,716.85888,
2432.051,723.80751,
2429.141,733.85164,
2426.230,710.61363,
2423.320,735.36033,
2420.409,747.97122,
2417.498,738.78511,
2414.588,756.81217,
2411.677,748.44672,
2408.767,753.41043,
2405.856,763.31309,
2402.946,759.58322,
2400.035,769.0628,
2397.124,762.5996,
2394.214,767.2946,
2391.303,765.87229,
2388.393,755.64243,
2385.482,748.63937,
2382.571,712.84298,
2379.661,738.02593,
2376.750,755.3233,
2373.840,780.61237,
2370.929,786.39666,
2368.019,802.2186,
2365.108,807.2572,
2362.197,818.79142,
2359.287,794.02179,
2356.376,820.31865,
2353.466,828.69532,
2350.555,808.04038,
2347.645,809.5737,
2344.734,807.2552,
2341.823,823.14283,
2338.913,845.11229,
2336.002,837.24092,
2333.092,848.92687,
2330.181,847.65632,
2327.270,832.3651,
2324.360,840.91273,
2321.449,850.19134,
2318.539,871.56768,
2315.628,873.40058,
2312.718,857.12609,
2309.807,874.05813,
2306.896,882.11522,
2303.986,870.97883,
2301.075,865.69413,
2298.165,880.34638,
2295.254,869.6766,
2292.344,899.42896,
2289.433,882.95409,
2286.522,875.26327,
2283.612,885.23469,
2280.701,911.07001,
2277.791,898.29485,
2274.880,892.52307,
2271.969,898.87707,
2269.059,924.67199,
2266.148,904.05447,
2263.238,903.77268,
2260.327,943.30576,
2257.417,921.06833,
2254.506,936.94764,
2251.595,925.95323,
2248.685,926.26729,
2245.774,934.68258,
2242.864,957.8937,
2239.953,959.23029,
2237.043,936.81643,
2234.132,939.88147,
2231.221,950.05978,
2228.311,963.68298,
2225.400,983.23427,
2222.490,982.83112,
2219.579,995.53692,
2216.669,989.83923,
2213.758,1009.1162,
2210.847,1002.4783,
2207.937,1020.4792,
2205.026,1018.04,
2202.116,1055.771,
2199.205,1024.8882,
2196.294,1014.747,
2193.384,1015.2435,
2190.473,1037.5405,
2187.563,1037.4523,
2184.652,1049.3085,
2181.742,1033.7623,
2178.831,1051.375,
2175.920,1026.8941,
2173.010,1041.2775,
2170.099,1071.5729,
2167.189,1061.7194,
2164.278,1107.0273,
2161.368,1095.3748,
2158.457,1100.375,
2155.546,1109.9048,
2152.636,1105.5293,
2149.725,1092.0529,
2146.815,1113.5741,
2143.904,1142.1817,
2140.993,1157.4438,
2138.083,1160.9403,
2135.172,1164.4422,
2132.262,1163.2597,
2129.351,1151.5163,
2126.441,1174.6469,
2123.530,1180.3301,
2120.619,1170.733,
2117.709,1136.1661,
2114.798,1139.1519,
2111.888,1135.7627,
2108.977,1142.8187,
2106.067,1155.442,
2103.156,1164.4137,
2100.245,1112.3963,
2097.335,1147.9404,
2094.424,1162.2472,
2091.514,1169.5873,
2088.603,1162.5778,
2085.692,1160.1482,
2082.782,1177.6319,
2079.871,1193.4112,
2076.961,1172.9249,
2074.050,1171.9871,
2071.140,1166.6277,
2068.229,1175.9258,
2065.318,1168.2267,
2062.408,1186.5648,
2059.497,1195.3512,
2056.587,1174.6078,
2053.676,1179.1744,
2050.766,1189.6822,
2047.855,1179.8339,
2044.944,1164.3013,
2042.034,1177.4501,
2039.123,1176.3986,
2036.213,1206.0683,
2033.302,1215.6791,
2030.391,1214.5618,
2027.481,1203.3994,
2024.570,1218.3889,
2021.660,1200.6758,
2018.749,1221.2108,
2015.839,1243.4511,
2012.928,1244.3985,
2010.017,1230.2187,
2007.107,1236.932,
2004.196,1215.5535,
2001.286,1239.8378,
1998.375,1240.0197,
1995.465,1254.5464,
1992.554,1241.2164,
1989.643,1247.0639,
1986.733,1241.3215,
1983.822,1243.9016,
1980.912,1259.6815,
1978.001,1231.2822,
1975.090,1216.5552,
1972.180,1219.5479,
1969.269,1237.0188,
1966.359,1264.1049,
1963.448,1270.1055,
1960.538,1259.0139,
1957.627,1243.0004,
1954.716,1230.691,
1951.806,1300.7356,
1948.895,1268.3548,
1945.985,1259.741,
1943.074,1243.5597,
1940.164,1219.0866,
1937.253,1224.6793,
1934.342,1232.8964,
1931.432,1264.8166,
1928.521,1262.3474,
1925.611,1273.8812,
1922.700,1246.9689,
1919.790,1256.3228,
1916.879,1223.0952,
1913.968,1238.3529,
1911.058,1307.0717,
1908.147,1258.1166,
1905.237,1243.7721,
1902.326,1250.1217,
1899.415,1243.364,
1896.505,1215.2968,
1893.594,1223.564,
1890.684,1207.3097,
1887.773,1238.8742,
1884.863,1274.8556,
1881.952,1302.9973,
1879.041,1276.0635,
1876.131,1289.6207,
1873.220,1267.4811,
1870.310,1283.7965,
1867.399,1269.6309,
1864.489,1245.4265,
1861.578,1275.3912,
1858.667,1311.4409,
1855.757,1299.3571,
1852.846,1315.8571,
1849.936,1292.376,
1847.025,1272.6061,
1844.114,1313.5045,
1841.204,1335.0988,
1838.293,1319.3783,
1835.383,1310.2705,
1832.472,1335.8063,
1829.562,1342.6825,
1826.651,1331.6399,
1823.740,1333.2869,
1820.830,1297.3353,
1817.919,1335.2376,
1815.009,1295.001,
1812.098,1333.9498,
1809.188,1356.2587,
1806.277,1307.5037,
1803.366,1319.9425,
1800.456,1295.8588,
1797.545,1325.9847,
1794.635,1368.924,
1791.724,1351.5498,
1788.813,1353.3827,
1785.903,1360.9604,
1782.992,1307.1067,
1780.082,1260.2818,
1777.171,1109.3514,
1774.261,1074.3011,
1771.350,1202.784,
1768.439,1308.5948,
1765.529,1378.1935,
1762.618,1391.0038,
1759.708,1375.2986,
1756.797,1360.1326,
1753.887,1379.5295,
1750.976,1367.3266,
1748.065,1375.4948,
1745.155,1411.091,
1742.244,1402.8488,
1739.334,1389.6362,
1736.423,1417.3432,
1733.512,1430.8303,
1730.602,1430.627,
1727.691,1420.3954,
1724.781,1453.5575,
1721.870,1454.5226,
1718.960,1467.1752,
1716.049,1404.096,
1713.138,1452.0797,
1710.228,1436.2661,
1707.317,1429.7213,
1704.407,1453.6317,
1701.496,1448.1711,
1698.586,1444.603,
1695.675,1460.282,
1692.764,1426.3463,
1689.854,1447.3356,
1686.943,1454.1726,
1684.033,1479.7293,
1681.122,1467.5959,
1678.211,1487.1847,
1675.301,1506.3164,
1672.390,1479.2823,
1669.480,1448.6157,
1666.569,1479.0098,
1663.659,1528.5057,
1660.748,1536.24,
1657.837,1529.8343,
1654.927,1549.7893,
1652.016,1526.2012,
1649.106,1560.7459,
1646.195,1615.0393,
1643.285,1602.2637,
1640.374,1640.2496,
1637.463,1634.9695,
1634.553,1667.6114,
1631.642,1683.1796,
1628.732,1665.4283,
1625.821,1674.3986,
1622.911,1710.1721,
1620.000,1760.7325,
1617.089,1731.972,
1614.179,1805.2317,
1611.268,1828.5571,
1608.358,1873.2211,
1605.447,1925.3468,
1602.536,1892.9633,
1599.626,1936.3716,
1596.715,1995.7387,
1593.805,1967.3904,
1590.894,1956.3296,
1587.984,2016.8675,
1585.073,1939.5917,
1582.162,1957.7704,
1579.252,1957.8286,
1576.341,1925.9346,
1573.431,1935.6048,
1570.520,1965.5994,
1567.610,1950.2766,
1564.699,1930.7745,
1561.788,1941.1636,
1558.878,1954.2026,
1555.967,1878.0952,
1553.057,1859.0644,
1550.146,1883.0513,
1547.235,1888.0137,
1544.325,1920.3069,
1541.414,1924.2327,
1538.504,1906.9164,
1535.593,1919.0871,
1532.683,1889.4889,
1529.772,1868.5433,
1526.861,1899.9494,
1523.951,1916.4837,
1521.040,1946.1256,
1518.130,1940.8385,
1515.219,1983.2139,
1512.309,1996.6001,
1509.398,1926.9605,
1506.487,1942.4855,
1503.577,1931.9843,
1500.666,1990.9806,
1497.756,1928.3416,
1494.845,1974.9742,
1491.934,1941.4443,
1489.024,1962.6191,
1486.113,1974.5016,
1483.203,1969.1578,
1480.292,1952.2533,
1477.382,2015.6514,
1474.471,1961.5435,
1471.560,1932.3927,
1468.650,1936.891,
1465.739,1935.2511,
1462.829,1948.4891,
1459.918,1946.1152,
1457.008,1931.3134,
1454.097,1925.9885,
1451.186,1942.6729,
1448.276,1942.1782,
1445.365,1890.3023,
1442.455,1881.6614,
1439.544,1892.0934,
1436.633,1874.7444,
1433.723,1895.8735,
1430.812,1899.6705,
1427.902,1902.8338,
1424.991,1880.0875,
1422.081,1897.7245,
1419.170,1857.036,
1416.259,1883.5876,
1413.349,1912.5217,
1410.438,1891.3838,
1407.528,1919.287,
1404.617,1967.7958,
1401.707,1943.4498,
1398.796,1899.7107,
1395.885,1889.6545,
1392.975,1880.479,
1390.064,1887.7962,
1387.154,1917.7018,
1384.243,1906.3413,
1381.332,1922.055,
1378.422,1894.4089,
1375.511,1875.6733,
1372.601,1926.0614,
1369.690,1921.8028,
1366.780,1924.3352,
1363.869,1965.3312,
1360.958,1967.1707,
1358.048,1954.4419,
1355.137,1962.9914,
1352.227,1987.6431,
1349.316,2012.7069,
1346.406,2022.266,
1343.495,2014.3646,
1340.584,2018.7325,
1337.674,1993.9446,
1334.763,1968.092,
1331.853,2039.4888,
1328.942,2009.4648,
1326.032,2021.6874,
1323.121,2015.0015,
1320.210,2007.3795,
1317.300,2026.0331,
1314.389,2058.8754,
1311.479,2071.5692,
1308.568,2073.9956,
1305.657,2078.1367,
1302.747,2076.2663,
1299.836,2179.1809,
1296.926,2158.4687,
1294.015,2203.5156,
1291.105,2221.2248,
1288.194,2227.3687,
1285.283,2214.0549,
1282.373,2207.7422,
1279.462,2203.5319,
1276.552,2209.6664,
1273.641,2209.746,
1270.731,2175.0272,
1267.820,2136.4911,
1264.909,2142.814,
1261.999,2104.8383,
1259.088,2172.3353,
1256.178,2198.6429,
1253.267,2180.1263,
1250.356,2190.3063,
1247.446,2218.3237,
1244.535,2188.2724,
1241.625,2156.2935,
1238.714,2179.7341,
1235.804,2187.8459,
1232.893,2180.6277,
1229.982,2169.5096,
1227.072,2203.0061,
1224.161,2197.8105,
1221.251,2165.8501,
1218.340,2126.2235,
1215.430,2115.3298,
1212.519,2110.3198,
1209.608,2101.5013,
1206.698,2105.8857,
1203.787,2098.0282,
1200.877,2049.5481,
1197.966,2084.6153,
1195.055,2135.0102,
1192.145,2134.3589,
1189.234,2198.8494,
1186.324,2225.0104,
1183.413,2211.0755,
1180.503,2230.0064,
1177.592,2254.5866,
1174.681,2177.8647,
1171.771,2235.8599,
1168.860,2213.5326,
1165.950,2216.2127,
1163.039,2189.4389,
1160.129,2159.6793,
1157.218,2155.5475,
1154.307,2176.2478,
1151.397,2186.2085,
1148.486,2164.718,
1145.576,2206.375,
1142.665,2206.375,
1139.754,2181.1525,
1136.844,2201.2862,
1133.933,2211.202,
1131.023,2213.2076,
1128.112,2209.5903,
1125.202,2201.9644,
1122.291,2212.8656,
1119.380,2188.7994,
1116.470,2232.0433,
1113.559,2228.8693,
1110.649,2202.1457,
1107.738,2189.9108,
1104.828,2205.3546,
1101.917,2228.4461,
1099.006,2233.375,
1096.096,2232.4612,
1093.185,2217.5351,
1090.275,2230.9419,
1087.364,2204.8717,
1084.453,2202.0618,
1081.543,2205.5546,
1078.632,2210.3438,
1075.722,2230.8018,
1072.811,2216.1196,
1069.901,2226.5988,
1066.990,2200.7001,
1064.079,2220.2345,
1061.169,2239.5549,
1058.258,2240.7167,
1055.348,2231.4354,
1052.437,2216.5036,
1049.527,2177.382,
1046.616,2203.4469,
1043.705,2194.0428,
1040.795,2200.5911,
1037.884,2241.7766,
1034.974,2239.1327,
1032.063,2190.2053,
1029.153,2231.4669,
1026.242,2207.2481,
1023.331,2182.2099,
1020.421,2225.475,
1017.510,2245.2544,
1014.600,2230.8412,
1011.689,2218.6465,
1008.778,2221.9131,
1005.868,2149.4291,
1002.957,2155.4515,
1000.047,2216.799,
997.136,2252.8835,
994.226,2297.1745,
991.315,2329.4146,
988.404,2300.9703,
985.494,2283.1832,
982.583,2274.6176,
979.673,2237.5243,
976.762,2232.0073,
973.852,2244.4472,
970.941,2248.3365,
968.030,2235.4733,
965.120,2230.5146,
962.209,2263.7638,
959.299,2262.2925,
956.388,2270.0143,
953.477,2277.5529,
950.567,2276.375,
947.656,2284.3966,
944.746,2345.5646,
941.835,2336.2278,
938.925,2343.2458,
936.014,2335.2235,
933.103,2335.7926,
930.193,2349.7879,
927.282,2306.046,
924.372,2281.5234,
921.461,2293.103,
918.551,2258.2906,
915.640,2242.9732,
912.729,2255.4712,
909.819,2235.7052,
906.908,2207.9052,
903.998,2238.9849,
901.087,2258.8321,
898.176,2257.7399,
895.266,2268.4189,
892.355,2296.8102,
889.445,2229.6688,
886.534,2272.7883,
883.624,2298.8686,
880.713,2271.6501,
877.802,2208.5415,
874.892,2129.0042,
871.981,2011.0484,
869.071,1785.487,
866.160,1825.7204,
863.250,2019.6842,
860.339,2179.4838,
857.428,2206.4619,
854.518,2196.1604,
851.607,2119.61,
848.697,2008.0172,
845.786,1944.1733,
842.875,1998.0324,
839.965,2149.1571,
837.054,2231.0355,
834.144,2289.877,
831.233,2330.0396,
828.323,2330.527,
825.412,2318.6287,
822.501,2322.7792,
819.591,2319.4736,
816.680,2318.5737,
813.770,2339.0496,
810.859,2312.5683,
807.949,2273.3677,
805.038,2290.7909,
802.127,2261.1583,
799.217,2236.7587,
796.306,2239.0237,
793.396,2261.5584,
790.485,2281.7951,
787.574,2270.9906,
784.664,2339.88,
781.753,2344.3232,
778.843,2334.494,
775.932,2347.2018,
773.022,2385.0639,
770.111,2357.2662,
767.200,2342.4327,
764.290,2320.4608,
761.379,2329.0377,
758.469,2361.7472,
755.558,2359.7883,
752.648,2373.6366,
749.737,2375.0694,
746.826,2340.8071,
743.916,2314.6609,
741.005,2350.9602,
738.095,2391.5541,
735.184,2385.6491,
732.274,2367.1758,
729.363,2335.2099,
726.452,2294.7438,
723.542,2280.1747,
720.631,2303.0757,
717.721,2322.9776,
714.810,2333.1364,
711.899,2336.6324,
708.989,2346.3155,
706.078,2347.9776,
703.168,2328.9439,
700.257,2306.4733,
697.347,2293.4618,
694.436,2297.2877,
691.525,2294.0725,
688.615,2287.7148,
685.704,2297.3258,
682.794,2317.4175,
679.883,2326.6541,
676.973,2310.6267,
674.062,2348.2123,
671.151,2348.5818,
668.241,2338.1966,
665.330,2394.5934,
662.420,2314.7202,
659.509,2280.5969,
656.598,2286.8195,
653.688,2324.478,
650.777,2378.78,
647.867,2390.725,
644.956,2325.8876,
642.046,2232.9648,
639.135,2175.4669,
636.224,2232.6177,
633.314,2281.048,
630.403,2322.9355,
627.493,2337.998,
624.582,2334.4956,
621.672,2357.4634,
618.761,2362.9346,
615.850,2383.6596,
612.940,2405.8642,
610.029,2419.6902,
607.119,2427.5865,
604.208,2402.8145,
601.297,2418.2979,
598.387,2431.4766,
595.476,2394.6211,
592.566,2344.2488,
589.655,2371.009,
586.745,2391.6769,
583.834,2385.6896,
580.923,2358.0812,
578.013,2309.4277,
575.102,2296.375,
572.192,2317.0975,
569.281,2363.514,
566.371,2414.3845,
563.460,2410.2039,
560.549,2424.4043,
557.639,2441.2265,
554.728,2435.0301,
551.818,2429.5679,
548.907,2405.8267,
545.996,2409.2593,
543.086,2431.8388,
540.175,2406.1435,
537.265,2426.8277,
534.354,2421.8294,
531.444,2410.0469,
528.533,2415.2027,
525.622,2426.8419,
522.712,2416.0264,
519.801,2387.8991,
516.891,2361.3832,
513.980,2386.1606,
511.070,2376.4011,
508.159,2365.6442,
505.248,2354.3678,
502.338,2338.9006,
499.427,2322.6921,
496.517,2349.4861,
493.606,2370.3466,
490.695,2366.1937,
487.785,2379.2802,
484.874,2358.7572,
481.964,2330.1791,
479.053,2309.2136,
476.143,2316.8932,
473.232,2310.9004,
470.321,2301.5629,
467.411,2292.0957,
464.500,2285.0453,
461.590,2272.0277,
458.679,2282.6827,
455.769,2300.3612,
452.858,2316.6359,
449.947,2347.9571,
447.037,2282.7773,
444.126,2254.8598,
441.216,2284.2584,
438.305,2272.0675,
435.395,2267.0968,
432.484,2261.6242,
429.573,2237.9148,
426.663,2158.8602,
423.752,1921.5293,
420.842,1623.63,
417.931,1351.7453,
415.020,1222.8244,
412.110,1626.6151,
409.199,1916.2281,
406.289,2058.4393,
403.378,2046.0702,
400.468,1956.1069,
397.557,1985.9881,
394.646,2089.0492,
391.736,2219.1959,
388.825,2244.8398,
385.915,2250.7784,
383.004,2245.0919,
380.094,2234.4134,
377.183,2235.1659,
374.272,2207.1504,
371.362,2208.0985,
368.451,2265.9161,
365.541,2241.8989,
362.630,2238.6524,
359.719,2236.6395,
356.809,2222.7471,
353.898,2179.3168,
350.988,2214.0289,
348.077,2224.3341,
345.167,2153.9805,
342.256,2165.9336,
339.345,2173.095,
336.435,2173.3215,
333.524,2165.8448,
330.614,2180.7479,
327.703,2191.5359,
324.793,2183.9699,
321.882,2145.3912,
318.971,2152.0822,
316.061,2158.2815,
313.150,2158.9107,
310.240,2147.779,
307.329,2235.2753,
304.418,2254.4166,
301.508,2239.9042,
298.597,2256.9338,
295.687,2257.0205,
292.776,2269.2917,
289.866,2293.6026,
286.955,2323.1516,
284.044,2304.605,
281.134,2326.1821,
278.223,2378.2615,
275.313,2329.629,
272.402,2310.6615,
269.492,2285.3638,
266.581,2234.2853,
263.670,2093.1307,
260.760,2115.061,
257.849,2184.9497,
254.939,2220.91,
252.028,2219.2035,
249.117,2200.5587,
246.207,2200.2102,
243.296,2280.7342,
240.386,2292.64,
237.475,2310.895,
234.565,2331.7383,
231.654,2295.9495,
228.743,2305.0607,
225.833,2301.5204,
222.922,2265.7147,
220.012,2273.0003,
217.101,2252.3114,
214.191,2225.9708,
211.280,2217.9687,
208.369,2214.0109,
205.459,2202.3937,
202.548,2190.1327,
199.638,2206.097,
196.727,2180.5642,
193.816,2162.9873,
190.906,2169.5212,
187.995,2116.6674,
185.085,2099.7936,
182.174,2085.3126,
179.264,2026.0457,
176.353,1995.0254,
173.442,2008.9294,
170.532,2046.034,
167.621,1948.7023,
164.711,1862.4603,
161.800,1739.8067,
158.890,1539.0027,
155.979,1473.2286,
153.068,1360.1959,
150.158,1208.6556,
147.247,1075.1165,
144.337,876.41029,
141.426,673.66065,
138.516,494.43784,
135.605,355.74211,
132.694,251.48388,
129.784,174.24983,
126.873,112.03354,
123.963,76.043125,
121.052,49.876323,
118.141,28.459263,
115.231,31.217281,
112.320,23.05501,
109.410,11.602197,
106.499,18.011594,
103.589,13.212201,
100.678,10.547974,
97.767,16.235474,
94.857,16.375,
91.946,14.762557,
89.036,12.487898,
86.125,13.197103,
83.215,11.251319,
80.304,8.8961346,
77.393,7.4797948,
74.483,6.719865,
71.572,5.2879437,
68.662,3.3057325,
65.751,2.5992814,
62.840,6.2286159,
59.930,9.2512828,
57.019,5.0207909,
54.109,3.7778392,
51.198,3.6766093,
48.288,4.3976498,
45.377,7.211162,
42.466,4.2528066,
39.556,-1.2796443,
36.645,0.82692638,
33.735,1.375,
30.824,0.27056513,
27.914,-3.2353111,
25.003,-3.0023625,
22.092,-2.3020954,
19.182,-1.46482,
16.271,3.431611,
13.361,18.440197,
10.450,8.971735,
7.539,-150.24417,
4.629,-515.87708,
1.718,-887.40501,
-1.192,-1108.3998,
-4.103,-884.44216,
-7.013,-502.72889,
-9.924,-1.625,
