,PLAE70~1,
Wavenumbers [1/cm],Intensity,
1649.106,342.24481,
1646.195,353.46256,
1643.285,413.36459,
1640.374,427.22301,
1637.463,344.9908,
1634.553,399.28078,
1631.642,418.4126,
1628.732,456.11258,
1625.821,474.9928,
1622.911,464.06199,
1620.000,478.81102,
1617.089,487.8209,
1614.179,552.13873,
1611.268,575.18209,
1608.358,601.73578,
1605.447,673.71486,
1602.536,622.08677,
1599.626,674.11591,
1596.715,667.20118,
1593.805,671.36599,
1590.894,648.22191,
1587.984,651.92874,
1585.073,623.22141,
1582.162,596.29296,
1579.252,624.73204,
1576.341,610.37129,
1573.431,611.26539,
1570.520,595.41933,
1567.610,584.03912,
1564.699,589.97533,
1561.788,569.76079,
1558.878,594.82092,
1555.967,582.59142,
1553.057,543.12094,
1550.146,525.31274,
1547.235,524.18065,
1544.325,554.97319,
1541.414,537.49571,
1538.504,536.91097,
1535.593,563.15703,
1532.683,531.27392,
1529.772,519.11222,
1526.861,531.7348,
1523.951,532.51787,
1521.040,545.21403,
1518.130,540.41965,
1515.219,593.44057,
1512.309,572.76126,
1509.398,563.62937,
1506.487,543.27563,
1503.577,541.61648,
1500.666,551.33577,
1497.756,554.07628,
1494.845,554.59978,
1491.934,544.79842,
1489.024,483.19888,
1486.113,552.3956,
1483.203,534.01947,
1480.292,515.72679,
1477.382,523.50723,
1474.471,482.2594,
1471.560,477.70799,
1468.650,484.41637,
1465.739,490.48343,
1462.829,503.1459,
1459.918,537.62455,
1457.008,530.04577,
1454.097,512.09179,
1451.186,509.61315,
1448.276,481.72752,
1445.365,451.38942,
1442.455,421.2061,
1439.544,447.18618,
1436.633,431.90268,
1433.723,423.74472,
1430.812,436.29553,
1427.902,440.60884,
1424.991,466.19843,
1422.081,417.45624,
1419.170,453.61084,
1416.259,444.6088,
1413.349,425.89518,
1410.438,446.89185,
1407.528,438.68775,
1404.617,456.76928,
1401.707,445.20357,
1398.796,387.26232,
1395.885,374.66946,
1392.975,399.39564,
1390.064,395.12033,
1387.154,393.0833,
1384.243,348.82663,
1381.332,322.78268,
1378.422,312.0339,
1375.511,293.29828,
1372.601,376.8629,
1369.690,412.28834,
1366.780,408.28761,
1363.869,430.70022,
1360.958,422.17416,
1358.048,421.89968,
1355.137,462.69515,
1352.227,476.61427,
1349.316,466.49838,
1346.406,500.24285,
1343.495,525.29091,
1340.584,491.07135,
1337.674,494.07038,
1334.763,481.31681,
1331.853,568.47654,
1328.942,524.8584,
1326.032,570.3841,
1323.121,523.46381,
1320.210,534.9642,
1317.300,554.54139,
1314.389,562.13899,
1311.479,580.98048,
1308.568,602.23272,
1305.657,597.04266,
1302.747,581.73798,
1299.836,634.21132,
1296.926,650.12819,
1294.015,652.88616,
1291.105,603.68966,
1288.194,664.09441,
1285.283,644.48384,
1282.373,648.98431,
1279.462,664.39207,
1276.552,688.44103,
1273.641,705.54669,
1270.731,678.53431,
1267.820,639.41548,
1264.909,639.79109,
1261.999,631.19973,
1259.088,636.67245,
1256.178,675.54054,
1253.267,645.17462,
1250.356,642.8043,
1247.446,633.50528,
1244.535,639.36156,
1241.625,642.88892,
1238.714,636.20903,
1235.804,659.47088,
1232.893,652.50231,
1229.982,643.28788,
1227.072,681.31099,
1224.161,633.56977,
1221.251,600.92022,
1218.340,581.9872,
1215.430,602.97623,
1212.519,611.41722,
1209.608,589.32999,
1206.698,585.89379,
1203.787,600.08039,
1200.877,569.83879,
1197.966,599.51105,
1195.055,612.09223,
1192.145,655.32389,
1189.234,667.70242,
1186.324,689.36578,
1183.413,701.37563,
1180.503,709.52552,
1177.592,723.8784,
1174.681,668.30821,
1171.771,698.28848,
1168.860,710.79173,
1165.950,708.77484,
1163.039,696.82556,
1160.129,689.64058,
1157.218,709.63312,
1154.307,730.77385,
1151.397,727.52136,
1148.486,726.30258,
1145.576,710.30614,
1142.665,694.32371,
1139.754,749.14038,
1136.844,729.08577,
1133.933,719.69205,
1131.023,697.97892,
1128.112,688.92583,
1125.202,715.99519,
1122.291,695.0027,
1119.380,702.1559,
1116.470,718.04141,
1113.559,672.83181,
1110.649,665.54846,
1107.738,664.71346,
1104.828,654.75851,
1101.917,643.33717,
1099.006,642.6081,
1096.096,668.03244,
1093.185,652.22839,
1090.275,687.41716,
1087.364,678.16081,
1084.453,698.12321,
1081.543,701.1565,
1078.632,694.55009,
1075.722,736.00897,
1072.811,746.45586,
1069.901,710.65216,
1066.990,712.84999,
1064.079,689.5015,
1061.169,684.07531,
1058.258,686.0356,
1055.348,680.82417,
1052.437,676.85208,
1049.527,671.26853,
1046.616,678.21917,
1043.705,667.43852,
1040.795,665.27701,
1037.884,674.59754,
1034.974,680.02062,
1032.063,673.80773,
1029.153,675.40084,
1026.242,720.37857,
1023.331,681.16928,
1020.421,730.16232,
1017.510,731.46841,
1014.600,714.69172,
1011.689,709.01803,
1008.778,692.81189,
1005.868,714.60617,
1002.957,670.7281,
1000.047,674.92,
997.136,715.41419,
994.226,749.47679,
991.315,752.99753,
988.404,733.10887,
985.494,712.40542,
982.583,685.85218,
979.673,705.41269,
976.762,724.56784,
973.852,721.39175,
970.941,713.92761,
968.030,723.94213,
965.120,701.179,
962.209,743.8061,
959.299,737.54327,
956.388,737.03968,
953.477,736.06767,
950.567,738.67267,
947.656,764.66307,
944.746,754.4684,
941.835,759.66869,
938.925,788.63811,
936.014,787.31939,
933.103,772,
930.193,774.19733,
927.282,782.26674,
924.372,768.73703,
921.461,774.364,
918.551,759.572,
915.640,746.15011,
912.729,742.58479,
909.819,735.55518,
906.908,732.18548,
903.998,744.72583,
901.087,749.27301,
898.176,741.88768,
895.266,735.22179,
892.355,740.31412,
889.445,741.99265,
886.534,750.34872,
883.624,758.05549,
880.713,757.42751,
