,PL4F8F~1,
Wavenumbers [1/cm],Intensity,
1826.651,258.33934,
1823.740,262.39753,
1820.830,239.74189,
1817.919,254.55254,
1815.009,222.07571,
1812.098,266.91532,
1809.188,274.62596,
1806.277,246.39182,
1803.366,239.83318,
1800.456,245.35453,
1797.545,256.02658,
1794.635,260.55603,
1791.724,273.24514,
1788.813,276.15051,
1785.903,271.65314,
1782.992,258.72469,
1780.082,256.36036,
1777.171,176.0669,
1774.261,144.3156,
1771.350,204.4565,
1768.439,237.7528,
1765.529,277.9343,
1762.618,287.46936,
1759.708,266.44551,
1756.797,264.04546,
1753.887,282.2121,
1750.976,301.13285,
1748.065,304.22005,
1745.155,310.33058,
1742.244,311.77718,
1739.334,272.77589,
1736.423,288.95743,
1733.512,308.57115,
1730.602,313.74207,
1727.691,316.28532,
1724.781,328.54865,
1721.870,342.21197,
1718.960,348.86116,
1716.049,315.35204,
1713.138,353.20978,
1710.228,324.19753,
1707.317,327.59571,
1704.407,353.90512,
1701.496,352.19226,
1698.586,340.66219,
1695.675,395.89252,
1692.764,363.77457,
1689.854,328.26573,
1686.943,364.4347,
1684.033,359.89902,
1681.122,391.20624,
1678.211,378.87373,
1675.301,398.68833,
1672.390,343.74402,
1669.480,342.14308,
1666.569,391.0547,
1663.659,414.53768,
1660.748,402.07779,
1657.837,418.35634,
1654.927,400.37513,
1652.016,385.13879,
1649.106,401.19066,
1646.195,419.80496,
1643.285,462.59049,
1640.374,455.85453,
1637.463,460.80404,
1634.553,464.34111,
1631.642,503.73914,
1628.732,502.96332,
1625.821,538.73953,
1622.911,522.84016,
1620.000,541.51062,
1617.089,579.97388,
1614.179,604.07318,
1611.268,652.8911,
1608.358,677.62625,
1605.447,734.37902,
1602.536,698.61074,
1599.626,718.74832,
1596.715,770.66806,
1593.805,694.3658,
1590.894,736.70954,
1587.984,757.60747,
1585.073,697.64037,
1582.162,684.24534,
1579.252,700.11602,
1576.341,675.71278,
1573.431,685.97983,
1570.520,659.41054,
1567.610,652.73044,
1564.699,631.27408,
1561.788,649.51031,
1558.878,640.94987,
1555.967,605.98408,
1553.057,599.12925,
1550.146,589.84458,
1547.235,588.83392,
1544.325,616.37127,
1541.414,606.74714,
1538.504,586.31901,
1535.593,596.54063,
1532.683,610.72213,
1529.772,613.86881,
1526.861,603.51973,
1523.951,604.69529,
1521.040,611.18573,
1518.130,608.45982,
1515.219,628.67075,
1512.309,609.93471,
1509.398,617.57153,
1506.487,574.62354,
1503.577,615.19086,
1500.666,612.37761,
1497.756,573.64031,
1494.845,619.26919,
1491.934,583.66496,
1489.024,557.67765,
1486.113,582.71203,
1483.203,580.30916,
1480.292,583.14405,
1477.382,640.32737,
1474.471,580.849,
1471.560,528.27202,
1468.650,519.48309,
1465.739,522.03098,
1462.829,542.44497,
1459.918,575.08718,
1457.008,578.05753,
1454.097,556.969,
1451.186,539.26451,
1448.276,528.75,
1445.365,510.74684,
1442.455,485.3227,
1439.544,512.24407,
1436.633,486.60402,
1433.723,473.24547,
1430.812,483.60223,
1427.902,481.75,
1424.991,481.75,
1422.081,482.66748,
1419.170,500.03121,
1416.259,519.76132,
1413.349,473.90409,
1410.438,492.0392,
1407.528,509.96871,
1404.617,534.648,
1401.707,504.64518,
1398.796,434.95637,
1395.885,436.64792,
1392.975,468.81184,
1390.064,443.57602,
1387.154,456.25491,
1384.243,456.71347,
1381.332,406.6273,
1378.422,426.9,
1375.511,371.62993,
1372.601,430.65207,
1369.690,428.89222,
1366.780,415.07744,
1363.869,496.02134,
1360.958,494.73919,
1358.048,496.73598,
1355.137,534.98283,
1352.227,545.39698,
1349.316,558.74568,
1346.406,603.38862,
1343.495,591.54613,
1340.584,559.07091,
1337.674,592.10679,
1334.763,587.80856,
1331.853,615.62549,
1328.942,621.19732,
1326.032,630.72183,
1323.121,588.29213,
1320.210,630.6851,
1317.300,661.5207,
1314.389,702.83412,
1311.479,729.82775,
1308.568,715.03162,
1305.657,711.50234,
1302.747,716.66827,
1299.836,761.22422,
1296.926,770.51086,
1294.015,743.85047,
1291.105,753.3165,
1288.194,801.87584,
1285.283,783.67787,
1282.373,793.26555,
1279.462,793.6718,
1276.552,800.47448,
1273.641,818.61118,
1270.731,822.04254,
1267.820,828.10235,
1264.909,799.24416,
1261.999,774.24932,
1259.088,787.93113,
1256.178,799.88393,
1253.267,791.77646,
1250.356,805.00409,
1247.446,803.94909,
1244.535,798.24553,
1241.625,779.37228,
1238.714,755.10907,
1235.804,773.26936,
1232.893,805.74692,
1229.982,819.35137,
1227.072,807.58231,
1224.161,789.09942,
1221.251,752.24709,
1218.340,740.10219,
1215.430,752.41231,
1212.519,758.67516,
1209.608,755.52188,
1206.698,752.11154,
1203.787,736.02136,
1200.877,752.96991,
1197.966,740.38168,
1195.055,738.89675,
1192.145,798.85747,
1189.234,831.72585,
1186.324,845.84159,
1183.413,850.86675,
1180.503,868.29905,
1177.592,889.18401,
1174.681,838.25685,
1171.771,841.83242,
1168.860,845.40478,
1165.950,853.00661,
1163.039,854.0516,
1160.129,841.9529,
1157.218,851.0565,
1154.307,865.66872,
1151.397,860.31407,
1148.486,866.54828,
1145.576,876.05614,
1142.665,860.07371,
1139.754,868.51354,
1136.844,871.4503,
1133.933,875.26904,
1131.023,859.81036,
1128.112,852.96237,
1125.202,871.43601,
1122.291,856.25405,
1119.380,866.6374,
1116.470,855.16453,
1113.559,839.83152,
1110.649,850.1566,
1107.738,856.67836,
1104.828,840.35432,
1101.917,823.48393,
1099.006,840.53336,
1096.096,864.25603,
1093.185,807.18586,
1090.275,844.83205,
1087.364,859.55286,
1084.453,858.37521,
1081.543,855.31178,
1078.632,871.98669,
1075.722,908.24552,
1072.811,902.06026,
1069.901,906.42657,
1066.990,880.8834,
1064.079,872.70846,
1061.169,867.88389,
1058.258,863.05606,
1055.348,863.39563,
1052.437,870.56994,
1049.527,873.37378,
1046.616,837.75177,
1043.705,854.56066,
1040.795,855.00346,
1037.884,859.33606,
1034.974,883.50901,
1032.063,904.5964,
1029.153,880.81524,
1026.242,873.03063,
1023.331,864.4172,
1020.421,891.33116,
1017.510,915.51579,
1014.600,920.09777,
1011.689,904.34268,
1008.778,882.50933,
1005.868,892.85039,
1002.957,904.03499,
1000.047,956.71002,
997.136,967.52744,
994.226,969.78064,
991.315,980.66337,
988.404,974.48135,
985.494,931.76918,
982.583,932.62574,
979.673,926.16518,
976.762,945.47278,
973.852,943.95361,
970.941,922.15724,
968.030,919.09679,
965.120,909.84308,
962.209,932.00917,
959.299,924.41801,
956.388,929.26939,
953.477,930.17356,
950.567,930.16125,
947.656,958.8668,
944.746,975.00836,
941.835,958.74392,
938.925,975.14956,
936.014,981.70339,
933.103,983.04641,
930.193,995.74635,
927.282,1006.6043,
924.372,985.46412,
921.461,985.6956,
918.551,962.3508,
915.640,937.10101,
912.729,931.0437,
909.819,942.08277,
906.908,937.02822,
903.998,921.63808,
901.087,941.93724,
898.176,931.41305,
895.266,927.92013,
892.355,974.76586,
889.445,958.81979,
886.534,985.4659,
883.624,998.82399,
880.713,1008.3639,
877.802,1005.76,
874.892,972.36534,
871.981,886.33092,
869.071,699.19844,
866.160,726.08653,
863.250,831.38042,
860.339,934.96769,
857.428,992.55869,
854.518,990.9797,
851.607,964.35349,
848.697,921.92006,
845.786,874.64996,
842.875,880.6562,
839.965,956.50278,
837.054,1014.9733,
834.144,1034.8633,
831.233,1055.4155,
828.323,1052.3748,
825.412,1049.443,
822.501,1064.0265,
819.591,1043.3665,
816.680,1054.7693,
813.770,1050.8585,
810.859,1047.2012,
807.949,1057.3964,
805.038,1075.5818,
802.127,1016.3167,
799.217,1027.1486,
796.306,1032.1824,
793.396,1034.0859,
790.485,1030.1691,
787.574,1003.5248,
784.664,1050.2712,
781.753,1050.0272,
778.843,1053.1012,
775.932,1070.6264,
773.022,1088.1853,
770.111,1058.7525,
767.200,1063.6018,
764.290,1056.504,
761.379,1064.3231,
758.469,1080.472,
755.558,1057.2119,
752.648,1072.6894,
749.737,1074.4444,
746.826,1069.554,
743.916,1061.9578,
741.005,1060.8025,
738.095,1114.3864,
735.184,1067.8356,
732.274,1053.0608,
729.363,1043.2834,
726.452,1015.3812,
723.542,1029.9503,
720.631,1067.4479,
717.721,1075.3129,
714.810,1082.6477,
711.899,1101.7599,
708.989,1114.6707,
706.078,1086.7044,
703.168,1087.6439,
700.257,1086.1488,
697.347,1082.6189,
694.436,1102.9862,
691.525,1074.8531,
688.615,1102.0823,
685.704,1093.2582,
682.794,1073.537,
679.883,1131.3896,
676.973,1123.3759,
674.062,1119.1977,
671.151,1111.175,
668.241,1108.9445,
665.330,1127.5777,
662.420,1102.817,
659.509,1107.274,
656.598,1111.019,
653.688,1122.0925,
650.777,1166.237,
647.867,1151.1067,
644.956,1140.9393,
642.046,1107.3135,
639.135,1063.0251,
636.224,1052.9569,
633.314,1094.2417,
630.403,1100.0203,
627.493,1112.4971,
624.582,1134.2186,
621.672,1118.3787,
618.761,1116.9901,
615.850,1147.0543,
612.940,1186.0945,
610.029,1207.3054,
607.119,1168.6135,
604.208,1195.9906,
601.297,1200.2752,
598.387,1178.5649,
595.476,1145.6014,
592.566,1144.0273,
589.655,1193.6375,
586.745,1209.4668,
583.834,1193.6521,
580.923,1189.9111,
578.013,1216.5921,
575.102,1172.1271,
572.192,1158.0453,
569.281,1202.1718,
566.371,1204.5197,
563.460,1216.743,
560.549,1217.3645,
557.639,1221.6126,
554.728,1245.6022,
551.818,1243.2612,
548.907,1215.9358,
545.996,1208.8585,
543.086,1222.2336,
540.175,1210.5539,
537.265,1200.3344,
534.354,1196.75,
531.444,1197.8646,
528.533,1203.3987,
525.622,1240.6442,
522.712,1231.7609,
519.801,1194.7821,
516.891,1154.1585,
513.980,1161.1272,
511.070,1190.6282,
508.159,1211.3462,
505.248,1225.0062,
502.338,1237.7726,
499.427,1238.5444,
496.517,1218.3864,
493.606,1218.2286,
490.695,1244.2567,
487.785,1211.9254,
484.874,1219.0283,
481.964,1201.2486,
479.053,1162.5213,
476.143,1144.8581,
473.232,1186.9142,
470.321,1219.3204,
467.411,1224.8598,
464.500,1193.6227,
461.590,1228.081,
458.679,1232.2471,
455.769,1223.024,
452.858,1216.5677,
449.947,1253.2364,
447.037,1219.4903,
444.126,1206.7985,
441.216,1228.7657,
438.305,1217.3367,
435.395,1219.6838,
432.484,1230.085,
429.573,1232.5199,
426.663,1192.9926,
423.752,1075.3733,
420.842,938.97966,
417.931,797.39656,
415.020,662.40881,
412.110,883.08685,
409.199,1066.9724,
406.289,1164.1407,
403.378,1137.5476,
400.468,1077.8241,
397.557,1107.0801,
394.646,1177.2605,
391.736,1244.0397,
388.825,1253.0905,
385.915,1248.8315,
383.004,1238.7524,
380.094,1229.2874,
377.183,1239.8221,
374.272,1215.611,
371.362,1221.8884,
368.451,1290.3367,
365.541,1267.0701,
362.630,1249.8252,
359.719,1244.8935,
356.809,1253.2095,
353.898,1227.7504,
350.988,1250.5868,
348.077,1269.361,
345.167,1253.1067,
342.256,1240.4065,
339.345,1239.9386,
336.435,1250.8002,
333.524,1270.6696,
330.614,1236.3924,
327.703,1258.0945,
324.793,1287.7188,
321.882,1284.7428,
318.971,1281.769,
316.061,1273.4253,
313.150,1276.6047,
310.240,1311.4842,
307.329,1317.7525,
304.418,1344.8274,
301.508,1377.31,
298.597,1386.9354,
295.687,1366.0783,
292.776,1347.4166,
289.866,1337.4626,
286.955,1345.5886,
284.044,1360.0325,
281.134,1420.3309,
278.223,1503.6065,
275.313,1461.6057,
272.402,1467.2726,
269.492,1461.9074,
266.581,1424.8072,
263.670,1383.6371,
260.760,1418.7645,
257.849,1475.8645,
254.939,1516.228,
252.028,1497.2062,
249.117,1478.3293,
246.207,1481.9864,
243.296,1548.6017,
240.386,1551.832,
237.475,1558.9705,
234.565,1570.529,
231.654,1550.0783,
228.743,1554.9559,
225.833,1542.5415,
222.922,1496.7116,
220.012,1452.9983,
217.101,1485.8587,
214.191,1541.5254,
211.280,1564.0767,
208.369,1526.7268,
205.459,1489.7837,
202.548,1473.4046,
199.638,1535.0848,
196.727,1528.1587,
193.816,1513.148,
190.906,1509.0581,
187.995,1432.3115,
185.085,1410.9514,
182.174,1427.1318,
179.264,1465.4384,
176.353,1454.3713,
173.442,1435.2358,
170.532,1411.7936,
167.621,1369.256,
164.711,1338.8296,
161.800,1268.4191,
158.890,1112.2382,
155.979,1046.5495,
153.068,953.9621,
150.158,844.04667,
147.247,769.37963,
144.337,651.25965,
141.426,516.32823,
138.516,374.38377,
135.605,254.52362,
132.694,174.81149,
129.784,123.5516,
126.873,76.353028,
123.963,50.816036,
121.052,36.200397,
118.141,29.775279,
115.231,19.802015,
112.320,16.597272,
109.410,18.159066,
106.499,20.295531,
103.589,13.466692,
100.678,5.8486481,
97.767,0.87208504,
94.857,-1.3289671,
91.946,1.3779978,
89.036,6.4113063,
86.125,4.2836905,
83.215,5.8736814,
80.304,7.0317019,
77.393,4.9071921,
74.483,4.75,
71.572,5.8370563,
68.662,6.9880575,
65.751,-0.78290435,
62.840,2.0487218,
59.930,6.813569,
57.019,3.2881591,
54.109,2.75,
51.198,3.3532186,
48.288,4.7386751,
45.377,3.331919,
42.466,3.1622193,
39.556,3.8651186,
36.645,4.5673088,
33.735,5.2692485,
30.824,4.6455651,
27.914,1.1396889,
25.003,4.4858249,
22.092,6.75,
19.182,7.1847744,
16.271,20.475087,
13.361,95.290566,
10.450,235.46059,
7.539,495.23391,
4.629,470.84415,
1.718,281.69018,
-1.192,-54.333491,
-4.103,-224.25292,
-7.013,-212.61111,
-9.924,1.75,
