,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
1873.220,319.65152,
1870.310,322.338,
1867.399,359.03324,
1864.489,300.93655,
1861.578,309.93259,
1858.667,318.22383,
1855.757,296.4114,
1852.846,317.90703,
1849.936,322.11451,
1847.025,295.32815,
1844.114,312.0509,
1841.204,335.31381,
1838.293,347.13914,
1835.383,331.52051,
1832.472,362.98674,
1829.562,377.12656,
1826.651,364.471,
1823.740,347.79356,
1820.830,334.13674,
1817.919,337.32564,
1815.009,341.1937,
1812.098,339.82973,
1809.188,352.75675,
1806.277,310.5988,
1803.366,335.89118,
1800.456,350.52586,
1797.545,335.95811,
1794.635,377.72199,
1791.724,374.26574,
1788.813,380.41574,
1785.903,355.14242,
1782.992,359.91857,
1780.082,317.82526,
1777.171,229.60731,
1774.261,177.86029,
1771.350,248.53202,
1768.439,345.86285,
1765.529,387.62594,
1762.618,396.52376,
1759.708,377.65739,
1756.797,366.30682,
1753.887,391.5492,
1750.976,409.93194,
1748.065,403.79397,
1745.155,409.12169,
1742.244,400.39586,
1739.334,398.78735,
1736.423,422.11469,
1733.512,426.98678,
1730.602,434.6012,
1727.691,435.32202,
1724.781,450.35653,
1721.870,444.9678,
1718.960,437.69161,
1716.049,429.07423,
1713.138,448.1449,
1710.228,429.86758,
1707.317,422.20214,
1704.407,471.93524,
1701.496,484.00583,
1698.586,471.68922,
1695.675,502.43909,
1692.764,448.76841,
1689.854,423.62105,
1686.943,442.91676,
1684.033,453.37664,
1681.122,493.92831,
1678.211,489.67259,
1675.301,531.4955,
1672.390,519.45154,
1669.480,461.94588,
1666.569,502.29788,
1663.659,554.47801,
1660.748,545.66356,
1657.837,548.01866,
1654.927,565.625,
1652.016,565.5278,
1649.106,562.04118,
1646.195,578.625,
1643.285,579.78711,
1640.374,628.9142,
1637.463,596.50771,
1634.553,644.78756,
1631.642,655.85302,
1628.732,676.90942,
1625.821,724.60537,
1622.911,694.79405,
1620.000,727.20924,
1617.089,734.4857,
1614.179,802.65093,
1611.268,842.17506,
1608.358,889.37749,
1605.447,927.45386,
1602.536,884.89442,
1599.626,985.57741,
1596.715,973.75017,
1593.805,968.04767,
1590.894,967.625,
1587.984,952.90143,
1585.073,880.00721,
1582.162,956.95781,
1579.252,904.2511,
1576.341,901.44201,
1573.431,919.50531,
1570.520,891.52116,
1567.610,857.7815,
1564.699,822.7989,
1561.788,850.65281,
1558.878,839.31447,
1555.967,837.8563,
1553.057,846.81462,
1550.146,806.22146,
1547.235,783.75729,
1544.325,818.86032,
1541.414,807.44116,
1538.504,786.90105,
1535.593,805.87637,
1532.683,774.27952,
1529.772,757.537,
1526.861,792.78542,
1523.951,784.86132,
1521.040,799.92984,
1518.130,827.85674,
1515.219,843.30487,
1512.309,834.49433,
1509.398,800.21046,
1506.487,817.00315,
1503.577,808.70742,
1500.666,853.49843,
1497.756,835.93847,
1494.845,826.42434,
1491.934,797.47382,
1489.024,751.27416,
1486.113,803.4035,
1483.203,790.74981,
1480.292,776.74584,
1477.382,768.96726,
1474.471,739.99936,
1471.560,733.07633,
1468.650,724.74244,
1465.739,731.51333,
1462.829,747.17408,
1459.918,738.70774,
1457.008,730.68659,
1454.097,743.406,
1451.186,748.21881,
1448.276,724.39035,
1445.365,697.91094,
1442.455,699.80504,
1439.544,695.83026,
1436.633,684.73126,
1433.723,666.48529,
1430.812,699.73841,
1427.902,689.23384,
1424.991,714.82343,
1422.081,638.55692,
1419.170,677.4202,
1416.259,706.4967,
1413.349,676.12867,
1410.438,715.00913,
1407.528,708.94411,
1404.617,707.12895,
1401.707,683.76869,
1398.796,643.76839,
1395.885,637.82584,
1392.975,643.79155,
1390.064,641.56809,
1387.154,654.93384,
1384.243,672.00364,
1381.332,647.76375,
1378.422,594.89534,
1375.511,638.92404,
1372.601,633.17401,
1369.690,649.76945,
1366.780,672.42588,
1363.869,670.36023,
1360.958,683.47019,
1358.048,670.26578,
1355.137,720.80982,
1352.227,762.69679,
1349.316,764.78825,
1346.406,817.82578,
1343.495,833.20681,
1340.584,784.23062,
1337.674,877.30015,
1334.763,824.48386,
1331.853,820.77493,
1328.942,834.85643,
1326.032,871.69669,
1323.121,833.68521,
1320.210,855.58248,
1317.300,869.31291,
1314.389,909.30641,
1311.479,935.33385,
1308.568,920.65368,
1305.657,934.12032,
1302.747,955.73451,
1299.836,994.76504,
1296.926,988.83865,
1294.015,993.43526,
1291.105,982.17796,
1288.194,1047.7194,
1285.283,1032.4049,
1282.373,1013.9297,
1279.462,1036.4284,
1276.552,1063.6644,
1273.641,1059.996,
1270.731,1047.0355,
1267.820,1052.847,
1264.909,1028.8222,
1261.999,987.65692,
1259.088,1015.9327,
1256.178,1034.7541,
1253.267,1008.4716,
1250.356,1007.752,
1247.446,1010.4515,
1244.535,1006.1563,
1241.625,998.58797,
1238.714,985.15232,
1235.804,976.92592,
1232.893,1007.1242,
1229.982,1010.6557,
1227.072,1011.561,
1224.161,1010.7845,
1221.251,1000.2019,
1218.340,937.0263,
1215.430,918.38838,
1212.519,948.6409,
1209.608,953.19747,
1206.698,923.45488,
1203.787,937.58481,
1200.877,952.23198,
1197.966,929.753,
1195.055,962.75494,
1192.145,997.17605,
1189.234,1042.3086,
1186.324,1066.5346,
1183.413,1079.0159,
