,PL75BA~1,
Wavenumbers [1/cm],Intensity,
1742.244,388.13227,
1739.334,381.375,
1736.423,401.15815,
1733.512,397.73269,
1730.602,412.07542,
1727.691,407.62775,
1724.781,417.7468,
1721.870,410.91303,
1718.960,449.48661,
1716.049,411.39242,
1713.138,440.84981,
1710.228,409.95223,
1707.317,414.98986,
1704.407,468.48204,
1701.496,437.00154,
1698.586,432.45102,
1695.675,476.3533,
1692.764,413.10447,
1689.854,407.46161,
1686.943,439.26205,
1684.033,441.35016,
1681.122,450.22207,
1678.211,482.07044,
1675.301,504.30716,
1672.390,480.20453,
1669.480,423.76808,
1666.569,472.9971,
1663.659,521.14635,
1660.748,507.66423,
1657.837,521.95948,
1654.927,503.65615,
1652.016,514.98621,
1649.106,499.64429,
1646.195,511.1902,
1643.285,545.51433,
1640.374,592.66072,
1637.463,512.95147,
1634.553,545.17301,
1631.642,598.55958,
1628.732,615.36907,
1625.821,614.38023,
1622.911,622.32992,
1620.000,653.97184,
1617.089,676.91729,
1614.179,699.72638,
1611.268,712.89169,
1608.358,748.64255,
1605.447,802.23256,
1602.536,803.51123,
1599.626,802.45507,
1596.715,813.26621,
1593.805,775.91873,
1590.894,820.69253,
1587.984,849.89339,
1585.073,776.80149,
1582.162,781.74249,
1579.252,793.55801,
1576.341,777.75161,
1573.431,753.01247,
1570.520,735.90934,
1567.610,723.43369,
1564.699,733.42554,
1561.788,745.41719,
1558.878,777.73382,
1555.967,726.62986,
1553.057,707.40934,
1550.146,706.77138,
1547.235,696.65239,
1544.325,711.47202,
1541.414,706.473,
1538.504,722.23076,
1535.593,715.3695,
1532.683,685.10349,
1529.772,706.15608,
1526.861,706.2935,
1523.951,707.36551,
1521.040,737.18101,
1518.130,738.95434,
1515.219,767.49544,
1512.309,755.84348,
1509.398,763.15262,
1506.487,746.66659,
1503.577,727.72625,
1500.666,741.59885,
1497.756,745.05318,
1494.845,764.57456,
1491.934,745.24586,
1489.024,705.78366,
1486.113,763.71679,
1483.203,763.93416,
1480.292,743.85924,
1477.382,765.43069,
1474.471,719.19323,
1471.560,667.81736,
1468.650,663.94083,
1465.739,676.06088,
1462.829,712.60314,
1459.918,725.53515,
1457.008,714.82111,
1454.097,711.83716,
1451.186,719.86049,
1448.276,722.62665,
1445.365,690.72887,
1442.455,651.375,
1439.544,667.30331,
1436.633,716.95693,
1433.723,690.00415,
1430.812,683.3303,
1427.902,720.66815,
1424.991,732.98906,
1422.081,700.34582,
1419.170,706.87966,
1416.259,746.44796,
1413.349,725.9206,
1410.438,728.97103,
1407.528,727.93758,
1404.617,737.87895,
1401.707,719.28815,
1398.796,678.79812,
1395.885,667.98923,
1392.975,666.04119,
1390.064,678.04332,
1387.154,743.75732,
1384.243,693.92516,
1381.332,656.91629,
1378.422,680.35128,
1375.511,582.92606,
1372.601,662.47319,
1369.690,690.80556,
1366.780,681.70244,
1363.869,767.73167,
1360.958,763.74267,
1358.048,742.00175,
1355.137,752.46573,
1352.227,751.93702,
1349.316,769.48132,
1346.406,801.45146,
1343.495,766.12239,
1340.584,776.05303,
1337.674,807.73017,
1334.763,776.98686,
1331.853,766.78732,
1328.942,745.91733,
1326.032,753.97807,
1323.121,763.78464,
1320.210,757.05211,
1317.300,773.03312,
1314.389,782.23601,
1311.479,777.81189,
1308.568,775.14228,
1305.657,773.87032,
1302.747,792.65385,
1299.836,820.88359,
1296.926,817.50319,
1294.015,820.26116,
1291.105,842.38854,
1288.194,837.38757,
1285.283,826.06696,
1282.373,823.00781,
1279.462,846.43338,
1276.552,858.40647,
1273.641,833.67232,
1270.731,815.48993,
1267.820,831.55831,
1264.909,807.07807,
1261.999,790.67459,
1259.088,798.88368,
1256.178,850.76238,
1253.267,793.39619,
1250.356,782.1793,
1247.446,802.21663,
1244.535,792.06702,
1241.625,773.60462,
1238.714,782.11134,
1235.804,790.81189,
1232.893,794.99595,
1229.982,812.66973,
1227.072,791.84755,
1224.161,803.82306,
1221.251,789.25129,
1218.340,768.47532,
1215.430,764.22875,
1212.519,765.56396,
1209.608,759.83124,
1206.698,752.86435,
1203.787,753.55591,
1200.877,764.14914,
1197.966,744.36764,
1195.055,767.26596,
1192.145,803.68277,
1189.234,818.26775,
1186.324,842.74078,
1183.413,838.41051,
1180.503,836.6927,
1177.592,878.75859,
1174.681,836.95377,
1171.771,813.70469,
1168.860,827.99412,
1165.950,819.69953,
1163.039,816.6766,
1160.129,837.60978,
1157.218,854.29794,
1154.307,852.66475,
1151.397,846.375,
1148.486,848.17328,
1145.576,856.52472,
1142.665,813.9049,
1139.754,831.52935,
1136.844,820.96834,
1133.933,841.35428,
1131.023,849.98889,
1128.112,827.30518,
1125.202,803.99337,
1122.291,791.99629,
1119.380,782.78208,
1116.470,824.26091,
1113.559,804.63103,
1110.649,786.89747,
1107.738,799.057,
1104.828,805.22081,
1101.917,787.64107,
1099.006,782.33361,
1096.096,808.38612,
1093.185,775.90003,
1090.275,796.84384,
1087.364,791.39703,
1084.453,806.06125,
1081.543,802.96972,
1078.632,786.89647,
1075.722,804.87948,
1072.811,810.94063,
1069.901,804.82781,
1066.990,812.45831,
1064.079,806.20883,
1061.169,797.40429,
1058.258,800.99774,
1055.348,812.55083,
1052.437,807.99552,
1049.527,771.44913,
1046.616,799.25167,
1043.705,817.7903,
1040.795,799.38884,
1037.884,785.86926,
1034.974,784.63015,
1032.063,788.14406,
1029.153,802.12865,
1026.242,791.74918,
1023.331,785.54204,
1020.421,840.14312,
1017.510,852.60921,
1014.600,832.37882,
1011.689,820.79584,
1008.778,828.49533,
1005.868,823.18967,
1002.957,802.54117,
1000.047,842.32702,
997.136,856.61302,
994.226,879.46693,
991.315,902.98144,
988.404,882.86257,
985.494,853.78042,
982.583,827.22718,
979.673,824.10665,
976.762,836.11704,
973.852,841.28093,
970.941,833.22567,
968.030,822.92413,
965.120,820.63276,
962.209,882.01579,
959.299,849.88005,
956.388,834.05489,
953.477,844.4176,
950.567,867.57052,
947.656,896.26359,
944.746,895.41403,
941.835,873.51004,
938.925,897.32921,
936.014,911.86917,
933.103,901.13526,
930.193,884.37257,
927.282,890.35854,
924.372,853.15184,
921.461,878.56741,
918.551,891.69873,
915.640,887.42579,
912.729,878.30157,
909.819,873.0397,
906.908,855.34877,
903.998,863.91937,
901.087,872.74006,
898.176,863.96793,
895.266,855.77078,
892.355,870.20208,
889.445,885.30888,
886.534,892.05397,
883.624,906.15881,
880.713,923.60283,
877.802,921.8689,
874.892,886.97651,
871.981,833.39607,
869.071,707.24872,
866.160,681.9252,
863.250,745.90035,
860.339,832.22307,
857.428,882.67071,
854.518,891.65285,
851.607,866.69077,
848.697,837.61358,
845.786,774.99735,
842.875,759.18391,
839.965,833.82203,
837.054,904.45873,
834.144,911.9175,
831.233,966.70448,
828.323,962.71155,
825.412,943.28763,
822.501,965.99196,
819.591,952.76957,
816.680,953.17628,
813.770,942.72446,
810.859,927.80143,
807.949,929.22627,
805.038,957.38826,
802.127,932.69444,
799.217,937.08352,
796.306,917.80727,
793.396,921.23017,
790.485,952.16442,
787.574,952.55823,
784.664,983.72249,
781.753,972.6004,
778.843,976.62706,
775.932,983.5109,
773.022,967.83905,
770.111,951.48748,
767.200,977.02094,
764.290,993.46529,
